,Date,Open,High,Low,Close,Volume
0,2015-06-15,15.631,15.631,15.347,15.347,61389
1,2015-06-16,15.332,15.347,15.063,15.232,57164
2,2015-06-17,15.205,15.561,14.92,15.411,36813
3,2015-06-18,15.347,15.411,15.276,15.382,39086
4,2015-06-19,15.411,15.411,15.133,15.205,11703
5,2015-06-22,15.318,15.318,15.219,15.227,3761
6,2015-06-23,15.227,15.312,15.027,15.276,36104
7,2015-06-24,15.276,15.276,14.267,15.183,22367
8,2015-06-25,15.178,15.268,14.92,15.268,4504
9,2015-06-26,14.92,15.232,14.573,15.191,31357
10,2015-06-29,14.601,14.92,14.601,14.92,298
11,2015-06-30,14.849,14.849,14.566,14.849,11709
12,2015-07-01,14.92,15.169,14.92,15.169,2815
13,2015-07-02,15.155,15.169,15.155,15.169,35328
14,2015-07-03,15.178,15.304,15.169,15.169,14274
15,2015-07-06,15.261,15.312,15.261,15.312,15592
16,2015-07-07,15.312,15.774,15.312,15.312,22967
17,2015-07-08,15.631,15.631,15.312,15.631,6375
18,2015-07-09,15.631,15.667,15.623,15.623,562
19,2015-07-10,15.631,15.631,15.347,15.623,1396
20,2015-07-13,15.667,15.667,15.49,15.623,841
21,2015-07-14,15.525,15.623,15.276,15.623,3800
22,2015-07-15,15.623,15.623,15.083,15.623,16759
23,2015-07-16,15.623,15.667,15.347,15.631,14241
24,2015-07-17,15.667,15.667,15.616,15.623,3978
25,2015-07-20,15.623,15.631,15.561,15.561,14131
26,2015-07-21,15.561,15.623,15.553,15.623,8285
27,2015-07-22,15.631,15.631,15.49,15.49,436
28,2015-07-23,15.61,15.631,15.61,15.631,4098
29,2015-07-24,15.276,15.83,15.276,15.83,247
30,2015-07-27,15.71,15.71,15.631,15.631,405
31,2015-07-28,15.631,15.631,15.631,15.631,13
32,2015-07-29,15.616,15.616,15.616,15.616,13
33,2015-07-30,15.347,15.616,15.347,15.616,99
34,2015-07-31,15.61,15.61,15.61,15.61,13
35,2015-08-03,15.382,15.382,14.352,15.212,2620
36,2015-08-04,15.133,15.133,14.991,15.133,2563
37,2015-08-05,15.205,15.532,15.205,15.532,2323
38,2015-08-06,15.532,15.532,15.532,15.532,321
39,2015-08-07,15.418,15.525,15.418,15.475,226
