,Date,Open,High,Low,Close,Volume
0,2007-11-19,5.0372,5.4703,5.0372,5.1601,150122
1,2007-11-20,5.1648,5.2422,5.1056,5.2422,17429
2,2007-11-21,5.288,5.288,5.2014,5.2422,32327
3,2007-11-22,5.2422,5.2422,5.0145,5.0145,2249
4,2007-11-23,5.0601,5.288,5.0601,5.288,5279
5,2007-11-26,5.4703,5.4703,5.288,5.3791,14652
6,2007-11-28,5.4019,5.4703,5.4019,5.4703,2228
7,2007-11-29,5.5159,5.5159,5.5159,5.5159,23
8,2007-12-03,5.1648,5.4703,5.0647,5.4703,438
9,2007-12-05,5.8806,5.8806,5.8806,5.8806,4
10,2007-12-06,5.5159,5.5159,5.5159,5.5159,1557
11,2007-12-07,5.5614,5.5614,5.4248,5.4248,1259
12,2007-12-10,5.4703,5.5159,5.4703,5.5159,2476
13,2007-12-11,5.3198,5.5159,5.3198,5.5159,1250
14,2007-12-12,5.4657,5.6069,5.4248,5.6069,14053
15,2007-12-13,5.6298,5.6298,5.6298,5.6298,2
16,2007-12-14,5.6298,5.6298,5.6298,5.6298,23
17,2007-12-17,5.6982,5.6982,5.5614,5.6526,2550
18,2007-12-19,5.6982,5.6982,5.5614,5.6982,285
19,2007-12-20,5.4703,5.6982,5.4703,5.4703,659
20,2007-12-21,5.6753,5.6753,5.4703,5.6753,23035
21,2007-12-27,5.525,5.525,5.5159,5.5159,1099
22,2007-12-28,5.288,5.7895,5.288,5.6982,9869
23,2008-01-02,5.6982,5.6982,5.6982,5.6982,3422
24,2008-01-03,5.6982,5.6982,5.5204,5.5204,1121
25,2008-01-04,5.5204,5.5204,5.5204,5.5204,1097
26,2008-01-07,5.4703,5.6526,5.4703,5.6526,155
27,2008-01-08,5.6526,5.7208,5.5614,5.7027,348952
28,2008-01-09,5.4749,5.4749,5.4703,5.4703,12070
29,2008-01-10,5.6481,5.6481,5.6481,5.6481,58
30,2008-01-14,5.5023,5.6526,5.3791,5.6526,56355
31,2008-01-16,5.3791,5.3791,5.2422,5.2422,96810
32,2008-01-17,5.4657,5.4657,5.4248,5.4248,66580
33,2008-01-21,5.6526,5.6526,5.6526,5.6526,29
34,2008-01-22,5.4703,5.4703,5.0145,5.3836,120867
35,2008-01-23,5.4019,5.5614,5.4019,5.4703,69195
36,2008-01-25,5.4703,5.5159,5.4703,5.5159,874
37,2008-01-28,5.2422,5.6069,5.2422,5.6069,2390
38,2008-01-29,5.6526,5.6982,5.6526,5.6982,1758
39,2008-02-01,5.6753,5.6982,5.6753,5.6982,5235
40,2008-02-04,5.6069,5.8806,5.6069,5.6982,13380
41,2008-02-05,5.8168,5.8806,5.8168,5.8806,2
42,2008-02-06,5.6982,5.6982,5.6982,5.6982,1065
43,2008-02-07,5.8806,5.9262,5.6982,5.6982,3531
44,2008-02-08,5.9215,5.9262,5.6982,5.9262,3511
45,2008-02-13,5.9262,5.9262,5.9262,5.9262,30
46,2008-02-14,5.9262,5.9262,5.9262,5.9262,495
47,2008-02-15,5.9262,5.9262,5.9262,5.9262,3289
48,2008-02-19,5.9262,5.9262,5.9262,5.9262,86
49,2008-02-20,5.9262,6.0401,5.9262,6.0401,241991
50,2008-02-21,6.0401,6.1541,6.0401,6.1541,5438
51,2008-02-22,6.1541,6.3822,6.1541,6.1541,1195
52,2008-02-25,5.9491,6.1495,5.9351,6.1495,1887
53,2008-02-26,6.0401,6.1084,6.0401,6.0401,1587
54,2008-02-27,6.1495,6.268,5.9945,5.9945,17724
55,2008-02-28,6.2451,6.268,5.9491,6.268,2369
56,2008-02-29,6.268,6.359,6.2451,6.2451,2878
57,2008-03-03,6.2907,6.359,6.1541,6.2451,1070
58,2008-03-04,6.3133,6.3133,5.9945,5.9945,1357
59,2008-03-05,5.9262,5.9262,5.9262,5.9262,679
60,2008-03-06,5.8349,6.2864,5.8349,6.1312,869
61,2008-03-07,5.8396,5.9262,5.6526,5.6526,1533
62,2008-03-10,6.1541,6.1541,6.1541,6.1541,1
63,2008-03-12,5.8806,6.1996,5.8806,6.1996,3123
64,2008-03-13,6.1541,6.1541,6.0629,6.0629,301
65,2008-03-17,5.9262,5.9262,5.9262,5.9262,528
66,2008-03-20,5.5341,5.5341,5.525,5.525,814
67,2008-03-25,5.525,5.525,5.525,5.525,659
68,2008-03-26,5.525,5.525,5.525,5.525,108
69,2008-03-27,5.525,5.7301,5.525,5.6753,2717
70,2008-03-28,5.7756,5.7756,5.7756,5.7756,659
71,2008-03-31,5.6162,5.7711,5.6162,5.7711,2438
72,2008-04-01,5.5432,5.7347,5.5387,5.7347,659
73,2008-04-02,5.8031,5.8077,5.8031,5.8077,438
74,2008-04-03,5.5432,5.5432,5.5387,5.5387,352
75,2008-04-04,5.6069,5.7165,5.6069,5.6982,876
76,2008-04-08,5.7711,5.7711,5.7711,5.7711,106
77,2008-04-09,5.6526,5.7439,5.6526,5.7439,733
78,2008-04-10,5.6526,5.7208,5.6526,5.7208,1097
79,2008-04-11,5.5204,5.7208,5.5204,5.7208,986
80,2008-04-15,5.5614,5.7439,5.5614,5.7439,1976
81,2008-04-16,5.5614,5.7439,5.5614,5.7439,1758
82,2008-04-17,5.5614,5.7439,5.5159,5.6069,2656
83,2008-04-18,5.5752,5.6982,5.5159,5.6982,110341
84,2008-04-21,5.5159,5.6709,5.5159,5.6709,1166
85,2008-04-22,5.6526,5.6526,5.6526,5.6526,2194
86,2008-04-24,5.6435,5.6435,5.4248,5.4611,1866
87,2008-04-28,5.4611,5.7208,5.3381,5.5523,44422
88,2008-04-29,5.5523,5.5523,5.5523,5.5523,220
89,2008-05-05,5.5294,5.5294,5.4703,5.5294,23799
90,2008-05-06,5.4703,5.4703,5.4703,5.4703,390
91,2008-05-07,5.7439,5.7439,5.4703,5.4703,20
92,2008-05-08,5.5159,5.5159,5.5159,5.5159,659
93,2008-05-09,5.5159,5.7439,5.5159,5.6982,319405
94,2008-05-12,5.6982,5.9262,5.6982,5.9262,7904
95,2008-05-13,5.9215,5.9718,5.9215,5.9718,11240
96,2008-05-14,6.0174,6.0174,5.9262,5.9262,408
97,2008-05-15,6.0492,6.0629,5.9807,6.0401,3938
98,2008-05-19,6.0401,6.0401,6.0401,6.0401,995
99,2008-05-20,6.0948,6.1084,5.9034,6.0629,8087
100,2008-05-21,5.9262,6.0355,5.8396,5.9262,68443
101,2008-05-23,5.7484,5.9262,5.7484,5.9262,1052
102,2008-05-26,5.8806,5.9034,5.8806,5.9034,2368
103,2008-05-27,5.8349,5.9215,5.8349,5.9215,504
104,2008-05-28,5.9262,5.9262,5.9215,5.9215,327
105,2008-05-29,5.8349,5.8349,5.8349,5.8349,2148
106,2008-05-30,5.9124,5.9124,5.9124,5.9124,434
107,2008-06-02,5.7895,5.9718,5.7895,5.9718,13080
108,2008-06-03,5.9491,5.9491,5.9491,5.9491,8773
109,2008-06-04,5.9491,5.9491,5.9491,5.9491,167
110,2008-06-06,5.8349,5.8349,5.8349,5.8349,1773
111,2008-06-09,5.6982,5.7895,5.6982,5.7895,5883
112,2008-06-10,5.8214,5.8214,5.4703,5.5614,24791
113,2008-06-11,5.6069,5.6753,5.6069,5.6753,3028
114,2008-06-13,5.5614,5.5614,5.5159,5.5159,4303
115,2008-06-16,5.4749,5.4975,5.4749,5.4975,7864
116,2008-06-17,5.5387,5.5387,5.5387,5.5387,6
117,2008-06-18,5.4703,5.4703,5.4703,5.4703,2086
118,2008-06-24,5.4703,5.4703,5.1967,5.3244,2467
119,2008-06-25,5.1967,5.2195,5.1967,5.2195,2415
