,Date,Open,High,Low,Close,Volume
0,2015-05-27,19.2,20.0,18.4,19.35,62411
1,2015-05-28,19.66,19.8,18.75,19.8,1895
2,2015-05-29,19.79,21.0,18.45,20.0,4663
3,2015-06-01,20.89,20.89,20.4,20.8,2698
4,2015-06-02,20.9,20.9,20.0,20.0,929
5,2015-06-03,20.9,20.9,20.9,20.9,200
6,2015-06-05,20.9,20.9,20.4,20.4,125
7,2015-06-08,20.4,20.4,20.02,20.02,180
8,2015-06-10,19.2,20.1,19.0,20.1,120
9,2015-06-12,20.0,20.0,20.0,20.0,183
10,2015-06-16,19.84,19.84,19.84,19.84,50
11,2015-06-17,19.78,19.79,19.0,19.77,707
12,2015-06-19,19.4,19.4,19.4,19.4,73
13,2015-06-22,19.02,19.02,19.0,19.0,708
14,2015-06-23,19.0,19.22,19.0,19.22,265
15,2015-06-24,18.01,19.23,18.01,19.23,92
16,2015-06-25,19.4,19.5,19.3,19.3,90
17,2015-06-26,19.58,19.58,19.58,19.58,200
18,2015-06-29,19.49,19.49,19.49,19.49,69
19,2015-06-30,18.66,19.98,15.0,19.98,2641
20,2015-07-01,19.98,19.98,19.98,19.98,50
21,2015-07-02,19.01,19.93,18.52,19.93,286
22,2015-07-03,19.91,19.91,19.2,19.2,15
23,2015-07-06,18.62,18.82,18.62,18.62,272
24,2015-07-09,17.53,17.53,17.52,17.52,223
25,2015-07-10,17.8,17.8,17.8,17.8,173
26,2015-07-13,17.78,18.2,17.78,18.2,73
27,2015-07-15,18.4,18.4,18.4,18.4,5
28,2015-07-16,18.4,19.22,18.4,19.22,251
29,2015-07-17,19.19,19.19,19.19,19.19,2
30,2015-07-22,19.09,19.09,19.09,19.09,2
31,2015-07-23,19.09,19.09,19.09,19.09,62
32,2015-07-24,19.22,19.22,19.22,19.22,2
33,2015-07-27,18.3,19.2,18.1,19.2,3156
34,2015-07-28,19.21,19.21,17.92,19.21,44
35,2015-07-29,19.2,19.2,19.2,19.2,1
36,2015-07-30,19.2,19.21,19.2,19.2,226
37,2015-07-31,19.2,19.2,19.2,19.2,79
38,2015-08-03,19.22,19.22,19.22,19.22,53
39,2015-08-04,19.22,19.22,19.22,19.22,1
40,2015-08-05,19.22,19.22,19.22,19.22,1
41,2015-08-06,18.5,18.5,18.5,18.5,150
42,2015-08-07,18.5,19.17,18.5,19.17,393
