,Date,Open,High,Low,Close,Volume
0,2011-05-09,2.4,2.4,2.01,2.01,104885
1,2011-05-10,2.0,2.0,1.75,1.8,19112
2,2011-05-11,1.8,1.81,1.7,1.8,9417
3,2011-05-12,1.73,1.73,1.45,1.57,29463
4,2011-05-13,1.56,1.85,1.51,1.81,43071
5,2011-05-16,1.81,1.81,1.56,1.65,15393
6,2011-05-17,1.64,1.64,1.45,1.53,29030
7,2011-05-18,1.48,1.52,1.37,1.4,24235
8,2011-05-19,1.39,1.6,1.34,1.5,18570
9,2011-05-20,1.44,1.44,1.4,1.4,8060
10,2011-05-23,1.38,1.38,1.35,1.35,1500
11,2011-05-24,1.35,1.48,1.35,1.41,4600
12,2011-05-25,1.37,1.48,1.37,1.45,20187
13,2011-05-26,1.4,2.0,1.4,1.6,107791
14,2011-05-27,1.6,1.76,1.5,1.56,53278
15,2011-05-30,1.57,1.63,1.5,1.55,39498
16,2011-05-31,1.54,1.86,1.5,1.67,124133
17,2011-06-01,1.75,1.75,1.51,1.63,27513
18,2011-06-02,1.6,1.6,1.45,1.5,17118
19,2011-06-03,1.47,1.63,1.45,1.5,22091
20,2011-06-06,1.5,1.5,1.4,1.43,24613
21,2011-06-07,1.4,1.43,1.36,1.43,22364
22,2011-06-08,1.48,1.65,1.38,1.39,44865
23,2011-06-09,1.39,1.4,1.31,1.4,13214
24,2011-06-10,1.4,1.46,1.4,1.45,16075
25,2011-06-13,1.41,1.46,1.4,1.46,6160
26,2011-06-14,1.47,1.47,1.4,1.44,3350
27,2011-06-15,1.42,1.43,1.35,1.43,7236
28,2011-06-16,1.43,1.43,1.31,1.36,14374
29,2011-06-17,1.35,1.36,1.25,1.35,34242
30,2011-06-20,1.3,1.32,1.2,1.21,29620
31,2011-06-21,1.3,1.45,1.22,1.34,76244
32,2011-06-22,1.56,1.64,1.3,1.39,156093
33,2011-06-24,1.38,1.5,1.28,1.43,154070
34,2011-06-27,1.44,1.6,1.38,1.55,113556
35,2011-06-28,1.56,1.56,1.4,1.45,55895
36,2011-06-29,1.42,1.45,1.33,1.37,20001
37,2011-06-30,1.37,1.5,1.37,1.43,41489
38,2011-07-01,1.4,1.45,1.33,1.4,23752
39,2011-07-04,1.4,1.4,1.33,1.4,12710
40,2011-07-05,1.34,1.4,1.33,1.4,10400
41,2011-07-06,1.41,1.44,1.39,1.39,14633
42,2011-07-07,1.39,1.43,1.37,1.42,9252
43,2011-07-08,1.38,1.38,1.33,1.33,12700
44,2011-07-11,1.33,1.34,1.25,1.34,11534
45,2011-07-12,1.28,1.3,1.25,1.3,3684
46,2011-07-13,1.3,1.3,1.28,1.28,2700
47,2011-07-14,1.28,1.32,1.22,1.27,8519
48,2011-07-15,1.28,1.28,1.15,1.25,31556
49,2011-07-18,1.2,1.26,1.15,1.15,23911
50,2011-07-19,1.16,1.25,1.13,1.13,45791
51,2011-07-20,1.13,1.21,1.13,1.21,16350
52,2011-07-21,1.23,1.35,1.15,1.29,33751
53,2011-07-22,1.29,1.29,1.2,1.22,8800
54,2011-07-25,1.23,1.25,1.13,1.16,17760
55,2011-07-26,1.19,1.29,1.15,1.19,89556
56,2011-07-27,1.2,1.2,1.0,1.12,47332
57,2011-07-28,1.12,1.17,1.02,1.17,10643
58,2011-07-29,1.14,1.16,1.08,1.14,16042
59,2011-08-01,1.14,1.2,1.06,1.09,28860
60,2011-08-02,1.1,1.11,0.94,1.04,24461
61,2011-08-03,1.03,1.06,0.98,1.01,14559
62,2011-08-04,0.99,0.99,0.92,0.96,8690
63,2011-08-05,0.89,0.96,0.78,0.88,17753
64,2011-08-08,0.85,0.85,0.75,0.8,7076
65,2011-08-09,0.8,0.84,0.75,0.84,10355
66,2011-08-10,0.84,0.91,0.78,0.87,13223
67,2011-08-11,0.87,0.87,0.87,0.87,1238
68,2011-08-12,0.87,1.04,0.83,1.04,43332
69,2011-08-16,1.05,1.21,1.03,1.05,34511
70,2011-08-17,1.04,1.1,0.99,1.07,26160
71,2011-08-18,1.03,1.03,0.84,1.0,20641
72,2011-08-19,0.89,1.03,0.89,1.03,3991
73,2011-08-22,1.03,1.03,1.02,1.02,1596
74,2011-08-23,1.0,1.06,1.0,1.0,8747
75,2011-08-24,1.0,1.0,0.94,0.94,7464
76,2011-08-25,0.92,0.98,0.91,0.96,6405
77,2011-08-26,0.97,0.98,0.97,0.97,3611
78,2011-08-29,0.97,1.02,0.97,1.0,11064
79,2011-08-30,1.01,1.04,1.0,1.03,16470
80,2011-08-31,1.03,1.14,1.03,1.14,13759
81,2011-09-01,1.13,1.13,1.05,1.1,17833
82,2011-09-02,1.08,1.08,1.04,1.07,14373
83,2011-09-05,1.04,1.04,1.04,1.04,1145
84,2011-09-06,1.07,1.08,1.05,1.05,3430
85,2011-09-07,1.07,1.07,1.03,1.05,9683
86,2011-09-08,1.03,1.05,1.01,1.01,10409
87,2011-09-09,1.0,1.03,1.0,1.03,4490
88,2011-09-12,1.01,1.03,0.95,1.02,19794
89,2011-09-13,1.02,1.02,1.01,1.02,1922
90,2011-09-14,1.02,1.03,1.0,1.0,3833
91,2011-09-15,1.0,1.03,1.0,1.01,7879
92,2011-09-16,0.98,1.02,0.97,0.98,12618
93,2011-09-19,0.98,0.99,0.92,0.92,14827
94,2011-09-20,0.92,0.95,0.92,0.95,1900
95,2011-09-21,0.95,0.95,0.92,0.95,1286
96,2011-09-22,0.95,1.02,0.95,0.95,15323
97,2011-09-23,0.91,0.91,0.87,0.87,5767
98,2011-09-26,0.86,0.9,0.82,0.9,13866
99,2011-09-27,0.89,0.9,0.85,0.85,7085
100,2011-09-28,0.86,0.88,0.86,0.88,1581
101,2011-09-29,0.89,0.89,0.84,0.84,2355
102,2011-09-30,0.84,0.89,0.84,0.89,7655
103,2011-10-03,0.89,0.89,0.83,0.88,4560
104,2011-10-04,0.84,0.84,0.83,0.84,11174
105,2011-10-05,0.8,0.84,0.8,0.84,12278
106,2011-10-06,0.84,0.84,0.82,0.82,1090
107,2011-10-07,0.82,0.83,0.82,0.82,5474
108,2011-10-10,0.82,0.82,0.78,0.78,12835
109,2011-10-11,0.78,0.78,0.68,0.7,24323
110,2011-10-12,0.68,0.7,0.67,0.67,27955
111,2011-10-13,0.66,0.68,0.6,0.62,53700
112,2011-10-14,0.62,0.62,0.6,0.6,22000
113,2011-10-17,0.62,0.62,0.57,0.6,20608
114,2011-10-18,0.6,0.6,0.5,0.52,67984
115,2011-10-19,0.52,0.52,0.4,0.4,587032
116,2011-10-20,0.38,0.41,0.32,0.32,429188
117,2011-10-21,0.32,0.37,0.28,0.3,1143208
118,2011-10-24,0.31,0.33,0.29,0.32,465265
119,2011-10-25,0.33,0.45,0.33,0.45,674897
120,2011-10-26,0.47,0.56,0.45,0.53,1290997
121,2011-10-27,0.57,0.6,0.5,0.5,674562
122,2011-10-28,0.5,0.5,0.42,0.42,484085
123,2011-10-31,0.43,0.47,0.4,0.42,184145
124,2011-11-02,0.4,0.5,0.38,0.48,378024
125,2011-11-03,0.49,0.55,0.46,0.46,510761
126,2011-11-04,0.46,0.47,0.4,0.42,311535
127,2011-11-07,0.42,0.45,0.36,0.39,319638
128,2011-11-08,0.38,0.44,0.37,0.43,510600
129,2011-11-09,0.45,0.45,0.38,0.38,432383
130,2011-11-10,0.37,0.4,0.36,0.37,565797
131,2011-11-14,0.37,0.37,0.34,0.35,322325
132,2011-11-15,0.34,0.36,0.33,0.36,175104
133,2011-11-16,0.36,0.36,0.32,0.34,226040
134,2011-11-17,0.33,0.34,0.31,0.33,369042
135,2011-11-18,0.31,0.36,0.31,0.34,258787
136,2011-11-21,0.33,0.33,0.31,0.31,146886
137,2011-11-22,0.31,0.34,0.3,0.33,159546
138,2011-11-23,0.32,0.32,0.29,0.31,188629
139,2011-11-24,0.3,0.3,0.29,0.29,61100
140,2011-11-25,0.3,0.32,0.29,0.32,180632
141,2011-11-28,0.31,0.31,0.29,0.3,42545
142,2011-11-29,0.31,0.31,0.3,0.3,144166
143,2011-11-30,0.3,0.3,0.29,0.3,44042
144,2011-12-01,0.29,0.3,0.29,0.3,20469
145,2011-12-02,0.31,0.32,0.3,0.3,86253
146,2011-12-05,0.31,0.31,0.29,0.3,111791
147,2011-12-06,0.3,0.3,0.27,0.29,172920
148,2011-12-07,0.29,0.29,0.27,0.28,89747
149,2011-12-08,0.28,0.3,0.27,0.29,69774
150,2011-12-09,0.28,0.3,0.28,0.3,41428
151,2011-12-12,0.3,0.32,0.3,0.32,45665
152,2011-12-13,0.32,0.32,0.29,0.29,77182
153,2011-12-14,0.3,0.3,0.29,0.29,21805
154,2011-12-15,0.3,0.3,0.29,0.3,18424
155,2011-12-16,0.3,0.3,0.26,0.27,113731
156,2011-12-19,0.27,0.27,0.21,0.22,460214
157,2011-12-20,0.21,0.22,0.19,0.22,452382
158,2011-12-21,0.22,0.23,0.21,0.21,96119
159,2011-12-22,0.2,0.22,0.2,0.21,31461
160,2011-12-23,0.2,0.22,0.2,0.22,108249
161,2011-12-27,0.21,0.21,0.2,0.21,78764
162,2011-12-28,0.21,0.22,0.21,0.22,78475
163,2011-12-29,0.21,0.21,0.2,0.21,101734
164,2011-12-30,0.21,0.21,0.2,0.21,64619
165,2012-01-02,0.21,0.22,0.2,0.22,68880
166,2012-01-03,0.22,0.27,0.22,0.27,166920
167,2012-01-04,0.27,0.27,0.22,0.22,114435
168,2012-01-05,0.22,0.25,0.22,0.23,38282
169,2012-01-09,0.24,0.24,0.22,0.24,9425
170,2012-01-10,0.24,0.24,0.22,0.23,37561
171,2012-01-11,0.23,0.23,0.2,0.2,126614
172,2012-01-12,0.21,0.23,0.19,0.22,202026
173,2012-01-17,0.21,0.25,0.21,0.22,92895
174,2012-01-18,0.22,0.22,0.2,0.21,15401
175,2012-01-19,0.21,0.22,0.2,0.21,23140
176,2012-01-20,0.21,0.22,0.21,0.22,37222
177,2012-01-23,0.23,0.23,0.22,0.22,46531
178,2012-01-24,0.22,0.24,0.22,0.23,35419
179,2012-01-25,0.23,0.23,0.21,0.23,41161
180,2012-01-26,0.21,0.22,0.21,0.21,205379
181,2012-01-27,0.21,0.24,0.21,0.23,22040
182,2012-01-30,0.23,0.23,0.2,0.2,114851
183,2012-01-31,0.2,0.21,0.19,0.2,187843
184,2012-02-01,0.2,0.2,0.19,0.2,118664
185,2012-02-02,0.2,0.21,0.19,0.2,81403
186,2012-02-03,0.2,0.2,0.19,0.2,84006
187,2012-02-06,0.2,0.2,0.19,0.19,56728
188,2012-02-07,0.19,0.2,0.19,0.2,22429
189,2012-02-08,0.19,0.2,0.19,0.19,9221
190,2012-02-09,0.2,0.27,0.19,0.24,1716554
191,2012-02-10,0.24,0.26,0.23,0.24,353718
192,2012-02-13,0.23,0.24,0.2,0.2,359180
193,2012-02-14,0.2,0.22,0.19,0.21,228267
194,2012-02-15,0.21,0.21,0.2,0.2,78872
195,2012-02-16,0.2,0.2,0.19,0.2,35248
196,2012-02-17,0.2,0.21,0.2,0.21,124359
197,2012-02-20,0.21,0.22,0.21,0.21,28135
198,2012-02-21,0.21,0.22,0.21,0.21,25800
199,2012-02-22,0.22,0.23,0.2,0.21,24500
200,2012-02-23,0.22,0.23,0.21,0.21,3000
201,2012-02-24,0.21,0.22,0.2,0.22,89016
202,2012-02-27,0.22,0.22,0.21,0.21,81955
203,2012-02-28,0.21,0.22,0.2,0.22,43692
204,2012-02-29,0.21,0.21,0.21,0.21,6429
205,2012-03-01,0.2,0.21,0.2,0.21,33100
206,2012-03-02,0.21,0.21,0.21,0.21,5500
207,2012-03-05,0.21,0.22,0.2,0.21,39815
208,2012-03-06,0.21,0.21,0.2,0.21,17300
209,2012-03-07,0.21,0.3,0.21,0.3,635708
210,2012-03-08,0.4,0.46,0.34,0.37,1086665
211,2012-03-09,0.37,0.4,0.34,0.34,530456
212,2012-03-12,0.35,0.47,0.34,0.44,779347
213,2012-03-13,0.47,0.47,0.4,0.45,484811
214,2012-03-14,0.45,0.47,0.41,0.43,337341
215,2012-03-15,0.44,0.62,0.44,0.61,1055596
216,2012-03-16,0.55,0.63,0.5,0.57,980445
217,2012-03-19,0.55,0.61,0.5,0.52,224482
218,2012-03-20,0.5,0.54,0.42,0.51,290148
219,2012-03-21,0.53,0.53,0.46,0.48,36921
220,2012-03-22,0.46,0.47,0.43,0.45,101770
221,2012-03-23,0.44,0.5,0.41,0.48,161234
222,2012-03-26,0.49,0.49,0.42,0.46,103841
223,2012-03-27,0.45,0.46,0.42,0.45,60856
224,2012-03-28,0.44,0.46,0.41,0.45,89519
225,2012-03-29,0.44,0.52,0.43,0.49,207994
226,2012-03-30,0.49,0.52,0.47,0.5,74406
227,2012-04-02,0.5,0.51,0.48,0.51,30941
228,2012-04-03,0.51,0.51,0.45,0.45,60276
229,2012-04-04,0.47,0.47,0.39,0.43,224223
230,2012-04-05,0.43,0.43,0.4,0.4,32435
231,2012-04-10,0.42,0.42,0.38,0.39,19877
232,2012-04-11,0.38,0.44,0.34,0.38,266268
233,2012-04-12,0.37,0.37,0.37,0.37,1453
234,2012-04-13,0.39,0.39,0.35,0.38,16037
235,2012-04-16,0.35,0.42,0.35,0.42,59544
236,2012-04-17,0.42,0.57,0.4,0.48,665178
237,2012-04-18,0.48,0.48,0.43,0.45,155120
238,2012-04-19,0.47,0.47,0.41,0.44,61306
239,2012-04-20,0.41,0.45,0.4,0.44,26625
240,2012-04-23,0.44,0.44,0.36,0.36,128301
241,2012-04-24,0.36,0.4,0.36,0.4,21713
242,2012-04-25,0.4,0.42,0.37,0.4,61371
243,2012-04-26,0.37,0.39,0.37,0.39,16379
244,2012-04-27,0.4,0.4,0.36,0.38,28850
245,2012-04-30,0.4,0.4,0.37,0.37,5256
246,2012-05-02,0.36,0.4,0.36,0.38,17838
247,2012-05-04,0.37,0.4,0.35,0.39,20630
248,2012-05-07,0.39,0.4,0.39,0.4,6184
249,2012-05-08,0.4,0.48,0.36,0.45,117368
250,2012-05-09,0.42,0.45,0.39,0.45,17459
251,2012-05-10,0.39,0.44,0.39,0.43,24663
252,2012-05-11,0.42,0.42,0.39,0.39,1260
253,2012-05-14,0.38,0.4,0.36,0.38,50490
254,2012-05-15,0.35,0.4,0.34,0.36,26575
255,2012-05-16,0.34,0.37,0.3,0.36,42245
256,2012-05-17,0.36,0.36,0.31,0.34,32305
257,2012-05-18,0.35,0.35,0.3,0.33,11685
258,2012-05-21,0.34,0.34,0.34,0.34,100
259,2012-05-22,0.35,0.35,0.35,0.35,195
260,2012-05-23,0.33,0.33,0.29,0.32,46803
261,2012-05-24,0.32,0.32,0.26,0.29,140770
262,2012-05-25,0.29,0.31,0.29,0.31,28327
263,2012-05-28,0.29,0.3,0.29,0.3,12223
264,2012-05-29,0.29,0.36,0.29,0.34,44993
265,2012-05-30,0.34,0.34,0.3,0.34,42973
266,2012-05-31,0.34,0.35,0.32,0.35,10902
267,2012-06-01,0.31,0.34,0.29,0.31,67255
268,2012-06-04,0.29,0.31,0.25,0.29,55217
269,2012-06-05,0.29,0.29,0.26,0.26,28417
270,2012-06-06,0.25,0.34,0.25,0.27,285842
271,2012-06-08,0.28,0.31,0.26,0.29,89736
272,2012-06-11,0.29,0.31,0.28,0.29,27996
273,2012-06-12,0.28,0.32,0.28,0.32,45399
274,2012-06-13,0.32,0.33,0.3,0.31,28187
275,2012-06-14,0.32,0.34,0.31,0.33,37808
276,2012-06-15,0.33,0.33,0.29,0.32,27926
277,2012-06-18,0.29,0.31,0.29,0.31,5273
278,2012-06-19,0.32,0.32,0.27,0.28,26185
279,2012-06-20,0.29,0.29,0.29,0.29,150
280,2012-06-21,0.27,0.28,0.25,0.27,47225
281,2012-06-22,0.28,0.29,0.26,0.28,18405
282,2012-06-25,0.29,0.29,0.28,0.28,11000
283,2012-06-26,0.29,0.29,0.26,0.28,5605
284,2012-06-27,0.27,0.29,0.26,0.29,9305
285,2012-06-28,0.25,0.29,0.25,0.29,1212
286,2012-06-29,0.26,0.28,0.23,0.26,33027
287,2012-07-02,0.25,0.26,0.25,0.26,7830
288,2012-07-03,0.24,0.25,0.23,0.25,14493
289,2012-07-04,0.24,0.24,0.2,0.23,50900
290,2012-07-05,0.21,0.24,0.2,0.24,10689
291,2012-07-06,0.23,0.23,0.23,0.23,66
292,2012-07-09,0.22,0.22,0.22,0.22,1500
293,2012-07-10,0.22,0.25,0.22,0.25,70231
294,2012-07-11,0.23,0.28,0.22,0.28,110793
295,2012-07-12,0.26,0.27,0.24,0.27,29775
296,2012-07-13,0.25,0.25,0.24,0.24,4800
297,2012-07-16,0.27,0.27,0.21,0.23,23727
298,2012-07-17,0.23,0.23,0.21,0.23,28200
299,2012-07-18,0.23,0.23,0.19,0.19,108627
300,2012-07-19,0.2,0.22,0.2,0.22,25871
301,2012-07-20,0.22,0.22,0.21,0.22,14724
