,Date,Open,High,Low,Close,Volume
0,2014-01-14,5.15,7.0,5.15,5.2,15668
1,2014-01-15,5.15,5.25,5.15,5.15,3110
2,2014-01-16,5.15,5.15,5.15,5.15,6411
3,2014-01-17,5.15,5.2,5.15,5.2,2139
4,2014-01-20,5.15,5.15,5.15,5.15,1144
5,2014-01-21,5.15,5.15,5.15,5.15,1000
6,2014-01-22,5.15,5.15,5.15,5.15,1000
7,2014-01-23,5.15,5.15,5.15,5.15,17013
8,2014-01-24,5.15,5.15,5.15,5.15,1400
9,2014-01-27,5.15,5.15,5.15,5.15,600
10,2014-01-28,5.15,5.4,5.15,5.15,2260
11,2014-01-29,5.15,5.15,5.15,5.15,18000
12,2014-01-30,5.15,5.25,5.15,5.25,15572
13,2014-01-31,5.15,5.4,5.15,5.4,1328
14,2014-02-03,5.15,5.5,5.15,5.5,850
15,2014-02-04,5.4,5.4,5.4,5.4,1000
16,2014-02-05,5.4,5.4,5.4,5.4,1000
17,2014-02-06,5.4,5.53,5.4,5.4,1409
18,2014-02-07,5.5,5.8,5.5,5.8,1469
19,2014-02-10,6.0,6.57,6.0,6.3,975
20,2014-02-11,7.2,8.1,6.0,6.1,1547
21,2014-02-12,6.2,7.0,6.2,7.0,1549
22,2014-02-13,6.71,6.8,6.7,6.71,1072
23,2014-02-14,6.8,7.0,6.8,7.0,434
24,2014-02-17,6.99,7.5,6.55,7.15,1679
25,2014-02-18,7.0,8.5,7.0,8.5,1835
26,2014-02-19,7.0,8.2,7.0,7.7,1490
27,2014-02-20,7.1,7.1,6.51,7.1,8882
28,2014-02-21,7.1,7.1,6.79,6.99,9833
29,2014-02-24,7.0,7.99,7.0,7.0,22687
30,2014-02-25,7.0,7.0,7.0,7.0,7865
31,2014-02-26,7.0,7.0,7.0,7.0,1100
32,2014-02-27,6.98,7.0,6.6,7.0,18290
33,2014-02-28,7.15,7.2,7.15,7.2,521
34,2014-03-03,7.05,7.09,7.05,7.09,1000
35,2014-03-04,7.05,7.05,7.05,7.05,800
36,2014-03-05,7.05,7.1,7.05,7.1,1000
37,2014-03-06,7.04,7.05,7.04,7.05,3000
38,2014-03-07,7.05,7.05,7.05,7.05,2200
39,2014-03-10,7.05,7.05,7.05,7.05,5000
40,2014-03-11,7.05,7.1,7.05,7.1,800
41,2014-03-12,7.05,7.1,7.05,7.1,400
42,2014-03-13,7.05,7.05,7.05,7.05,600
43,2014-03-14,7.05,7.1,7.05,7.05,1000
44,2014-03-17,7.05,7.05,7.05,7.05,7260
45,2014-03-18,7.05,7.05,7.05,7.05,4255
46,2014-03-19,7.05,7.05,7.05,7.05,2180
47,2014-03-20,7.27,7.27,7.05,7.1,8229
48,2014-03-21,7.1,7.1,7.1,7.1,2815
49,2014-03-24,7.1,7.1,7.1,7.1,10000
50,2014-03-25,7.1,7.1,7.1,7.1,14988
51,2014-03-26,7.1,7.1,7.1,7.1,39496
52,2014-03-27,7.1,7.41,7.1,7.4,21282
53,2014-03-28,7.0,7.15,7.0,7.0,605
54,2014-03-31,7.0,7.0,7.0,7.0,222
55,2014-04-01,7.0,7.0,7.0,7.0,215
56,2014-04-07,6.9,6.9,6.9,6.9,300
57,2014-04-08,6.8,6.8,6.55,6.55,424
58,2014-04-10,6.7,6.7,6.7,6.7,570
59,2014-04-11,6.7,6.7,6.7,6.7,260
60,2014-04-14,6.65,6.65,6.65,6.65,600
61,2014-04-15,6.85,6.85,6.85,6.85,255
62,2014-04-16,6.75,6.75,6.75,6.75,275
63,2014-04-17,6.85,6.85,6.85,6.85,255
64,2014-04-22,6.55,6.55,6.55,6.55,210
65,2014-04-23,6.52,6.52,6.52,6.52,205
66,2014-04-24,6.43,6.43,6.43,6.43,390
67,2014-04-25,6.45,6.45,6.45,6.45,215
68,2014-04-28,6.35,6.35,6.35,6.35,210
69,2014-04-29,6.27,6.27,6.27,6.27,240
70,2014-04-30,6.2,6.2,6.17,6.17,245
71,2014-05-05,6.13,6.13,6.13,6.13,203
72,2014-05-07,6.01,6.01,6.01,6.01,297
73,2014-05-08,5.96,5.96,5.96,5.96,306
74,2014-05-09,5.99,5.99,5.99,5.99,300
75,2014-05-12,5.88,5.88,5.88,5.88,350
76,2014-05-13,5.81,5.81,5.81,5.81,350
77,2014-05-14,5.8,5.8,5.72,5.72,600
78,2014-05-15,5.66,5.66,5.66,5.66,280
79,2014-05-16,5.7,5.7,5.7,5.7,235
80,2014-05-22,5.56,5.56,5.56,5.56,303
81,2014-05-23,5.6,5.6,5.6,5.6,230
82,2014-05-26,5.51,5.51,5.51,5.51,235
83,2014-05-27,5.5,5.5,5.39,5.39,556
84,2014-05-29,5.13,5.13,5.0,5.0,505
85,2014-05-30,5.2,5.2,5.2,5.2,292
86,2014-06-02,5.2,5.2,5.2,5.2,707
87,2014-06-04,5.26,5.26,5.26,5.26,10
88,2014-06-09,5.15,5.15,5.15,5.15,300
89,2014-06-10,5.15,5.15,5.15,5.15,350
90,2014-06-17,5.26,5.26,5.26,5.26,286
91,2014-06-18,5.26,5.26,5.26,5.26,286
92,2014-06-24,5.15,5.15,5.15,5.15,400
93,2014-06-25,5.15,5.15,5.15,5.15,300
94,2014-06-26,5.15,5.15,5.15,5.15,300
95,2014-07-07,5.26,5.26,5.26,5.26,572
96,2014-07-08,5.26,5.26,5.26,5.26,786
97,2014-07-15,5.26,5.26,5.26,5.26,286
98,2014-09-25,5.15,5.15,5.15,5.15,500
99,2014-09-26,5.15,5.15,5.15,5.15,600
100,2014-10-28,5.6,5.6,5.2,5.2,557
101,2014-10-29,5.15,5.15,5.15,5.15,171986
102,2014-10-30,5.15,6.15,5.14,5.15,134519
103,2014-10-31,5.37,5.37,5.37,5.37,280
104,2014-11-03,5.37,6.0,5.2,6.0,4681
105,2014-11-05,5.26,5.26,5.26,5.26,250
106,2014-11-07,4.95,5.32,4.95,5.32,469
107,2014-11-10,5.05,6.06,5.05,6.06,1455
108,2014-11-12,5.42,5.42,5.42,5.42,277
109,2014-11-13,5.12,6.07,5.1,6.07,23758
110,2014-11-14,5.1,6.12,5.1,6.12,1769
111,2014-11-17,5.42,7.05,5.42,7.05,2214
112,2014-11-18,7.15,8.5,6.0,8.5,3258
113,2014-11-19,10.0,11.8,8.01,10.7,11740
114,2014-11-20,11.97,12.07,9.0,11.45,8348
115,2014-11-21,10.0,10.5,9.06,10.5,6200
116,2014-11-24,10.1,10.1,9.5,10.0,10238
117,2014-11-25,10.0,10.0,9.99,10.0,12354
118,2014-11-26,9.31,10.0,9.2,10.0,9612
119,2014-11-27,10.0,10.0,9.6,9.6,10700
120,2014-11-28,9.7,10.05,9.7,10.0,6071
121,2014-12-01,10.2,10.2,10.0,10.0,3369
122,2014-12-02,10.0,10.0,10.0,10.0,4331
123,2014-12-04,9.35,10.2,9.35,10.2,5198
124,2014-12-08,10.21,11.0,9.55,10.25,3908
125,2014-12-09,9.71,10.41,9.7,10.41,491
126,2014-12-10,9.71,9.71,9.7,9.7,352
127,2014-12-12,9.72,10.95,9.7,10.2,26081
128,2014-12-15,10.2,10.2,9.75,9.75,5057
129,2014-12-16,10.1,10.97,9.76,9.76,4644
130,2014-12-19,10.0,10.0,10.0,10.0,1000
131,2014-12-22,10.06,10.9,9.37,9.37,792
132,2014-12-29,10.07,10.95,10.07,10.95,200
133,2014-12-30,10.95,10.95,10.95,10.95,400
134,2015-01-05,10.07,10.07,10.07,10.07,160
135,2015-01-15,10.31,12.0,10.0,10.0,1336
136,2015-01-16,9.51,9.51,9.5,9.5,400
137,2015-01-19,8.91,9.56,8.0,9.08,784
138,2015-01-23,9.08,10.48,8.5,9.76,275
139,2015-01-29,10.0,10.0,10.0,10.0,1
140,2015-02-02,9.0,9.0,8.5,8.5,200
141,2015-02-06,8.4,9.95,7.0,8.2,2025
142,2015-02-09,8.27,8.6,7.16,7.68,773
143,2015-02-10,8.02,8.06,7.3,7.3,670
144,2015-02-16,7.15,7.15,7.15,7.15,41
145,2015-03-03,7.52,7.52,7.52,7.52,20
146,2015-03-09,7.52,7.52,7.15,7.15,420
147,2015-03-10,6.71,6.71,6.7,6.7,300
148,2015-03-11,6.2,6.2,6.2,6.2,200
149,2015-03-12,5.95,6.34,5.93,6.34,251
150,2015-03-16,5.9,6.69,5.4,6.69,22023
151,2015-03-19,7.12,7.52,7.12,7.52,142
152,2015-03-23,7.52,7.52,7.52,7.52,133
153,2015-03-25,7.9,7.9,7.9,7.9,140
154,2015-03-26,8.05,8.05,8.05,8.05,145
155,2015-03-27,8.25,8.7,8.25,8.7,285
156,2015-03-30,8.6,9.38,8.6,9.38,150
157,2015-03-31,9.68,9.7,9.68,9.7,230
158,2015-04-07,9.4,9.4,9.4,9.4,700
159,2015-04-08,9.38,9.9,9.38,9.9,11
160,2015-04-09,9.95,9.95,9.95,9.95,20
161,2015-04-15,9.0,9.0,9.0,9.0,299
162,2015-04-16,9.45,9.45,9.45,9.45,1
163,2015-04-20,9.35,9.35,9.35,9.35,2131
164,2015-04-27,9.2,9.2,9.18,9.18,49
165,2015-04-29,9.18,9.18,9.18,9.18,87
166,2015-04-30,8.8,9.02,8.8,9.02,97
167,2015-05-04,9.0,9.0,9.0,9.0,386
168,2015-05-05,9.0,9.02,9.0,9.02,814
169,2015-05-07,9.6,9.6,9.6,9.6,3422
170,2015-05-08,9.6,9.6,9.6,9.6,410
171,2015-05-11,9.0,9.6,9.0,9.6,1711
172,2015-05-12,9.2,9.2,9.2,9.2,108
173,2015-05-14,9.0,9.75,9.0,9.75,1500
174,2015-05-15,9.75,9.75,9.75,9.75,1234
