,Date,Open,High,Low,Close,Volume
0,2011-12-27,6.6,7.92,6.01,6.9,8172
1,2011-12-28,6.31,9.2,6.21,9.2,4286
2,2011-12-29,9.95,10.0,8.02,8.6,1495
3,2011-12-30,8.0,8.0,6.11,7.0,1071
4,2012-01-02,7.8,7.8,6.25,6.6,667
5,2012-01-03,6.6,6.6,5.3,6.57,687
6,2012-01-04,6.5,6.5,6.0,6.4,207
7,2012-01-05,6.49,6.49,5.5,6.4,62
8,2012-01-09,6.4,6.4,6.4,6.4,3
9,2012-01-10,6.2,6.39,6.2,6.39,25
10,2012-01-11,6.29,6.29,6.29,6.29,2
11,2012-01-12,6.29,6.29,6.29,6.29,2
12,2012-01-13,6.29,7.48,6.29,7.48,512
13,2012-01-16,7.35,7.35,5.5,7.18,472
14,2012-01-17,7.15,7.15,7.15,7.15,2
15,2012-01-18,7.1,7.1,7.1,7.1,1
16,2012-01-19,7.0,7.0,5.7,6.98,7
17,2012-01-20,6.96,6.96,6.96,6.96,3
18,2012-01-23,6.96,6.96,6.96,6.96,9
19,2012-01-24,6.96,6.96,6.96,6.96,8
20,2012-01-25,6.94,6.94,6.94,6.94,5
21,2012-01-26,6.9,6.9,6.9,6.9,9
22,2012-01-27,6.88,7.5,6.88,7.5,207
23,2012-01-30,6.99,6.99,6.99,6.99,2
24,2012-01-31,5.98,5.98,5.6,5.97,590
25,2012-02-01,5.98,5.98,5.98,5.98,1
26,2012-02-02,5.98,5.98,5.98,5.98,2
27,2012-02-03,5.6,5.98,5.28,5.98,400
28,2012-02-06,5.98,5.98,5.98,5.98,1
29,2012-02-07,5.98,5.98,5.98,5.98,2
30,2012-02-08,5.59,5.59,5.59,5.59,10
31,2012-02-09,5.98,5.98,5.98,5.98,1
32,2012-02-10,5.98,5.98,5.98,5.98,1
33,2012-02-13,6.55,6.55,5.32,5.32,471
34,2012-02-14,5.3,5.3,5.3,5.3,1
35,2012-02-15,5.3,5.3,5.3,5.3,1
36,2012-02-16,5.3,5.3,5.3,5.3,1
37,2012-02-20,5.25,5.25,5.23,5.23,490
38,2012-02-22,4.39,6.27,4.39,6.25,1008
39,2012-02-24,6.32,6.32,6.32,6.32,1
40,2012-02-27,7.55,7.55,7.55,7.55,1
41,2012-03-01,7.32,7.32,6.67,6.99,393
42,2012-03-05,5.9,6.0,5.72,6.0,1381
43,2012-03-06,5.0,5.79,5.0,5.79,465
44,2012-03-07,6.55,6.55,6.55,6.55,1
45,2012-03-08,5.25,6.0,5.0,5.0,1839
46,2012-03-12,6.0,6.3,4.92,5.17,521
47,2012-03-13,6.0,6.0,4.8,5.02,534
48,2012-03-14,6.0,6.0,6.0,6.0,1
49,2012-03-19,5.99,5.99,5.2,5.9,499
50,2012-03-23,4.73,5.9,4.73,5.9,1053
51,2012-03-26,5.9,5.9,5.9,5.9,1
52,2012-03-30,5.8,5.8,5.8,5.8,11
53,2012-04-02,4.68,4.93,4.68,4.93,546
54,2012-04-03,4.67,4.95,4.61,4.95,856
55,2012-04-04,4.27,4.95,4.27,4.9,1140
56,2012-04-05,4.93,4.93,4.93,4.93,1
57,2012-04-10,5.8,5.8,4.9,5.4,480
58,2012-04-11,5.8,5.8,5.8,5.8,12
59,2012-04-12,5.8,5.8,5.8,5.8,2
60,2012-04-13,5.8,5.8,5.8,5.8,1
61,2012-04-16,4.65,4.65,4.65,4.65,352
62,2012-04-17,4.65,4.65,3.79,3.97,2061
63,2012-04-18,3.89,3.89,3.33,3.89,1457
64,2012-04-25,3.2,3.99,3.2,3.99,1005
65,2012-04-26,3.99,3.99,3.99,3.99,1
66,2012-04-27,3.99,3.99,3.99,3.99,1
67,2012-04-30,3.99,3.99,3.99,3.99,10
68,2012-05-02,3.99,3.99,3.99,3.99,2
69,2012-05-04,3.99,3.99,3.43,3.99,736
70,2012-05-07,3.99,3.99,3.2,3.61,746
71,2012-05-08,3.99,3.99,3.99,3.99,1
72,2012-05-24,4.77,4.77,4.77,4.77,8
73,2012-06-04,3.81,3.91,3.81,3.91,669
74,2012-06-05,4.69,4.69,4.69,4.69,1
75,2012-06-06,4.77,4.77,3.81,3.9,602
76,2012-06-08,4.68,4.68,4.68,4.68,1
77,2012-06-11,4.77,4.77,3.81,4.0,678
78,2012-06-25,3.21,3.83,2.57,3.83,151
79,2012-06-26,3.8,3.8,3.8,3.8,4
80,2012-06-27,3.82,3.82,3.82,3.82,5
81,2012-06-28,3.8,3.8,3.1,3.1,1658
82,2012-06-29,3.09,3.66,3.0,3.1,1637
83,2012-07-02,3.72,3.72,3.72,3.72,3
