,Date,Open,High,Low,Close,Volume
0,2011-10-12,3.1775,3.1775,2.7042,2.9746,139526
1,2011-10-13,3.0133,3.0133,2.8491,2.9843,8318
2,2011-10-14,2.9264,2.9458,2.8008,2.9458,6931
3,2011-10-17,2.8491,2.9264,2.7042,2.7042,9728
4,2011-10-18,2.6849,2.8008,2.598,2.7526,3485
5,2011-10-19,2.8974,2.8974,2.7526,2.8008,4411
6,2011-10-20,2.6946,2.8878,2.6946,2.8878,4556
7,2011-10-21,2.7526,2.8878,2.7429,2.8491,1788
8,2011-10-24,2.8878,3.1872,2.8878,3.1872,6970
9,2011-10-25,3.0423,3.332,2.8974,3.332,16871
10,2011-10-26,3.1485,3.6701,3.1388,3.6218,5625
11,2011-10-27,3.4962,3.6894,3.4866,3.6894,11201
12,2011-10-28,3.7086,4.0274,3.5734,3.9888,27194
13,2011-10-31,3.9598,3.9598,3.815,3.8922,607
14,2011-11-02,3.7666,3.8439,3.7666,3.8439,621
15,2011-11-03,3.8439,3.8439,3.8439,3.8439,571
16,2011-11-04,3.8536,3.8536,3.815,3.8246,701
17,2011-11-07,3.8343,3.8343,3.815,3.815,5594
18,2011-11-08,3.8246,3.8922,3.7666,3.7666,1989
19,2011-11-09,3.6701,3.815,3.5734,3.757,2226
20,2011-11-10,3.757,3.7666,3.6991,3.6991,9256
21,2011-11-14,3.8053,3.9695,3.1872,3.786,8623
22,2011-11-15,3.786,3.786,3.7183,3.786,1151
23,2011-11-17,3.786,3.786,3.6314,3.786,6241
24,2011-11-18,3.786,3.786,3.786,3.786,10
25,2011-11-21,3.786,3.786,3.5734,3.5734,1656
26,2011-11-22,3.6024,3.728,3.6024,3.728,937
27,2011-11-23,3.6121,3.6894,3.5734,3.6701,1470
28,2011-11-24,3.6218,3.6218,3.6218,3.6218,1036
29,2011-11-25,3.5252,3.6121,3.1872,3.6121,6071
30,2011-11-28,3.4576,3.6121,3.4576,3.6121,2382
31,2011-11-29,3.6121,3.6121,3.5252,3.5831,1341
32,2011-11-30,3.6121,3.6121,3.4769,3.4769,1761
33,2011-12-01,3.4576,3.4576,3.4576,3.4576,10
34,2011-12-02,3.6121,3.6121,3.3804,3.4382,1356
35,2011-12-05,3.6121,3.6121,3.4576,3.4576,765
36,2011-12-06,3.4769,3.6121,3.4769,3.6121,7248
37,2011-12-07,3.6121,3.6604,3.4769,3.6604,11262
38,2011-12-08,3.728,3.728,3.728,3.728,5
39,2011-12-09,3.6701,3.6701,3.6701,3.6701,2
40,2011-12-12,3.7086,3.7086,3.6218,3.6218,1658
41,2011-12-13,3.6701,3.6701,3.5831,3.6411,2693
42,2011-12-14,3.6701,3.6701,3.5928,3.6701,7560
43,2011-12-15,3.6701,3.6701,3.6701,3.6701,1
44,2011-12-16,3.6701,3.6701,3.5831,3.6701,1048
45,2011-12-19,3.6701,3.6701,3.6701,3.6701,320
46,2011-12-20,3.6701,3.6701,3.6701,3.6701,448
47,2011-12-21,3.6508,3.6508,3.5734,3.6218,1674
48,2011-12-22,3.6411,3.6508,3.6411,3.6508,1087
49,2011-12-23,3.6508,3.6508,3.6508,3.6508,2071
50,2011-12-27,3.7473,3.7473,3.7376,3.7376,1475
51,2011-12-28,3.7666,3.8536,3.7666,3.8536,1036
52,2011-12-29,3.8536,3.8632,3.6894,3.7666,4002
53,2011-12-30,3.757,4.1144,3.757,4.1144,17918
54,2012-01-02,3.8632,3.8632,3.7666,3.7666,1477
55,2012-01-03,3.9598,3.9598,3.815,3.815,622
56,2012-01-04,3.8536,3.8536,3.8536,3.8536,10
57,2012-01-05,3.8536,3.8536,3.8536,3.8536,20
