,Date,Open,High,Low,Close,Volume
0,2014-07-17,24.988,25.267,24.336,25.131,161455
1,2014-07-18,25.167,25.31,25.059,25.31,30800
2,2014-07-21,25.267,25.403,25.203,25.275,27617
3,2014-07-22,25.345,25.345,24.916,24.916,16036
4,2014-07-23,24.988,25.059,24.988,25.059,773
5,2014-07-24,25.239,25.239,23.627,24.422,6104
6,2014-07-25,24.493,24.63,24.493,24.63,4891
7,2014-07-28,24.916,25.203,24.701,25.203,8356
8,2014-07-29,25.203,25.203,25.059,25.189,2855
9,2014-07-30,25.195,25.195,24.772,25.059,4105
10,2014-07-31,24.881,25.096,24.881,25.059,46300
11,2014-08-01,25.059,25.059,24.344,24.344,3813
12,2014-08-04,24.63,25.059,24.344,24.344,8146
13,2014-08-05,24.351,24.659,24.351,24.659,3983
14,2014-08-06,24.652,25.045,24.351,25.045,2176
15,2014-08-07,24.701,25.059,24.344,24.701,7822
16,2014-08-08,24.701,24.916,24.438,24.916,2146
17,2014-08-11,24.63,24.916,24.63,24.916,5700
18,2014-08-12,24.916,24.951,24.708,24.916,12606
19,2014-08-13,24.772,24.916,24.772,24.916,5203
20,2014-08-14,24.487,24.916,24.429,24.909,6118
21,2014-08-18,24.909,24.916,24.909,24.916,95472
22,2014-08-19,24.916,24.916,24.493,24.916,11504
23,2014-08-20,24.916,24.966,24.643,24.916,75302
24,2014-08-21,25.053,26.005,24.924,25.883,171158
25,2014-08-22,25.955,26.313,25.926,25.926,29176
26,2014-08-25,26.097,26.097,25.689,25.776,6052
27,2014-08-26,25.66,26.276,25.66,26.276,27494
28,2014-08-27,26.298,27.064,26.298,26.985,55040
29,2014-08-28,27.064,27.558,26.14,26.7,27588
30,2014-08-29,26.686,27.422,26.349,26.994,22662
31,2014-09-01,27.064,27.487,26.994,27.199,41790
32,2014-09-02,27.422,28.281,27.199,28.281,107954
33,2014-09-03,28.533,29.355,28.425,28.711,90416
34,2014-09-04,28.711,28.711,28.138,28.568,35160
35,2014-09-05,28.568,29.319,28.503,29.177,48307
36,2014-09-08,28.926,29.162,28.926,29.14,20265
37,2014-09-09,29.105,29.105,28.568,28.639,7029
38,2014-09-10,28.497,28.497,28.066,28.281,13890
39,2014-09-11,28.066,28.345,28.066,28.289,81045
40,2014-09-12,28.318,29.105,28.31,29.105,11243
41,2014-09-15,29.14,29.14,28.568,28.99,31834
42,2014-09-16,28.99,28.99,28.604,28.696,16888
43,2014-09-17,28.696,28.926,28.639,28.917,12481
