,Date,Open,High,Low,Close,Volume
0,2021-01-08,29.9,37.995,29.0,32.46,541406
1,2021-01-11,33.5,34.08,32.0,32.5,82546
2,2021-01-12,32.6,33.0,32.02,32.5,23713
3,2021-01-13,32.6,32.795,31.7,32.4,14875
4,2021-01-14,31.5,31.98,30.5,31.005,25737
5,2021-01-15,31.38,31.9,31.15,31.15,3964
6,2021-01-18,31.0,31.0,29.5,29.805,14024
7,2021-01-19,29.8,29.8,28.4,28.85,26561
8,2021-01-20,28.5,28.99,28.2,28.5,5100
9,2021-01-21,28.59,29.99,28.59,29.26,8002
10,2021-01-22,29.7,29.9,28.9,29.73,2493
11,2021-01-25,29.99,30.3,29.005,29.19,9803
12,2021-01-26,29.98,29.98,29.015,29.51,4780
13,2021-01-27,29.99,30.9,28.035,28.6,10607
14,2021-01-28,30.2,30.2,28.4,29.42,9089
15,2021-01-29,29.42,29.84,28.0,28.6,10264
16,2021-02-01,28.5,28.85,28.285,28.6,1668
17,2021-02-02,29.0,29.0,28.5,28.6,1996
18,2021-02-03,28.6,28.9,28.495,28.51,2146
19,2021-02-04,28.51,30.2,28.51,29.25,14316
20,2021-02-05,29.9,29.9,29.245,29.89,3041
21,2021-02-08,29.9,30.305,29.2,30.305,9871
22,2021-02-09,31.46,33.3,31.33,33.3,52229
23,2021-02-10,34.4,35.96,33.5,35.9,59007
24,2021-02-11,36.1,39.03,35.4,37.7,84960
25,2021-02-12,37.7,39.1,36.66,37.0,35619
26,2021-02-15,38.795,38.795,36.9,37.4,20413
27,2021-02-16,37.4,37.4,36.6,36.6,20057
28,2021-02-17,37.0,37.0,36.2,36.2,33112
29,2021-02-18,36.6,36.6,35.4,35.51,17072
30,2021-02-19,36.3,36.55,35.5,36.2,11224
31,2021-02-22,37.3,37.3,36.3,36.85,8797
32,2021-02-23,37.0,37.0,36.3,36.8,14080
33,2021-02-24,36.805,36.805,34.0,34.98,20931
34,2021-02-25,35.0,35.0,34.0,34.445,10840
35,2021-02-26,33.4,33.495,32.1,33.375,21444
36,2021-03-01,34.0,34.565,33.03,33.7,12195
37,2021-03-02,34.28,34.44,33.7,34.2,19083
38,2021-03-03,34.5,35.5,34.5,34.76,28856
39,2021-03-04,34.85,35.2,34.75,35.07,32671
40,2021-03-05,35.07,35.07,34.72,35.0,11827
41,2021-03-08,35.1,35.1,34.4,34.5,6709
42,2021-03-09,34.5,34.505,33.0,33.1,36984
43,2021-03-10,33.3,33.695,32.13,33.045,10247
44,2021-03-11,33.05,33.05,32.655,32.85,7269
45,2021-03-12,32.8,33.25,32.7,32.8,14127
46,2021-03-15,33.0,33.74,33.0,33.2,14627
47,2021-03-16,33.24,33.24,32.7,33.0,8764
48,2021-03-17,33.0,33.25,32.1,32.8,9778
49,2021-03-18,32.85,33.005,32.455,32.7,2571
50,2021-03-19,33.0,34.105,33.0,34.0,24459
51,2021-03-22,34.0,34.58,34.0,34.37,15504
