,Date,Open,High,Low,Close,Volume
0,2014-07-17,4.55,6.45,4.55,5.53,107104
1,2014-07-18,5.1,6.4,4.5,4.78,129119
2,2014-07-21,4.85,5.35,4.4,4.4,94115
3,2014-07-22,4.4,4.8,3.84,3.84,133653
4,2014-07-23,4.2,4.52,3.9,4.14,60083
5,2014-07-24,4.2,4.52,4.0,4.0,82518
6,2014-07-25,4.0,4.19,3.55,3.71,72860
7,2014-07-28,3.79,3.79,3.04,3.05,96993
8,2014-07-29,2.97,3.4,2.76,3.15,94702
9,2014-07-30,3.26,3.55,2.57,2.57,133487
10,2014-07-31,2.49,2.58,2.1,2.37,43691
11,2014-08-01,2.21,2.84,2.12,2.6,69868
12,2014-08-04,2.6,2.85,1.99,1.99,85902
13,2014-08-05,2.0,2.05,1.7,1.8,23942
14,2014-08-06,1.97,1.97,1.7,1.73,66385
15,2014-08-07,1.78,1.84,1.5,1.5,60930
16,2014-08-08,1.61,1.62,1.31,1.31,29744
17,2014-08-11,1.36,1.44,1.3,1.32,6768
18,2014-08-12,1.28,1.37,1.25,1.33,14046
19,2014-08-13,1.36,1.63,1.22,1.63,36779
20,2014-08-14,1.67,2.0,1.5,1.8,60000
21,2014-08-18,1.77,1.95,1.42,1.48,18246
22,2014-08-19,1.59,1.64,1.41,1.64,15339
23,2014-08-20,1.64,1.64,1.32,1.39,11183
24,2014-08-21,1.31,1.38,1.23,1.37,11945
25,2014-08-22,1.25,1.34,1.23,1.24,10450
26,2014-08-25,1.23,1.23,1.07,1.19,5023
27,2014-08-26,1.13,1.34,1.05,1.29,14133
28,2014-08-27,1.28,1.42,1.12,1.27,10763
29,2014-08-28,1.28,1.28,1.1,1.2,5398
30,2014-08-29,1.1,1.24,1.05,1.08,9641
31,2014-09-01,1.06,1.06,1.0,1.01,4048
32,2014-09-02,1.0,1.07,0.94,0.94,7232
33,2014-09-03,0.99,0.99,0.94,0.99,2776
34,2014-09-04,0.95,1.36,0.95,1.13,15292
35,2014-09-05,1.06,1.11,1.05,1.05,2916
36,2014-09-08,1.03,1.09,1.0,1.09,1576
37,2014-09-09,1.09,1.09,0.95,0.96,8787
38,2014-09-10,0.96,0.99,0.95,0.95,2547
39,2014-09-11,0.98,0.98,0.88,0.94,11878
40,2014-09-12,0.88,1.02,0.88,1.02,11217
41,2014-09-15,1.02,1.1,0.92,1.0,6895
42,2014-09-16,0.92,1.06,0.92,0.92,10163
43,2014-09-17,0.98,1.02,0.97,0.97,6850
44,2014-09-18,0.97,0.97,0.92,0.92,946
45,2014-09-19,0.92,1.02,0.92,1.02,19864
46,2014-09-22,0.97,0.99,0.94,0.99,3504
47,2014-09-23,0.94,0.95,0.94,0.94,1805
48,2014-09-24,0.93,0.98,0.91,0.91,3128
49,2014-09-25,0.98,0.98,0.91,0.91,4070
50,2014-09-26,0.92,0.98,0.9,0.94,4162
51,2014-09-29,0.93,0.93,0.92,0.92,1101
52,2014-10-01,0.93,1.27,0.93,1.1,25882
53,2014-10-02,1.06,1.19,0.95,1.07,8405
54,2014-10-03,0.96,0.96,0.89,0.89,5455
55,2014-10-06,0.95,0.95,0.95,0.95,500
56,2014-10-07,0.97,1.06,0.93,1.06,4950
