,Date,Open,High,Low,Close,Volume
0,2010-11-16,18.94,23.68,17.59,22.32,86847.0
1,2010-11-17,23.68,27.06,22.32,26.38,49279.0
2,2010-11-18,27.74,29.09,25.03,25.71,21867.0
3,2010-11-19,26.38,27.06,23.0,27.06,24028.0
4,2010-11-22,27.06,27.06,24.35,25.03,6145.0
5,2010-11-23,26.38,27.06,23.68,25.03,6772.0
6,2010-11-24,25.03,25.71,24.35,25.71,5120.0
7,2010-11-25,24.35,25.71,23.68,25.03,8626.0
8,2010-11-26,25.03,25.03,24.35,25.03,1907.0
9,2010-11-29,25.03,25.03,24.35,25.03,1077.0
10,2010-11-30,24.0,24.0,24.0,24.0,3024.0
11,2010-12-01,25.03,25.03,23.68,24.35,1400.0
12,2010-12-02,24.0,26.0,24.0,26.0,4600.0
13,2010-12-03,25.71,25.71,24.35,25.03,1530.0
14,2010-12-06,25.71,25.71,24.35,25.03,4039.0
15,2010-12-07,25.0,29.0,25.0,26.0,41014.0
16,2010-12-08,26.38,27.74,25.71,26.38,3835.0
17,2010-12-09,26.0,26.0,24.0,26.0,1722.0
18,2010-12-10,25.03,27.06,24.35,26.38,4927.0
19,2010-12-13,25.71,26.38,25.03,25.71,405.0
20,2010-12-14,26.38,26.38,25.03,25.71,770.0
21,2010-12-15,25.03,25.71,25.03,25.71,402.0
22,2010-12-16,25.0,26.0,25.0,26.0,966.0
23,2010-12-17,26.0,26.0,24.0,26.0,929.0
24,2010-12-20,25.71,26.38,25.03,25.03,1011.0
25,2010-12-21,25.71,25.71,23.68,25.71,2622.0
26,2010-12-22,25.0,26.0,24.0,24.0,905.0
27,2010-12-23,24.35,25.03,23.68,25.03,1021.0
28,2010-12-27,24.35,24.35,23.0,23.68,825.0
29,2010-12-28,23.68,24.35,23.0,24.35,421.0
30,2010-12-29,24.0,24.0,24.0,24.0,62.0
31,2010-12-30,24.0,26.0,24.0,25.0,792.0
32,2010-12-31,26.0,26.0,25.0,26.0,207.0
33,2011-01-03,25.71,25.71,24.35,25.03,1038.0
34,2011-01-04,25.0,26.0,24.0,24.0,2016.0
35,2011-01-05,24.0,24.0,23.0,24.0,1563.0
36,2011-01-07,24.0,24.0,22.0,24.0,1277.0
37,2011-01-10,24.0,24.0,22.0,22.0,2528.0
38,2011-01-11,22.0,24.0,22.0,23.0,1442.0
39,2011-01-12,25.0,25.0,23.0,25.0,947.0
40,2011-01-13,25.0,25.0,23.0,25.0,877.0
41,2011-01-14,24.0,24.0,23.0,24.0,347.0
42,2011-01-17,24.0,24.0,20.0,23.0,2066.0
43,2011-01-18,22.0,22.0,20.0,22.0,924.0
44,2011-01-19,22.0,22.0,20.0,21.0,1466.0
45,2011-01-20,21.0,21.0,19.0,21.0,5315.0
46,2011-01-21,21.0,22.0,21.0,22.0,2460.0
47,2011-01-24,22.0,22.0,19.0,21.0,3098.0
48,2011-01-25,21.0,21.0,19.0,19.0,1530.0
49,2011-01-26,19.0,20.0,19.0,19.0,1571.0
50,2011-01-27,19.0,19.0,19.0,19.0,1676.0
51,2011-01-28,19.0,19.0,19.0,19.0,605.0
52,2011-01-31,19.0,19.0,18.0,19.0,4710.0
53,2011-02-01,19.0,20.0,18.0,20.0,880.0
54,2011-02-02,19.0,20.0,18.0,20.0,874.0
55,2011-02-03,19.0,20.0,18.0,20.0,254.0
56,2011-02-04,20.0,20.0,18.0,18.0,301.0
57,2011-02-07,18.0,20.0,18.0,20.0,76.0
58,2011-02-08,19.0,20.0,18.0,19.0,414.0
59,2011-02-09,19.0,19.0,18.0,18.0,335.0
60,2011-02-10,19.0,20.0,18.0,18.0,352.0
61,2011-02-11,18.0,19.0,18.0,19.0,62.0
62,2011-02-14,19.0,19.0,18.0,19.0,1066.0
63,2011-02-15,18.0,19.0,17.0,18.0,1601.0
64,2011-02-16,15.0,18.0,15.0,17.0,4048.0
65,2011-02-17,17.0,17.0,16.0,16.0,3492.0
66,2011-02-18,17.0,17.0,17.0,17.0,2427.0
67,2011-02-21,17.0,19.0,17.0,18.0,3172.0
68,2011-02-22,17.0,19.0,17.0,18.0,1244.0
69,2011-02-23,18.0,18.0,18.0,18.0,55.0
70,2011-02-24,17.0,17.0,17.0,17.0,345.0
71,2011-02-25,18.0,18.0,17.0,18.0,92.0
72,2011-02-28,17.0,17.0,17.0,17.0,881.0
73,2011-03-01,17.0,17.0,17.0,17.0,802.0
74,2011-03-02,17.0,18.0,17.0,18.0,151.0
75,2011-03-03,17.0,17.0,17.0,17.0,175.0
76,2011-03-04,17.0,18.0,17.0,17.0,243.0
77,2011-03-07,16.0,17.0,16.0,17.0,714.0
78,2011-03-08,16.0,17.0,15.0,17.0,699.0
79,2011-03-09,15.0,17.0,15.0,17.0,116.0
80,2011-03-11,14.0,17.0,14.0,17.0,722.0
81,2011-03-14,17.0,18.0,17.0,18.0,111.0
82,2011-03-15,17.0,17.0,15.0,16.0,267.0
83,2011-03-17,16.0,16.0,16.0,16.0,7.0
84,2011-03-18,16.0,16.0,15.0,16.0,1792.0
85,2011-03-21,16.0,17.0,15.0,17.0,162.0
86,2011-03-23,17.0,20.0,17.0,20.0,2828.0
87,2011-03-24,20.0,20.0,18.0,20.0,586.0
88,2011-03-25,19.0,20.0,18.0,20.0,1393.0
89,2011-03-28,18.0,20.0,18.0,20.0,685.0
90,2011-03-29,18.0,19.0,17.0,19.0,2367.0
91,2011-03-31,18.0,19.0,18.0,18.0,2342.0
92,2011-04-01,19.0,20.0,17.0,18.0,1408.0
93,2011-04-04,17.0,18.0,17.0,18.0,1113.0
94,2011-04-05,18.0,18.0,17.0,18.0,232.0
95,2011-04-06,18.0,18.0,17.0,18.0,179.0
96,2011-04-11,17.0,18.0,17.0,17.0,1240.0
97,2011-04-12,17.0,17.0,17.0,17.0,1000.0
98,2011-04-13,18.0,19.0,18.0,19.0,3476.0
99,2011-04-14,19.0,19.0,18.0,18.0,542.0
100,2011-04-15,18.0,19.0,18.0,19.0,592.0
101,2011-04-18,20.0,20.0,18.0,19.0,3935.0
102,2011-04-19,19.0,19.0,19.0,19.0,
103,2011-04-20,19.0,19.0,18.0,18.0,1932.0
104,2011-04-21,17.0,18.0,17.0,18.0,355.0
105,2011-04-26,17.0,18.0,16.0,18.0,1791.0
106,2011-04-27,17.0,17.0,16.0,17.0,2628.0
107,2011-04-28,17.0,17.0,16.0,16.0,1295.0
108,2011-04-29,16.0,18.0,16.0,18.0,1886.0
109,2011-05-02,17.0,18.0,17.0,18.0,194.0
110,2011-05-04,17.0,18.0,17.0,18.0,59.0
111,2011-05-05,18.0,18.0,17.0,18.0,261.0
112,2011-05-06,17.0,17.0,17.0,17.0,3809.0
113,2011-05-09,17.0,18.0,17.0,18.0,1319.0
114,2011-05-10,17.0,18.0,17.0,18.0,237.0
115,2011-05-11,18.0,18.0,18.0,18.0,
116,2011-05-12,17.0,17.0,17.0,17.0,1990.0
117,2011-05-13,17.0,17.0,16.0,17.0,100.0
118,2011-05-16,17.0,17.0,17.0,17.0,85.0
119,2011-05-17,16.0,17.0,16.0,17.0,13749.0
120,2011-05-18,16.0,17.0,16.0,17.0,493.0
121,2011-05-19,17.0,17.0,17.0,17.0,3089.0
122,2011-05-20,17.0,18.0,17.0,18.0,4243.0
123,2011-05-23,19.0,19.0,18.0,19.0,2104.0
124,2011-05-24,18.0,19.0,18.0,19.0,101.0
125,2011-05-25,18.0,18.0,18.0,18.0,690.0
126,2011-05-26,18.0,19.0,18.0,19.0,1023.0
127,2011-05-27,20.0,29.0,19.0,27.0,18390.0
128,2011-05-30,28.0,28.0,24.0,28.0,6877.0
129,2011-05-31,27.0,27.0,25.0,26.0,2498.0
130,2011-06-01,26.0,27.0,25.0,26.0,1220.0
131,2011-06-02,26.0,27.0,25.0,27.0,1761.0
132,2011-06-03,27.0,28.0,25.0,26.0,1943.0
133,2011-06-06,26.0,29.0,26.0,29.0,10397.0
134,2011-06-07,28.0,40.0,28.0,40.0,35803.0
135,2011-06-08,39.0,39.0,33.0,33.0,8537.0
136,2011-06-09,33.0,38.0,33.0,37.0,3298.0
137,2011-06-10,35.0,37.0,34.0,36.0,2297.0
138,2011-06-13,37.0,37.0,33.0,34.0,1343.0
139,2011-06-14,35.0,35.0,30.0,31.0,3976.0
140,2011-06-15,30.0,30.0,29.0,30.0,967.0
141,2011-06-16,29.0,30.0,29.0,30.0,371.0
142,2011-06-17,28.0,28.0,27.0,28.0,3961.0
143,2011-06-20,25.0,26.0,24.0,25.0,791.0
144,2011-06-21,24.0,27.0,24.0,25.0,533.0
145,2011-06-22,24.0,25.0,23.0,25.0,547.0
146,2011-06-24,24.0,24.0,23.0,24.0,708.0
147,2011-06-27,24.0,28.0,23.0,28.0,942.0
148,2011-06-28,27.0,27.0,24.0,25.0,636.0
149,2011-06-29,24.0,24.0,23.0,23.0,1446.0
150,2011-06-30,24.0,27.0,24.0,26.0,8111.0
151,2011-07-01,26.0,27.0,25.0,26.0,5941.0
152,2011-07-04,27.0,29.0,27.0,28.0,9184.0
153,2011-07-05,26.0,27.0,25.0,25.0,986.0
154,2011-07-06,26.0,27.0,25.0,27.0,1143.0
155,2011-07-07,27.0,27.0,25.0,26.0,359.0
156,2011-07-08,25.0,26.0,25.0,26.0,331.0
157,2011-07-11,26.0,26.0,25.0,26.0,2347.0
158,2011-07-12,24.0,24.0,23.0,24.0,2319.0
159,2011-07-13,23.0,23.0,22.0,23.0,2368.0
160,2011-07-14,22.0,26.0,22.0,26.0,35882.0
161,2011-07-15,24.0,26.0,24.0,24.0,9699.0
162,2011-07-18,23.0,24.0,23.0,24.0,775.0
163,2011-07-19,25.0,25.0,23.0,24.0,476.0
164,2011-07-20,23.0,24.0,23.0,23.0,930.0
165,2011-07-21,24.0,24.0,22.0,23.0,145.0
166,2011-07-22,22.0,23.0,22.0,23.0,278.0
167,2011-07-25,23.0,23.0,20.0,21.0,1355.0
168,2011-07-26,21.0,22.0,20.0,21.0,3935.0
169,2011-07-27,21.0,21.0,20.0,21.0,446.0
170,2011-07-28,21.0,23.0,20.0,23.0,210.0
171,2011-08-01,22.0,23.0,19.0,20.0,3119.0
172,2011-08-02,19.0,21.0,19.0,20.0,1273.0
173,2011-08-03,19.0,20.0,18.0,19.0,306.0
174,2011-08-04,19.0,19.0,16.0,18.0,1205.0
175,2011-08-05,16.0,18.0,16.0,18.0,77.0
176,2011-08-08,16.0,18.0,16.0,18.0,683.0
177,2011-08-09,16.0,17.0,16.0,17.0,440.0
178,2011-08-10,17.0,17.0,16.0,17.0,462.0
179,2011-08-11,17.0,17.0,17.0,17.0,19.0
180,2011-08-12,17.0,17.0,15.0,17.0,600.0
181,2011-08-16,17.0,17.0,17.0,17.0,4.0
182,2011-08-17,17.0,17.0,16.0,16.0,875.0
183,2011-08-18,16.0,16.0,14.0,15.0,456.0
184,2011-08-19,15.0,16.0,14.0,15.0,315.0
185,2011-08-22,16.0,16.0,16.0,16.0,172.0
186,2011-08-23,15.0,16.0,15.0,15.0,256.0
187,2011-08-24,15.0,15.0,14.0,14.0,557.0
188,2011-08-25,14.0,14.0,14.0,14.0,509.0
189,2011-08-26,13.0,14.0,13.0,14.0,458.0
190,2011-08-29,19.0,19.0,16.0,18.0,9322.0
191,2011-08-30,19.0,19.0,15.0,16.0,800.0
192,2011-08-31,17.0,17.0,14.0,16.0,481.0
193,2011-09-01,15.0,15.0,15.0,15.0,356.0
194,2011-09-02,16.0,16.0,16.0,16.0,11.0
195,2011-09-05,15.0,16.0,14.0,16.0,45.0
196,2011-09-06,14.0,15.0,14.0,15.0,1725.0
197,2011-09-07,14.0,15.0,14.0,15.0,224.0
198,2011-09-08,14.0,14.0,14.0,14.0,130.0
199,2011-09-09,14.0,14.0,14.0,14.0,132.0
200,2011-09-12,13.0,14.0,13.0,14.0,633.0
201,2011-09-13,14.0,14.0,13.0,13.0,72.0
202,2011-09-14,13.0,13.0,12.0,13.0,350.0
203,2011-09-15,13.0,13.0,13.0,13.0,183.0
204,2011-09-16,14.0,14.0,14.0,14.0,
205,2011-09-20,14.0,15.0,13.0,14.0,518.0
206,2011-09-21,14.0,14.0,14.0,14.0,2.0
207,2011-09-22,13.0,13.0,13.0,13.0,150.0
208,2011-09-23,13.0,13.0,13.0,13.0,31.0
209,2011-09-26,13.0,13.0,13.0,13.0,78.0
210,2011-09-27,14.0,14.0,13.0,14.0,23.0
211,2011-09-28,13.0,14.0,13.0,14.0,406.0
212,2011-09-29,13.0,14.0,12.0,14.0,224.0
