,Date,Open,High,Low,Close,Volume
0,2010-08-16,17.95,19.5,16.9,19.5,14664
1,2010-08-17,19.4,19.49,18.1,19.49,2779
2,2010-08-18,19.49,20.79,19.49,20.79,2700
3,2010-08-19,20.8,20.9,18.5,20.85,567
4,2010-08-20,20.0,22.75,20.0,22.45,6382
5,2010-08-23,23.0,24.0,21.9,24.0,1013
6,2010-08-24,23.0,23.98,23.0,23.6,411
7,2010-08-25,23.0,23.0,23.0,23.0,2
8,2010-08-26,22.97,24.0,22.4,24.0,1589
9,2010-08-27,23.9,23.9,23.9,23.9,190
10,2010-08-30,23.9,23.9,23.9,23.9,2
11,2010-08-31,23.88,23.88,23.88,23.88,1
12,2010-09-01,23.88,23.88,23.88,23.88,1
13,2010-09-02,23.88,23.88,22.8,22.8,6
14,2010-09-03,23.5,23.5,23.5,23.5,20
15,2010-09-06,23.88,23.88,23.8,23.8,16
16,2010-09-07,23.9,23.9,23.8,23.9,167
17,2010-09-08,23.9,26.45,22.0,26.45,3446
18,2010-09-09,26.45,26.45,24.5,24.5,522
19,2010-09-10,25.0,26.3,25.0,26.3,11
20,2010-09-13,26.3,26.3,26.3,26.3,1
21,2010-09-14,26.3,26.3,26.3,26.3,1
22,2010-09-15,26.3,26.3,23.0,24.5,666
23,2010-09-16,25.0,25.0,25.0,25.0,25
24,2010-09-17,26.3,26.3,23.7,25.5,259
25,2010-09-20,26.3,26.3,23.0,24.0,404
26,2010-09-21,24.0,24.0,24.0,24.0,1
27,2010-09-22,24.0,24.0,23.4,24.0,602
28,2010-09-23,24.0,24.0,23.0,24.0,374
29,2010-09-24,24.0,24.0,24.0,24.0,2
30,2010-09-27,24.0,24.0,22.8,23.5,168
31,2010-09-28,23.99,24.1,23.0,24.0,6328
32,2010-09-29,24.0,24.0,24.0,24.0,1
33,2010-09-30,24.0,25.0,22.3,25.0,13656
34,2010-10-01,25.7,25.7,25.7,25.7,2
35,2010-10-04,25.7,25.7,23.0,24.8,6011
36,2010-10-05,25.1,25.4,22.5,25.4,3084
37,2010-10-06,25.7,25.7,22.3,25.6,6244
38,2010-10-07,25.0,26.0,25.0,26.0,100
39,2010-10-08,25.0,26.3,25.0,26.3,75
40,2010-10-11,26.0,26.0,26.0,26.0,2
41,2010-10-12,25.8,25.8,25.7,25.7,97
42,2010-10-13,25.8,26.0,22.5,26.0,4374
43,2010-10-14,25.5,27.5,25.5,27.5,212
44,2010-10-15,27.0,27.0,27.0,27.0,2
45,2010-10-18,25.8,27.0,25.8,27.0,215
46,2010-10-19,27.2,27.2,25.35,26.5,327
47,2010-10-20,27.2,27.2,24.99,24.99,305
48,2010-10-21,25.8,27.2,25.8,27.0,661
49,2010-10-22,27.2,27.2,25.75,26.75,179
50,2010-10-25,27.2,27.2,27.2,27.2,2
51,2010-10-26,27.2,27.2,27.2,27.2,2
52,2010-10-27,27.2,27.2,27.2,27.2,2
53,2010-10-28,27.15,27.15,27.15,27.15,2
54,2010-11-02,27.15,27.15,27.15,27.15,2
55,2010-11-03,27.15,27.15,27.15,27.15,2
56,2010-11-04,27.15,27.15,27.15,27.15,2
57,2010-11-05,27.15,27.15,27.15,27.15,2
58,2010-11-08,27.15,27.15,27.15,27.15,2
59,2010-11-15,26.5,26.5,26.5,26.5,4
60,2010-11-16,24.0,29.95,24.0,29.95,1146
61,2010-11-17,29.95,29.95,29.4,29.9,535
62,2010-11-18,29.9,29.9,29.9,29.9,2
63,2010-11-19,29.9,31.9,29.5,30.0,3737
64,2010-11-22,30.0,31.0,30.0,31.0,111
65,2010-11-23,31.0,31.0,30.97,30.99,1202
66,2010-11-24,31.07,31.07,29.6,30.9,87
67,2010-11-25,30.86,33.98,30.1,32.6,723
68,2010-11-26,32.0,34.7,31.0,32.95,1536
69,2010-11-29,31.5,35.0,31.5,33.18,1072
70,2010-11-30,32.0,32.45,28.1,32.0,4931
71,2010-12-01,30.5,31.08,29.0,29.0,4165
72,2010-12-02,30.35,30.35,28.6,29.3,138
73,2010-12-03,29.0,29.7,29.0,29.6,554
74,2010-12-06,30.6,30.6,29.55,29.55,317
75,2010-12-07,29.8,29.93,29.8,29.93,605
76,2010-12-08,29.94,30.01,28.0,29.0,852
77,2010-12-09,29.6,29.6,29.6,29.6,2
78,2010-12-10,29.6,29.6,28.0,29.09,7
79,2010-12-13,29.59,29.59,28.19,29.3,192
80,2010-12-14,29.55,29.59,29.53,29.59,1510
81,2010-12-15,29.59,29.59,27.0,27.88,2144
82,2010-12-16,27.88,29.6,26.0,29.55,2742
83,2010-12-17,29.5,29.5,29.5,29.5,2
84,2010-12-20,30.0,30.01,29.0,29.9,4932
85,2010-12-21,30.2,30.36,28.62,30.34,3769
86,2010-12-22,30.35,37.8,30.35,36.0,5133
87,2010-12-23,37.0,44.3,37.0,41.51,2349
88,2010-12-27,40.0,42.0,37.4,40.5,1379
89,2010-12-28,37.6,40.4,37.4,40.4,74
90,2010-12-29,37.5,41.0,37.5,41.0,762
91,2010-12-30,42.0,42.5,40.0,41.95,606
92,2010-12-31,40.2,43.0,40.2,41.99,176
93,2011-01-03,39.25,41.2,33.6,35.2,310
94,2011-01-04,35.25,39.5,33.6,39.5,1095
95,2011-01-05,38.0,40.4,38.0,40.4,60
96,2011-01-07,41.2,43.0,37.0,42.9,3989
97,2011-01-10,41.78,41.79,41.78,41.79,800
98,2011-01-11,41.9,43.9,41.0,43.5,6892
99,2011-01-12,43.0,43.0,41.7,42.75,117
100,2011-01-13,42.73,43.04,40.97,42.8,369
101,2011-01-14,40.41,42.4,40.4,42.0,504
102,2011-01-17,41.4,41.4,41.4,41.4,2
103,2011-01-18,41.05,41.97,40.0,41.94,2180
104,2011-01-19,41.8,41.8,40.0,41.8,162
105,2011-01-20,41.79,41.79,40.0,41.69,697
106,2011-01-21,41.69,41.69,41.69,41.69,280
107,2011-01-24,41.68,41.68,41.68,41.68,2
108,2011-01-25,40.07,41.64,40.07,41.64,52
109,2011-01-26,41.6,41.6,41.6,41.6,2
110,2011-01-27,41.6,41.6,41.6,41.6,2
111,2011-01-28,41.6,41.6,41.01,41.01,1002
112,2011-01-31,39.98,40.97,39.98,40.97,98
113,2011-02-01,40.97,41.24,40.97,41.24,382
114,2011-02-02,41.2,41.24,40.25,41.24,1428
115,2011-02-03,41.1,41.1,41.1,41.1,2
116,2011-02-04,41.23,49.32,41.23,48.89,2865
117,2011-02-07,48.01,49.0,46.5,48.0,657
118,2011-02-08,47.77,49.0,46.7,48.0,206
119,2011-02-09,47.76,47.76,47.76,47.76,2
120,2011-02-10,47.76,47.76,45.4,47.75,466
121,2011-02-11,45.5,47.75,45.5,47.75,110
122,2011-02-14,47.76,47.76,44.5,46.5,907
123,2011-02-15,47.6,47.6,47.6,47.6,2
124,2011-02-16,47.6,47.6,47.6,47.6,2
125,2011-02-17,45.3,47.0,44.1,47.0,6522
126,2011-02-18,47.4,48.4,41.5,47.99,5206
127,2011-02-21,43.99,47.99,41.0,45.0,6356
128,2011-02-22,45.99,45.99,45.99,45.99,10
129,2011-02-23,46.9,46.9,46.9,46.9,2
130,2011-02-24,46.9,46.9,46.9,46.9,2
131,2011-02-25,46.6,46.9,44.7,45.8,238
132,2011-02-28,46.4,46.4,46.4,46.4,2
133,2011-03-01,46.4,46.4,46.4,46.4,2
134,2011-03-02,46.4,46.4,40.0,44.4,2225
135,2011-03-03,43.0,44.15,43.0,44.15,30
136,2011-03-04,44.3,44.3,44.3,44.3,2
137,2011-03-07,44.24,44.24,40.0,44.0,2267
138,2011-03-08,44.24,44.24,44.24,44.24,2
139,2011-03-09,44.24,44.24,44.24,44.24,2
140,2011-03-10,44.24,44.24,44.24,44.24,2
141,2011-03-11,44.23,44.24,40.0,44.21,1937
142,2011-03-14,42.1,44.2,42.1,43.99,260
143,2011-03-15,41.0,43.0,40.0,43.0,862
144,2011-03-16,43.99,43.99,43.99,43.99,2
145,2011-03-17,40.0,43.99,40.0,43.99,197
146,2011-03-21,44.22,44.22,44.22,44.22,2
147,2011-03-25,41.98,44.0,40.0,43.5,305
148,2011-03-29,44.19,44.19,41.0,43.5,288
149,2011-03-30,44.19,44.2,43.5,44.2,2812
150,2011-03-31,44.19,44.19,44.19,44.19,2
151,2011-04-04,42.0,43.9,40.5,43.8,232
152,2011-04-06,40.5,43.79,40.5,43.79,333
153,2011-04-07,40.9,43.79,38.0,43.79,2154
154,2011-04-08,43.78,43.78,38.15,43.37,400
155,2011-04-11,40.2,43.79,40.2,43.79,289
156,2011-04-12,41.9,43.78,40.9,42.9,142
157,2011-04-13,43.78,43.78,40.7,43.78,93
158,2011-04-14,43.74,43.74,41.7,43.73,9
159,2011-04-15,43.0,43.0,38.11,42.6,351
160,2011-04-18,41.0,43.0,40.05,41.0,80
161,2011-04-21,40.01,41.5,38.0,41.5,2567
162,2011-04-26,39.05,41.49,39.05,41.49,168
163,2011-04-27,38.15,42.49,38.0,42.49,2913
164,2011-04-28,42.7,43.42,40.0,43.42,202
165,2011-04-29,43.33,43.33,41.35,43.33,72
166,2011-05-02,40.82,43.43,39.78,41.0,128
167,2011-05-04,41.02,41.02,37.0,41.0,83
168,2011-05-05,38.7,41.0,37.0,40.89,1141
169,2011-05-06,37.0,40.72,37.0,40.72,466
170,2011-05-09,38.8,41.0,37.91,41.0,316
171,2011-05-10,39.05,40.89,39.05,40.89,267
172,2011-05-11,39.1,40.24,36.24,40.24,938
173,2011-05-12,37.85,39.7,36.5,39.7,200
174,2011-05-13,38.0,39.88,38.0,39.88,139
175,2011-05-16,38.0,39.88,38.0,39.88,198
176,2011-05-17,37.92,39.8,37.0,39.8,1263
177,2011-05-18,37.1,39.5,37.0,39.5,338
178,2011-05-19,39.05,39.79,38.0,39.0,140
179,2011-05-20,37.1,38.93,37.1,38.93,178
180,2011-05-23,37.0,38.8,37.0,38.8,170
181,2011-05-25,38.8,38.8,38.8,38.8,70
182,2011-05-26,38.8,38.8,38.8,38.8,100
183,2011-05-27,38.78,38.79,38.78,38.79,31
184,2011-05-30,38.93,38.93,38.93,38.93,3
185,2011-05-31,38.9,38.9,38.9,38.9,5
186,2011-06-01,38.9,38.9,38.9,38.9,3
187,2011-06-02,37.5,38.6,37.5,38.6,73
188,2011-06-03,36.77,38.6,36.77,38.6,174
189,2011-06-06,38.93,38.93,38.93,38.93,3
190,2011-06-07,37.05,38.89,37.05,38.89,60
191,2011-06-10,38.93,38.93,38.93,38.93,2
192,2011-06-13,36.25,39.69,36.25,39.69,173
193,2011-06-14,38.0,39.5,37.0,39.5,206
194,2011-06-15,37.4,39.69,37.4,39.69,327
195,2011-06-17,38.0,38.0,38.0,38.0,3
196,2011-06-20,38.0,38.0,38.0,38.0,2
197,2011-06-21,38.0,38.0,36.15,37.8,163
198,2011-06-22,37.3,38.0,36.0,38.0,74
199,2011-06-24,37.05,39.0,37.05,38.5,74
200,2011-06-27,38.5,38.5,36.0,37.5,109
201,2011-06-28,37.78,37.78,37.78,37.78,2
202,2011-06-29,37.78,37.78,33.14,36.54,157
203,2011-06-30,37.0,38.5,36.0,37.0,1464
204,2011-07-01,35.72,36.43,35.72,36.43,45
205,2011-07-04,36.0,36.39,36.0,36.39,6
206,2011-07-05,36.37,36.37,36.37,36.37,2
207,2011-07-06,35.5,35.5,34.0,35.4,132
208,2011-07-07,35.7,35.7,35.7,35.7,1
209,2011-07-12,35.7,35.7,35.7,35.7,1
210,2011-07-13,35.7,35.7,35.7,35.7,1
211,2011-07-14,34.0,35.7,32.25,35.7,1482
212,2011-07-19,33.34,34.99,33.34,34.99,37
213,2011-07-20,34.99,34.99,34.99,34.99,1
214,2011-07-21,34.99,34.99,34.99,34.99,1
215,2011-07-25,34.7,34.7,34.7,34.7,1
216,2011-07-26,33.0,33.49,33.0,33.49,131
217,2011-07-28,32.0,32.0,32.0,32.0,2
218,2011-07-29,32.0,32.0,32.0,32.0,1
219,2011-08-01,30.0,30.0,26.51,29.97,33
220,2011-08-02,28.0,28.4,28.0,28.4,31
221,2011-08-04,27.15,27.2,27.15,27.2,110
222,2011-08-05,22.71,26.0,21.76,25.99,1760
223,2011-08-08,25.99,30.5,25.99,30.5,7
224,2011-08-09,30.5,30.5,30.5,30.5,205
225,2011-08-10,30.4,30.4,30.4,30.4,1
226,2011-08-11,29.0,30.4,29.0,30.4,61
227,2011-08-18,30.3,30.3,30.3,30.3,4
228,2011-08-19,30.4,30.4,30.4,30.4,27
229,2011-08-22,30.4,30.4,30.4,30.4,92
230,2011-08-24,29.0,30.4,28.1,30.4,453
231,2011-08-25,29.0,29.0,28.0,28.85,178
232,2011-08-26,28.85,28.85,28.85,28.85,250
233,2011-08-29,27.7,28.0,26.0,28.0,476
234,2011-08-30,27.5,29.0,27.5,28.2,343
235,2011-08-31,26.93,28.0,25.5,28.0,1515
236,2011-09-01,28.11,28.11,28.11,28.11,9
237,2011-09-02,28.22,28.22,26.85,26.85,249
238,2011-09-05,27.11,27.11,27.11,27.11,5
239,2011-09-06,25.89,25.89,24.8,24.8,204
240,2011-09-09,24.0,24.15,24.0,24.15,1900
241,2011-09-12,24.9,24.9,20.0,22.9,1977
242,2011-09-13,19.81,22.5,19.81,19.95,2513
243,2011-09-14,19.95,19.96,19.95,19.96,222
244,2011-09-15,20.0,22.9,19.9,19.9,399
245,2011-09-16,20.89,20.89,20.89,20.89,120
246,2011-09-19,20.26,24.0,20.26,24.0,575
247,2011-09-20,28.2,28.2,28.2,28.2,270
248,2011-09-21,28.1,28.1,25.0,27.0,417
249,2011-09-22,25.5,27.61,25.5,27.3,555
250,2011-09-23,26.0,29.0,26.0,29.0,578
251,2011-09-26,29.0,30.4,27.7,28.0,877
252,2011-09-27,29.19,29.19,27.8,28.9,405
253,2011-09-28,28.0,30.4,23.15,23.15,748
254,2011-09-29,22.91,22.91,20.01,20.01,535
255,2011-09-30,21.5,23.9,20.0,21.0,574
256,2011-10-03,20.5,22.0,18.0,20.5,898
257,2011-10-04,19.5,21.1,19.5,20.3,377
258,2011-10-05,20.8,24.0,20.4,24.0,292
259,2011-10-06,24.59,24.59,24.59,24.59,100
260,2011-10-07,24.99,29.5,24.99,29.5,125
261,2011-10-10,29.4,35.0,29.4,35.0,150
262,2011-10-11,31.0,35.0,29.0,29.0,331
263,2011-10-12,30.45,30.97,29.5,30.97,107
264,2011-10-13,29.71,29.9,28.5,29.9,278
265,2011-10-14,27.91,29.9,27.91,29.9,186
266,2011-10-17,31.19,31.19,28.5,29.7,298
267,2011-10-18,27.9,30.0,27.9,30.0,271
268,2011-10-19,29.4,32.49,29.4,32.49,560
269,2011-10-20,31.0,32.48,31.0,32.48,352
270,2011-10-21,31.19,32.47,29.71,31.3,485
271,2011-10-24,31.18,32.48,30.0,31.02,609
272,2011-10-25,29.2,30.97,29.2,29.3,570
273,2011-10-26,30.45,30.45,23.5,23.5,367
274,2011-10-27,26.9,26.9,20.0,20.0,632
275,2011-10-28,22.05,22.05,22.05,22.05,4
276,2011-10-31,22.05,26.0,22.05,26.0,438
277,2011-11-02,23.0,25.0,21.82,25.0,335
278,2011-11-03,23.0,26.0,23.0,26.0,140
279,2011-11-04,26.25,26.25,26.25,26.25,10
280,2011-11-07,26.0,26.0,23.0,23.0,248
281,2011-11-08,23.62,23.62,22.5,22.5,152
282,2011-11-09,21.0,23.0,20.02,23.0,159
283,2011-11-10,21.0,21.0,20.02,20.02,305
284,2011-11-14,21.0,21.0,20.3,20.3,203
285,2011-11-15,20.02,20.02,20.02,20.02,17
286,2011-11-21,20.99,20.99,20.99,20.99,122
287,2011-11-22,20.99,20.99,20.99,20.99,122
288,2011-11-23,20.99,20.99,20.99,20.99,122
289,2011-11-30,24.15,25.1,24.15,25.1,7
290,2011-12-01,21.51,23.94,21.51,23.94,251
291,2011-12-08,23.02,23.5,22.3,23.3,7211
292,2011-12-09,23.0,23.03,20.05,22.8,4331
293,2011-12-12,22.78,22.78,22.78,22.78,111
294,2011-12-16,23.36,23.36,23.36,23.36,110
295,2011-12-21,22.33,22.33,20.05,22.32,335
296,2011-12-23,22.59,22.59,22.59,22.59,113
297,2012-01-04,21.51,21.51,21.51,21.51,119
298,2012-01-11,21.5,21.5,21.5,21.5,2
299,2012-01-13,21.5,21.5,21.5,21.5,2
300,2012-01-16,21.5,21.5,21.5,21.5,1
301,2012-01-19,21.5,21.5,20.69,20.69,126
302,2012-01-23,21.5,21.5,21.5,21.5,3
303,2012-01-25,19.98,20.05,19.1,19.1,258
304,2012-01-26,19.98,19.98,19.98,19.98,105
305,2012-01-30,21.0,21.0,21.0,21.0,2
306,2012-01-31,20.75,20.75,20.75,20.75,20
307,2012-02-01,19.77,19.77,19.77,19.77,17
308,2012-02-02,21.0,21.0,19.77,19.77,48
309,2012-02-03,21.0,21.0,21.0,21.0,2
310,2012-02-08,21.0,21.0,21.0,21.0,3
311,2012-02-10,21.0,21.0,21.0,21.0,2
312,2012-02-23,19.2,19.3,16.8,17.0,519
313,2012-02-24,16.0,20.0,15.0,20.0,2780
314,2012-02-27,21.0,23.5,20.45,23.5,1645
315,2012-02-28,20.0,20.0,18.5,18.5,253
316,2012-02-29,18.8,21.5,18.0,21.5,1560
317,2012-03-01,20.0,22.05,20.0,22.05,3209
318,2012-03-02,22.0,22.0,19.5,19.5,654
319,2012-03-06,19.5,19.5,19.5,19.5,122
320,2012-03-08,18.8,19.39,18.8,19.39,18
321,2012-03-09,18.8,19.0,18.8,19.0,23
322,2012-03-12,18.99,18.99,18.8,18.8,42
323,2012-03-13,18.44,18.44,18.44,18.44,120
324,2012-03-14,18.0,18.0,18.0,18.0,10
325,2012-03-16,17.65,17.65,17.65,17.65,10
326,2012-03-19,17.65,17.65,17.65,17.65,10
327,2012-03-20,15.0,15.0,15.0,15.0,15
328,2012-03-21,16.0,16.0,15.0,15.0,35
329,2012-03-28,16.5,16.5,16.5,16.5,50
330,2012-04-17,17.4,17.4,16.0,16.0,174
331,2012-04-19,16.1,16.1,13.2,15.8,212
332,2012-04-20,15.0,15.99,13.0,15.99,108
333,2012-04-23,15.0,15.0,15.0,15.0,10
334,2012-04-24,14.0,14.0,13.0,13.0,40
335,2012-04-25,15.0,15.0,15.0,15.0,10
336,2012-04-27,16.0,16.0,16.0,16.0,10
337,2012-04-30,17.8,17.8,16.0,16.0,12
338,2012-05-21,14.8,15.0,13.5,13.9,270
339,2012-05-22,12.0,14.4,12.0,14.4,245
340,2012-05-23,15.6,15.6,15.6,15.6,2
341,2012-05-29,16.8,16.8,16.8,16.8,30
342,2012-05-30,19.0,19.8,19.0,19.8,85
343,2012-05-31,19.8,21.9,19.8,21.9,280
344,2012-06-05,21.68,21.68,21.68,21.68,45
345,2012-06-11,20.0,21.49,20.0,20.0,124
346,2012-06-15,19.0,21.35,19.0,19.0,2536
347,2012-06-18,19.0,21.29,19.0,19.0,3139
348,2012-06-19,18.0,18.0,18.0,18.0,30
349,2012-06-20,19.0,19.0,19.0,19.0,2
350,2012-07-03,15.18,15.99,15.18,15.99,46
351,2012-07-04,14.99,15.99,14.99,15.99,103
352,2012-07-05,13.74,15.99,13.74,15.99,240
353,2012-07-09,13.03,13.98,13.03,13.98,182
354,2012-07-11,13.03,15.98,13.03,15.98,120
355,2012-07-19,13.03,15.99,13.03,15.99,874
356,2012-07-25,12.68,12.68,12.68,12.68,173
357,2012-07-26,11.96,11.96,11.96,11.96,130
358,2012-07-27,12.0,12.0,10.0,10.0,55
359,2012-07-31,8.54,11.98,8.54,11.98,70
360,2012-08-01,12.7,12.7,12.7,12.7,1
361,2012-08-31,12.4,13.8,12.4,13.8,240
362,2012-09-12,11.03,11.03,11.0,11.0,1057
363,2012-09-13,10.24,11.03,10.24,11.03,52
364,2012-09-17,9.96,10.0,9.96,10.0,152
365,2012-09-18,11.03,11.03,11.03,11.03,2
366,2012-09-19,9.47,13.0,9.47,11.05,892
367,2012-09-20,12.1,12.1,12.1,12.1,125
368,2012-09-21,12.5,12.5,10.71,11.37,143
369,2012-09-24,10.4,11.0,10.4,11.0,157
370,2012-09-27,10.3,10.3,10.3,10.3,300
371,2012-09-28,10.4,10.4,9.78,10.39,117
372,2012-10-02,10.39,10.39,10.39,10.39,45
373,2012-10-03,8.5,8.5,6.8,8.2,1049
374,2012-10-04,7.35,8.5,7.0,8.48,957
375,2012-10-05,9.0,9.0,9.0,9.0,187
376,2012-10-11,8.66,8.7,8.66,8.7,180
377,2012-10-22,8.7,8.7,8.7,8.7,173
378,2012-10-23,8.7,8.7,8.7,8.7,170
379,2012-10-29,8.29,8.29,8.29,8.29,182
380,2012-10-30,7.63,7.63,7.63,7.63,197
381,2012-10-31,7.69,7.69,7.63,7.69,46
382,2012-11-02,7.6,8.29,7.17,8.29,257
383,2012-11-06,7.25,8.29,7.25,8.29,210
384,2012-11-09,7.55,8.29,7.55,8.29,172
385,2012-11-12,7.9,8.25,6.94,6.94,2154
386,2012-11-13,6.52,7.8,5.5,6.95,24453
387,2012-11-14,7.19,7.19,6.17,7.16,1232
388,2012-11-15,7.16,8.59,6.23,8.59,1104
389,2012-11-16,9.98,9.98,9.98,9.98,50
390,2012-11-19,9.97,11.97,9.97,11.97,175
391,2012-11-20,10.0,13.0,10.0,13.0,125
392,2012-11-21,10.4,12.0,10.0,12.0,185
393,2012-11-22,10.4,10.4,9.6,9.6,269
394,2012-11-23,8.0,8.0,8.0,8.0,101
395,2012-11-26,8.0,8.0,6.42,6.42,1342
396,2012-11-27,5.95,6.0,5.95,6.0,1444
397,2012-11-28,5.95,5.95,5.95,5.95,253
398,2012-11-29,5.6,5.65,4.77,5.65,680
399,2012-11-30,5.2,5.55,5.2,5.55,202
400,2012-12-03,5.13,5.51,5.13,5.51,568
401,2012-12-07,5.89,5.89,5.89,5.89,3
