,Date,Open,High,Low,Close,Volume
0,2016-03-22,8.9106,8.9106,8.3894,8.6924,10871
1,2016-03-23,8.7487,8.7487,7.9351,8.5805,11734
2,2016-03-24,8.5518,8.6359,8.5518,8.6359,3100
3,2016-03-29,8.4679,8.4734,8.4116,8.4734,3300
4,2016-03-30,8.4734,8.6924,8.4734,8.687,6206
5,2016-03-31,8.4179,8.653,8.4179,8.653,37
6,2016-04-01,8.6091,8.6091,8.6091,8.6091,188
7,2016-04-04,8.6091,8.6091,8.6091,8.6091,294
8,2016-04-05,8.6091,8.6091,8.5518,8.5518,1975
9,2016-04-06,8.6091,8.6091,8.4679,8.4679,1257
10,2016-04-07,8.5518,8.5518,8.4394,8.4394,212
11,2016-04-08,8.4394,8.6924,8.4394,8.4457,4184
12,2016-04-11,8.6816,8.6816,8.6816,8.6816,1
13,2016-04-12,8.4457,8.6189,8.4394,8.6189,598
14,2016-04-13,8.6029,8.6029,8.4457,8.6029,469
15,2016-04-14,8.525,8.5805,8.525,8.5805,1435
16,2016-04-15,8.4116,8.5582,8.356,8.5582,3175
17,2016-04-18,8.4179,8.4179,8.4068,8.4068,1506
18,2016-04-19,8.3672,8.3672,8.3457,8.3457,1459
19,2016-04-20,8.3283,8.3283,7.9628,7.9747,2836
20,2016-04-21,8.1317,8.1881,8.1317,8.1317,1236
21,2016-04-22,8.1317,8.356,8.1317,8.356,197
22,2016-04-25,8.1881,8.1881,7.97,7.97,1800
23,2016-04-26,8.1595,8.525,8.1595,8.525,5198
24,2016-04-27,8.525,8.805,8.525,8.5295,14159
25,2016-04-28,8.5349,8.5349,8.5349,8.5349,527
26,2016-05-02,8.5805,8.5805,8.5805,8.5805,170
27,2016-05-04,8.2157,8.3782,8.2047,8.2047,2079
28,2016-05-06,8.2989,8.687,8.2989,8.356,1783
29,2016-05-09,8.4116,8.4116,8.4116,8.4116,19
30,2016-05-10,8.4116,8.4512,8.4116,8.4512,1286
31,2016-05-11,8.4227,8.7433,8.4227,8.6924,4987
32,2016-05-12,8.7156,8.7156,8.5805,8.653,4476
33,2016-05-13,8.6359,8.6359,8.6359,8.6359,356
34,2016-05-16,8.67,8.687,8.6476,8.687,1569
35,2016-05-17,8.6924,8.6924,8.6655,8.6655,2789
36,2016-05-18,8.6359,8.6359,8.6359,8.6359,107
37,2016-05-19,8.5805,8.6924,8.5805,8.6924,19361
38,2016-05-20,8.7433,8.7487,8.7433,8.7487,4986
39,2016-05-23,8.6359,8.6359,8.5805,8.5805,1159
40,2016-05-24,8.6924,8.7487,8.6924,8.6977,1727
