,Date,Open,High,Low,Close,Volume
0,2006-12-15,20.706,22.497,16.918,20.248,376476
1,2006-12-18,21.147,22.318,19.438,19.978,56991
2,2006-12-19,19.707,19.707,17.179,17.188,37521
3,2006-12-20,17.881,18.35,17.017,17.521,17186
4,2006-12-21,17.107,18.268,17.099,17.548,12615
5,2006-12-22,17.719,17.719,17.107,17.152,11876
6,2006-12-27,17.521,17.953,17.188,17.314,5341
7,2006-12-28,17.232,17.359,16.559,17.099,3027
8,2006-12-29,17.458,17.773,17.017,17.773,3638
9,2007-01-02,17.791,18.035,17.278,17.819,4089
10,2007-01-03,17.863,17.863,16.828,17.404,7378
11,2007-01-04,17.377,17.377,16.738,17.089,5552
12,2007-01-05,16.918,17.099,16.918,17.099,4995
13,2007-01-08,17.252,17.782,17.116,17.287,9467
14,2007-01-09,17.332,17.414,17.152,17.323,4192
15,2007-01-10,17.539,17.863,17.359,17.71,2499
16,2007-01-11,17.773,18.089,17.404,18.089,11461
17,2007-01-12,18.142,19.798,18.142,19.096,6578
18,2007-01-15,19.348,20.068,19.078,19.843,45937
19,2007-01-16,19.789,19.843,19.357,19.798,18096
20,2007-01-17,20.022,21.508,19.617,21.238,63342
21,2007-01-18,22.857,23.307,22.137,22.849,68213
22,2007-01-19,23.217,23.307,21.687,22.137,19041
23,2007-01-22,21.624,21.624,21.058,21.058,6870
24,2007-01-23,20.877,20.904,20.517,20.877,3229
25,2007-01-24,20.698,21.058,20.517,20.958,9331
26,2007-01-25,22.497,24.703,22.147,23.856,114263
27,2007-01-26,24.298,25.161,22.974,24.567,33892
28,2007-01-29,24.567,24.567,23.488,23.847,4902
29,2007-01-30,23.578,23.847,22.947,23.65,8535
30,2007-01-31,22.678,23.173,22.678,23.127,2061
31,2007-02-01,23.127,23.568,22.768,23.532,8987
32,2007-02-02,22.686,23.398,22.588,22.768,6910
33,2007-02-05,22.497,23.038,22.497,22.947,7876
34,2007-02-06,22.768,23.217,22.588,23.217,5884
35,2007-02-07,23.217,23.398,22.768,22.857,8142
36,2007-02-08,22.678,22.678,21.597,21.624,13773
37,2007-02-09,21.444,21.643,21.444,21.454,5447
38,2007-02-12,21.418,21.418,20.347,21.049,15144
39,2007-02-13,21.147,21.193,20.698,21.139,6440
40,2007-02-14,21.147,21.147,20.517,20.526,3793
41,2007-02-15,21.238,21.778,20.924,21.085,11584
42,2007-02-16,21.426,22.947,21.426,22.497,22626
43,2007-02-19,22.497,23.038,21.859,23.028,10492
44,2007-02-20,23.083,23.083,21.975,22.497,5957
45,2007-02-21,22.669,22.678,21.597,22.497,6635
46,2007-02-22,22.678,24.028,22.678,23.937,21882
47,2007-02-23,23.937,24.468,23.398,23.847,15062
48,2007-02-26,23.937,24.748,23.398,24.126,25411
49,2007-02-27,24.117,24.298,22.497,23.299,33123
50,2007-02-28,22.407,23.208,21.687,23.038,10805
51,2007-03-01,23.352,23.667,22.768,23.389,21667
52,2007-03-02,23.578,23.578,22.812,23.217,2163
53,2007-03-05,22.722,22.768,21.597,22.497,6239
54,2007-03-06,23.217,23.217,22.048,22.497,3272
55,2007-03-07,22.318,22.497,22.228,22.318,2748
56,2007-03-08,22.497,23.488,22.497,23.398,5168
57,2007-03-09,24.208,24.208,23.416,23.893,8493
58,2007-03-12,23.578,24.72,23.578,24.477,11671
59,2007-03-13,25.017,27.087,25.017,26.952,13923
60,2007-03-14,26.971,29.247,26.971,28.347,51557
61,2007-03-15,29.697,31.047,28.797,29.697,34837
62,2007-03-16,29.787,30.596,29.157,29.471,7095
63,2007-03-19,30.588,30.588,29.525,29.607,10561
64,2007-03-20,29.697,30.057,27.555,27.897,17459
65,2007-03-21,27.897,27.897,27.087,27.267,17109
66,2007-03-22,27.276,28.797,27.276,27.538,8401
67,2007-03-23,27.312,27.897,26.952,27.897,11310
68,2007-03-26,28.663,29.697,28.663,29.247,7679
69,2007-03-27,29.247,30.146,28.887,29.247,32399
70,2007-03-28,28.536,29.157,27.538,27.727,4336
71,2007-03-29,27.807,28.788,27.807,28.653,6666
72,2007-03-30,27.761,29.679,27.356,29.679,8268
73,2007-04-02,29.687,29.687,27.897,28.779,4646
74,2007-04-03,28.437,30.139,28.302,29.247,7274
75,2007-04-04,29.247,29.471,27.915,28.797,8918
76,2007-04-05,29.157,29.157,27.987,28.707,948
77,2007-04-10,28.616,29.687,28.077,29.517,6903
78,2007-04-11,29.336,29.697,29.336,29.517,3638
79,2007-04-12,29.517,30.236,27.717,28.797,6017
80,2007-04-13,28.797,28.797,27.897,28.616,2463
81,2007-04-16,28.347,28.347,27.096,27.754,6768
82,2007-04-17,27.754,27.897,26.852,27.888,2979
83,2007-04-18,27.888,29.562,26.852,26.925,16699
84,2007-04-19,26.997,28.257,26.727,26.925,2021
85,2007-04-20,26.907,27.807,26.907,27.177,5391
86,2007-04-23,28.059,28.059,26.727,27.267,7490
87,2007-04-24,26.727,27.897,26.727,27.087,2686
88,2007-04-25,27.267,27.897,27.267,27.798,8868
89,2007-04-26,27.888,27.888,27.06,27.096,2031
90,2007-04-27,26.979,27.177,26.979,26.997,1279
91,2007-04-30,26.997,26.997,26.88,26.997,1102
92,2007-05-02,26.736,27.267,26.736,26.997,475
93,2007-05-04,26.997,27.572,26.997,27.177,643
94,2007-05-07,27.627,27.627,26.997,26.997,603
95,2007-05-08,26.826,26.997,26.673,26.818,3152
96,2007-05-09,26.673,26.997,26.007,26.457,7233
97,2007-05-10,26.907,26.907,25.063,26.097,3732
98,2007-05-11,25.197,25.468,24.36,25.376,4963
99,2007-05-14,25.197,25.376,24.748,24.971,4614
100,2007-05-15,24.567,25.917,24.567,25.647,1520
101,2007-05-16,25.558,29.247,25.558,28.212,41739
102,2007-05-17,28.527,29.247,26.907,28.248,5445
103,2007-05-18,27.897,28.248,26.547,28.248,20334
104,2007-05-21,28.527,29.237,26.106,26.106,20708
105,2007-05-22,26.997,27.538,26.547,26.566,1744
106,2007-05-23,27.446,27.807,26.637,27.267,1684
107,2007-05-24,26.295,27.618,26.295,27.618,2778
108,2007-05-25,27.446,28.77,27.446,28.265,6729
109,2007-05-28,28.761,34.196,28.347,33.963,70769
110,2007-05-29,32.936,33.297,32.037,33.297,8950
111,2007-05-30,33.207,33.207,31.047,31.047,10017
112,2007-05-31,31.047,33.297,31.047,33.297,24270
113,2007-06-01,34.097,37.436,34.089,35.997,61113
114,2007-06-04,35.997,36.896,33.746,34.196,10201
115,2007-06-05,33.836,34.916,32.216,33.737,7228
116,2007-06-06,34.061,34.061,31.947,32.397,4690
117,2007-06-08,31.227,31.496,29.787,29.787,10313
118,2007-06-11,30.146,32.397,30.146,31.964,5395
119,2007-06-12,33.297,33.297,32.037,32.846,1115
120,2007-06-13,33.116,33.116,31.496,32.666,1671
121,2007-06-14,32.397,32.397,31.055,32.397,4079
122,2007-06-15,30.696,32.298,30.696,31.326,1179
123,2007-06-18,31.047,31.937,30.686,31.317,3428
124,2007-06-19,31.947,31.947,30.246,30.246,8648
125,2007-06-20,31.496,31.947,31.496,31.496,6168
126,2007-06-21,31.496,34.196,30.596,31.632,4037
127,2007-06-22,33.297,33.476,31.586,32.397,14418
128,2007-06-25,31.74,33.377,31.496,31.649,520
129,2007-06-26,32.846,34.017,32.397,32.594,12012
130,2007-06-27,37.787,37.787,34.475,34.475,37462
131,2007-06-28,35.186,36.446,34.295,35.088,5532
132,2007-06-29,35.357,35.357,33.018,35.321,15674
133,2007-07-02,35.546,35.546,34.646,35.384,9252
134,2007-07-03,34.691,35.366,34.196,34.916,809
135,2007-07-04,35.816,36.446,35.546,35.977,9327
136,2007-07-05,36.896,36.896,35.582,35.97,9452
137,2007-07-06,36.446,36.446,35.088,35.456,4297
138,2007-07-09,34.422,35.095,33.116,33.297,9774
139,2007-07-10,34.186,34.186,32.397,33.386,1782
140,2007-07-11,33.297,33.297,32.397,32.846,3080
141,2007-07-12,32.397,32.846,32.126,32.837,3133
142,2007-07-13,32.397,33.297,31.956,33.207,853
143,2007-07-16,34.169,34.169,32.226,32.846,1605
144,2007-07-17,32.846,34.196,32.126,34.196,1593
145,2007-07-18,34.611,34.611,34.196,34.368,1709
146,2007-07-19,34.547,34.592,33.297,34.241,998
147,2007-07-20,33.746,34.152,33.521,33.971,1004
148,2007-07-23,33.746,33.746,32.936,33.702,1275
149,2007-07-24,33.656,33.683,33.071,33.098,1991
150,2007-07-25,32.082,33.612,32.082,32.81,955
151,2007-07-26,33.287,33.297,30.777,32.388,1822
152,2007-07-27,31.047,31.856,30.146,31.677,2143
153,2007-07-30,32.208,32.216,31.047,31.496,1132
154,2007-07-31,32.126,32.126,30.596,32.117,1845
155,2007-08-01,31.047,31.362,29.876,30.146,2187
156,2007-08-02,31.001,31.001,30.039,30.579,493
157,2007-08-03,30.146,31.128,29.607,29.697,1427
158,2007-08-06,29.319,29.319,27.627,27.627,3209
159,2007-08-07,27.897,28.788,27.897,28.166,1081
160,2007-08-08,28.707,28.707,26.331,27.312,2108
161,2007-08-09,27.717,27.717,26.097,26.772,2092
162,2007-08-10,25.197,25.647,22.678,22.678,8150
163,2007-08-13,23.578,23.803,22.056,22.363,23795
164,2007-08-14,22.957,23.398,21.913,22.417,8853
165,2007-08-16,21.364,21.364,18.808,20.419,8529
166,2007-08-17,19.348,20.698,18.988,20.698,5998
167,2007-08-20,20.698,21.597,20.688,21.147,11639
