,Date,Open,High,Low,Close,Volume
0,2016-11-17,21.22,22.0,20.11,22.0,35684
1,2016-11-18,22.0,22.23,21.48,21.93,8806
2,2016-11-21,21.54,22.59,21.54,22.55,14489
3,2016-11-22,22.69,22.69,22.3,22.55,6470
4,2016-11-23,22.53,22.53,21.92,22.5,5776
5,2016-11-24,22.02,23.61,22.02,23.49,56823
6,2016-11-25,23.6,23.6,22.71,22.73,3372
7,2016-11-28,22.59,22.6,22.5,22.5,614
8,2016-11-29,22.85,22.85,21.31,21.95,4046
9,2016-11-30,22.45,22.5,21.95,22.5,2592
10,2016-12-01,22.6,22.6,22.4,22.55,532
11,2016-12-02,22.6,22.6,22.0,22.49,747
12,2016-12-05,22.49,22.49,21.11,22.2,1674
13,2016-12-06,22.47,22.47,21.21,21.21,4978
14,2016-12-07,21.31,21.58,21.0,21.01,3666
15,2016-12-08,21.01,21.85,19.77,21.85,6350
16,2016-12-09,21.85,21.85,21.11,21.5,3856
17,2016-12-12,21.4,21.87,20.43,21.87,2914
18,2016-12-13,21.86,22.37,21.5,22.3,8574
19,2016-12-14,22.34,22.36,22.0,22.3,173
20,2016-12-15,22.1,22.36,22.0,22.25,1813
21,2016-12-16,22.3,22.3,21.0,22.0,5132
22,2016-12-19,22.15,22.15,21.98,22.15,799
23,2016-12-20,22.15,22.15,21.74,21.99,3
24,2016-12-21,22.0,22.0,21.52,22.0,1154
25,2016-12-22,21.51,22.84,21.51,22.0,17493
26,2016-12-23,22.0,22.0,21.99,21.99,2
27,2016-12-27,21.99,22.0,21.79,22.0,1548
28,2016-12-28,22.0,22.49,21.5,22.01,10930
29,2016-12-29,22.01,22.49,21.99,22.41,5502
30,2016-12-30,22.48,22.5,21.9,22.5,6423
31,2017-01-02,22.5,22.5,22.03,22.47,371
32,2017-01-03,22.47,22.47,22.25,22.25,3
33,2017-01-04,22.44,22.5,20.67,22.5,2898
34,2017-01-05,22.5,22.5,21.89,21.89,24249
35,2017-01-09,21.89,21.99,21.89,21.99,601
36,2017-01-10,21.9,21.9,21.32,21.4,923
37,2017-01-11,21.9,21.9,21.77,21.8,114
38,2017-01-12,21.8,21.9,21.33,21.4,1348
39,2017-01-13,21.8,21.8,21.77,21.77,2
40,2017-01-16,21.7,21.7,21.6,21.6,2
41,2017-01-17,21.7,21.7,21.5,21.5,402
42,2017-01-18,21.1,21.25,21.1,21.25,788
43,2017-01-19,21.5,21.5,20.6,21.1,674
44,2017-01-20,21.2,21.5,19.3,20.5,3050
45,2017-01-23,20.5,21.0,20.5,20.99,781
46,2017-01-24,20.51,20.99,20.49,20.99,393
47,2017-01-25,20.99,22.0,20.41,22.0,11277
48,2017-01-26,21.2,21.8,21.2,21.8,202
49,2017-01-27,22.0,22.0,20.99,20.99,523
50,2017-01-30,21.84,21.84,20.43,21.6,804
51,2017-01-31,21.6,21.88,20.42,20.62,855
52,2017-02-01,20.5,21.4,20.5,21.39,161
53,2017-02-02,21.89,21.89,20.63,21.0,1635
54,2017-02-03,21.7,21.7,20.8,20.8,303
55,2017-02-06,21.65,21.65,21.1,21.3,102
56,2017-02-07,21.1,21.1,20.53,21.0,612
57,2017-02-08,21.7,21.7,20.53,20.89,747
58,2017-02-09,20.89,20.89,20.5,20.79,3039
59,2017-02-10,20.79,20.98,20.5,20.93,431
60,2017-02-13,20.93,20.93,20.5,20.89,197
61,2017-02-14,20.89,21.0,20.55,20.98,1388
62,2017-02-15,20.98,21.5,20.65,21.48,25764
63,2017-02-16,21.4,21.4,21.05,21.3,586
64,2017-02-17,21.29,21.29,20.63,20.7,3620
65,2017-02-20,20.52,21.29,20.52,21.0,67
66,2017-02-21,21.29,22.69,21.0,22.5,26158
67,2017-02-22,22.0,23.5,22.0,23.5,22022
68,2017-02-23,23.59,23.84,23.13,23.78,11639
69,2017-02-24,23.74,23.75,22.6,23.0,2007
70,2017-02-27,22.99,23.1,22.63,22.9,1042
71,2017-02-28,22.89,22.89,22.51,22.65,831
72,2017-03-01,22.64,22.7,22.31,22.55,3043
73,2017-03-02,22.85,22.85,22.55,22.55,21159
74,2017-03-03,22.65,22.8,22.65,22.67,6031
75,2017-03-06,22.7,22.7,21.99,22.7,7714
76,2017-03-07,22.5,22.5,21.62,22.0,4338
77,2017-03-08,22.0,22.0,21.67,22.0,1148
78,2017-03-09,21.67,22.0,21.67,22.0,2204
79,2017-03-10,22.0,22.0,21.4,21.98,1044
80,2017-03-13,21.98,21.98,20.87,20.87,7275
81,2017-03-14,20.87,20.87,19.95,19.95,31081
82,2017-03-15,19.95,20.2,19.41,19.81,5264
83,2017-03-16,21.19,21.19,19.9,20.7,359
84,2017-03-17,20.68,20.68,20.0,20.24,4637
85,2017-03-20,20.69,20.69,20.0,20.25,4130
86,2017-03-21,20.54,20.54,19.7,19.74,2380
87,2017-03-22,19.8,19.8,19.8,19.8,1089
88,2017-03-23,20.4,20.4,19.7,20.0,812
89,2017-03-24,20.25,20.25,19.73,20.19,248
90,2017-03-27,20.19,20.19,20.15,20.15,82
91,2017-03-28,20.15,20.3,19.75,20.0,11339
92,2017-03-29,20.3,20.43,20.0,20.0,281
93,2017-03-30,20.55,20.55,19.9,20.0,674
94,2017-03-31,20.5,20.5,19.72,20.4,390
95,2017-04-03,20.4,20.55,19.9,20.55,442
96,2017-04-04,20.55,20.55,20.49,20.5,2998
97,2017-04-05,20.5,20.5,20.45,20.5,172
98,2017-04-06,20.0,20.0,18.55,19.0,15729
99,2017-04-07,19.5,19.5,19.0,19.43,2283
100,2017-04-10,19.65,19.65,18.73,19.0,7619
101,2017-04-11,19.0,19.0,17.56,18.0,29423
102,2017-04-12,18.95,18.95,17.2,17.85,6483
