,Date,Open,High,Low,Close,Volume
0,2011-09-14,2.2393,2.3464,1.8214,1.8214,81101
1,2011-09-15,1.9125,2.0786,1.8375,1.9286,40249
2,2011-09-16,1.9821,1.9875,1.6875,1.9875,28859
3,2011-09-19,2.0089,2.0089,2.0036,2.0036,112
4,2011-09-20,2.0089,2.0089,1.9929,1.9929,19
5,2011-09-21,1.9821,1.9875,1.6661,1.9821,4051
6,2011-09-22,1.9821,1.9821,1.9821,1.9821,9
7,2011-09-23,1.9821,1.9821,1.6661,1.9821,2162
8,2011-09-26,1.9714,1.9714,1.6125,1.95,661
9,2011-09-27,1.9607,1.9607,1.6071,1.7196,3364
10,2011-09-28,1.7143,1.7143,1.1786,1.1893,4081
11,2011-09-29,1.2321,1.2321,1.2321,1.2321,749
12,2011-09-30,1.2,1.6286,1.2,1.6286,10823
13,2011-10-03,1.7679,1.7679,1.4143,1.7625,1338
14,2011-10-04,1.7679,1.7679,1.7679,1.7679,7
15,2011-10-05,1.7625,1.7679,1.4143,1.7679,597
16,2011-10-06,1.7679,1.7679,1.4143,1.4196,123
17,2011-10-07,1.4196,1.4304,1.4196,1.4304,13
18,2011-10-10,1.4304,1.7143,1.4304,1.7143,105
19,2011-10-11,1.7143,1.7143,1.7143,1.7143,13
20,2011-10-12,1.7143,1.7143,1.4411,1.7143,1131
21,2011-10-13,1.7143,1.7143,1.4411,1.7143,84
22,2011-10-14,1.7143,1.7143,1.3714,1.6071,1032
23,2011-10-17,1.6071,1.6071,1.6071,1.6071,17
24,2011-10-18,1.6071,1.6071,1.6071,1.6071,9
25,2011-10-19,1.6071,1.6071,1.6071,1.6071,9
26,2011-10-20,1.6071,1.6071,1.5804,1.5804,11
27,2011-10-21,1.5804,1.5804,1.5804,1.5804,7
28,2011-10-24,1.5804,1.5804,1.5804,1.5804,6
29,2011-10-25,1.5804,1.5804,1.0714,1.5214,3170
30,2011-10-26,1.5214,1.5214,1.5054,1.5054,9
31,2011-10-27,1.5321,1.5321,1.5161,1.5161,7
32,2011-10-28,1.5214,1.5214,1.5214,1.5214,7
33,2011-10-31,1.5214,1.5214,1.5107,1.5107,7
34,2011-11-02,1.5054,1.5054,1.5054,1.5054,7
35,2011-11-03,1.5054,1.5054,1.0714,1.3607,4689
36,2011-11-04,1.3607,1.3607,0.9536,1.2696,4851
37,2011-11-07,1.2696,1.2696,1.1786,1.1786,7
38,2011-11-08,1.2589,1.2589,1.2589,1.2589,7
39,2011-11-09,1.2589,1.2589,1.0607,1.2482,595
40,2011-11-10,1.2321,1.2321,1.1786,1.1786,401
41,2011-11-14,1.2643,1.2643,1.2054,1.2054,7
42,2011-11-15,1.1786,1.2643,1.1786,1.2321,2061
43,2011-11-16,1.2321,1.2643,1.2321,1.2643,7
44,2011-11-17,1.2321,1.2321,1.2054,1.2054,7
45,2011-11-18,1.2054,1.2054,1.2054,1.2054,7
46,2011-11-21,1.2054,1.2054,1.0661,1.0661,7
47,2011-11-22,1.0661,1.0661,0.9107,1.0661,7414
48,2011-11-23,1.0661,1.0661,1.0661,1.0661,7
49,2011-11-24,1.0661,1.0661,1.0661,1.0661,7
50,2011-11-25,1.0661,1.0661,1.0661,1.0661,7
51,2011-11-28,1.0661,1.5,1.0607,1.5,36799
52,2011-11-29,1.5,1.5,1.2,1.2321,3741
53,2011-11-30,1.2321,1.2321,1.2321,1.2321,7
54,2011-12-01,1.2321,1.2321,1.2321,1.2321,7
55,2011-12-02,1.2321,1.2804,1.2321,1.2804,526
56,2011-12-05,1.2804,1.2804,1.2804,1.2804,7
57,2011-12-06,1.2804,1.2804,1.2804,1.2804,7
58,2011-12-07,1.2804,1.2804,1.2804,1.2804,7
59,2011-12-08,1.2804,1.2804,1.2054,1.2054,381
60,2011-12-09,1.2054,1.2054,1.2054,1.2054,7
61,2011-12-12,1.2054,1.2054,1.2054,1.2054,7
62,2011-12-13,1.2054,1.2054,1.2054,1.2054,7
63,2011-12-14,1.2054,1.2054,1.2054,1.2054,7
64,2011-12-15,1.2054,1.2054,1.2054,1.2054,7
65,2011-12-16,1.2054,1.2804,1.2054,1.2804,125
66,2011-12-19,1.2804,1.2804,1.2804,1.2804,7
67,2011-12-20,1.2804,1.2804,1.2804,1.2804,6
68,2011-12-21,1.2804,1.2804,1.2804,1.2804,7
69,2011-12-22,1.2804,1.2804,1.2804,1.2804,7
70,2011-12-23,1.2804,1.2804,1.2804,1.2804,7
71,2011-12-27,1.2804,1.2804,1.2804,1.2804,7
72,2011-12-28,1.2804,1.2804,1.2804,1.2804,7
73,2011-12-29,1.2804,1.2804,1.2804,1.2804,7
74,2011-12-30,1.28,1.28,1.28,1.28,6
75,2012-01-02,1.2857,1.2857,1.2857,1.2857,4
76,2012-01-03,1.2804,1.2804,1.275,1.275,7
77,2012-01-04,1.275,1.275,1.275,1.275,377
78,2012-01-05,0.8839,1.2268,0.8196,1.2268,1497
79,2012-01-09,1.1786,1.1786,1.1732,1.1732,7
80,2012-01-10,1.1732,1.1732,1.1679,1.1679,7
81,2012-01-11,1.1571,1.2214,0.9375,1.2214,1111
82,2012-01-12,1.2214,1.2214,1.2214,1.2214,7
83,2012-01-13,1.2214,1.2214,0.9107,0.9107,190
84,2012-01-16,0.9161,0.9161,0.9161,0.9161,4
85,2012-01-17,1.0982,1.0982,1.0982,1.0982,2
86,2012-01-18,1.2161,1.2161,1.2107,1.2107,7
87,2012-01-19,1.2107,1.2107,1.2107,1.2107,7
88,2012-01-20,1.2107,1.2107,1.2107,1.2107,7
89,2012-01-23,1.2107,1.2107,1.2107,1.2107,7
90,2012-01-24,1.2107,1.2107,1.2107,1.2107,7
91,2012-01-25,1.2107,1.2107,1.2107,1.2107,7
92,2012-01-26,1.2107,1.2107,1.2054,1.2054,7
93,2012-01-27,1.2054,1.2054,1.2054,1.2054,7
94,2012-01-30,1.2054,1.2054,1.2054,1.2054,7
95,2012-01-31,1.21,1.21,1.21,1.21,7
96,2012-02-01,1.2054,1.2054,1.2054,1.2054,7
97,2012-02-02,1.2054,1.2054,1.1946,1.1946,7
98,2012-02-03,1.1946,1.1946,1.1946,1.1946,7
99,2012-02-06,1.1946,1.1946,1.1946,1.1946,7
100,2012-02-07,1.1946,1.1946,1.1946,1.1946,6
101,2012-02-08,1.1946,1.1946,1.1946,1.1946,7
102,2012-02-09,1.1946,1.1946,1.1946,1.1946,7
103,2012-02-10,1.1946,1.1946,1.1946,1.1946,7
104,2012-02-13,1.1946,1.1946,1.0179,1.1946,511
105,2012-02-14,1.1946,1.1946,1.1946,1.1946,7
106,2012-02-15,1.1946,1.1946,1.1946,1.1946,7
107,2012-02-16,1.1946,1.1946,1.1946,1.1946,7
108,2012-02-17,1.1946,1.1946,1.1946,1.1946,7
109,2012-02-20,1.1946,1.1946,1.1946,1.1946,7
110,2012-02-21,1.1946,1.1946,1.1946,1.1946,7
111,2012-02-22,1.1946,1.1946,1.1946,1.1946,7
112,2012-02-23,1.1946,1.1946,1.1946,1.1946,7
113,2012-02-24,1.1946,1.1946,1.1946,1.1946,7
114,2012-02-27,1.1946,1.1946,1.1946,1.1946,7
115,2012-02-28,1.1946,1.2696,1.0714,1.2696,18894
116,2012-02-29,1.2643,1.2643,1.0714,1.2589,3087
117,2012-03-01,1.2589,1.2589,1.2589,1.2589,7
118,2012-03-02,1.2589,1.2589,1.2589,1.2589,7
119,2012-03-05,1.2589,1.2589,1.2589,1.2589,7
120,2012-03-06,1.2589,1.2589,1.2589,1.2589,7
121,2012-03-07,1.2589,1.2589,1.2589,1.2589,7
122,2012-03-08,1.2589,1.2589,1.2589,1.2589,7
123,2012-03-09,1.2589,1.2589,1.2589,1.2589,6
124,2012-03-12,1.2589,1.2589,1.0714,1.2589,571
125,2012-03-13,1.2589,1.2589,1.2589,1.2589,7
126,2012-03-14,1.2589,1.2589,1.2589,1.2589,7
127,2012-03-15,1.2589,1.2589,1.2589,1.2589,11
128,2012-03-16,1.2589,1.2589,1.2589,1.2589,7
129,2012-03-19,1.2589,1.2589,1.0446,1.2482,3771
130,2012-03-20,1.2482,1.2482,1.2429,1.2429,7
131,2012-03-21,1.2429,1.2429,1.2429,1.2429,7
132,2012-03-22,1.2375,1.2375,1.2375,1.2375,7
133,2012-03-23,1.2375,1.2375,1.2375,1.2375,7
134,2012-03-26,1.2375,1.2375,1.0286,1.0554,5008
135,2012-03-27,1.2214,1.2214,1.2214,1.2214,7
136,2012-03-28,1.2214,1.2214,1.2214,1.2214,7
137,2012-03-29,1.2214,1.2214,1.2214,1.2214,7
138,2012-03-30,1.22,1.22,1.02,1.22,2527
139,2012-04-02,1.2214,1.2214,1.0661,1.0661,7
