,Date,Open,High,Low,Close,Volume
0,2013-03-18,2.1078,2.1078,1.7911,1.9791,1529
1,2013-03-19,1.6823,1.6823,1.5635,1.5635,1221
2,2013-03-20,1.237,1.237,1.237,1.237,218
3,2013-03-21,1.5635,1.5635,1.5635,1.5635,77
4,2013-03-26,1.0786,1.0786,1.0786,1.0786,446
5,2013-03-27,1.0786,1.0786,1.0786,1.0786,202
6,2013-03-28,0.9896,0.9896,0.9797,0.9797,233
7,2013-04-08,0.9797,0.9797,0.9797,0.9797,1498
8,2013-06-06,0.8906,1.0588,0.8906,1.0588,3032
9,2013-06-11,1.138,1.138,1.138,1.138,506
10,2013-06-19,1.1578,1.1578,1.1578,1.1578,102
11,2013-07-10,1.2864,1.2864,1.2864,1.2864,10
12,2013-08-19,1.2864,1.2864,1.2864,1.2864,1
13,2013-09-02,1.1875,1.1875,1.1875,1.1875,615
14,2013-09-17,1.2864,1.2864,1.2864,1.2864,1171
15,2013-09-18,1.5833,1.5833,1.5833,1.5833,960
16,2013-09-19,2.1078,2.1078,2.1078,2.1078,1012
17,2013-09-20,2.1078,2.1078,2.1078,2.1078,303
18,2013-09-25,1.9791,1.9791,1.9791,1.9791,303
19,2013-10-14,2.0484,2.0484,2.0484,2.0484,1465
20,2014-01-07,1.989,1.989,1.989,1.989,1
21,2014-01-08,2.0682,2.0682,2.0682,2.0682,1
22,2014-09-30,2.0781,2.0781,2.0781,2.0781,808
23,2014-10-01,2.4739,2.4739,2.4739,2.4739,808
24,2014-10-10,2.1276,2.1276,2.1276,2.1276,25
25,2014-10-13,2.1276,2.1276,2.1276,2.1276,783
26,2014-10-16,1.9791,1.9791,1.9791,1.9791,1
27,2014-10-27,1.9791,1.9791,1.9791,1.9791,807
28,2014-12-23,2.1276,2.1276,2.1276,2.1276,35
29,2015-01-07,1.9989,1.9989,1.9989,1.9989,35
30,2015-01-28,2.1474,2.1474,2.1474,2.1474,10
31,2015-02-04,1.9989,1.9989,1.9989,1.9989,10
32,2015-03-30,2.1474,2.1474,2.1474,2.1474,10
33,2015-04-27,2.177,2.177,2.177,2.177,10
34,2015-04-30,2.0286,2.0286,2.0286,2.0286,8
35,2015-05-07,2.0286,2.0286,2.0286,2.0286,2
36,2015-08-26,2.0286,2.0286,2.0286,2.0286,101
37,2015-10-05,2.0781,2.0781,2.0781,2.0781,475
38,2015-10-06,2.1375,2.1375,2.1375,2.1375,248
39,2015-10-07,2.1671,2.1869,2.1671,2.1869,1364
40,2015-10-08,2.2067,2.2166,2.2067,2.2166,1377
41,2015-10-09,2.2364,2.2562,2.2364,2.2562,2807
42,2015-10-12,2.2562,2.2562,2.2364,2.2364,638
43,2015-10-13,2.2364,2.2364,2.2364,2.2364,1011
44,2015-10-14,2.2364,2.2364,2.2166,2.2166,617
45,2015-10-15,2.2463,2.276,2.2463,2.276,1425
46,2015-10-16,2.2562,2.276,2.2562,2.276,1517
47,2015-10-19,2.2364,2.2562,2.2364,2.2562,1465
48,2015-10-21,2.2364,2.2364,2.2364,2.2364,404
49,2015-10-22,2.2364,2.2562,2.2166,2.2364,2073
50,2015-10-23,2.2562,2.2562,2.2562,2.2562,2319
51,2015-10-26,2.2364,2.2364,2.2364,2.2364,992
52,2015-10-28,2.2463,2.2463,2.2463,2.2463,1011
53,2015-10-29,2.2364,2.2364,2.2364,2.2364,1011
54,2015-10-30,2.2364,2.2562,2.2364,2.2562,1599
55,2015-11-03,2.2958,2.2958,2.276,2.276,2325
56,2015-11-04,2.276,2.276,2.276,2.276,1926
57,2015-11-05,2.276,2.2958,2.276,2.2958,2022
58,2015-11-06,2.3057,2.4739,2.3057,2.375,1023
59,2015-11-09,2.3255,2.3255,2.3057,2.3255,1698
60,2015-11-10,2.3057,2.375,2.3057,2.3552,1807
61,2015-11-12,2.3552,2.3552,2.3453,2.3453,1497
62,2015-11-13,2.3156,2.3255,2.3156,2.3255,2502
63,2015-11-17,2.3354,2.3453,2.3354,2.3453,1817
64,2015-11-18,2.3453,2.3453,2.3453,2.3453,1496
65,2015-11-19,2.3156,2.3552,2.3156,2.3552,2702
66,2015-11-20,2.3057,2.3651,2.3057,2.3651,810
67,2015-11-23,2.3651,2.3651,2.3156,2.3156,2293
68,2015-11-24,2.3057,2.4244,2.3057,2.4244,2530
