,Date,Open,High,Low,Close,Volume
0,2006-08-17,18.255,18.351,18.015,18.207,371178
1,2006-08-18,18.207,18.303,18.111,18.255,72056
2,2006-08-21,18.303,18.303,17.249,17.728,6594
3,2006-08-22,17.249,17.344,16.961,16.961,4374
4,2006-08-23,17.249,17.728,17.153,17.632,5703
5,2006-08-24,17.824,17.824,17.249,17.44,3247
6,2006-08-25,17.153,17.44,17.153,17.249,5627
7,2006-08-28,16.865,17.44,16.865,17.057,1476
8,2006-08-29,17.249,17.44,17.153,17.44,2087
9,2006-08-30,17.153,17.344,16.961,17.344,5622
10,2006-08-31,17.344,17.632,17.249,17.249,7548
11,2006-09-01,17.201,17.392,17.153,17.392,6310
12,2006-09-04,17.344,18.015,17.249,17.258,4673
13,2006-09-05,17.392,17.728,17.258,17.44,3528
14,2006-09-06,17.44,17.728,16.971,17.249,7329
15,2006-09-07,17.622,17.632,17.392,17.536,2505
16,2006-09-08,17.536,17.536,17.344,17.44,6284
17,2006-09-11,17.459,17.526,16.865,17.526,2879
18,2006-09-12,17.526,17.632,17.296,17.344,10558
19,2006-09-13,17.153,17.728,17.153,17.536,24710
20,2006-09-14,17.584,17.584,17.45,17.45,2202
21,2006-09-15,17.296,17.431,17.201,17.296,4748
22,2006-09-18,17.296,17.296,17.153,17.153,2558
23,2006-09-19,17.162,17.162,16.875,17.009,4308
24,2006-09-20,16.865,17.536,16.865,17.249,27405
25,2006-09-21,17.249,17.536,17.249,17.344,6366
26,2006-09-22,17.536,17.536,17.335,17.344,4408
27,2006-09-25,17.44,17.526,17.124,17.44,19150
28,2006-09-26,17.421,17.919,17.421,17.91,43018
29,2006-09-27,18.015,18.303,17.766,18.015,36443
30,2006-09-28,18.159,18.59,18.034,18.303,56694
31,2006-09-29,18.398,18.408,18.207,18.207,2191
32,2006-10-02,18.111,18.398,18.111,18.207,33469
33,2006-10-03,18.207,18.207,17.824,18.207,64920
34,2006-10-04,18.207,18.207,17.843,17.843,11729
35,2006-10-05,18.149,18.149,17.728,17.977,681
36,2006-10-06,18.197,18.379,18.188,18.379,77325
37,2006-10-09,18.398,18.398,17.929,18.207,31529
38,2006-10-10,18.207,18.312,18.025,18.025,2013
39,2006-10-11,18.207,18.207,17.249,17.249,22820
40,2006-10-12,17.44,18.197,17.258,17.488,2913
41,2006-10-13,17.306,18.101,17.296,17.919,3300
42,2006-10-16,17.919,18.111,17.603,18.006,48129
43,2006-10-17,18.178,18.236,18.006,18.207,88950
44,2006-10-18,18.255,18.542,18.207,18.437,140989
45,2006-10-19,18.59,20.411,18.581,19.989,102074
46,2006-10-20,19.96,20.602,19.96,20.411,110502
47,2006-10-23,20.487,20.487,20.037,20.123,26936
48,2006-10-24,20.229,20.363,20.123,20.305,116645
49,2006-10-25,20.372,20.372,19.644,19.98,11972
50,2006-10-26,20.123,20.123,19.913,20.104,31106
51,2006-10-27,20.018,20.028,19.913,20.028,794
52,2006-10-30,19.213,19.663,19.156,19.165,5597
53,2006-10-31,19.156,19.165,18.312,19.165,19025
54,2006-11-02,18.331,19.117,18.331,19.069,4202
55,2006-11-03,18.446,18.878,18.226,18.676,6823
56,2006-11-06,18.638,18.638,18.111,18.111,3439
57,2006-11-07,18.197,18.676,17.833,18.542,19691
58,2006-11-08,18.494,18.494,17.114,17.507,29257
59,2006-11-09,17.536,18.207,17.536,17.776,12314
60,2006-11-10,17.354,18.159,17.296,18.14,12361
61,2006-11-13,18.111,18.255,17.833,17.929,44942
62,2006-11-14,17.824,18.082,17.296,17.296,111214
63,2006-11-15,17.354,17.373,16.674,16.75,13689
64,2006-11-16,17.057,17.728,16.482,16.769,9096
65,2006-11-17,17.057,17.057,16.578,16.769,5928
66,2006-11-20,17.057,17.134,16.769,16.769,3538
67,2006-11-21,17.134,17.488,16.683,16.683,2342
68,2006-11-22,16.616,16.865,16.616,16.769,16803
69,2006-11-23,17.249,17.249,16.865,16.913,35104
70,2006-11-24,17.191,17.191,16.779,17.134,1039
71,2006-11-27,17.153,17.153,16.76,17.057,2846
72,2006-11-28,16.846,16.846,16.578,16.578,1830
73,2006-11-29,16.549,16.578,15.332,16.482,7381
74,2006-11-30,16.29,17.124,16.29,17.009,35697
75,2006-12-01,17.124,17.124,16.769,17.124,17765
76,2006-12-04,17.239,17.536,17.162,17.249,35466
77,2006-12-05,17.344,18.83,17.249,18.207,84113
78,2006-12-06,18.571,18.926,18.571,18.906,102638
79,2006-12-07,18.705,19.117,17.306,17.632,94615
80,2006-12-08,18.207,18.207,17.632,17.632,9310
81,2006-12-11,18.159,18.188,17.488,17.488,11960
82,2006-12-12,17.498,18.111,16.961,18.006,6392
83,2006-12-13,18.111,18.111,17.153,17.948,8016
84,2006-12-14,17.929,17.967,17.249,17.728,8183
85,2006-12-15,17.919,17.919,16.961,17.431,27968
86,2006-12-18,17.699,17.699,17.162,17.421,2056
87,2006-12-19,17.44,17.574,16.779,17.181,4218
88,2006-12-20,17.143,17.153,15.907,16.654,9241
89,2006-12-21,16.578,16.578,15.917,16.281,23941
90,2006-12-22,16.482,16.482,15.917,16.29,9979
91,2006-12-27,16.769,16.769,16.194,16.29,7179
92,2006-12-28,16.424,16.424,16.194,16.29,8812
93,2006-12-29,16.482,16.482,16.147,16.377,13164
94,2007-01-02,16.434,16.664,16.29,16.434,59184
95,2007-01-03,16.722,16.722,16.357,16.357,16311
96,2007-01-04,16.386,16.386,16.194,16.242,31783
97,2007-01-05,16.29,16.29,15.811,15.955,4578
98,2007-01-08,15.955,15.955,15.811,15.907,3931
99,2007-01-09,15.955,15.955,15.802,15.907,4481
100,2007-01-10,15.955,15.955,15.811,15.955,3073
101,2007-01-11,15.907,16.242,15.811,15.907,3550
102,2007-01-12,15.811,15.955,15.38,15.677,4998
103,2007-01-15,15.706,16.032,15.677,15.802,19170
104,2007-01-16,15.802,16.194,15.62,15.715,15936
105,2007-01-17,15.811,16.463,15.811,16.434,8280
106,2007-01-18,16.434,17.028,16.194,16.194,21129
107,2007-01-19,16.434,16.434,15.639,16.099,4964
108,2007-01-22,16.08,16.08,15.62,15.811,39145
109,2007-01-23,15.811,15.859,14.853,15.715,57206
110,2007-01-24,16.29,16.29,15.524,15.524,5923
111,2007-01-25,15.524,15.524,15.006,15.236,9831
112,2007-01-26,14.853,15.236,14.853,15.14,44723
113,2007-01-29,15.236,15.428,14.901,15.284,5377
114,2007-01-30,15.62,15.62,15.14,15.322,11338
115,2007-01-31,15.514,15.514,15.045,15.236,12079
116,2007-02-01,15.332,15.332,14.997,14.997,13383
117,2007-02-02,15.006,15.045,14.565,14.757,6656
118,2007-02-05,14.757,14.757,14.086,14.374,15768
119,2007-02-06,14.182,14.585,14.182,14.23,6106
120,2007-02-07,14.47,14.489,14.278,14.47,7860
121,2007-02-08,14.565,14.585,14.182,14.182,13874
122,2007-02-09,14.173,14.585,14.163,14.278,15325
123,2007-02-12,14.364,14.374,14.182,14.23,3295
124,2007-02-13,14.038,14.268,13.837,13.837,9779
125,2007-02-14,13.895,14.086,13.751,14.086,8859
126,2007-02-15,14.182,14.403,14.125,14.403,2746
127,2007-02-16,14.422,14.949,14.23,14.901,25633
128,2007-02-19,14.997,15.505,14.91,15.505,15958
129,2007-02-20,15.572,15.658,15.428,15.524,74868
130,2007-02-21,15.658,15.658,14.661,14.901,11833
131,2007-02-22,14.901,15.265,14.901,15.093,2736
132,2007-02-23,15.284,15.284,14.997,15.188,1406
133,2007-02-26,15.294,15.543,14.853,15.543,7864
134,2007-02-27,15.735,15.735,14.374,14.652,5496
135,2007-02-28,14.278,14.853,13.665,14.652,20723
136,2007-03-01,14.757,14.757,13.943,14.364,7128
137,2007-03-02,14.182,14.355,12.946,13.895,14944
138,2007-03-05,13.655,13.655,12.457,12.783,12676
139,2007-03-06,13.358,13.416,13.032,13.08,18452
140,2007-03-07,13.042,13.416,12.908,13.32,4955
141,2007-03-08,13.406,13.492,12.936,13.32,11862
142,2007-03-09,13.55,13.991,13.416,13.416,4724
143,2007-03-12,13.789,13.895,13.32,13.32,2376
144,2007-03-13,13.416,13.416,13.224,13.224,3525
145,2007-03-14,12.448,13.224,12.448,12.754,3081
146,2007-03-15,13.128,13.147,12.697,12.745,7984
147,2007-03-16,12.745,13.032,12.697,12.745,7337
148,2007-03-19,13.099,13.099,12.457,12.639,22448
149,2007-03-20,12.476,12.553,12.429,12.486,9081
150,2007-03-21,12.553,12.735,12.457,12.706,14824
151,2007-03-22,12.936,13.195,12.793,12.841,10765
152,2007-03-23,13.166,13.166,12.793,12.802,7913
153,2007-03-26,12.745,12.965,12.745,12.793,5803
154,2007-03-27,12.754,12.936,12.745,12.745,9237
155,2007-03-28,12.678,12.745,12.524,12.745,6182
156,2007-03-29,12.936,13.119,12.735,12.984,46306
157,2007-03-30,13.023,13.09,12.553,12.563,9918
158,2007-04-02,12.649,12.649,11.978,12.457,13921
159,2007-04-03,12.505,12.697,12.275,12.659,12604
160,2007-04-04,12.936,13.607,12.841,13.301,38805
161,2007-04-05,13.291,13.291,12.946,13.042,14597
162,2007-04-10,12.936,13.301,12.936,13.176,15129
163,2007-04-11,13.176,13.272,12.936,13.119,25456
164,2007-04-12,13.032,13.119,12.898,12.898,14387
165,2007-04-13,12.898,13.128,12.898,13.004,6135
166,2007-04-16,13.032,13.416,12.994,13.071,5578
