,Date,Open,High,Low,Close,Volume
0,2004-01-09,1.1422,1.2119,1.1367,1.185,10908291
1,2004-01-12,1.1798,1.1798,1.1098,1.1422,860400
2,2004-01-13,1.1367,1.1635,1.1153,1.1581,1370839
3,2004-01-14,1.1367,1.1422,1.1261,1.1261,125386
4,2004-01-15,1.1153,1.1313,1.1153,1.1313,179785
5,2004-01-16,1.1313,1.1313,1.0938,1.0993,261964
6,2004-01-19,1.0993,1.0993,1.0561,1.0561,452439
7,2004-01-20,1.0617,1.0831,1.0617,1.0617,228326
8,2004-01-21,1.0617,1.0886,1.0617,1.0831,426732
9,2004-01-22,1.0723,1.0938,1.0723,1.0938,81521
10,2004-01-23,1.0993,1.1529,1.0938,1.1153,280392
11,2004-01-26,1.1367,1.1367,1.1261,1.1313,82826
12,2004-01-27,1.1474,1.1529,1.1045,1.1045,547332
13,2004-01-28,1.1098,1.1098,1.0831,1.0886,60836
14,2004-01-29,1.0723,1.0831,1.0723,1.0776,215342
15,2004-01-30,1.0723,1.0886,1.0723,1.0886,222006
16,2004-02-02,1.0938,1.0993,1.0886,1.0993,120600
17,2004-02-03,1.0993,1.1098,1.0886,1.0886,78114
18,2004-02-04,1.0886,1.1045,1.0831,1.1045,97577
19,2004-02-05,1.1153,1.1153,1.0723,1.0831,141899
20,2004-02-06,1.0723,1.0886,1.0723,1.0723,59724
21,2004-02-09,1.1098,1.1098,1.0886,1.1045,144543
22,2004-02-10,1.1045,1.1153,1.1045,1.1153,163775
23,2004-02-11,1.0993,1.1153,1.0993,1.1098,122283
24,2004-02-12,1.1153,1.1153,1.1045,1.1098,17276
25,2004-02-13,1.1098,1.1261,1.0993,1.1045,112781
26,2004-02-16,1.0886,1.1045,1.0886,1.1045,9196
27,2004-02-17,1.1098,1.1367,1.1098,1.1367,118990
28,2004-02-18,1.1367,1.1529,1.1367,1.1529,202083
29,2004-02-19,1.1367,1.1474,1.1261,1.1367,143969
30,2004-02-20,1.1153,1.1635,1.1153,1.1635,133701
