,Date,Open,High,Low,Close,Volume
0,2006-02-24,17.937,18.012,17.88,18.012,6691216
1,2006-02-27,17.88,17.984,17.88,17.899,130707
2,2006-02-28,18.003,18.088,18.003,18.022,19839
3,2006-03-01,18.097,18.097,18.097,18.097,5228928
4,2006-03-02,17.956,17.956,17.956,17.956,753689
5,2006-03-03,18.21,18.785,18.192,18.258,613327
6,2006-03-06,18.569,18.569,18.38,18.465,49121
7,2006-03-07,18.559,18.559,18.399,18.446,262476
8,2006-03-08,18.455,18.455,18.455,18.455,69385
9,2006-03-10,18.389,18.54,18.389,18.54,18248
10,2006-03-13,18.427,18.427,18.38,18.38,231390
11,2006-03-14,18.569,18.569,18.54,18.54,7427
12,2006-03-15,18.286,18.418,18.286,18.418,4040468
13,2006-03-16,18.361,18.361,18.305,18.333,890550
14,2006-03-17,18.012,18.097,18.012,18.097,403156
15,2006-03-20,18.389,18.389,18.333,18.333,34268
16,2006-03-21,18.314,18.314,18.314,18.314,356262
17,2006-03-22,18.512,18.587,18.512,18.587,95484
18,2006-03-23,18.559,18.823,18.559,18.823,68961
19,2006-03-24,18.54,18.804,18.54,18.729,56760
20,2006-03-27,18.54,18.587,18.484,18.587,124660
21,2006-03-28,18.672,18.785,18.672,18.785,48379
22,2006-03-29,18.701,18.701,18.672,18.672,49864
23,2006-03-30,18.371,18.437,18.286,18.437,18991
24,2006-03-31,18.484,18.578,18.399,18.399,2546
25,2006-04-03,18.493,18.493,18.333,18.333,193090
26,2006-04-04,18.399,18.399,18.126,18.258,79676
27,2006-04-05,18.427,18.437,18.361,18.361,7745
28,2006-04-06,18.54,18.54,18.352,18.352,111717
29,2006-04-07,18.521,18.521,18.465,18.465,275843
30,2006-04-10,18.484,18.484,18.455,18.455,25462
31,2006-04-11,18.342,18.437,18.116,18.295,65141
32,2006-04-12,18.399,18.399,18.144,18.229,30873
33,2006-04-13,18.437,18.437,18.163,18.248,102168
34,2006-04-18,18.116,18.116,17.843,17.928,17081
35,2006-04-19,17.739,17.739,17.626,17.626,432013
36,2006-04-20,17.852,17.852,17.617,17.617,106
37,2006-04-21,17.607,17.607,17.607,17.607,19097
38,2006-04-24,17.437,17.437,17.437,17.437,158186
39,2006-04-25,17.372,17.372,17.372,17.372,51349
40,2006-04-26,17.466,17.466,17.466,17.466,10609
41,2006-04-28,17.381,17.381,17.315,17.315,165294
42,2006-05-02,17.381,17.381,17.013,17.117,172402
43,2006-05-03,17.108,17.117,16.91,17.117,301200
44,2006-05-04,16.947,16.947,16.947,16.947,63868
