,Date,Open,High,Low,Close,Volume
0,2011-07-08,1.15,1.22,1.15,1.2,46042
1,2011-07-11,1.22,1.22,1.18,1.19,36967
2,2011-07-12,1.19,1.19,1.12,1.17,20329
3,2011-07-13,1.17,1.17,1.15,1.15,32170
4,2011-07-14,1.17,1.17,1.13,1.17,17289
5,2011-07-15,1.17,1.17,1.13,1.16,600
6,2011-07-18,1.17,1.17,1.14,1.15,2636
7,2011-07-19,1.14,1.14,1.08,1.14,3723
8,2011-07-20,1.16,1.17,1.13,1.17,24861
9,2011-07-21,1.14,1.16,1.14,1.16,28610
10,2011-07-22,1.16,1.16,1.05,1.06,18751
11,2011-07-25,1.14,1.14,1.1,1.14,347
12,2011-07-26,1.14,1.14,1.12,1.14,1000053
13,2011-07-27,1.14,1.15,1.14,1.15,1255
14,2011-07-28,1.1,1.14,1.1,1.14,1460
15,2011-07-29,1.15,1.15,1.14,1.15,552
16,2011-08-01,1.15,1.15,1.14,1.14,1265
17,2011-08-02,1.14,1.14,1.1,1.14,2044
18,2011-08-03,1.14,1.14,1.07,1.13,2583
19,2011-08-04,1.14,1.14,1.14,1.14,43
20,2011-08-05,1.14,1.14,1.04,1.1,4682
21,2011-08-08,1.14,1.14,1.0,1.0,9100
22,2011-08-09,1.0,1.05,0.9,0.9,14839
23,2011-08-10,0.9,0.91,0.9,0.9,14425
24,2011-08-11,0.94,0.94,0.94,0.94,1000
25,2011-08-12,1.0,1.0,0.95,0.98,2758
26,2011-08-16,0.95,0.98,0.95,0.98,2128
27,2011-08-17,1.0,1.0,1.0,1.0,400
28,2011-08-18,1.0,1.07,0.98,1.05,2492
29,2011-08-19,0.99,0.99,0.99,0.99,7626
30,2011-08-22,1.1,1.1,1.1,1.1,50
31,2011-08-23,1.09,1.09,1.02,1.02,4165
32,2011-08-24,1.06,1.06,1.03,1.03,5847
33,2011-08-25,1.05,1.05,0.96,1.04,5900
34,2011-08-26,1.04,1.04,1.04,1.04,50
35,2011-08-29,1.04,1.04,0.95,1.02,750
36,2011-08-30,1.02,1.02,0.93,0.98,9683
37,2011-08-31,1.03,1.03,1.0,1.0,107
38,2011-09-01,1.0,1.17,0.98,1.14,18189
39,2011-09-02,1.08,1.17,1.08,1.14,18896
40,2011-09-05,1.15,1.15,1.0,1.0,72379
41,2011-09-06,1.0,1.1,0.94,1.08,18350
42,2011-09-07,1.1,1.17,1.01,1.04,46121
43,2011-09-08,1.06,1.1,0.98,1.05,17282
44,2011-09-09,1.14,1.14,1.03,1.1,17532
45,2011-09-12,1.11,1.11,0.94,0.98,63588
46,2011-09-13,0.99,1.04,0.92,0.92,30340
47,2011-09-14,0.92,0.97,0.92,0.97,1065
48,2011-09-15,0.9,1.0,0.9,0.96,8093
49,2011-09-16,0.97,0.97,0.9,0.92,16221
50,2011-09-19,0.96,0.96,0.91,0.91,850
51,2011-09-20,0.96,0.96,0.9,0.91,12050
52,2011-09-21,0.83,0.93,0.75,0.8,64004
53,2011-09-22,0.85,0.85,0.8,0.8,11729
54,2011-09-23,0.87,0.87,0.76,0.77,7923
55,2011-09-26,0.89,0.89,0.86,0.86,1358
56,2011-09-27,0.84,0.9,0.78,0.86,45228
57,2011-09-28,0.85,0.85,0.78,0.81,11571
58,2011-09-29,0.85,0.85,0.82,0.85,11809
59,2011-09-30,0.86,0.86,0.81,0.81,9340
60,2011-10-03,0.81,0.81,0.79,0.79,12526
61,2011-10-04,0.79,0.79,0.64,0.65,41384
62,2011-10-05,0.74,0.74,0.65,0.71,34743
63,2011-10-06,0.71,0.71,0.62,0.69,21549
64,2011-10-07,0.69,0.69,0.65,0.69,30131
65,2011-10-10,0.7,0.7,0.67,0.67,23270
66,2011-10-11,0.7,0.7,0.62,0.68,56136
67,2011-10-12,0.67,0.67,0.62,0.66,40940
68,2011-10-13,0.66,0.66,0.65,0.65,17088
69,2011-10-14,0.66,0.67,0.65,0.65,16648
70,2011-10-17,0.68,0.7,0.66,0.7,12805
71,2011-10-18,0.7,0.7,0.7,0.7,10000
72,2011-10-19,0.69,0.71,0.69,0.71,1040
73,2011-10-20,0.7,0.71,0.7,0.7,14677
74,2011-10-21,0.74,0.8,0.74,0.79,7160
75,2011-10-24,0.76,0.94,0.76,0.89,1384
76,2011-10-25,0.82,0.86,0.8,0.8,13945
77,2011-10-26,0.81,0.83,0.81,0.83,13632
78,2011-10-27,0.84,0.92,0.77,0.92,18237
79,2011-10-28,0.9,0.9,0.83,0.84,21418
80,2011-10-31,0.83,0.83,0.83,0.83,13096
81,2011-11-02,0.75,0.78,0.75,0.78,7820
82,2011-11-03,0.79,0.79,0.78,0.78,2805
83,2011-11-04,0.79,0.8,0.79,0.8,20505
84,2011-11-07,0.78,0.88,0.78,0.88,9390
85,2011-11-08,0.88,0.9,0.85,0.88,38884
86,2011-11-09,0.92,0.92,0.84,0.84,18122
87,2011-11-10,0.92,0.92,0.83,0.83,9116
88,2011-11-14,0.76,0.81,0.76,0.81,4090
89,2011-11-15,0.77,0.77,0.77,0.77,7020
90,2011-11-16,0.78,0.78,0.78,0.78,20
91,2011-11-17,0.76,0.79,0.76,0.79,120
92,2011-11-18,0.77,0.8,0.76,0.77,9849
93,2011-11-21,0.77,0.8,0.76,0.79,14989
94,2011-11-22,0.75,0.75,0.75,0.75,40
95,2011-11-23,0.77,0.77,0.73,0.73,8260
96,2011-11-24,0.78,0.78,0.78,0.78,20
97,2011-11-25,0.78,0.78,0.7,0.74,13432
98,2011-11-28,0.76,0.76,0.76,0.76,20
99,2011-11-29,0.76,0.76,0.72,0.72,10536
100,2011-11-30,0.68,0.72,0.68,0.72,3125
101,2011-12-01,0.76,0.76,0.68,0.68,76
102,2011-12-02,0.74,0.74,0.74,0.74,75
103,2011-12-05,0.74,0.74,0.73,0.73,18618
104,2011-12-06,0.68,0.73,0.68,0.7,8784
105,2011-12-07,0.72,0.72,0.72,0.72,5500
106,2011-12-08,0.7,0.7,0.7,0.7,3392
107,2011-12-09,0.7,0.75,0.7,0.75,11795
108,2011-12-12,0.74,0.74,0.71,0.71,10663
109,2011-12-13,0.74,0.74,0.68,0.69,11470
110,2011-12-14,0.71,0.71,0.67,0.67,11683
111,2011-12-15,0.67,0.69,0.67,0.69,11001
112,2011-12-16,0.67,0.67,0.67,0.67,24000
113,2011-12-19,0.67,0.67,0.64,0.67,2180
114,2011-12-21,0.68,0.68,0.68,0.68,5
115,2011-12-22,0.75,0.75,0.69,0.69,85
116,2011-12-23,0.75,0.75,0.63,0.63,24479
117,2011-12-27,0.63,0.65,0.63,0.63,84411
118,2011-12-28,0.63,0.66,0.63,0.66,129
119,2011-12-29,0.63,0.63,0.63,0.63,20
120,2011-12-30,0.63,0.65,0.63,0.65,291
121,2012-01-02,0.68,0.68,0.65,0.65,1455
122,2012-01-03,0.66,0.66,0.66,0.66,50
123,2012-01-04,0.66,0.66,0.66,0.66,1050
124,2012-01-05,0.66,0.66,0.66,0.66,550
125,2012-01-09,0.66,0.67,0.66,0.67,19599
126,2012-01-10,0.67,0.67,0.67,0.67,11268
127,2012-01-11,0.67,0.73,0.67,0.73,1410
128,2012-01-12,0.68,0.75,0.68,0.75,1100
129,2012-01-13,0.81,0.81,0.74,0.74,1461
130,2012-01-16,0.74,0.74,0.72,0.72,11486
131,2012-01-17,0.67,0.72,0.67,0.72,1939
132,2012-01-18,0.67,0.74,0.67,0.74,51
133,2012-01-19,0.74,0.74,0.74,0.74,9999
134,2012-01-20,0.74,0.74,0.74,0.74,2001
135,2012-01-23,0.74,0.74,0.71,0.71,250
136,2012-01-24,0.69,0.74,0.69,0.74,10536
137,2012-01-25,0.7,0.71,0.7,0.71,15050
138,2012-01-26,0.71,0.71,0.71,0.71,7550
139,2012-01-27,0.73,0.73,0.69,0.71,5895
140,2012-01-30,0.69,0.71,0.69,0.71,170
141,2012-01-31,0.7,0.72,0.69,0.69,7022
142,2012-02-01,0.68,0.71,0.68,0.71,2165
143,2012-02-02,0.72,0.72,0.68,0.7,6125
144,2012-02-03,0.71,0.71,0.68,0.7,2874
145,2012-02-06,0.7,0.7,0.7,0.7,54
146,2012-02-07,0.71,0.71,0.71,0.71,1000
147,2012-02-08,0.72,0.72,0.72,0.72,20
148,2012-02-09,0.72,0.73,0.72,0.73,6010
149,2012-02-10,0.68,0.72,0.68,0.72,11475
150,2012-02-13,0.73,0.74,0.72,0.72,11621
151,2012-02-14,0.75,0.75,0.73,0.73,1300
152,2012-02-15,0.74,0.75,0.74,0.75,13583
153,2012-02-16,0.75,0.76,0.75,0.76,1935
154,2012-02-17,0.76,0.8,0.74,0.8,7484
155,2012-02-20,0.76,0.83,0.76,0.78,14513
156,2012-02-21,0.79,0.79,0.78,0.79,11577
157,2012-02-22,0.77,0.77,0.76,0.76,15019
158,2012-02-23,0.74,0.74,0.74,0.74,630
159,2012-02-24,0.74,0.77,0.74,0.77,1410
160,2012-02-27,0.77,0.77,0.72,0.72,16246
161,2012-02-28,0.71,0.71,0.71,0.71,50
162,2012-02-29,0.75,0.75,0.72,0.72,11196
163,2012-03-01,0.72,0.72,0.7,0.7,4421
164,2012-03-02,0.7,0.7,0.7,0.7,1521
165,2012-03-05,0.72,0.72,0.68,0.68,8058
166,2012-03-06,0.67,0.68,0.67,0.67,2565
167,2012-03-07,0.7,0.7,0.66,0.66,16836
168,2012-03-08,0.6,0.69,0.6,0.68,28129
169,2012-03-09,0.63,0.67,0.63,0.67,11419
170,2012-03-12,0.7,0.7,0.69,0.69,4721
171,2012-03-13,0.7,0.7,0.69,0.69,11746
172,2012-03-14,0.69,0.7,0.69,0.7,2001
173,2012-03-15,0.68,0.68,0.65,0.66,1352
174,2012-03-16,0.62,0.66,0.62,0.66,16687
175,2012-03-19,0.67,0.67,0.67,0.67,100
176,2012-03-20,0.7,0.89,0.7,0.89,167993
177,2012-03-21,0.96,0.97,0.79,0.79,272523
178,2012-03-22,0.79,0.85,0.66,0.7,116429
179,2012-03-23,0.75,0.8,0.75,0.78,62567
180,2012-03-26,0.78,0.79,0.72,0.79,45474
181,2012-03-27,0.78,0.78,0.72,0.72,27554
182,2012-03-28,0.71,0.75,0.71,0.72,7384
