,Date,Open,High,Low,Close,Volume
0,2010-07-27,4.2917,5.15,4.2917,5.15,246586
1,2010-07-28,6.1705,7.4007,5.7318,7.4007,94566
2,2010-07-29,8.1065,8.5738,7.4103,8.5738,112990
3,2010-07-30,8.2877,8.2877,7.2291,7.2672,48670
4,2010-08-02,7.5343,7.9348,7.2672,7.6869,12534
5,2010-08-03,7.725,7.725,7.1528,7.4294,12284
6,2010-08-04,7.3912,7.4103,7.0574,7.3912,7112
7,2010-08-05,7.3912,7.458,6.962,7.458,7678
8,2010-08-06,7.458,8.3831,7.458,8.2019,20312
9,2010-08-09,8.1828,8.1828,7.6296,8.0874,6455
10,2010-08-10,8.0779,8.0779,7.6773,7.8204,5392
11,2010-08-11,7.9253,7.9253,7.725,7.8013,6661
12,2010-08-12,7.8585,7.8585,7.5343,7.7059,6506
13,2010-08-13,7.6964,7.7727,7.6296,7.7631,2686
14,2010-08-16,7.3435,7.3435,6.1991,6.4852,2787
15,2010-08-17,7.0574,7.0574,6.4375,6.4375,3068
16,2010-08-18,6.4375,6.4375,6.1991,6.1991,1679
17,2010-08-19,6.1991,6.2468,6.1991,6.2468,682
18,2010-08-20,6.2468,6.6378,6.2468,6.6378,315
19,2010-08-23,6.2468,6.3421,6.2468,6.3421,256
20,2010-08-24,6.2468,6.2468,6.1991,6.1991,1007
21,2010-08-26,6.5329,7.4389,6.3803,7.3435,19441
22,2010-08-27,7.3435,9.0125,7.3435,9.0125,30736
23,2010-08-30,9.0125,10.348,8.5833,10.109,8538
24,2010-08-31,10.3,10.634,9.1556,10.491,10970
25,2010-09-01,10.443,10.443,8.6024,9.528,8198
26,2010-09-02,9.508,9.508,8.6787,8.6978,2634
27,2010-09-03,9.1079,9.537,7.8776,9.537,3173
28,2010-09-06,9.909,10.014,9.871,10.014,3047
29,2010-09-07,10.014,10.014,9.919,9.966,2155
30,2010-09-08,9.966,10.491,9.2509,10.491,3997
31,2010-09-09,10.491,10.491,10.481,10.491,1702
32,2010-09-10,10.538,11.731,9.0602,11.731,29500
33,2010-09-13,11.731,12.389,11.731,12.389,4805
34,2010-09-14,12.398,12.398,12.112,12.398,3230
35,2010-09-15,12.398,12.875,12.398,12.856,4775
36,2010-09-16,12.875,13.352,12.589,13.352,2649
37,2010-09-17,13.352,14.592,13.352,14.592,6035
38,2010-09-20,14.687,14.687,13.733,14.687,5867
39,2010-09-21,14.687,15.355,14.687,15.355,4282
40,2010-09-22,15.402,17.167,15.259,16.976,5720
41,2010-09-23,17.024,17.138,15.469,17.138,2077
42,2010-09-24,17.138,18.006,16.785,18.006,8520
43,2010-09-27,17.834,18.693,17.834,18.693,5953
44,2010-09-28,18.693,18.788,17.31,18.406,4226
45,2010-09-29,18.74,18.74,15.164,16.308,4559
46,2010-09-30,18.12,18.311,17.93,18.311,1137
47,2010-10-01,16.976,18.111,15.736,17.157,2789
48,2010-10-04,15.755,15.755,13.733,14.306,2321
49,2010-10-05,14.544,14.973,14.544,14.973,545
50,2010-10-06,15.202,15.202,14.306,15.069,131
51,2010-10-07,14.973,14.973,12.894,13.733,603
52,2010-10-08,13.543,14.21,13.543,14.21,915
53,2010-10-11,13.829,15.154,13.085,15.154,949
54,2010-10-12,15.059,15.059,13.352,14.83,580
55,2010-10-13,13.352,14.582,13.352,14.01,886
56,2010-10-15,13.113,13.953,12.875,13.934,2611
57,2010-10-18,13.066,13.104,12.646,13.104,473
58,2010-10-19,12.074,12.494,11.931,12.494,164
59,2010-10-20,12.398,13.304,12.398,13.304,826
60,2010-10-21,12.875,12.875,12.875,12.875,1
61,2010-10-22,13.085,13.085,12.16,12.846,216
62,2010-10-25,11.654,12.341,10.691,12.303,393
63,2010-10-26,12.303,12.398,10.968,11.435,593
64,2010-10-27,11.444,11.444,9.547,10.653,2906
65,2010-10-28,10.586,10.586,9.68,10.443,1559
66,2010-10-29,10.453,11.444,10.453,11.444,1795
67,2010-11-02,11.444,11.444,11.444,11.444,435
68,2010-11-03,11.444,11.444,11.063,11.444,451
69,2010-11-04,11.254,11.444,11.254,11.444,273
70,2010-11-05,11.444,11.444,9.823,11.444,1326
71,2010-11-08,11.216,11.444,11.216,11.444,687
72,2010-11-09,11.444,11.444,11.063,11.444,354
73,2010-11-10,11.444,11.444,11.444,11.444,105
74,2010-11-12,11.444,11.444,11.387,11.387,108
75,2010-11-15,11.444,11.444,10.968,11.435,291
76,2010-11-16,11.435,13.352,10.968,13.075,3698
77,2010-11-17,12.761,13.352,12.761,13.256,1302
78,2010-11-18,13.352,15.908,13.352,15.908,40958
79,2010-11-19,16.69,17.224,16.213,17.224,28224
80,2010-11-22,17.357,17.357,15.259,16.594,11041
81,2010-11-23,15.812,15.831,13.829,14.296,8730
82,2010-11-24,14.687,15.25,12.637,13.266,6326
83,2010-11-25,13.829,14.286,11.444,12.112,8785
84,2010-11-26,11.969,12.78,11.902,12.761,5923
85,2010-11-29,12.684,13.638,12.141,13.638,6343
86,2010-11-30,13.638,13.81,11.845,12.722,5596
87,2010-12-01,12.494,12.494,10.968,12.207,4149
88,2010-12-02,12.331,12.799,12.207,12.494,1958
89,2010-12-03,12.398,13.791,11.788,13.781,26756
90,2010-12-06,13.781,14.306,13.733,13.829,15360
91,2010-12-07,14.201,14.306,13.171,14.115,3601
92,2010-12-08,13.6,15.259,13.266,15.259,15906
