,Date,Open,High,Low,Close,Volume
0,2012-11-22,3.4203,3.8502,2.9316,3.3616,7134
1,2012-11-23,3.3226,3.3616,3.3226,3.3616,307
2,2012-11-26,3.3421,3.3421,2.9316,3.1271,765
3,2012-11-27,3.0782,3.0782,2.834,2.834,317
4,2012-11-28,2.9316,3.0001,2.9316,3.0001,77
5,2012-11-29,3.0294,3.0294,3.0294,3.0294,10
6,2012-11-30,2.8829,3.2249,2.834,3.2249,2415
7,2012-12-03,3.0294,3.0294,2.8829,3.0294,1044
8,2012-12-04,2.9805,3.0782,2.7363,3.0782,9537
9,2012-12-05,2.834,3.1271,2.834,3.1271,1037
10,2012-12-06,3.1271,3.2249,3.1271,3.2249,717
11,2012-12-07,3.2346,3.6157,2.9316,3.6157,1969
12,2012-12-10,3.3715,3.3715,3.3715,3.3715,450
13,2012-12-11,3.3226,3.3226,3.1271,3.3226,128
14,2012-12-12,3.1271,3.6157,3.0782,3.6157,10448
15,2012-12-13,3.606,3.6549,3.4203,3.518,1557
16,2012-12-14,3.5083,3.5083,3.2249,3.4203,1785
17,2012-12-17,3.4203,3.6157,3.4203,3.6157,368
18,2012-12-18,3.6157,3.6157,3.3421,3.5864,1121
19,2012-12-19,3.5864,3.6549,3.4691,3.6549,614
20,2012-12-20,3.4398,3.6549,3.4398,3.6157,15474
21,2012-12-21,3.518,3.5864,3.3519,3.5864,1305
22,2012-12-27,3.606,3.606,3.606,3.606,10
23,2012-12-28,3.5962,3.6939,3.4203,3.6842,2037
24,2013-01-02,3.6842,3.6842,3.3226,3.4105,1530
25,2013-01-03,3.4203,3.4203,3.4203,3.4203,41
26,2013-01-07,3.4203,3.5083,3.3226,3.4203,835
27,2013-01-11,3.3226,3.3715,3.2835,3.3715,573
28,2013-01-14,3.2737,3.2737,3.1271,3.2151,730
29,2013-01-15,3.2249,3.4203,3.2249,3.4203,5434
30,2013-01-16,3.4203,3.4203,3.2835,3.3715,277
31,2013-01-17,3.3616,3.3715,3.2737,3.2737,378
32,2013-01-18,3.2737,3.2737,3.2737,3.2737,10
33,2013-01-21,3.2249,3.2249,3.2249,3.2249,15
34,2013-01-23,3.0978,3.4203,3.0978,3.4203,2455
35,2013-01-24,3.4203,3.4203,3.1271,3.1271,609
36,2013-01-28,3.1271,3.1271,3.1271,3.1271,36
37,2013-01-29,3.0782,3.0782,3.0782,3.0782,36
38,2013-02-01,2.9805,2.9805,2.9805,2.9805,51
39,2013-02-04,2.9316,2.9316,2.9316,2.9316,1535
40,2013-02-05,3.0196,3.0294,3.0196,3.0294,552
41,2013-02-07,3.0294,3.0294,3.0294,3.0294,20
42,2013-02-08,3.0587,3.1271,2.961,2.961,614
43,2013-02-12,2.9316,2.9316,2.9316,2.9316,25
44,2013-02-13,2.9805,2.9805,2.9805,2.9805,41
45,2013-02-14,2.9805,2.9805,2.9805,2.9805,36
46,2013-02-15,2.9805,2.9805,2.9805,2.9805,36
47,2013-02-18,2.9805,2.9805,2.9805,2.9805,20
48,2013-02-19,2.9805,2.9805,2.9805,2.9805,36
49,2013-02-20,2.9805,2.9805,2.9805,2.9805,36
50,2013-02-21,2.9805,2.9805,2.9805,2.9805,20
51,2013-02-22,2.9805,2.9805,2.9805,2.9805,10
52,2013-02-25,2.9805,2.9805,2.9805,2.9805,36
53,2013-02-26,2.9805,2.9805,2.9805,2.9805,36
54,2013-02-28,2.9903,3.0294,2.9903,3.0294,103
55,2013-03-01,3.0294,3.0782,3.0294,3.0782,62
56,2013-03-04,3.0782,3.1271,2.9805,2.9805,215
57,2013-03-05,3.0099,3.1271,2.9512,3.0685,598
58,2013-03-06,3.0294,3.0782,3.0294,3.0782,123
59,2013-03-07,3.0685,3.0881,3.0392,3.0881,297
60,2013-03-08,3.0782,3.2151,3.0294,3.1271,2652
61,2013-03-11,2.9708,3.3715,2.9708,3.3715,3197
62,2013-03-12,3.4105,3.4105,3.2835,3.3616,808
63,2013-03-13,3.3616,3.4008,3.2737,3.2737,326
64,2013-03-14,3.2249,3.2737,3.0782,3.2737,968
65,2013-03-15,3.1271,3.2737,3.1271,3.2737,660
66,2013-03-18,3.1467,3.2737,3.1467,3.2737,818
67,2013-03-19,3.2737,3.3128,3.2737,3.3128,184
68,2013-03-20,3.3226,3.3715,3.1956,3.3715,486
69,2013-03-21,3.1956,3.1956,3.1956,3.1956,645
70,2013-03-22,3.2444,3.2737,3.2444,3.2737,154
71,2013-03-25,3.2835,3.3909,3.2835,3.3909,432
72,2013-03-26,3.3715,3.5083,3.1956,3.3616,1425
73,2013-03-27,3.3616,3.3616,3.1467,3.2933,1279
74,2013-03-28,3.2933,3.9383,3.2933,3.9383,2292
75,2013-04-02,3.9284,3.9284,3.3226,3.4203,998
76,2013-04-03,3.4203,3.518,3.1271,3.2737,1262
77,2013-04-04,3.2737,3.3226,3.1467,3.1467,368
78,2013-04-05,3.176,3.1956,3.0294,3.0782,655
79,2013-04-09,3.0685,3.0685,3.0685,3.0685,20
80,2013-04-10,3.0685,3.0782,3.0685,3.0782,297
81,2013-04-15,2.9316,3.0099,2.9316,3.0099,618
82,2013-04-17,3.0099,3.4203,3.0099,3.4203,1329
83,2013-04-18,3.4203,3.4203,3.1076,3.1076,1007
84,2013-04-19,3.1076,3.3226,3.0294,3.1271,1743
85,2013-05-08,3.1271,3.1564,3.1271,3.1564,113
86,2013-05-09,3.1564,3.2249,3.1564,3.2249,717
87,2013-05-16,3.0489,3.4496,2.9316,3.4496,5474
88,2013-05-17,3.4496,3.4691,3.4496,3.4691,108
89,2013-05-20,3.4691,3.7135,3.3812,3.7135,2191
90,2013-05-21,3.6646,3.6646,3.3226,3.4496,793
91,2013-05-22,3.4496,3.4496,3.2053,3.3616,608
92,2013-05-23,3.2639,3.2639,3.2639,3.2639,113
93,2013-05-27,3.2737,3.2737,3.2737,3.2737,51
94,2013-05-29,3.2835,3.2835,3.2835,3.2835,118
95,2013-05-31,3.2835,3.2835,3.2835,3.2835,20
96,2013-06-03,3.2835,3.3519,3.2835,3.3519,764
97,2013-06-04,3.3616,3.3616,3.3616,3.3616,76
98,2013-06-05,3.3519,3.3616,3.3519,3.3616,133
99,2013-06-07,3.3715,3.3715,3.1663,3.1663,271
100,2013-06-10,3.1467,3.1564,3.1174,3.1174,292
101,2013-06-11,3.1271,3.1271,3.1271,3.1271,20
102,2013-06-12,3.1271,3.1271,3.1271,3.1271,20
103,2013-06-13,3.1271,3.1271,3.1271,3.1271,10
104,2013-06-14,3.1271,3.1271,3.0782,3.0782,368
105,2013-06-17,3.0782,3.1271,3.0782,3.1271,982
106,2013-06-18,3.1271,3.3616,3.1271,3.3616,1964
