,Date,Open,High,Low,Close,Volume
0,2019-05-14,22.402,22.605,20.926,21.519,386078
1,2019-05-15,21.815,26.948,21.815,26.948,329419
2,2019-05-16,28.231,29.218,24.184,24.677,350808
3,2019-05-17,24.677,25.862,22.93,25.072,149543
4,2019-05-20,25.467,25.467,22.999,23.118,49586
5,2019-05-21,23.197,23.986,21.835,22.605,61428
6,2019-05-22,22.289,22.289,19.796,20.403,166150
7,2019-05-23,20.038,21.351,19.762,20.778,32131
8,2019-05-24,20.926,24.381,20.739,24.381,124321
9,2019-05-27,23.888,24.352,22.412,23.098,72643
10,2019-05-28,23.295,24.184,22.723,22.901,35265
11,2019-05-29,23.177,23.295,21.598,22.308,23362
12,2019-05-30,21.519,23.493,20.334,21.825,100636
13,2019-05-31,21.825,22.299,20.966,21.519,25729
14,2019-06-03,21.716,22.052,21.124,21.124,10905
15,2019-06-04,21.223,22.002,21.223,21.469,14235
16,2019-06-05,21.42,22.012,21.134,21.519,10477
17,2019-06-06,21.321,21.321,19.248,20.423,72110
18,2019-06-07,20.226,20.729,19.786,20.038,31424
19,2019-06-10,20.226,20.226,19.248,19.742,23608
20,2019-06-11,19.15,19.742,18.765,18.854,20987
21,2019-06-12,18.765,19.337,17.057,17.373,44525
22,2019-06-13,17.373,18.755,17.175,17.175,22444
23,2019-06-14,17.689,18.163,17.057,18.003,10793
24,2019-06-17,18.261,18.261,17.274,17.866,2804
25,2019-06-18,18.163,18.163,16.978,17.373,8207
26,2019-06-19,17.373,17.373,15.991,16.109,30151
27,2019-06-21,16.188,17.225,16.188,16.787,20043
28,2019-06-24,16.781,16.781,15.912,16.366,6018
29,2019-06-25,16.366,17.462,14.915,16.978,35211
30,2019-06-26,16.702,17.215,16.2,17.027,3932
31,2019-06-27,17.324,17.965,16.836,17.027,13820
32,2019-06-28,17.274,17.639,16.682,17.472,8819
33,2019-07-01,18.155,18.745,17.472,18.261,22582
34,2019-07-02,18.212,20.611,18.212,19.939,54489
35,2019-07-03,19.939,19.939,19.073,19.643,16542
36,2019-07-04,19.683,19.742,18.261,18.755,21059
37,2019-07-05,18.557,18.755,17.866,18.212,22433
38,2019-07-08,18.607,18.755,17.965,18.36,6154
39,2019-07-09,18.557,19.051,18.36,18.755,4973
40,2019-07-10,19.039,19.15,18.557,18.834,4441
41,2019-07-11,19.045,19.045,18.439,19.0,3048
42,2019-07-12,18.992,18.992,18.755,18.755,2170
43,2019-07-15,19.0,19.969,18.952,19.296,16470
44,2019-07-16,19.541,20.235,18.952,19.446,20932
45,2019-07-17,19.929,20.038,19.584,19.747,11709
46,2019-07-18,20.127,20.127,19.446,19.885,5075
47,2019-07-19,19.742,20.137,19.485,20.008,3942
48,2019-07-22,20.018,20.087,19.26,19.742,4636
49,2019-07-23,19.949,19.949,19.248,19.545,5678
50,2019-07-24,19.545,19.545,19.248,19.248,3505
51,2019-07-25,19.446,19.446,17.965,18.409,26518
52,2019-07-26,18.409,18.459,18.103,18.425,6980
53,2019-07-29,18.425,18.528,18.064,18.311,6178
54,2019-07-30,18.407,18.755,18.064,18.261,4964
55,2019-07-31,18.686,18.686,17.669,18.261,10921
56,2019-08-01,18.358,18.358,18.163,18.261,3556
57,2019-08-02,18.36,18.36,17.876,18.261,2057
58,2019-08-05,18.261,18.261,17.274,17.568,6112
59,2019-08-06,17.298,20.729,17.298,18.222,94316
60,2019-08-07,18.557,20.186,18.548,19.693,31492
61,2019-08-08,20.132,22.012,20.132,21.617,113203
62,2019-08-09,21.933,22.21,20.877,21.603,36847
63,2019-08-12,21.519,21.711,20.329,21.223,22631
64,2019-08-13,20.729,21.119,20.087,20.729,16932
65,2019-08-14,20.976,20.976,19.742,20.433,16252
66,2019-08-16,19.949,20.917,19.949,20.907,17776
67,2019-08-19,20.926,21.904,20.926,21.617,28505
