,Date,Open,High,Low,Close,Volume
0,2011-11-21,9.28,11.13,8.3,11.13,6748
1,2011-11-22,16.04,16.04,16.04,16.04,871
2,2011-11-23,17.88,17.88,11.45,11.45,4690
3,2011-11-24,10.9,10.9,8.72,8.72,5428
4,2011-11-25,7.01,8.41,6.0,8.41,4700
5,2011-11-28,8.2,10.0,7.0,8.01,4779
6,2011-11-29,8.01,9.0,7.5,7.5,1674
7,2011-11-30,6.71,7.1,6.4,6.9,278
8,2011-12-01,7.0,8.5,7.0,8.0,1804
9,2011-12-02,8.1,11.52,7.0,11.5,6641
10,2011-12-05,11.5,16.56,11.3,13.0,2611
11,2011-12-06,13.0,13.66,11.01,12.39,756
12,2011-12-07,12.37,12.37,10.0,10.0,557
13,2011-12-08,10.0,10.9,8.0,8.0,739
14,2011-12-09,7.8,7.8,6.5,6.5,624
15,2011-12-12,6.5,7.0,6.1,7.0,816
16,2011-12-13,7.05,7.05,7.05,7.05,10
17,2011-12-14,6.7,8.0,6.5,8.0,785
18,2011-12-15,7.79,7.79,6.7,6.7,32
19,2011-12-16,6.4,7.0,6.4,7.0,67
20,2011-12-19,6.4,8.12,6.3,7.95,1192
21,2011-12-20,7.88,7.88,7.0,7.0,98
22,2011-12-21,7.2,7.2,7.0,7.0,20
23,2011-12-22,6.95,6.95,6.95,6.95,5
24,2011-12-23,6.8,6.8,6.6,6.6,250
25,2011-12-27,5.36,5.36,4.29,4.29,2071
26,2011-12-28,4.51,4.51,4.51,4.51,5
27,2011-12-29,4.51,5.38,4.49,5.38,1320
28,2012-01-02,5.3,5.3,5.3,5.3,5
29,2012-01-03,5.3,5.3,5.3,5.3,105
30,2012-01-04,5.25,5.25,5.25,5.25,94
31,2012-01-05,5.25,5.25,4.5,4.5,1831
32,2012-01-09,4.5,4.5,4.19,4.19,336
33,2012-01-10,4.12,4.2,4.12,4.2,99
34,2012-01-11,4.2,4.2,4.0,4.0,136
35,2012-01-12,4.0,4.0,4.0,4.0,64
