,Date,Open,High,Low,Close,Volume
0,2015-04-01,7.036,7.6487,6.3181,6.3852,14682
1,2015-04-02,6.9882,8.271,6.9882,7.6392,15064
2,2015-04-07,8.6156,8.6156,7.7444,7.821,2284
3,2015-04-08,8.0412,8.0412,8.0125,8.0412,2327
4,2015-04-09,7.8497,7.8497,7.8497,7.8497,397
5,2015-04-10,7.6679,7.6679,7.6583,7.6583,565
6,2015-04-13,7.6583,7.6583,7.6296,7.6296,521
7,2015-04-14,7.3233,7.3233,7.3233,7.3233,345
8,2015-04-15,7.0073,7.3712,7.0073,7.3712,616
9,2015-04-16,7.6392,7.6392,7.6392,7.6392,10
10,2015-04-17,7.5626,7.5626,7.5052,7.5052,361
11,2015-04-20,7.2084,7.6487,7.2084,7.6487,2634
12,2015-04-22,7.4668,7.4668,7.4668,7.4668,2152
13,2015-04-23,7.4668,7.4668,7.4668,7.4668,313
14,2015-04-24,7.5147,7.5147,7.5147,7.5147,96
15,2015-04-27,7.5913,7.5913,7.5913,7.5913,334
16,2015-04-28,7.5626,7.5626,7.5626,7.5626,334
17,2015-04-29,7.1892,7.1892,7.1797,7.1797,4826
18,2015-05-05,7.553,7.553,7.553,7.553,112
19,2015-05-07,7.5147,7.5147,7.1797,7.1797,1286
20,2015-05-08,7.1797,7.1797,7.1797,7.1797,6429
21,2015-05-11,7.6105,7.6105,7.6105,7.6105,734
22,2015-05-14,7.486,8.0412,7.486,8.0412,5460
23,2015-05-15,8.3284,8.5868,8.3189,8.5868,677
24,2015-05-18,8.6156,8.6156,7.8307,8.3954,742
25,2015-05-19,8.3954,8.3954,8.0412,8.0412,522
26,2015-05-21,8.0412,8.0412,8.0412,8.0412,835
27,2015-05-22,8.0412,8.0412,8.0412,8.0412,543
28,2015-05-25,8.137,8.137,8.137,8.137,52
29,2015-05-26,8.137,8.137,7.9455,7.9455,366
30,2015-05-27,8.0412,8.0412,8.0412,8.0412,157
31,2015-06-01,8.1274,8.1274,8.1274,8.1274,25
32,2015-06-03,7.9742,7.9742,7.9455,7.9455,1697
33,2015-06-05,7.6679,7.6679,7.6679,7.6679,77
34,2015-06-08,7.9742,7.9742,7.9742,7.9742,21
35,2015-06-10,7.9455,7.9455,7.9455,7.9455,313
36,2015-06-11,8.0412,8.2231,8.0412,8.2231,187
37,2015-06-12,8.2326,8.2326,8.2326,8.2326,61
38,2015-06-15,7.9455,8.1752,7.9455,8.1752,345
39,2015-06-16,7.9455,7.9455,7.9455,7.9455,345
40,2015-06-17,7.687,7.687,7.687,7.687,784
41,2015-06-18,7.6966,7.6966,7.6966,7.6966,209
