,Date,Open,High,Low,Close,Volume
0,2011-01-27,135.0,162.0,135.0,162.0,4674.0
1,2011-01-28,175.0,206.0,175.0,193.0,5420.0
2,2011-01-31,190.0,196.0,160.0,166.0,3181.0
3,2011-02-01,161.0,165.0,135.0,160.0,728.0
4,2011-02-02,160.0,162.0,148.0,155.0,299.0
5,2011-02-03,150.0,160.0,135.0,145.0,1743.0
6,2011-02-04,147.0,150.0,118.0,127.0,4807.0
7,2011-02-07,132.0,149.0,127.0,139.0,5046.0
8,2011-02-08,150.0,150.0,130.0,140.0,2037.0
9,2011-02-09,137.0,138.0,112.0,135.0,5206.0
10,2011-02-10,140.0,140.0,120.0,137.0,262.0
11,2011-02-11,138.0,138.0,125.0,132.0,1837.0
12,2011-02-14,135.0,135.0,121.0,123.0,189.0
13,2011-02-15,125.0,126.0,116.0,123.0,268.0
14,2011-02-16,120.0,126.0,120.0,122.0,239.0
15,2011-02-17,124.0,126.0,113.0,122.0,15491.0
16,2011-02-18,121.0,121.0,115.0,117.0,346.0
17,2011-02-21,117.0,135.0,111.0,126.0,14517.0
18,2011-02-22,130.0,132.0,104.0,105.0,66526.0
19,2011-02-23,105.0,109.0,95.0,102.0,10050.0
20,2011-02-24,102.0,103.0,93.0,99.0,2709.0
21,2011-02-25,97.0,97.0,93.0,97.0,1196.0
22,2011-02-28,99.0,99.0,93.0,93.0,1555.0
23,2011-03-01,91.0,95.0,87.0,93.0,523.0
24,2011-03-02,93.0,93.0,86.0,90.0,919.0
25,2011-03-03,89.0,89.0,80.0,83.0,1458.0
26,2011-03-04,84.0,96.0,84.0,84.0,13564.0
27,2011-03-07,86.0,87.0,83.0,85.0,2346.0
28,2011-03-08,85.0,85.0,76.0,78.0,3456.0
29,2011-03-09,75.0,79.0,66.0,70.0,4009.0
30,2011-03-10,70.0,70.0,59.0,60.0,9546.0
31,2011-03-11,59.0,61.0,59.0,60.0,3919.0
32,2011-03-14,60.0,61.0,59.0,59.0,4608.0
33,2011-03-15,59.0,61.0,59.0,60.0,1880.0
34,2011-03-16,59.0,61.0,59.0,60.0,1146.0
35,2011-03-17,60.0,61.0,60.0,60.0,526.0
36,2011-03-18,60.0,61.0,59.0,61.0,611.0
37,2011-03-21,61.0,67.0,59.0,60.0,19528.0
38,2011-03-22,59.0,61.0,59.0,59.0,2795.0
39,2011-03-23,59.0,63.0,59.0,62.0,14840.0
40,2011-03-24,62.0,62.0,60.0,60.0,589.0
41,2011-03-25,59.0,62.0,59.0,60.0,1288.0
42,2011-03-28,61.0,62.0,60.0,62.0,1362.0
43,2011-03-29,62.0,65.0,62.0,64.0,6502.0
44,2011-03-30,64.0,66.0,59.0,60.0,8723.0
45,2011-03-31,60.0,61.0,59.0,61.0,878.0
46,2011-04-01,60.0,63.0,59.0,62.0,5008.0
47,2011-04-04,61.0,62.0,59.0,60.0,6268.0
48,2011-04-05,60.0,61.0,59.0,61.0,644.0
49,2011-04-06,61.0,65.0,59.0,64.0,19848.0
50,2011-04-07,64.0,64.0,60.0,61.0,14236.0
51,2011-04-08,61.0,73.0,59.0,67.0,50443.0
52,2011-04-11,67.0,73.0,66.0,70.0,24681.0
53,2011-04-12,71.0,74.0,70.0,72.0,9734.0
54,2011-04-13,72.0,72.0,67.0,69.0,3245.0
55,2011-04-14,68.0,70.0,65.0,68.0,4552.0
56,2011-04-15,67.0,69.0,63.0,65.0,4338.0
57,2011-04-18,65.0,69.0,63.0,65.0,4965.0
58,2011-04-19,65.0,68.0,64.0,66.0,1539.0
59,2011-04-20,66.0,67.0,60.0,62.0,39624.0
60,2011-04-21,63.0,63.0,59.0,61.0,9316.0
61,2011-04-26,61.0,61.0,59.0,61.0,3720.0
62,2011-04-27,61.0,61.0,59.0,59.0,842.0
63,2011-04-28,60.0,61.0,60.0,61.0,3197.0
