,Date,Open,High,Low,Close,Volume
0,2007-12-14,5.37,5.8,4.59,5.39,83425
1,2007-12-17,5.88,9.54,5.88,9.54,62766
2,2007-12-18,10.54,11.07,7.91,8.48,27750
3,2007-12-19,8.48,9.15,7.91,9.07,12902
4,2007-12-20,8.96,10.52,8.96,10.01,8072
5,2007-12-21,10.01,14.5,10.01,12.78,35183
6,2007-12-27,11.59,13.8,11.59,13.79,21707
7,2007-12-28,14.23,15.37,12.95,15.36,15661
8,2008-01-02,15.78,15.78,13.7,15.36,8313
9,2008-01-03,14.36,15.76,13.17,13.7,12904
10,2008-01-04,13.18,13.7,11.97,12.37,18026
11,2008-01-07,12.12,12.65,10.8,10.8,18867
12,2008-01-08,11.59,12.01,10.12,11.75,6545
13,2008-01-09,12.12,12.12,10.54,10.54,6368
14,2008-01-10,11.07,11.07,10.01,10.8,5901
15,2008-01-11,11.33,11.59,11.07,11.59,3269
16,2008-01-14,11.59,12.88,11.07,11.42,7317
17,2008-01-15,10.97,11.32,10.96,11.3,817
18,2008-01-16,11.27,11.32,10.54,10.67,922
19,2008-01-17,10.54,11.07,10.54,10.86,4958
20,2008-01-18,10.75,11.28,9.76,11.28,3932
21,2008-01-21,11.07,11.51,10.54,10.8,2698
22,2008-01-22,10.33,10.54,9.99,10.53,5406
23,2008-01-23,10.54,11.06,10.49,11.06,4903
24,2008-01-24,11.06,11.07,10.64,11.07,2799
25,2008-01-25,11.01,11.33,10.01,10.54,1886
26,2008-01-28,11.05,11.51,10.59,11.07,4296
27,2008-01-29,11.43,11.48,10.39,10.39,2220
28,2008-01-30,11.07,11.07,9.33,10.49,5070
29,2008-01-31,10.01,11.07,9.49,11.05,9553
30,2008-02-01,11.09,11.09,10.54,11.01,1531
31,2008-02-04,11.07,11.32,11.07,11.22,8750
32,2008-02-05,10.54,11.22,10.54,10.91,1922
33,2008-02-06,10.8,11.59,10.8,11.07,4641
34,2008-02-07,11.59,12.07,11.07,12.07,1525
35,2008-02-08,10.96,11.43,10.96,11.43,9498
36,2008-02-11,11.38,11.59,11.07,11.57,2531
37,2008-02-12,11.13,11.59,10.8,11.59,5044
38,2008-02-13,11.53,11.53,10.81,11.14,4738
