,Date,Open,High,Low,Close,Volume
0,2009-01-14,231.0,374.0,176.0,207.79,1622.0
1,2009-01-15,220.0,220.0,178.2,199.54,391.0
2,2009-01-16,187.0,190.3,177.87,190.3,164.0
3,2009-01-19,192.39,192.39,173.8,181.5,86.0
4,2009-01-20,178.2,178.2,157.52,172.7,32.0
5,2009-01-21,168.52,168.52,160.05,161.26,10.0
6,2009-01-22,137.28,176.0,137.28,171.82,82.0
7,2009-01-23,170.72,170.72,165.22,165.22,49.0
8,2009-01-26,171.6,171.6,151.58,151.58,17.0
9,2009-01-27,171.6,171.6,154.44,154.44,4.0
10,2009-01-28,154.33,156.42,146.63,156.42,89.0
11,2009-01-29,165.88,165.88,153.56,154.0,19.0
12,2009-01-30,160.93,164.89,157.63,164.89,27.0
13,2009-02-02,181.72,181.72,173.8,173.8,46.0
14,2009-02-03,181.72,185.46,177.1,177.1,45.0
15,2009-02-04,181.28,185.02,176.77,176.88,797.0
16,2009-02-05,186.56,186.56,165.0,165.0,10.0
17,2009-02-06,186.56,186.56,168.3,168.3,9.0
18,2009-02-09,166.65,166.65,166.1,166.1,11.0
19,2009-02-10,177.1,177.1,165.0,165.0,63.0
20,2009-02-11,165.0,165.0,147.4,147.4,73.0
21,2009-02-12,150.26,150.26,137.5,137.5,40.0
22,2009-02-13,134.2,134.2,134.2,134.2,4.0
23,2009-02-16,146.85,146.85,140.58,140.58,56.0
24,2009-02-17,148.5,149.6,148.5,149.6,27.0
25,2009-02-18,146.85,148.72,143.0,143.0,7.0
26,2009-02-19,149.27,149.27,149.27,149.27,3.0
27,2009-02-20,152.9,152.9,152.9,152.9,
28,2009-02-23,149.27,149.27,123.2,131.45,13.0
29,2009-02-24,132.0,132.0,128.59,128.59,21.0
30,2009-02-25,125.95,125.95,125.95,125.95,1.0
31,2009-02-26,128.81,128.81,124.52,124.52,73.0
32,2009-02-27,124.3,124.3,118.8,118.8,63.0
33,2009-03-02,128.81,128.81,121.33,121.33,8.0
34,2009-03-03,128.81,128.81,114.73,114.73,69.0
35,2009-03-04,118.14,118.14,99.0,105.05,243.0
36,2009-03-05,115.94,115.94,104.5,104.5,50.0
37,2009-03-06,109.56,109.56,88.0,88.0,536.0
38,2009-03-09,97.9,97.9,95.59,95.59,6.0
39,2009-03-10,93.5,95.7,90.2,93.5,133.0
40,2009-03-11,102.3,103.4,91.41,93.06,561.0
41,2009-03-12,91.3,112.53,91.3,103.18,489.0
42,2009-03-13,110.0,110.0,101.2,101.2,96.0
43,2009-03-16,104.5,104.5,94.16,104.28,103.0
44,2009-03-17,102.3,110.0,102.3,110.0,33.0
45,2009-03-18,108.35,115.5,108.35,111.76,93.0
46,2009-03-19,99.0,137.5,99.0,137.5,309.0
47,2009-03-20,132.0,137.5,128.59,137.5,60.0
48,2009-03-23,137.5,148.5,124.3,148.5,534.0
49,2009-03-24,158.4,158.4,143.0,143.0,110.0
50,2009-03-25,132.0,134.2,126.72,134.2,90.0
51,2009-03-26,134.75,144.98,134.75,144.98,31.0
52,2009-03-27,144.65,144.65,142.01,142.01,60.0
53,2009-03-30,141.9,146.3,140.69,140.69,14.0
54,2009-03-31,128.7,144.43,128.7,144.43,18.0
55,2009-04-01,150.04,150.04,148.39,148.39,12.0
56,2009-04-02,130.9,135.85,116.6,130.9,407.0
57,2009-04-03,132.55,143.88,130.9,132.0,370.0
58,2009-04-06,137.61,139.04,135.85,139.04,150.0
59,2009-04-07,145.2,145.2,139.59,139.59,15.0
60,2009-04-08,140.25,140.25,132.0,133.1,60.0
61,2009-04-09,132.11,132.11,122.1,128.15,791.0
62,2009-04-14,134.2,134.2,126.06,128.7,244.0
63,2009-04-15,131.89,131.89,125.4,128.7,415.0
64,2009-04-16,127.6,140.8,121.22,140.8,408.0
65,2009-04-17,141.9,142.89,136.51,136.95,97.0
66,2009-04-20,142.45,142.45,123.42,141.79,77.0
67,2009-04-21,135.19,141.9,121.77,132.0,651.0
68,2009-04-22,141.9,153.56,132.0,153.56,459.0
69,2009-04-23,152.9,152.9,139.15,142.23,138.0
70,2009-04-24,144.87,144.87,137.5,144.65,90.0
71,2009-04-27,139.59,139.59,136.62,138.82,175.0
72,2009-04-28,127.6,137.5,127.6,137.5,19.0
73,2009-04-29,136.4,138.6,132.0,138.6,473.0
74,2009-04-30,132.0,136.84,130.35,130.57,278.0
75,2009-05-04,131.78,135.85,129.36,135.85,455.0
76,2009-05-05,132.0,142.45,132.0,135.63,498.0
77,2009-05-06,142.78,142.78,134.09,134.09,92.0
78,2009-05-07,129.91,137.5,129.91,137.5,170.0
79,2009-05-08,140.69,140.69,134.09,134.09,63.0
80,2009-05-11,134.75,134.75,134.2,134.2,58.0
81,2009-05-12,140.69,140.69,134.2,134.2,45.0
82,2009-05-13,136.4,139.59,132.0,133.1,98.0
83,2009-05-14,127.05,133.1,127.05,133.1,21.0
84,2009-05-15,134.2,134.2,133.98,133.98,37.0
85,2009-05-18,137.5,137.5,132.55,132.55,61.0
86,2009-05-19,134.2,134.2,134.2,134.2,
87,2009-05-20,127.05,128.37,127.05,128.37,2.0
88,2009-05-21,134.75,134.75,121.0,121.0,265.0
89,2009-05-22,121.22,122.43,121.0,121.0,139.0
90,2009-05-25,124.3,124.3,121.33,121.33,5.0
91,2009-05-26,121.0,121.0,116.05,116.27,74.0
92,2009-05-27,121.0,121.0,115.72,115.72,56.0
93,2009-05-28,121.0,121.0,115.72,118.25,207.0
94,2009-05-29,118.14,118.14,115.5,116.6,168.0
95,2009-06-01,110.22,121.0,110.22,121.0,270.0
96,2009-06-02,115.5,116.82,109.89,113.19,1723.0
97,2009-06-03,113.19,113.19,110.0,110.0,419.0
98,2009-06-04,111.54,113.41,110.0,112.2,297.0
99,2009-06-05,112.09,112.09,104.17,110.0,261.0
100,2009-06-08,104.61,109.78,104.5,104.5,28.0
101,2009-06-09,101.31,108.57,99.0,108.57,93.0
102,2009-06-10,107.8,107.8,104.5,107.8,68.0
