,Date,Open,High,Low,Close,Volume
0,1997-02-03,47.697,47.697,47.697,47.697,118449
1,1997-02-04,45.713,45.713,45.713,45.713,42985
2,1997-02-05,43.23,43.23,43.23,43.23,66588
3,1997-02-06,42.731,42.731,42.731,42.731,28562
4,1997-02-07,44.716,44.716,44.716,44.716,47073
5,1997-02-10,46.511,46.511,46.511,46.511,50142
6,1997-02-11,44.716,44.716,44.716,44.716,37893
7,1997-02-12,44.716,44.716,44.716,44.716,22507
8,1997-02-13,43.728,43.728,43.728,43.728,15551
9,1997-02-14,44.716,44.716,44.716,44.716,44210
10,1997-02-17,44.716,44.716,44.716,44.716,36998
11,1997-02-18,44.716,44.716,44.716,44.716,23692
12,1997-02-19,43.728,43.728,43.728,43.728,16237
13,1997-02-20,42.931,42.931,42.931,42.931,12789
14,1997-02-21,44.217,44.217,44.217,44.217,16383
15,1997-02-24,43.329,43.329,43.329,43.329,9266
16,1997-02-25,43.329,43.329,43.329,43.329,11424
17,1997-02-26,43.728,43.728,43.728,43.728,22447
18,1997-02-27,43.23,43.23,43.23,43.23,35392
19,1997-02-28,42.731,42.731,42.731,42.731,30598
20,1997-03-03,42.232,42.232,42.232,42.232,47485
21,1997-03-04,42.232,42.232,42.232,42.232,35741
22,1997-03-05,42.731,42.731,42.731,42.731,28982
23,1997-03-06,43.728,43.728,43.728,43.728,33459
24,1997-03-07,44.416,44.416,44.416,44.416,24065
25,1997-03-10,43.728,43.728,43.728,43.728,15152
26,1997-03-11,43.828,43.828,43.828,43.828,31615
27,1997-03-12,44.716,44.716,44.716,44.716,25291
28,1997-03-13,43.329,43.329,43.329,43.329,17101
29,1997-03-14,41.235,41.235,41.235,41.235,55480
30,1997-03-17,41.933,41.933,41.933,41.933,15022
31,1997-03-18,43.03,43.03,43.03,43.03,35104
32,1997-03-19,43.03,43.03,43.03,43.03,70859
33,1997-03-20,42.731,42.731,42.731,42.731,48946
34,1997-03-21,42.831,42.831,42.831,42.831,12094
35,1997-03-24,43.03,43.03,43.03,43.03,14258
36,1997-03-25,43.03,43.03,43.03,43.03,15769
37,1997-03-26,43.728,43.728,43.728,43.728,18102
38,1997-03-27,44.217,44.217,44.217,44.217,27667
39,1997-04-01,43.728,43.728,43.728,43.728,77107
40,1997-04-02,41.235,41.235,41.235,41.235,12705
41,1997-04-03,42.033,42.033,42.033,42.033,24741
42,1997-04-04,42.033,42.033,42.033,42.033,6530
43,1997-04-07,43.329,43.329,43.329,43.329,13293
44,1997-04-08,43.728,43.728,43.728,43.728,13528
45,1997-04-09,43.23,43.23,43.23,43.23,6072
46,1997-04-10,43.629,43.629,43.629,43.629,15760
47,1997-04-11,43.529,43.529,43.529,43.529,4008
48,1997-04-14,43.23,43.23,43.23,43.23,14598
49,1997-04-15,43.728,43.728,43.728,43.728,19806
50,1997-04-16,44.317,44.317,44.317,44.317,24886
51,1997-04-17,43.23,43.23,43.23,43.23,13081
52,1997-04-18,43.529,43.529,43.529,43.529,10166
53,1997-04-21,43.728,43.728,43.728,43.728,13036
54,1997-04-22,43.728,43.728,43.728,43.728,15071
55,1997-04-23,44.027,44.027,44.027,44.027,14117
56,1997-04-24,43.728,43.728,43.728,43.728,12372
57,1997-04-25,43.629,43.629,43.629,43.629,23645
58,1997-04-28,43.23,43.23,43.23,43.23,25400
59,1997-04-29,42.731,42.731,42.731,42.731,16135
60,1997-04-30,43.329,43.329,43.329,43.329,6473
