,Date,Open,High,Low,Close,Volume
0,2008-10-09,4.4458,4.7422,2.8651,3.0034,43288
1,2008-10-10,2.6378,2.6378,2.2031,2.539,21374
2,2008-10-13,2.6477,3.8036,2.6477,3.8036,22249
3,2008-10-14,4.0012,4.6829,3.7839,4.4458,18660
4,2008-10-15,4.2482,4.4458,3.7345,4.021,18417
5,2008-10-16,3.606,4.1494,3.4578,3.7147,5423
6,2008-10-17,3.4282,3.9518,3.4084,3.853,5157
7,2008-10-20,3.7345,4.2976,3.7345,4.2976,4060
8,2008-10-21,4.2976,4.4359,3.9716,4.0308,1914
9,2008-10-22,4.3766,4.3766,3.9518,4.1198,378
10,2008-10-24,3.9419,4.3371,3.932,4.3371,4740
11,2008-10-27,4.347,5.4337,4.347,5.4337,3502
12,2008-10-28,5.908,5.9178,5.2361,5.908,2499
13,2008-10-29,5.9672,6.2735,4.9398,5.6511,6161
14,2008-10-30,5.6412,5.9178,5.1472,5.8981,2580
15,2008-10-31,6.1253,6.1253,5.2361,5.9771,1013
16,2008-11-03,6.1747,6.1747,5.4337,6.1747,1952
17,2008-11-04,6.1747,6.3822,5.5325,6.3822,5621
18,2008-11-05,6.9157,6.9157,3.9518,3.9518,3885
19,2008-11-06,4.9398,6.1648,4.9398,6.1648,4405
20,2008-11-07,5.8289,7.6072,5.8289,6.9157,6229
21,2008-11-10,6.9157,6.9157,6.2241,6.7675,3676
22,2008-11-12,6.1747,6.8366,6.1253,6.8366,1193
23,2008-11-13,6.7477,6.7477,5.6708,6.6193,21
24,2008-11-14,5.4831,5.8783,5.4831,5.4831,2562
25,2008-11-17,5.9277,5.9277,5.3349,5.8586,1383
26,2008-11-18,5.8289,5.9277,5.8289,5.9277,841
27,2008-11-19,6.1055,6.1055,5.5325,6.1055,914
28,2008-11-20,5.5325,6.1055,5.5325,5.8783,550
29,2008-11-21,5.9277,6.3427,5.8783,5.9672,826
30,2008-11-24,6.392,6.392,5.8289,5.8289,1490
31,2008-11-25,5.819,5.819,4.9694,5.7301,358
32,2008-11-26,6.0265,6.0265,5.0386,6.0067,126
