,Date,Open,High,Low,Close,Volume
0,1996-05-20,0.23886,0.23886,0.23886,0.23886,13160112.0
1,1996-05-21,0.2192,0.2192,0.2192,0.2192,12994730.0
2,1996-05-22,0.20937,0.20937,0.20937,0.20937,7146590.0
3,1996-05-23,0.19659,0.19659,0.19659,0.19659,6641977.0
4,1996-05-24,0.19364,0.19364,0.19364,0.19364,6863782.0
5,1996-05-27,0.19561,0.19561,0.19561,0.19561,4911301.0
6,1996-05-28,0.18971,0.18971,0.18971,0.18971,6192049.0
7,1996-05-29,0.18971,0.18971,0.18971,0.18971,5269903.0
8,1996-05-30,0.18676,0.18676,0.18676,0.18676,3313705.0
9,1996-05-31,0.19364,0.19364,0.19364,0.19364,4487193.0
10,1996-06-03,0.20642,0.20642,0.20642,0.20642,2891642.0
11,1996-06-04,0.2192,0.2192,0.2192,0.2192,4365055.0
12,1996-06-05,0.2133,0.2133,0.2133,0.2133,11850377.0
13,1996-06-07,0.2133,0.2133,0.2133,0.2133,11176290.0
14,1996-06-10,0.22412,0.22412,0.22412,0.22412,6701743.0
15,1996-06-11,0.22313,0.22313,0.22313,0.22313,6429008.0
16,1996-06-12,0.22608,0.22608,0.22608,0.22608,5210106.0
17,1996-06-13,0.21724,0.21724,0.21724,0.21724,2041386.0
18,1996-06-14,0.21134,0.21134,0.21134,0.21134,3677361.0
19,1996-06-17,0.2133,0.2133,0.2133,0.2133,2548013.0
20,1996-06-18,0.20937,0.20937,0.20937,0.20937,3035637.0
21,1996-06-19,0.20642,0.20642,0.20642,0.20642,3136323.0
22,1996-06-20,0.20446,0.20446,0.20446,0.20446,2546277.0
23,1996-06-21,0.20642,0.20642,0.20642,0.20642,1588731.0
24,1996-06-24,0.20839,0.20839,0.20839,0.20839,978070.0
25,1996-06-25,0.20839,0.20839,0.20839,0.20839,3003861.0
26,1996-06-26,0.20937,0.20937,0.20937,0.20937,2527708.0
27,1996-06-27,0.2133,0.2133,0.2133,0.2133,5018682.0
28,1996-06-28,0.21429,0.21429,0.21429,0.21429,1724850.0
29,1996-07-01,0.21724,0.21724,0.21724,0.21724,1368603.0
30,1996-07-02,0.21625,0.21625,0.21625,0.21625,3370714.0
31,1996-07-03,0.21625,0.21625,0.21625,0.21625,2695105.0
32,1996-07-04,0.21429,0.21429,0.21429,0.21429,2118730.0
33,1996-07-05,0.2133,0.2133,0.2133,0.2133,2019625.0
34,1996-07-08,0.20937,0.20937,0.20937,0.20937,889377.0
35,1996-07-09,0.20839,0.20839,0.20839,0.20839,1066914.0
36,1996-07-10,0.20642,0.20642,0.20642,0.20642,881505.0
37,1996-07-11,0.20347,0.20347,0.20347,0.20347,619993.0
38,1996-07-12,0.20347,0.20347,0.20347,0.20347,1355615.0
39,1996-07-15,0.20347,0.20347,0.20347,0.20347,2226548.0
40,1996-07-16,0.19954,0.19954,0.19954,0.19954,982533.0
41,1996-07-17,0.19364,0.19364,0.19364,0.19364,1715364.0
42,1996-07-18,0.19364,0.19364,0.19364,0.19364,2154473.0
43,1996-07-19,0.18381,0.18381,0.18381,0.18381,796691.0
44,1996-07-22,0.1789,0.1789,0.1789,0.1789,1279014.0
45,1996-07-23,0.17595,0.17595,0.17595,0.17595,955502.0
46,1996-07-24,0.1789,0.1789,0.1789,0.1789,449620.0
47,1996-07-25,0.18578,0.18578,0.18578,0.18578,1385589.0
48,1996-07-26,0.18381,0.18381,0.18381,0.18381,1343367.0
49,1996-07-29,0.18676,0.18676,0.18676,0.18676,1296061.0
50,1996-07-30,0.18381,0.18381,0.18381,0.18381,1150240.0
51,1996-07-31,0.1789,0.1789,0.1789,0.1789,1019299.0
52,1996-08-01,0.173,0.173,0.173,0.173,1179102.0
53,1996-08-02,0.16809,0.16809,0.16809,0.16809,1150553.0
54,1996-08-05,0.173,0.173,0.173,0.173,1480510.0
55,1996-08-06,0.17104,0.17104,0.17104,0.17104,1105417.0
56,1996-08-07,0.16907,0.16907,0.16907,0.16907,1514579.0
57,1996-08-08,0.17104,0.17104,0.17104,0.17104,1196121.0
58,1996-08-09,0.1789,0.1789,0.1789,0.1789,1368449.0
59,1996-08-12,0.18087,0.18087,0.18087,0.18087,858099.0
60,1996-08-13,0.1789,0.1789,0.1789,0.1789,1714711.0
61,1996-08-14,0.18087,0.18087,0.18087,0.18087,3426511.0
62,1996-08-16,0.18578,0.18578,0.18578,0.18578,1323560.0
63,1996-08-19,0.19364,0.19364,0.19364,0.19364,3017316.0
64,1996-08-20,0.19364,0.19364,0.19364,0.19364,2836464.0
65,1996-08-21,0.19364,0.19364,0.19364,0.19364,1082381.0
66,1996-08-22,0.20642,0.20642,0.20642,0.20642,2460595.0
67,1996-08-23,0.20937,0.20937,0.20937,0.20937,5429644.0
68,1996-08-26,0.20446,0.20446,0.20446,0.20446,490570.0
69,1996-08-27,0.20347,0.20347,0.20347,0.20347,1650853.0
70,1996-08-28,0.20642,0.20642,0.20642,0.20642,1695339.0
71,1996-08-29,0.20642,0.20642,0.20642,0.20642,1915653.0
72,1996-08-30,0.2133,0.2133,0.2133,0.2133,6347945.0
73,1996-09-02,0.21429,0.21429,0.21429,0.21429,2265606.0
74,1996-09-03,0.21625,0.21625,0.21625,0.21625,4351509.0
75,1996-09-04,0.21134,0.21134,0.21134,0.21134,686300.0
76,1996-09-05,0.18971,0.18971,0.18971,0.18971,3352142.0
77,1996-09-06,0.19364,0.19364,0.19364,0.19364,2552353.0
78,1996-09-09,0.19561,0.19561,0.19561,0.19561,1032442.0
79,1996-09-10,0.19954,0.19954,0.19954,0.19954,2512519.0
80,1996-09-11,0.19659,0.19659,0.19659,0.19659,1336580.0
81,1996-09-12,0.19954,0.19954,0.19954,0.19954,2074959.0
82,1996-09-13,0.20642,0.20642,0.20642,0.20642,3274303.0
83,1996-09-16,0.20642,0.20642,0.20642,0.20642,4272180.0
84,1996-09-17,0.20446,0.20446,0.20446,0.20446,783515.0
85,1996-09-18,0.20446,0.20446,0.20446,0.20446,1210627.0
86,1996-09-19,0.20151,0.20151,0.20151,0.20151,1783161.0
87,1996-09-20,0.19954,0.19954,0.19954,0.19954,4272521.0
88,1996-09-23,0.20347,0.20347,0.20347,0.20347,2120839.0
89,1996-09-24,0.19856,0.19856,0.19856,0.19856,602415.0
90,1996-09-25,0.19364,0.19364,0.19364,0.19364,2986286.0
91,1996-09-26,0.19364,0.19364,0.19364,0.19364,3500323.0
92,1996-09-27,0.19954,0.19954,0.19954,0.19954,3334937.0
