,Date,Open,High,Low,Close,Volume
0,1997-05-30,16.25,16.25,16.25,16.25,292432.0
1,1997-06-02,14.625,14.625,14.625,14.625,85572.0
2,1997-06-03,14.375,14.375,14.375,14.375,80312.0
3,1997-06-04,13.5,13.5,13.5,13.5,101444.0
4,1997-06-05,12.15,12.15,12.15,12.15,26380.0
5,1997-06-06,11.225,11.225,11.225,11.225,205524.0
6,1997-06-09,11.625,11.625,11.625,11.625,78752.0
7,1997-06-10,11.5,11.5,11.5,11.5,114832.0
8,1997-06-11,11.2,11.2,11.2,11.2,28572.0
9,1997-06-12,11.025,11.025,11.025,11.025,46124.0
10,1997-06-13,11.025,11.025,11.025,11.025,53972.0
11,1997-06-16,11.0,11.0,11.0,11.0,41276.0
12,1997-06-17,11.05,11.05,11.05,11.05,22516.0
13,1997-06-18,11.25,11.25,11.25,11.25,14780.0
14,1997-06-19,11.225,11.225,11.225,11.225,31448.0
15,1997-06-20,11.275,11.275,11.275,11.275,25852.0
16,1997-06-23,11.125,11.125,11.125,11.125,9976.0
17,1997-06-24,10.75,10.75,10.75,10.75,11580.0
18,1997-06-25,10.5,10.5,10.5,10.5,8096.0
19,1997-06-26,10.0,10.0,10.0,10.0,20768.0
20,1997-06-27,9.75,9.75,9.75,9.75,10000.0
21,1997-06-30,10.0,10.0,10.0,10.0,24328.0
22,1997-07-01,9.75,9.75,9.75,9.75,13076.0
23,1997-07-02,9.575,9.575,9.575,9.575,26436.0
24,1997-07-03,9.75,9.75,9.75,9.75,12232.0
25,1997-07-04,8.775,8.775,8.775,8.775,64272.0
26,1997-07-07,9.65,9.65,9.65,9.65,53004.0
27,1997-07-08,9.875,9.875,9.875,9.875,48252.0
28,1997-07-09,10.25,10.25,10.25,10.25,46928.0
29,1997-07-10,10.75,10.75,10.75,10.75,25024.0
30,1997-07-11,10.25,10.25,10.25,10.25,27024.0
31,1997-07-14,9.5,9.5,9.5,9.5,12528.0
32,1997-07-15,9.125,9.125,9.125,9.125,22796.0
33,1997-07-16,9.375,9.375,9.375,9.375,26080.0
34,1997-07-17,9.25,9.25,9.25,9.25,15996.0
35,1997-07-18,9.125,9.125,9.125,9.125,10960.0
36,1997-07-21,8.875,8.875,8.875,8.875,19212.0
37,1997-07-22,9.05,9.05,9.05,9.05,20000.0
38,1997-07-23,8.65,8.65,8.65,8.65,27572.0
39,1997-07-24,8.5,8.5,8.5,8.5,8236.0
40,1997-07-25,8.25,8.25,8.25,8.25,9092.0
41,1997-07-28,7.825,7.825,7.825,7.825,10992.0
42,1997-07-29,7.45,7.45,7.45,7.45,36980.0
43,1997-07-30,7.5,7.5,7.5,7.5,65000.0
44,1997-07-31,7.875,7.875,7.875,7.875,35176.0
45,1997-08-01,7.45,7.45,7.45,7.45,11676.0
46,1997-08-04,7.675,7.675,7.675,7.675,27752.0
47,1997-08-05,7.1,7.1,7.1,7.1,21900.0
48,1997-08-06,6.875,6.875,6.875,6.875,226836.0
49,1997-08-07,7.0,7.0,7.0,7.0,270216.0
50,1997-08-08,7.575,7.575,7.575,7.575,172936.0
51,1997-08-11,8.325,8.325,8.325,8.325,180240.0
52,1997-08-12,8.175,8.175,8.175,8.175,69916.0
53,1997-08-13,8.5,8.5,8.5,8.5,61116.0
54,1997-08-14,7.75,7.75,7.75,7.75,125420.0
55,1997-08-18,7.1,7.1,7.1,7.1,90000.0
56,1997-08-19,7.0,7.0,7.0,7.0,157072.0
57,1997-08-20,7.0,7.0,7.0,7.0,76928.0
58,1997-08-21,7.15,7.15,7.15,7.15,38320.0
59,1997-08-22,6.825,6.825,6.825,6.825,20512.0
60,1997-08-25,6.875,6.875,6.875,6.875,25308.0
61,1997-08-26,6.8,6.8,6.8,6.8,20620.0
62,1997-08-27,6.8,6.8,6.8,6.8,28904.0
63,1997-08-28,6.85,6.85,6.85,6.85,47504.0
64,1997-08-29,6.85,6.85,6.85,6.85,55156.0
65,1997-09-01,6.975,6.975,6.975,6.975,17348.0
66,1997-09-02,7.0,7.0,7.0,7.0,28484.0
67,1997-09-03,7.025,7.025,7.025,7.025,76588.0
68,1997-09-04,7.0,7.0,7.0,7.0,23964.0
69,1997-09-05,6.85,6.85,6.85,6.85,10000.0
70,1997-09-08,7.1,7.1,7.1,7.1,21760.0
71,1997-09-09,7.125,7.125,7.125,7.125,96428.0
72,1997-09-10,7.1,7.1,7.1,7.1,49528.0
73,1997-09-11,6.975,6.975,6.975,6.975,42224.0
74,1997-09-12,6.925,6.925,6.925,6.925,29108.0
75,1997-09-15,6.875,6.875,6.875,6.875,43272.0
76,1997-09-16,6.825,6.825,6.825,6.825,49064.0
77,1997-09-17,7.0,7.0,7.0,7.0,113120.0
78,1997-09-18,7.025,7.025,7.025,7.025,85388.0
79,1997-09-19,7.05,7.05,7.05,7.05,123420.0
80,1997-09-22,6.95,6.95,6.95,6.95,48824.0
81,1997-09-23,6.875,6.875,6.875,6.875,21656.0
82,1997-09-24,6.8,6.8,6.8,6.8,26116.0
83,1997-09-25,6.55,6.55,6.55,6.55,19380.0
84,1997-09-26,6.175,6.175,6.175,6.175,36980.0
85,1997-09-29,6.25,6.25,6.25,6.25,95504.0
86,1997-09-30,6.05,6.05,6.05,6.05,71804.0
87,1997-10-01,5.875,5.875,5.875,5.875,44976.0
88,1997-10-02,6.0,6.0,6.0,6.0,46312.0
89,1997-10-03,5.875,5.875,5.875,5.875,31872.0
90,1997-10-06,5.775,5.775,5.775,5.775,46432.0
91,1997-10-07,5.675,5.675,5.675,5.675,7552.0
92,1997-10-08,5.75,5.75,5.75,5.75,64800.0
93,1997-10-09,5.875,5.875,5.875,5.875,38004.0
94,1997-10-10,5.7,5.7,5.7,5.7,44220.0
95,1997-10-13,5.625,5.625,5.625,5.625,41428.0
96,1997-10-14,5.55,5.55,5.55,5.55,97888.0
97,1997-10-15,5.75,5.75,5.75,5.75,131036.0
98,1997-10-16,5.85,5.85,5.85,5.85,71864.0
99,1997-10-17,5.825,5.825,5.825,5.825,64956.0
100,1997-10-20,5.875,5.875,5.875,5.875,83352.0
101,1997-10-21,5.8,5.8,5.8,5.8,49456.0
102,1997-10-22,5.725,5.725,5.725,5.725,79608.0
103,1997-10-23,5.6,5.6,5.6,5.6,51828.0
104,1997-10-24,5.15,5.15,5.15,5.15,51624.0
105,1997-10-27,4.975,4.975,4.975,4.975,91836.0
106,1997-10-28,4.5,4.5,4.5,4.5,
107,1997-10-29,4.65,4.65,4.65,4.65,79956.0
108,1997-10-30,4.3,4.3,4.3,4.3,72432.0
109,1997-10-31,4.3,4.3,4.3,4.3,383740.0
110,1997-11-03,4.375,4.375,4.375,4.375,329496.0
111,1997-11-04,4.45,4.45,4.45,4.45,195636.0
112,1997-11-05,4.525,4.525,4.525,4.525,215848.0
113,1997-11-06,4.475,4.475,4.475,4.475,41700.0
114,1997-11-07,4.425,4.425,4.425,4.425,239196.0
115,1997-11-12,4.0,4.0,4.0,4.0,260768.0
116,1997-11-13,4.025,4.025,4.025,4.025,95636.0
117,1997-11-14,4.225,4.225,4.225,4.225,264916.0
118,1997-11-17,4.525,4.525,4.525,4.525,280372.0
119,1997-11-18,4.75,4.75,4.75,4.75,288220.0
120,1997-11-19,4.475,4.475,4.475,4.475,209600.0
121,1997-11-20,4.5,4.5,4.5,4.5,132108.0
122,1997-11-21,4.75,4.75,4.75,4.75,151976.0
123,1997-11-24,5.0,5.0,5.0,5.0,219744.0
124,1997-11-25,4.975,4.975,4.975,4.975,192328.0
125,1997-11-26,5.45,5.45,5.45,5.45,150840.0
126,1997-11-27,5.75,5.75,5.75,5.75,252508.0
127,1997-11-28,5.85,5.85,5.85,5.85,234816.0
128,1997-12-01,5.85,5.85,5.85,5.85,259256.0
129,1997-12-02,5.75,5.75,5.75,5.75,180540.0
130,1997-12-03,5.325,5.325,5.325,5.325,136968.0
131,1997-12-04,5.375,5.375,5.375,5.375,194036.0
132,1997-12-05,5.35,5.35,5.35,5.35,132132.0
133,1997-12-08,5.225,5.225,5.225,5.225,59196.0
134,1997-12-09,4.975,4.975,4.975,4.975,81164.0
135,1997-12-10,4.575,4.575,4.575,4.575,190184.0
136,1997-12-11,4.375,4.375,4.375,4.375,117376.0
137,1997-12-12,4.275,4.275,4.275,4.275,163724.0
138,1997-12-15,4.375,4.375,4.375,4.375,72776.0
139,1997-12-16,4.625,4.625,4.625,4.625,83852.0
140,1997-12-17,4.475,4.475,4.475,4.475,82280.0
141,1997-12-18,4.15,4.15,4.15,4.15,69656.0
142,1997-12-19,3.925,3.925,3.925,3.925,88408.0
143,1997-12-22,3.575,3.575,3.575,3.575,104192.0
144,1997-12-23,3.725,3.725,3.725,3.725,93008.0
145,1997-12-29,4.05,4.05,4.05,4.05,121884.0
146,1997-12-30,4.125,4.125,4.125,4.125,109096.0
147,1997-12-31,4.15,4.15,4.15,4.15,86072.0
148,1998-01-05,4.225,4.225,4.225,4.225,87904.0
149,1998-01-06,4.225,4.225,4.225,4.225,78608.0
150,1998-01-07,3.825,3.825,3.825,3.825,91136.0
151,1998-01-08,3.925,3.925,3.925,3.925,89860.0
152,1998-01-09,3.8,3.8,3.8,3.8,87476.0
153,1998-01-12,3.425,3.425,3.425,3.425,168584.0
154,1998-01-13,3.525,3.525,3.525,3.525,127784.0
155,1998-01-14,3.55,3.55,3.55,3.55,106688.0
156,1998-01-15,3.2,3.2,3.2,3.2,50596.0
157,1998-01-16,3.375,3.375,3.375,3.375,251940.0
158,1998-01-19,3.625,3.625,3.625,3.625,170808.0
159,1998-01-20,3.75,3.75,3.75,3.75,356552.0
160,1998-01-21,4.1,4.1,4.1,4.1,118704.0
161,1998-01-22,4.1,4.1,4.1,4.1,296324.0
162,1998-01-23,4.375,4.375,4.375,4.375,125492.0
163,1998-01-26,4.325,4.325,4.325,4.325,138796.0
164,1998-01-27,4.25,4.25,4.25,4.25,97860.0
165,1998-01-28,4.425,4.425,4.425,4.425,95052.0
166,1998-01-29,4.65,4.65,4.65,4.65,97012.0
167,1998-01-30,4.425,4.425,4.425,4.425,115352.0
168,1998-02-02,4.675,4.675,4.675,4.675,202720.0
169,1998-02-03,4.725,4.725,4.725,4.725,121776.0
170,1998-02-04,4.525,4.525,4.525,4.525,84124.0
171,1998-02-05,4.55,4.55,4.55,4.55,366856.0
172,1998-02-06,4.625,4.625,4.625,4.625,120960.0
173,1998-02-09,4.175,4.175,4.175,4.175,106500.0
174,1998-02-10,4.275,4.275,4.275,4.275,257448.0
175,1998-02-11,4.25,4.25,4.25,4.25,131240.0
176,1998-02-12,4.225,4.225,4.225,4.225,50712.0
177,1998-02-13,4.1,4.1,4.1,4.1,176988.0
178,1998-02-16,4.05,4.05,4.05,4.05,104284.0
179,1998-02-17,4.175,4.175,4.175,4.175,172200.0
180,1998-02-18,4.25,4.25,4.25,4.25,133324.0
181,1998-02-19,4.3,4.3,4.3,4.3,79924.0
182,1998-02-20,4.125,4.125,4.125,4.125,58916.0
183,1998-02-23,4.1,4.1,4.1,4.1,197312.0
184,1998-02-24,4.125,4.125,4.125,4.125,151104.0
185,1998-02-25,3.925,3.925,3.925,3.925,64352.0
186,1998-02-26,4.05,4.05,4.05,4.05,77224.0
187,1998-02-27,4.05,4.05,4.05,4.05,163664.0
188,1998-03-02,4.225,4.225,4.225,4.225,87580.0
189,1998-03-03,4.425,4.425,4.425,4.425,195940.0
190,1998-03-04,4.25,4.25,4.25,4.25,132000.0
191,1998-03-05,4.125,4.125,4.125,4.125,100920.0
192,1998-03-06,4.25,4.25,4.25,4.25,85840.0
193,1998-03-09,4.5,4.5,4.5,4.5,186216.0
194,1998-03-10,4.65,4.65,4.65,4.65,324448.0
195,1998-03-11,4.75,4.75,4.75,4.75,326972.0
196,1998-03-12,4.75,4.75,4.75,4.75,286976.0
197,1998-03-13,5.05,5.05,5.05,5.05,217960.0
198,1998-03-16,5.4,5.4,5.4,5.4,241880.0
199,1998-03-17,5.525,5.525,5.525,5.525,324084.0
200,1998-03-18,5.375,5.375,5.375,5.375,269744.0
201,1998-03-19,5.375,5.375,5.375,5.375,198400.0
202,1998-03-20,5.125,5.125,5.125,5.125,197380.0
203,1998-03-23,5.1,5.1,5.1,5.1,121432.0
204,1998-03-24,5.0,5.0,5.0,5.0,144140.0
205,1998-03-25,4.975,4.975,4.975,4.975,139824.0
206,1998-03-26,5.1,5.1,5.1,5.1,115020.0
207,1998-03-27,4.85,4.85,4.85,4.85,83172.0
208,1998-03-30,4.65,4.65,4.65,4.65,164516.0
209,1998-03-31,4.65,4.65,4.65,4.65,230496.0
210,1998-04-01,4.7,4.7,4.7,4.7,108640.0
211,1998-04-02,4.65,4.65,4.65,4.65,71400.0
212,1998-04-06,4.725,4.725,4.725,4.725,82576.0
213,1998-04-07,4.925,4.925,4.925,4.925,90336.0
214,1998-04-08,4.775,4.775,4.775,4.775,90952.0
215,1998-04-09,4.775,4.775,4.775,4.775,121800.0
216,1998-04-14,5.1,5.1,5.1,5.1,93268.0
217,1998-04-15,5.175,5.175,5.175,5.175,91352.0
218,1998-04-16,5.0,5.0,5.0,5.0,54924.0
219,1998-04-17,4.825,4.825,4.825,4.825,163084.0
220,1998-04-20,4.875,4.875,4.875,4.875,57648.0
221,1998-04-21,4.7,4.7,4.7,4.7,33516.0
222,1998-04-22,4.75,4.75,4.75,4.75,214780.0
223,1998-04-23,4.75,4.75,4.75,4.75,96052.0
224,1998-04-24,4.825,4.825,4.825,4.825,101016.0
225,1998-04-27,4.95,4.95,4.95,4.95,73412.0
226,1998-04-28,4.75,4.75,4.75,4.75,85180.0
227,1998-04-29,4.725,4.725,4.725,4.725,102248.0
228,1998-04-30,4.9,4.9,4.9,4.9,150124.0
229,1998-05-04,5.125,5.125,5.125,5.125,182736.0
230,1998-05-05,5.125,5.125,5.125,5.125,151420.0
231,1998-05-06,4.95,4.95,4.95,4.95,76076.0
232,1998-05-07,4.85,4.85,4.85,4.85,145980.0
233,1998-05-08,4.85,4.85,4.85,4.85,132356.0
234,1998-05-11,4.975,4.975,4.975,4.975,96616.0
235,1998-05-12,4.9,4.9,4.9,4.9,87832.0
236,1998-05-13,4.85,4.85,4.85,4.85,188624.0
237,1998-05-14,4.125,4.125,4.125,4.125,90992.0
238,1998-05-15,4.1,4.1,4.1,4.1,113712.0
239,1998-05-18,4.0,4.0,4.0,4.0,77648.0
240,1998-05-19,3.6,3.6,3.6,3.6,129012.0
241,1998-05-20,3.6,3.6,3.6,3.6,270248.0
242,1998-05-21,3.8,3.8,3.8,3.8,151624.0
243,1998-05-22,3.725,3.725,3.725,3.725,57640.0
244,1998-05-25,3.65,3.65,3.65,3.65,89408.0
245,1998-05-26,3.575,3.575,3.575,3.575,86828.0
246,1998-05-27,3.325,3.325,3.325,3.325,72236.0
247,1998-05-28,3.225,3.225,3.225,3.225,155068.0
248,1998-05-29,3.325,3.325,3.325,3.325,83288.0
249,1998-06-01,3.125,3.125,3.125,3.125,99908.0
250,1998-06-02,2.95,2.95,2.95,2.95,123104.0
251,1998-06-03,3.225,3.225,3.225,3.225,143604.0
252,1998-06-04,3.2,3.2,3.2,3.2,102400.0
