,Date,Open,High,Low,Close,Volume
0,2017-11-10,8.29,8.29,6.21,6.21,5873
1,2017-11-13,6.16,6.16,5.5,5.98,1713
2,2017-11-14,6.0,7.2,5.6,6.65,4081
3,2017-11-15,6.65,6.65,5.6,6.2,5040
4,2017-11-16,6.2,6.2,5.8,6.0,188
5,2017-11-17,5.8,6.19,5.4,6.19,452
6,2017-11-20,5.9,6.2,5.8,6.2,755
7,2017-11-21,5.81,6.9,5.7,6.32,1155
8,2017-11-22,6.32,6.5,5.9,6.5,357
9,2017-11-24,6.43,6.43,5.8,6.0,1006
10,2017-11-27,5.6,5.6,4.57,5.32,5347
11,2017-11-28,5.0,5.0,4.6,4.9,582
12,2017-11-29,4.9,4.9,3.92,3.92,6259
13,2017-11-30,4.19,4.19,3.8,3.97,1542
14,2017-12-01,3.97,4.5,3.97,4.5,1360
15,2017-12-04,4.6,4.8,4.6,4.8,95
16,2017-12-05,4.5,4.5,3.75,4.4,1440
17,2017-12-06,4.4,4.4,3.76,4.39,1110
18,2017-12-07,3.9,4.19,3.7,4.0,5468
19,2017-12-08,3.9,4.13,3.9,4.13,440
20,2017-12-11,4.13,4.13,3.9,4.12,170
21,2017-12-12,3.9,4.12,3.9,3.9,3240
22,2017-12-13,3.9,4.6,3.9,4.0,2868
23,2017-12-14,4.29,4.29,4.19,4.29,100
24,2017-12-15,4.29,4.29,4.1,4.1,560
25,2017-12-18,4.29,4.39,3.9,4.0,32865
26,2017-12-19,4.13,4.59,4.13,4.59,707
27,2017-12-20,4.56,4.7,4.56,4.65,922
28,2017-12-21,4.65,4.65,4.65,4.65,10
29,2017-12-22,4.55,4.78,4.55,4.78,11504
30,2017-12-28,4.5,4.5,4.39,4.4,2510
31,2017-12-29,4.45,4.45,4.35,4.4,3076
32,2018-01-03,4.3,4.39,4.1,4.1,350
33,2018-01-04,4.15,4.19,4.15,4.19,50
34,2018-01-05,4.18,4.18,3.9,4.15,10178
35,2018-01-08,4.19,4.3,4.19,4.3,337
36,2018-01-10,4.3,4.5,4.2,4.39,115
37,2018-01-11,4.39,4.39,4.39,4.39,5
38,2018-01-12,4.39,4.39,3.61,4.1,1112
39,2018-01-15,3.85,3.85,3.8,3.8,705
40,2018-01-16,3.8,3.93,3.7,3.93,1235
41,2018-01-17,3.93,3.98,3.93,3.98,510
42,2018-01-18,3.98,3.98,3.8,3.8,290
43,2018-01-19,3.86,3.86,3.86,3.86,5
44,2018-01-22,3.86,3.86,3.86,3.86,50
45,2018-01-24,3.87,3.87,3.6,3.6,15
46,2018-01-25,3.86,3.99,3.86,3.99,100
47,2018-01-26,3.96,3.96,3.8,3.8,412
48,2018-02-01,3.7,3.95,3.7,3.95,120
49,2018-02-02,3.96,3.96,3.7,3.96,890
50,2018-02-05,3.96,3.96,3.7,3.86,636
51,2018-02-06,3.7,3.86,3.7,3.86,343
52,2018-02-07,3.86,3.86,3.86,3.86,5
53,2018-02-08,3.86,3.86,3.6,3.86,505
54,2018-02-09,3.86,3.86,3.6,3.86,320
55,2018-02-12,3.5,3.86,3.4,3.6,395
56,2018-02-13,3.5,3.5,3.5,3.5,95
57,2018-02-14,3.5,3.5,3.5,3.5,54
58,2018-02-15,3.59,3.59,3.35,3.35,1160
59,2018-02-16,3.3,3.3,3.25,3.25,550
60,2018-02-19,3.3,3.3,3.3,3.3,150
61,2018-02-20,3.3,3.3,3.3,3.3,10
62,2018-02-21,3.38,3.57,3.1,3.57,4529
63,2018-02-22,3.38,3.6,3.38,3.6,400
64,2018-02-23,3.54,3.7,3.54,3.7,360
65,2018-02-26,3.7,3.9,3.7,3.9,150
66,2018-02-27,3.76,4.19,3.76,4.18,535
67,2018-02-28,3.96,4.17,3.96,4.17,10
68,2018-03-01,3.9,3.9,3.87,3.87,295
69,2018-03-02,3.7,3.91,3.4,3.6,955
70,2018-03-06,3.69,4.15,3.69,4.15,2124
71,2018-03-07,3.7,3.8,3.7,3.8,290
72,2018-03-08,3.8,3.8,3.8,3.8,20
73,2018-03-09,3.8,3.8,3.8,3.8,5
74,2018-03-12,3.8,3.8,3.56,3.56,102
75,2018-03-13,3.8,3.8,3.8,3.8,5
76,2018-03-14,3.8,3.8,3.8,3.8,5
77,2018-03-15,3.8,3.8,3.8,3.8,5
78,2018-03-16,3.8,3.8,3.8,3.8,5
79,2018-03-19,3.8,3.8,3.8,3.8,5
80,2018-03-20,3.8,3.8,3.56,3.56,65
81,2018-03-21,3.8,3.8,3.56,3.56,50
82,2018-03-22,3.56,3.56,3.5,3.5,1183
83,2018-03-23,3.55,3.55,3.55,3.55,285
84,2018-03-26,3.3,3.3,3.3,3.3,117
85,2018-03-27,3.53,3.53,3.53,3.53,5
86,2018-03-28,3.53,3.53,3.3,3.3,55
87,2018-03-29,3.3,3.3,3.3,3.3,100
88,2018-04-03,3.3,3.3,3.3,3.3,5
89,2018-04-04,3.3,3.3,3.3,3.3,5
90,2018-04-05,3.3,3.3,3.3,3.3,105
91,2018-04-06,3.3,3.3,3.3,3.3,5
92,2018-04-09,3.49,3.49,3.49,3.49,4
93,2018-04-10,3.43,3.43,3.43,3.43,5
94,2018-04-11,3.43,3.43,3.43,3.43,5
95,2018-04-12,3.0,3.22,2.9,3.22,2334
96,2018-04-13,3.0,3.0,3.0,3.0,340
97,2018-04-16,2.9,2.9,2.8,2.8,326
98,2018-04-17,2.7,2.7,2.7,2.7,104
