,Date,Open,High,Low,Close,Volume
0,2021-07-23,23.9,25.2,23.715,24.99,185139
1,2021-07-26,24.65,24.9,24.115,24.4,7562
2,2021-07-27,24.5,24.5,24.205,24.3,6226
3,2021-07-28,24.2,24.4,24.015,24.02,4125
4,2021-07-29,24.0,24.0,23.7,23.85,8863
5,2021-07-30,23.8,24.15,23.72,23.82,5994
6,2021-08-02,24.095,25.0,24.095,24.78,5075
7,2021-08-03,24.78,25.1,24.51,24.99,9179
8,2021-08-04,24.61,25.0,24.5,24.8,2883
9,2021-08-05,24.8,24.8,24.17,24.73,8658
10,2021-08-06,24.31,24.5,24.3,24.4,1335
11,2021-08-09,24.4,24.5,24.04,24.05,1870
12,2021-08-10,24.2,24.25,22.02,24.0,6772
13,2021-08-11,24.5,25.25,23.8,24.24,3140
14,2021-08-12,24.46,24.46,24.2,24.4,1035
15,2021-08-13,24.35,24.4,24.0,24.2,1025
16,2021-08-16,24.3,24.3,24.0,24.05,1463
17,2021-08-17,24.0,24.1,23.85,24.1,8866
18,2021-08-18,24.2,24.25,24.0,24.1,1814
19,2021-08-19,24.1,24.15,24.0,24.1,1139
20,2021-08-20,24.1,24.205,24.1,24.2,1336
21,2021-08-23,24.15,24.3,24.0,24.0,4865
22,2021-08-24,24.0,24.1,24.0,24.0,1061
23,2021-08-25,24.05,24.2,24.0,24.0,848
24,2021-08-26,24.2,24.3,24.1,24.3,580
25,2021-08-27,24.35,24.35,24.15,24.35,136
26,2021-08-30,24.45,24.45,24.15,24.15,1407
27,2021-08-31,24.15,24.62,24.15,24.59,7842
28,2021-09-01,24.59,24.69,24.25,24.25,753
29,2021-09-02,24.25,24.45,24.05,24.45,490
30,2021-09-03,24.15,24.45,24.15,24.15,163
31,2021-09-06,24.44,24.55,24.4,24.55,13788
32,2021-09-07,24.54,24.79,24.5,24.79,3788
33,2021-09-08,24.7,24.99,24.5,24.99,6009
34,2021-09-09,24.99,25.0,24.65,25.0,4509
35,2021-09-10,24.95,24.95,24.24,24.7,477
36,2021-09-13,24.54,24.6,24.4,24.6,509
37,2021-09-14,24.55,24.55,24.1,24.11,536
38,2021-09-15,24.12,24.5,24.105,24.105,1466
39,2021-09-16,24.105,24.44,24.0,24.0,804
40,2021-09-17,24.4,24.4,24.0,24.395,1403
41,2021-09-20,24.0,24.29,23.55,24.185,1168
42,2021-09-21,23.56,24.18,23.56,23.89,834
43,2021-09-22,23.6,24.0,23.6,23.7,3695
44,2021-09-23,23.96,24.01,23.95,24.01,1533
45,2021-09-24,24.0,24.25,23.7,24.0,655
46,2021-09-27,23.65,24.24,23.65,24.24,189
47,2021-09-28,23.65,24.24,23.65,24.24,1022
48,2021-09-29,23.55,24.2,23.55,24.2,136
49,2021-09-30,23.7,24.15,23.6,24.0,649
50,2021-10-01,23.85,23.85,23.6,23.6,902
51,2021-10-04,23.6,24.0,23.5,23.65,2201
