,Date,Open,High,Low,Close,Volume
0,2013-04-09,0.34847,0.40908,0.28787,0.33332,77057
1,2013-04-10,0.30302,0.30302,0.27272,0.27272,5300
2,2013-04-11,0.24848,0.29999,0.21818,0.27272,1501
3,2013-04-12,0.29394,0.29394,0.29394,0.29394,379
4,2013-04-17,0.31514,0.31514,0.30302,0.30302,80
5,2013-05-02,0.28484,0.28787,0.28484,0.28787,4669
6,2013-05-06,0.30302,0.30302,0.30302,0.30302,825
7,2013-06-05,0.30302,0.30302,0.30302,0.30302,396
8,2013-06-06,0.30302,0.30302,0.30302,0.30302,99
9,2013-06-10,0.31817,0.31817,0.31817,0.31817,1650
10,2013-08-05,0.30302,0.30302,0.30302,0.30302,132
11,2013-08-09,0.24545,0.24545,0.22727,0.22727,6271
12,2013-08-14,0.18485,0.22121,0.15757,0.15757,12210
13,2013-08-16,0.18788,0.22424,0.18788,0.22424,561
14,2013-08-20,0.22424,0.2606,0.21515,0.21515,22140
15,2013-08-21,0.25454,0.30302,0.25454,0.30302,36849
16,2013-08-22,0.30302,0.34847,0.30302,0.34847,29515
17,2013-08-23,0.36363,0.42423,0.36363,0.42423,36948
18,2013-08-26,0.42423,0.42423,0.34241,0.34847,16587
19,2013-08-27,0.37878,0.39393,0.37878,0.39393,1758
20,2013-08-28,0.36363,0.36363,0.33332,0.33332,74143
21,2013-08-29,0.28787,0.28787,0.28787,0.28787,1650
22,2013-08-30,0.31817,0.31817,0.31817,0.31817,1244
23,2013-09-02,0.31817,0.3303,0.27272,0.31817,31846
24,2013-09-03,0.27575,0.31817,0.27575,0.31817,9933
25,2013-09-04,0.31817,0.32424,0.26363,0.26363,18540
26,2013-09-05,0.29696,0.29696,0.27878,0.27878,8462
27,2013-09-06,0.27272,0.27272,0.26969,0.26969,6600
28,2013-09-09,0.27272,0.30302,0.25454,0.30302,65054
29,2013-09-10,0.29696,0.29999,0.27272,0.29999,3551
30,2013-09-11,0.27575,0.27575,0.27575,0.27575,5934
31,2013-09-12,0.24242,0.28787,0.24242,0.28787,363
32,2013-09-13,0.25757,0.25757,0.24848,0.24848,6607
33,2013-09-20,0.28787,0.32121,0.28787,0.32121,17006
34,2013-09-23,0.32121,0.32121,0.31817,0.32121,9184
35,2013-09-24,0.32121,0.32121,0.32121,0.32121,3696
36,2013-09-25,0.3606,0.36363,0.3606,0.36363,13817
37,2013-09-27,0.36363,0.36363,0.35757,0.35757,6600
38,2013-09-30,0.35757,0.36968,0.34847,0.36968,12683
39,2013-10-01,0.35757,0.35757,0.35454,0.35454,10712
40,2013-10-03,0.35757,0.35757,0.35757,0.35757,8993
41,2013-10-07,0.35757,0.37878,0.30605,0.37878,19392
42,2013-10-11,0.34847,0.34847,0.34847,0.34847,8944
43,2013-10-14,0.35757,0.35757,0.35757,0.35757,63550
44,2013-10-15,0.35757,0.35757,0.35757,0.35757,19441
45,2013-10-16,0.35757,0.35757,0.31211,0.31211,9798
46,2013-10-17,0.33635,0.33635,0.30605,0.30605,4304
47,2013-10-18,0.32424,0.32424,0.32424,0.32424,228
48,2013-10-22,0.33635,0.33635,0.33635,0.33635,661
49,2013-10-23,0.33635,0.33635,0.33635,0.33635,66
50,2013-10-24,0.33635,0.33635,0.33635,0.33635,17820
51,2013-10-28,0.33635,0.37878,0.33635,0.37878,27480
52,2013-10-29,0.43938,0.45149,0.37878,0.39393,86212
53,2013-10-30,0.39393,0.39393,0.39393,0.39393,3301
54,2013-11-04,0.40302,0.40302,0.40302,0.40302,14897
55,2013-11-05,0.40908,0.44851,0.40908,0.44851,22906
56,2013-11-06,0.42423,0.45457,0.42423,0.45457,4382
57,2013-11-12,0.41817,0.41817,0.41817,0.41817,661
58,2013-11-13,0.41817,0.41817,0.3909,0.39393,8072
59,2013-11-14,0.43938,0.5091,0.43938,0.45755,34320
60,2013-11-18,0.503,0.503,0.45457,0.46062,55013
61,2013-11-21,0.46062,0.46062,0.46062,0.46062,49
62,2013-11-22,0.42423,0.44851,0.40302,0.44851,17497
63,2013-11-27,0.44851,0.44851,0.3909,0.3909,12191
64,2013-12-02,0.42423,0.42423,0.42423,0.42423,3
65,2013-12-03,0.42423,0.42423,0.42423,0.42423,327
