,Date,Open,High,Low,Close,Volume
0,2021-11-03,47.4,48.0,41.0,48.0,2562
1,2021-11-04,48.0,48.0,48.0,48.0,21
2,2021-11-05,47.0,47.0,47.0,47.0,120
3,2021-11-08,47.0,47.0,47.0,47.0,1
4,2021-11-09,45.0,45.0,44.0,44.0,50
5,2021-11-10,44.0,44.0,44.0,44.0,1
6,2021-11-12,44.0,44.0,42.0,42.0,113
7,2021-11-15,42.995,42.995,42.995,42.995,1
8,2021-11-16,42.0,42.0,42.0,42.0,3
9,2021-11-17,42.0,42.9,41.0,41.0,55
10,2021-11-18,41.0,41.0,41.0,41.0,1
11,2021-11-19,41.0,41.0,41.0,41.0,1
12,2021-11-22,41.0,41.0,41.0,41.0,1
13,2021-11-25,42.0,42.0,40.0,40.4,61
14,2021-11-26,40.4,40.5,40.4,40.5,10
15,2021-11-30,41.2,41.2,41.2,41.2,1
16,2021-12-01,41.32,41.32,41.32,41.32,1
17,2021-12-02,41.32,41.32,41.32,41.32,1
18,2021-12-03,41.32,41.32,41.32,41.32,1
19,2021-12-06,41.32,41.32,41.3,41.32,59
20,2021-12-13,42.76,42.76,42.76,42.76,1
21,2021-12-14,42.76,42.76,42.76,42.76,1
22,2021-12-15,42.76,42.76,42.76,42.76,1
23,2021-12-16,42.76,42.76,42.76,42.76,1
24,2021-12-17,42.76,42.76,42.76,42.76,1
25,2021-12-20,42.76,42.76,42.76,42.76,1
26,2021-12-21,42.76,42.76,42.76,42.76,1
27,2021-12-22,42.76,42.76,42.76,42.76,1
28,2021-12-23,42.0,42.0,42.0,42.0,1000
29,2021-12-27,42.0,42.0,42.0,42.0,1
30,2021-12-28,42.5,42.5,42.5,42.5,1
31,2021-12-29,42.0,42.0,42.0,42.0,1
32,2022-01-04,42.76,42.76,42.48,42.48,6
33,2022-01-05,42.76,42.76,42.76,42.76,1
34,2022-01-07,42.76,42.76,42.76,42.76,1
35,2022-01-10,42.76,42.76,42.76,42.76,1
36,2022-01-11,42.76,42.76,42.76,42.76,1
37,2022-01-12,42.76,42.76,42.76,42.76,1
38,2022-01-13,42.76,42.76,42.76,42.76,1
39,2022-01-14,42.76,42.76,42.76,42.76,1
40,2022-01-17,42.76,42.76,42.76,42.76,32
41,2022-01-18,42.76,42.76,42.76,42.76,1
42,2022-01-19,42.76,42.76,42.76,42.76,1
43,2022-01-20,42.76,42.76,42.76,42.76,1
44,2022-01-21,42.76,42.76,42.76,42.76,1
45,2022-01-24,42.76,42.76,42.76,42.76,1
46,2022-01-25,42.76,42.76,42.76,42.76,1
47,2022-01-26,42.76,42.76,42.76,42.76,1
48,2022-01-27,42.9,43.0,42.8,42.9,50
49,2022-01-28,43.2,43.3,43.2,43.3,15
50,2022-01-31,45.0,54.0,45.0,51.7,51
51,2022-02-01,53.8,54.5,53.8,54.5,10
52,2022-02-02,55.0,57.0,55.0,57.0,31
53,2022-02-03,55.2,55.2,55.2,55.2,1
54,2022-02-04,54.9,54.9,54.9,54.9,1
