,Date,Open,High,Low,Close,Volume
0,2019-05-08,7.3591,11.039,5.1946,11.039,27401
1,2019-05-09,13.247,15.757,12.122,14.978,36552
2,2019-05-10,13.159,13.853,11.255,11.255,12491
3,2019-05-13,10.65,10.693,7.3591,8.6144,23900
4,2019-05-14,8.5712,11.688,7.792,9.523,26291
5,2019-05-15,11.16,13.159,10.823,12.978,20034
6,2019-05-16,13.939,16.363,11.437,12.294,47995
7,2019-05-17,13.592,14.632,13.073,13.766,14601
8,2019-05-20,13.853,14.112,12.813,13.592,4348
9,2019-05-21,12.467,12.683,11.445,12.371,3454
10,2019-05-22,12.476,12.476,10.216,10.216,7255
11,2019-05-23,10.779,12.294,10.216,11.68,3772
12,2019-05-24,11.948,11.948,10.519,11.316,2546
13,2019-05-27,11.419,11.515,10.823,11.515,1148
14,2019-05-28,10.917,12.104,9.523,10.519,9288
15,2019-05-29,11.203,11.203,9.784,10.389,1056
16,2019-05-30,10.216,10.389,10.086,10.086,1686
17,2019-05-31,9.567,10.736,9.523,9.714,1221
18,2019-06-03,9.784,10.389,9.534,9.956,1821
19,2019-06-04,9.523,9.956,9.1778,9.3506,4459
20,2019-06-05,9.61,9.696,8.8739,9.2642,2746
21,2019-06-06,9.2642,9.2642,8.2248,8.6577,2228
22,2019-06-07,8.3114,9.0914,7.8786,9.0914,4268
23,2019-06-10,9.0041,9.0914,7.9911,8.2248,6215
24,2019-06-11,8.2335,9.082,8.2248,9.0041,4721
25,2019-06-12,8.8307,8.9599,7.8786,8.0517,1902
26,2019-06-13,8.0776,8.5626,8.0776,8.5626,443
27,2019-06-14,8.4846,8.6577,8.3114,8.6577,341
28,2019-06-17,8.6577,8.6577,7.9669,8.1383,739
29,2019-06-18,7.9911,8.1383,7.2032,7.4284,5239
30,2019-06-19,7.4197,7.7228,7.2379,7.2379,3122
31,2019-06-21,7.3071,7.7055,7.3071,7.7055,498
32,2019-06-24,7.5322,7.5322,7.2032,7.2292,906
33,2019-06-25,7.3591,7.792,7.3591,7.3591,908
34,2019-06-26,7.7055,7.7055,7.0994,7.2552,1611
35,2019-06-27,7.0821,7.0821,6.4067,6.753,3952
36,2019-06-28,6.753,7.6188,6.6146,7.6101,4991
37,2019-07-01,7.4457,8.1469,7.4457,7.792,3290
38,2019-07-02,7.6362,7.6362,6.9262,7.0128,3381
39,2019-07-03,6.9367,7.437,6.9262,7.3071,3174
40,2019-07-04,7.3159,7.4457,7.0128,7.4457,2167
41,2019-07-05,7.0647,7.3504,6.9522,7.3504,974
42,2019-07-08,7.3504,7.3591,6.9444,7.3504,538
43,2019-07-09,7.7276,7.7276,6.6237,7.0376,4519
44,2019-07-10,7.0367,7.2124,6.9181,7.0837,1885
45,2019-07-11,7.0837,7.0837,6.9916,6.9916,51
46,2019-07-12,6.8997,7.1204,6.6237,7.1204,1926
47,2019-07-15,6.7166,6.8058,6.6255,6.8076,1401
48,2019-07-16,6.9365,6.9365,6.6255,6.8997,719
49,2019-07-17,6.8849,6.8849,6.6237,6.872,1790
50,2019-07-18,6.6421,6.8444,6.6421,6.8076,152
51,2019-07-19,6.6788,6.7617,6.6696,6.7157,1640
52,2019-07-22,6.4581,6.7157,6.0717,6.0809,5283
53,2019-07-23,6.1085,6.1177,5.3357,6.0717,16591
54,2019-07-24,6.068,6.6237,5.9797,6.2557,5225
55,2019-07-25,6.2373,6.2373,5.7221,5.9797,7646
56,2019-07-26,5.9797,6.0717,5.7221,5.7221,877
57,2019-07-29,5.7221,5.9337,5.7221,5.9337,637
58,2019-07-30,6.0257,6.0257,5.7258,6.0257,385
59,2019-07-31,5.9613,5.9613,5.7957,5.942,1981
60,2019-08-01,5.942,5.942,5.942,5.942,68
61,2019-08-02,5.8785,5.8785,5.6117,5.6117,894
62,2019-08-05,5.8693,5.9797,5.6228,5.7038,1006
63,2019-08-06,5.7038,6.0257,5.6126,6.0257,1105
64,2019-08-07,5.9797,8.0956,5.9797,7.5436,15923
65,2019-08-08,7.5436,8.8775,7.5436,8.1416,3993
66,2019-08-09,8.1876,10.946,8.1876,9.963,22669
67,2019-08-12,9.3103,11.049,9.3103,10.395,8604
68,2019-08-13,10.671,11.959,9.4756,10.12,11155
69,2019-08-14,10.745,10.745,8.7948,9.1816,5171
70,2019-08-16,9.1168,9.1816,7.2952,8.7395,2838
71,2019-08-19,8.4636,9.0153,7.6567,8.1038,5703
72,2019-08-20,8.7386,8.7386,7.7,8.2428,1486
73,2019-08-21,8.4452,8.4452,7.6172,7.7046,724
74,2019-08-22,8.1857,8.5555,7.7046,7.9024,798
75,2019-08-26,7.3596,7.8104,7.2677,7.6356,3172
76,2019-08-27,7.2677,7.6347,6.9089,7.0837,866
77,2019-08-28,6.9181,8.2888,6.9181,8.2888,4777
78,2019-08-29,8.3807,9.936,8.3807,9.936,13887
79,2019-08-30,9.66,9.844,8.9233,9.4756,6341
80,2019-09-02,9.66,9.66,8.6476,8.8316,2816
81,2019-09-03,9.66,9.66,8.5096,8.6935,2970
82,2019-09-04,8.6935,8.8867,7.93,8.1876,2335
83,2019-09-05,8.459,8.5004,7.9944,8.5004,778
84,2019-09-06,8.5739,9.1994,8.5739,9.0153,2427
85,2019-09-09,9.0153,9.4944,8.8775,9.4295,1415
86,2019-09-10,9.0707,9.4568,8.9233,9.2915,1175
87,2019-09-11,9.3375,11.039,9.3375,10.12,11183
88,2019-09-12,10.036,11.408,9.522,10.763,11408
89,2019-09-13,10.763,10.763,9.66,9.66,3791
90,2019-09-16,10.533,10.579,9.846,10.579,2132
91,2019-09-17,10.763,10.947,9.568,9.568,2972
92,2019-09-18,9.715,10.349,9.4295,9.4295,1756
