,Date,Open,High,Low,Close,Volume
0,2014-10-28,11.328,11.476,11.032,11.284,65270
1,2014-10-29,11.29,11.395,11.254,11.386,15314
2,2014-10-30,11.386,11.92,11.386,11.92,24094
3,2014-10-31,12.024,12.439,12.024,12.431,25606
4,2014-11-03,12.49,12.949,12.439,12.58,22787
5,2014-11-04,12.794,12.794,12.157,12.157,10272
6,2014-11-05,12.157,12.401,12.157,12.349,2300
7,2014-11-06,12.328,12.328,12.142,12.328,3360
8,2014-11-07,12.291,12.586,11.934,12.586,17017
9,2014-11-10,12.549,12.905,12.262,12.809,2861
10,2014-11-12,12.727,13.068,12.727,13.068,4028
11,2014-11-13,13.164,13.69,13.164,13.622,3375
12,2014-11-14,13.816,14.068,13.557,13.994,8002
13,2014-11-17,14.141,14.807,14.141,14.438,13303
14,2014-11-18,14.585,14.585,14.291,14.459,2470
15,2014-11-19,14.074,14.163,13.771,14.068,5123
16,2014-11-20,14.068,14.068,13.92,14.068,3910
17,2014-11-21,13.926,14.068,13.926,14.068,3455
18,2014-11-24,14.068,14.363,13.697,14.216,7468
19,2014-11-25,14.06,14.06,13.697,13.92,2289
20,2014-11-26,14.06,14.068,13.92,13.92,3122
21,2014-11-27,14.438,14.438,14.216,14.356,310
22,2014-11-28,14.216,14.438,14.207,14.207,93
23,2014-12-01,14.068,14.068,14.068,14.068,675
24,2014-12-02,14.068,14.141,14.068,14.141,303
25,2014-12-03,13.697,14.068,13.622,14.053,2414
26,2014-12-04,14.06,14.06,13.92,13.92,723
27,2014-12-05,13.92,13.994,12.845,13.216,5821
28,2014-12-08,13.253,13.697,13.253,13.548,1257
29,2014-12-09,13.587,13.771,13.327,13.771,1040
30,2014-12-10,13.771,13.771,13.327,13.622,1747
31,2014-12-11,13.622,13.622,12.956,13.37,3094
32,2014-12-12,13.327,13.327,12.956,13.306,2025
33,2014-12-15,13.467,13.467,13.467,13.467,5
34,2014-12-16,13.105,13.105,12.741,13.105,5807
35,2014-12-17,13.098,13.098,12.164,12.956,6687
36,2014-12-18,13.06,13.06,12.216,12.216,2249
37,2014-12-19,12.231,13.615,12.231,13.615,4643
38,2014-12-22,13.542,13.542,12.956,13.467,367
39,2014-12-23,13.43,13.43,12.956,13.312,317
40,2014-12-29,13.312,13.312,12.956,13.179,155
41,2014-12-30,13.172,13.172,13.172,13.172,28
42,2015-01-02,13.327,13.327,13.327,13.327,39
43,2015-01-05,13.32,13.542,12.956,13.244,236
44,2015-01-07,13.327,13.327,13.327,13.327,5
45,2015-01-08,13.312,13.512,13.253,13.327,1538
46,2015-01-09,13.327,13.542,12.883,12.883,2135
47,2015-01-12,12.883,13.179,12.845,13.179,2239
48,2015-01-13,13.32,13.327,13.253,13.32,494
49,2015-01-14,13.209,13.209,12.956,12.956,65
50,2015-01-15,12.623,13.216,12.216,13.06,1872
51,2015-01-16,13.06,13.172,13.06,13.172,210
52,2015-01-19,13.253,13.253,13.216,13.216,89
53,2015-01-20,13.164,13.179,13.164,13.179,12
54,2015-01-21,13.098,13.098,12.735,13.068,9504
55,2015-01-22,13.031,13.031,12.586,12.586,325
56,2015-01-23,12.586,12.586,11.958,12.068,11766
57,2015-01-26,12.328,12.328,11.698,12.054,14182
58,2015-01-27,12.18,12.18,11.993,11.993,175
59,2015-01-28,12.106,12.216,11.958,12.202,4227
60,2015-01-29,12.106,12.216,12.106,12.216,466
61,2015-01-30,12.252,12.439,12.068,12.291,4562
62,2015-02-02,12.424,12.424,11.66,12.252,1241
63,2015-02-03,12.267,12.267,11.845,12.149,507
64,2015-02-04,12.187,12.187,11.793,11.793,1680
65,2015-02-05,11.845,12.068,11.727,11.727,7557
66,2015-02-06,11.727,12.727,11.698,12.291,8489
67,2015-02-09,13.031,13.031,12.002,12.439,3893
68,2015-02-10,12.231,12.475,11.845,12.127,7799
69,2015-02-11,11.855,11.987,11.735,11.735,6244
70,2015-02-12,11.92,11.92,11.246,11.365,4222
71,2015-02-13,11.476,11.698,11.476,11.698,1649
72,2015-02-16,11.721,11.721,11.402,11.698,645
73,2015-02-17,11.698,11.698,11.343,11.343,1597
74,2015-02-18,11.476,11.698,11.476,11.698,2303
75,2015-02-19,11.721,12.461,11.721,12.216,2362
76,2015-02-20,12.216,12.514,12.216,12.216,2500
77,2015-02-23,11.86,12.187,11.855,12.18,1209
78,2015-02-24,12.18,12.18,11.845,11.845,5052
79,2015-02-25,11.92,11.92,11.698,11.706,3560
80,2015-02-26,11.92,11.92,11.735,11.92,1339
81,2015-02-27,11.92,12.439,11.698,11.698,17577
82,2015-03-02,11.698,12.068,11.55,12.031,6074
83,2015-03-03,11.845,12.068,11.845,11.845,3557
84,2015-03-04,11.712,11.845,11.55,11.727,3306
85,2015-03-05,11.845,11.987,11.845,11.987,4495
86,2015-03-06,12.187,12.187,11.993,12.098,3807
87,2015-03-09,12.149,12.187,11.845,11.845,3779
88,2015-03-11,11.993,11.993,11.845,11.845,685
89,2015-03-12,11.512,11.845,11.512,11.845,108
90,2015-03-13,11.623,11.633,11.623,11.623,7771
91,2015-03-16,11.92,11.92,11.633,11.633,21
92,2015-03-17,11.845,11.845,11.845,11.845,34
93,2015-03-18,11.958,12.216,11.958,12.216,877
94,2015-03-19,12.18,12.705,12.18,12.705,4906
95,2015-03-20,12.705,14.363,12.705,14.03,50468
96,2015-03-23,14.068,14.068,13.349,14.03,10397
97,2015-03-24,14.03,14.03,13.438,13.542,5990
98,2015-03-25,13.512,13.622,13.512,13.548,1235
99,2015-03-26,13.475,13.697,13.253,13.534,7776
100,2015-03-27,13.548,13.704,13.365,13.438,16360
101,2015-03-30,13.438,13.682,13.438,13.682,1248
102,2015-03-31,13.69,13.69,13.327,13.327,7150
103,2015-04-01,13.467,13.467,12.956,13.172,5014
104,2015-04-02,13.157,13.157,12.364,12.69,7340
105,2015-04-07,12.756,13.098,12.756,12.949,10006
106,2015-04-08,12.949,13.32,12.949,13.054,15136
107,2015-04-09,13.239,13.239,12.897,12.897,6121
108,2015-04-10,12.897,13.098,12.822,13.09,1505
109,2015-04-13,12.845,12.994,12.831,12.905,1837
110,2015-04-14,12.905,12.912,12.89,12.89,439
111,2015-04-15,12.875,12.875,12.594,12.845,3219
112,2015-04-16,12.809,12.809,12.697,12.697,3904
113,2015-04-17,12.697,13.105,12.697,13.105,1210
114,2015-04-20,13.098,13.098,12.816,13.031,4660
115,2015-04-21,13.306,13.306,12.794,13.172,1591
116,2015-04-22,13.172,13.172,12.831,13.023,1481
117,2015-04-23,13.09,13.09,13.084,13.084,485
118,2015-04-24,13.039,13.039,12.956,13.016,1107
119,2015-04-27,13.054,13.054,12.586,12.883,5852
120,2015-04-28,12.994,12.994,12.586,12.75,1934
121,2015-04-29,12.89,12.89,12.586,12.586,2562
122,2015-04-30,12.586,12.801,12.461,12.801,2688
123,2015-05-04,12.883,12.883,12.719,12.719,344
124,2015-05-05,12.719,12.831,12.719,12.809,2083
125,2015-05-06,12.875,13.29,12.809,13.29,10174
126,2015-05-07,13.557,13.66,13.327,13.43,5645
127,2015-05-08,13.615,13.615,13.327,13.423,2786
128,2015-05-11,13.179,13.43,13.179,13.43,744
129,2015-05-12,13.327,13.327,12.994,13.32,3725
130,2015-05-13,13.312,13.312,12.822,13.179,3262
131,2015-05-14,13.179,13.179,12.638,12.956,6834
132,2015-05-15,12.439,12.468,11.476,12.091,28754
133,2015-05-18,12.091,12.949,12.068,12.949,13453
134,2015-05-19,12.845,12.956,12.697,12.735,1210
135,2015-05-20,12.919,12.919,12.216,12.297,6957
136,2015-05-21,12.683,12.683,12.328,12.616,1260
137,2015-05-22,12.616,12.77,12.297,12.661,4453
138,2015-05-25,12.699,12.892,12.583,12.583,342
139,2015-05-26,12.474,12.761,12.474,12.761,466
140,2015-05-27,12.745,12.754,12.544,12.544,2071
141,2015-05-28,12.544,12.544,12.544,12.544,1033
142,2015-05-29,12.474,12.613,12.389,12.613,1384
143,2015-06-01,12.406,12.406,11.616,11.924,8581
144,2015-06-02,12.003,12.119,12.003,12.003,1390
145,2015-06-03,12.234,12.234,11.924,11.924,1616
146,2015-06-05,11.769,11.769,11.654,11.654,1192
147,2015-06-08,11.661,12.53,11.654,12.296,3419
148,2015-06-09,11.731,12.08,11.693,11.693,2414
149,2015-06-10,12.196,12.212,11.693,12.157,721
150,2015-06-11,12.135,12.196,11.747,12.196,4597
151,2015-06-12,12.218,12.218,11.894,11.963,400
152,2015-06-15,12.227,12.227,12.227,12.227,65
153,2015-06-16,12.003,12.003,11.856,12.003,775
154,2015-06-17,12.003,12.157,12.003,12.003,558
155,2015-06-18,12.003,12.003,11.856,11.856,175
156,2015-06-19,11.856,11.887,11.856,11.887,65
157,2015-06-22,12.196,12.196,12.196,12.196,5
158,2015-06-23,11.887,12.111,11.887,12.111,684
159,2015-06-24,12.119,12.119,11.924,11.924,1386
160,2015-06-25,12.072,12.072,11.769,12.049,118
161,2015-06-26,12.056,12.056,11.654,11.731,2267
162,2015-06-29,11.654,11.654,10.958,11.576,3309
163,2015-06-30,10.974,11.576,10.974,11.576,210
164,2015-07-01,11.305,11.809,11.228,11.809,2338
165,2015-07-02,11.809,12.305,11.809,12.305,4851
166,2015-07-03,12.313,12.313,12.017,12.017,762
167,2015-07-06,12.227,12.227,11.693,11.693,113
168,2015-07-07,11.693,11.731,11.693,11.715,84
169,2015-07-08,12.157,12.157,11.7,12.157,1136
170,2015-07-09,12.196,12.203,12.196,12.203,251
171,2015-07-10,12.374,12.374,12.374,12.374,141
172,2015-07-13,12.382,12.382,12.003,12.003,658
173,2015-07-14,12.157,12.157,11.769,12.003,21
174,2015-07-15,12.234,12.234,11.777,12.187,400
175,2015-07-16,12.227,12.227,11.785,12.157,1454
176,2015-07-17,12.351,12.351,11.731,12.196,137
177,2015-07-20,11.731,11.918,11.057,11.468,2184
178,2015-07-21,11.809,11.809,11.228,11.266,1368
179,2015-07-22,11.228,11.228,11.228,11.228,489
180,2015-07-23,11.84,11.84,11.616,11.616,93
181,2015-07-24,11.924,11.924,11.616,11.693,127
182,2015-07-27,11.693,12.049,11.693,12.049,177
183,2015-07-28,12.003,12.003,12.003,12.003,395
184,2015-07-29,12.003,12.003,12.003,12.003,61
185,2015-07-30,12.003,12.265,12.003,12.265,402
186,2015-07-31,12.064,12.064,11.236,11.84,1469
187,2015-08-03,11.847,11.847,11.693,11.847,1033
188,2015-08-04,11.7,11.7,11.693,11.693,1141
189,2015-08-06,11.693,11.693,11.5,11.616,489
190,2015-08-07,11.84,11.994,11.84,11.994,1320
191,2015-08-10,11.994,12.111,11.887,12.111,3606
192,2015-08-11,12.157,12.157,12.119,12.119,480
193,2015-08-12,12.157,12.157,12.017,12.111,60
194,2015-08-13,11.646,12.111,11.646,12.111,4
195,2015-08-14,12.003,12.003,11.963,12.003,89
196,2015-08-17,12.296,12.77,12.296,12.676,59708
197,2015-08-18,12.73,12.73,12.421,12.583,3001
198,2015-08-19,12.652,12.652,12.374,12.374,66868
199,2015-08-20,12.389,12.412,12.026,12.313,931
200,2015-08-21,12.544,12.544,12.544,12.544,3
201,2015-08-24,12.351,12.351,11.507,11.739,9398
202,2015-08-25,11.909,11.909,11.616,11.801,2422
203,2015-08-26,11.862,11.948,11.569,11.948,1859
204,2015-08-27,11.948,12.234,11.847,12.234,21957
205,2015-08-28,12.234,12.389,12.234,12.389,1387
206,2015-08-31,12.382,12.382,11.902,12.313,1458
207,2015-09-01,12.313,12.313,11.7,12.234,4137
208,2015-09-02,12.234,12.234,11.924,11.924,388
209,2015-09-03,11.924,12.412,11.924,12.389,5073
210,2015-09-04,12.389,12.676,12.389,12.467,8729
211,2015-09-07,12.359,12.467,12.359,12.467,2232
212,2015-09-08,12.606,12.606,12.389,12.389,1564
213,2015-09-09,12.389,12.676,12.389,12.676,644
214,2015-09-10,12.691,12.691,12.397,12.397,208
215,2015-09-11,12.397,12.676,12.389,12.389,905
216,2015-09-14,12.389,12.684,12.389,12.397,2197
217,2015-09-15,12.389,12.427,12.389,12.389,3023
