,Date,Open,High,Low,Close,Volume
0,1994-08-02,8.0471,8.0471,8.0471,8.0471,357108.0
1,1994-08-03,8.8385,8.8385,8.8385,8.8385,334563.0
2,1994-08-04,9.715,9.715,9.715,9.715,365739.0
3,1994-08-08,8.8385,8.8385,8.8385,8.8385,271213.0
4,1994-08-09,10.432,10.432,10.432,10.432,139342.0
5,1994-08-10,9.84,9.84,9.84,9.84,160764.0
6,1994-08-11,9.639,9.639,9.639,9.639,131529.0
7,1994-08-16,10.241,10.241,10.241,10.241,83785.0
8,1994-08-17,10.755,10.755,10.755,10.755,84834.0
9,1994-08-18,9.677,9.677,9.677,9.677,56118.0
10,1994-08-22,10.041,10.041,10.041,10.041,108045.0
11,1994-08-23,9.2389,9.2389,9.2389,9.2389,70407.0
12,1994-08-24,9.0386,9.0386,9.0386,9.0386,78179.0
13,1994-08-25,8.1235,8.1235,8.1235,8.1235,65907.0
14,1994-08-29,8.8003,8.8003,8.8003,8.8003,91307.0
15,1994-08-30,8.7622,8.7622,8.7622,8.7622,59243.0
16,1994-08-31,8.2473,8.2473,8.2473,8.2473,48104.0
17,1994-09-01,8.0471,8.0471,8.0471,8.0471,70109.0
18,1994-09-05,7.6466,7.6466,7.6466,7.6466,44351.0
19,1994-09-06,6.8744,6.8744,6.8744,6.8744,38826.0
20,1994-09-07,6.1974,6.1974,6.1974,6.1974,161320.0
21,1994-09-08,6.7886,6.7886,6.7886,6.7886,89289.0
22,1994-09-12,7.4465,7.4465,7.4465,7.4465,111816.0
23,1994-09-13,6.7123,6.7123,6.7123,6.7123,168285.0
24,1994-09-14,6.8267,6.8267,6.8267,6.8267,69782.0
25,1994-09-15,6.6932,6.6932,6.6932,6.6932,40467.0
26,1994-09-19,6.6742,6.6742,6.6742,6.6742,56496.0
27,1994-09-20,6.0162,6.0162,6.0162,6.0162,65080.0
28,1994-09-21,5.4728,5.4728,5.4728,5.4728,92244.0
29,1994-09-22,5.692,5.692,5.692,5.692,81628.0
30,1994-09-26,5.5395,5.5395,5.5395,5.5395,51328.0
31,1994-09-27,5.1392,5.1392,5.1392,5.1392,58148.0
