,Date,Open,High,Low,Close,Volume
0,2018-05-25,22.0,32.9,18.0,32.0,130417
1,2018-05-28,32.3,36.0,28.0,31.0,58601
2,2018-05-29,30.8,34.0,26.5,32.0,32841
3,2018-05-30,32.99,35.0,28.3,35.0,31045
4,2018-06-01,32.02,37.99,30.6,30.9,10845
5,2018-06-04,32.4,32.58,28.85,31.0,3203
6,2018-06-05,31.0,33.79,28.9,32.35,4888
7,2018-06-06,33.2,33.7,30.0,33.7,4299
8,2018-06-07,33.5,35.0,31.4,34.0,8170
9,2018-06-08,34.0,34.0,31.5,33.45,1575
10,2018-06-11,33.65,33.66,31.18,31.2,3304
11,2018-06-12,32.9,32.9,31.0,31.0,298
12,2018-06-13,31.94,31.94,30.5,30.6,484
13,2018-06-14,31.0,31.92,30.5,31.8,1486
14,2018-06-15,31.91,32.9,31.0,31.0,2131
15,2018-06-18,32.37,32.37,30.7,32.34,1004
16,2018-06-19,32.0,32.79,31.5,32.79,268
17,2018-06-20,32.9,35.6,32.8,35.6,10694
18,2018-06-21,35.59,36.4,32.5,36.4,12015
19,2018-06-22,36.4,36.4,33.8,35.5,2283
20,2018-06-25,35.9,35.9,33.71,34.25,1119
21,2018-06-26,34.77,34.77,31.36,33.4,3806
22,2018-06-27,33.4,34.0,31.5,34.0,5014
23,2018-06-28,34.3,36.0,32.3,36.0,8107
24,2018-06-29,35.5,38.0,34.5,38.0,6895
25,2018-07-02,38.0,38.9,36.0,36.0,7177
26,2018-07-03,37.22,37.22,34.5,36.68,600
27,2018-07-04,36.7,37.9,36.7,37.9,775
28,2018-07-05,35.61,38.9,35.61,38.9,2072
29,2018-07-06,38.9,39.0,37.6,38.31,2002
30,2018-07-09,38.95,39.89,36.51,39.7,4437
31,2018-07-10,39.8,41.2,39.7,41.0,3952
32,2018-07-11,41.5,49.0,41.5,43.48,15815
33,2018-07-12,45.0,45.0,43.52,43.52,14350
34,2018-07-13,43.5,44.95,43.5,43.94,4819
35,2018-07-16,45.57,45.57,43.01,43.96,3611
36,2018-07-17,44.9,44.9,42.6,43.7,3770
37,2018-07-18,43.6,43.6,43.0,43.4,2722
38,2018-07-19,44.4,44.4,42.9,43.75,3035
39,2018-07-20,43.98,44.1,43.0,43.0,4623
40,2018-07-23,42.7,43.0,42.0,43.0,2627
41,2018-07-24,43.0,43.0,42.1,42.85,3093
42,2018-07-25,43.0,43.0,42.2,42.2,3058
43,2018-07-26,44.2,44.2,40.4,42.99,3651
44,2018-07-27,43.21,44.9,42.71,43.78,12048
45,2018-07-30,44.0,47.7,44.0,44.1,32431
46,2018-07-31,44.5,46.5,43.42,46.5,7769
47,2018-08-01,46.4,46.4,45.0,45.85,7641
48,2018-08-02,46.09,49.5,46.0,49.5,17882
49,2018-08-03,51.5,55.55,50.5,53.0,39897
50,2018-08-06,54.0,54.85,48.6,50.6,10553
51,2018-08-07,50.0,50.0,46.7,48.5,9281
52,2018-08-08,50.79,51.8,48.0,48.11,9175
53,2018-08-09,49.6,49.6,45.5,46.95,8968
54,2018-08-10,47.2,47.39,44.0,46.14,19301
55,2018-08-13,46.15,48.6,45.01,46.0,34826
56,2018-08-14,46.5,47.75,45.51,46.9,19317
57,2018-08-16,35.0,40.0,29.0,30.8,101551
58,2018-08-17,32.8,32.87,27.5,31.35,73518
59,2018-08-20,32.0,32.99,30.0,30.0,22624
60,2018-08-21,29.1,31.59,28.0,31.5,14179
61,2018-08-22,30.91,31.6,29.5,30.0,14075
62,2018-08-23,30.19,30.19,26.0,27.3,21253
63,2018-08-24,27.5,29.51,27.0,28.6,7353
64,2018-08-27,30.0,30.0,27.04,27.04,11887
65,2018-08-28,27.95,27.95,24.9,25.9,7945
66,2018-08-29,24.51,28.0,23.9,27.7,13473
67,2018-08-30,28.0,28.65,26.22,27.45,4643
68,2018-08-31,27.4,27.4,24.5,24.75,7175
69,2018-09-03,25.5,25.5,22.65,24.4,8149
70,2018-09-04,24.9,24.9,19.92,20.25,22665
71,2018-09-05,21.0,21.8,18.15,20.98,22513
72,2018-09-06,20.11,20.98,18.5,20.95,11216
73,2018-09-07,20.5,20.5,18.5,19.13,8276
