,Date,Open,High,Low,Close,Volume
0,2009-12-22,4.18,4.38,4.1,4.24,46320.0
1,2009-12-23,4.1,4.1,3.8,3.8,13680.0
2,2009-12-28,3.6,3.6,3.26,3.32,15960.0
3,2009-12-29,3.4,3.54,3.4,3.48,10280.0
4,2009-12-30,3.54,3.86,3.5,3.86,2720.0
5,2009-12-31,3.8,4.0,3.74,4.0,2280.0
6,2010-01-04,4.06,4.1,3.68,3.98,4080.0
7,2010-01-05,3.96,3.96,3.66,3.66,1560.0
8,2010-01-06,3.92,3.92,3.88,3.9,1280.0
9,2010-01-07,3.88,3.88,3.56,3.6,2920.0
10,2010-01-08,3.8,3.84,3.74,3.82,1120.0
11,2010-01-11,3.8,3.82,3.8,3.82,1440.0
12,2010-01-12,3.9,3.9,3.64,3.64,1200.0
13,2010-01-13,3.8,3.8,3.72,3.72,840.0
14,2010-01-14,3.64,3.7,3.64,3.7,1520.0
15,2010-01-15,3.66,3.8,3.66,3.8,360.0
16,2010-01-18,3.94,3.94,3.7,3.7,800.0
17,2010-01-19,3.66,3.66,3.66,3.66,680.0
18,2010-01-21,3.6,3.6,3.5,3.5,2000.0
19,2010-01-22,3.66,3.68,3.66,3.66,3040.0
20,2010-01-25,3.46,3.6,3.44,3.6,760.0
21,2010-01-26,3.6,3.7,3.5,3.7,12800.0
22,2010-01-27,3.58,3.78,3.58,3.7,3040.0
23,2010-01-28,3.48,3.5,3.48,3.5,400.0
24,2010-01-29,3.52,3.52,3.52,3.52,120.0
25,2010-02-01,3.52,3.78,3.52,3.78,3600.0
26,2010-02-02,3.78,3.78,3.52,3.52,3000.0
27,2010-02-04,3.52,3.58,3.52,3.52,920.0
28,2010-02-05,3.46,3.46,3.36,3.4,4280.0
29,2010-02-08,3.7,3.7,3.36,3.36,200.0
30,2010-02-09,3.44,3.44,3.42,3.42,320.0
31,2010-02-10,3.68,3.68,3.38,3.4,1640.0
32,2010-02-11,3.38,3.42,3.38,3.42,120.0
33,2010-02-12,3.38,3.38,3.36,3.36,1600.0
34,2010-02-15,3.36,3.4,3.16,3.2,11920.0
35,2010-02-16,3.2,3.4,3.2,3.4,1120.0
36,2010-02-17,3.38,3.4,3.2,3.2,20680.0
37,2010-02-18,3.2,3.38,3.2,3.24,2800.0
38,2010-02-19,3.38,3.5,3.36,3.5,8280.0
39,2010-02-22,3.6,3.66,3.42,3.42,1440.0
40,2010-02-23,3.6,4.14,3.6,4.1,27880.0
41,2010-02-24,4.1,4.1,3.68,3.68,21840.0
42,2010-02-25,3.68,3.96,3.68,3.86,1840.0
43,2010-03-01,3.62,3.86,3.62,3.86,160.0
44,2010-03-02,3.8,3.98,3.8,3.96,15000.0
45,2010-03-03,3.82,3.96,3.8,3.94,11600.0
46,2010-03-04,3.96,4.14,3.96,4.14,3520.0
47,2010-03-05,4.04,4.24,4.02,4.1,7080.0
48,2010-03-08,4.2,4.2,4.1,4.1,11960.0
49,2010-03-09,4.1,4.2,4.1,4.1,4000.0
50,2010-03-10,4.2,4.2,4.1,4.1,3120.0
51,2010-03-11,4.1,4.1,4.1,4.1,8000.0
52,2010-03-12,3.84,4.12,3.84,4.1,3320.0
53,2010-03-15,3.9,4.08,3.84,4.0,11520.0
54,2010-03-16,3.98,4.06,3.98,4.06,11800.0
55,2010-03-17,3.98,4.0,3.9,3.92,28360.0
56,2010-03-18,4.0,4.0,4.0,4.0,120.0
57,2010-03-19,3.86,3.86,3.82,3.86,15000.0
58,2010-03-23,3.96,3.96,3.72,3.72,840.0
59,2010-03-24,3.6,3.68,3.42,3.48,3440.0
60,2010-03-25,3.8,3.8,3.42,3.56,11880.0
61,2010-03-26,3.9,4.0,3.6,3.6,960.0
62,2010-03-29,3.92,3.92,3.6,3.6,
63,2010-03-30,3.9,3.92,3.7,3.88,560.0
64,2010-03-31,3.88,3.88,3.74,3.82,400.0
65,2010-04-01,3.74,3.74,3.7,3.7,800.0
66,2010-04-06,3.76,3.9,3.76,3.82,240.0
67,2010-04-07,3.6,3.6,3.6,3.6,
68,2010-04-08,3.9,3.9,3.62,3.62,
69,2010-04-09,3.78,3.78,3.66,3.66,120.0
70,2010-04-12,3.88,3.88,3.88,3.88,40.0
71,2010-04-13,3.9,3.9,3.86,3.88,2840.0
72,2010-04-14,3.92,3.92,3.7,3.9,1080.0
73,2010-04-15,3.9,3.96,3.9,3.96,5000.0
74,2010-04-16,3.8,3.8,3.8,3.8,200.0
75,2010-04-19,3.7,3.94,3.7,3.92,600.0
76,2010-04-20,3.7,3.9,3.7,3.7,240.0
77,2010-04-21,3.9,3.9,3.72,3.72,1200.0
78,2010-04-22,3.7,3.8,3.7,3.7,2360.0
79,2010-04-23,3.7,3.7,3.4,3.62,1160.0
80,2010-04-26,3.64,3.7,3.6,3.7,3720.0
81,2010-04-27,3.8,3.8,3.48,3.6,3720.0
82,2010-04-28,3.5,3.5,3.5,3.5,120.0
83,2010-04-29,3.6,3.6,3.56,3.56,1440.0
84,2010-05-04,3.56,3.56,3.24,3.32,2400.0
85,2010-05-05,3.78,3.78,3.36,3.78,400.0
86,2010-05-06,3.78,3.78,3.78,3.78,
87,2010-05-07,3.68,3.68,3.44,3.44,360.0
88,2010-05-10,3.76,3.76,3.76,3.76,120.0
89,2010-05-11,3.74,3.74,3.74,3.74,40.0
90,2010-05-12,3.58,3.6,3.58,3.6,80.0
91,2010-05-14,3.4,3.4,3.4,3.4,360.0
92,2010-05-17,3.76,3.76,3.76,3.76,80.0
93,2010-05-18,3.6,3.74,3.4,3.74,6400.0
94,2010-05-19,3.6,3.6,3.6,3.6,40.0
95,2010-05-24,3.42,3.58,3.32,3.32,400.0
96,2010-05-25,3.72,3.72,3.36,3.44,11640.0
97,2010-05-26,3.44,3.48,3.2,3.48,6520.0
98,2010-05-27,3.24,3.56,3.24,3.52,1440.0
99,2010-05-28,3.5,3.5,3.5,3.5,40.0
100,2010-05-31,3.26,3.5,3.26,3.32,880.0
101,2010-06-01,3.4,3.52,3.4,3.4,2200.0
102,2010-06-02,3.5,3.5,3.5,3.5,920.0
103,2010-06-04,3.36,3.36,3.36,3.36,120.0
104,2010-06-07,3.58,3.58,3.54,3.54,240.0
105,2010-06-09,3.4,3.4,3.4,3.4,160.0
106,2010-06-10,3.52,3.52,3.4,3.4,280.0
107,2010-06-11,3.56,3.56,3.56,3.56,120.0
108,2010-06-14,3.56,3.56,3.56,3.56,240.0
109,2010-06-15,3.46,3.46,3.46,3.46,240.0
110,2010-06-16,3.58,3.58,3.58,3.58,160.0
111,2010-06-17,3.58,3.58,3.48,3.48,400.0
112,2010-06-18,3.48,3.48,3.48,3.48,1400.0
113,2010-06-21,3.46,3.46,3.46,3.46,80.0
114,2010-06-22,3.46,3.46,3.44,3.44,160.0
115,2010-06-23,3.52,3.52,3.52,3.52,120.0
116,2010-06-24,3.48,3.5,3.48,3.5,2880.0
117,2010-06-25,3.54,3.54,3.54,3.54,2120.0
118,2010-06-28,3.4,3.54,3.4,3.54,1320.0
119,2010-06-29,3.54,3.54,3.54,3.54,160.0
120,2010-07-02,3.38,3.4,3.38,3.4,760.0
121,2010-07-05,3.54,3.54,3.42,3.42,840.0
122,2010-07-06,3.42,3.54,3.42,3.54,360.0
123,2010-07-07,3.4,3.4,3.4,3.4,
124,2010-07-09,3.42,3.42,3.4,3.42,920.0
125,2010-07-12,3.44,3.44,3.44,3.44,40.0
126,2010-07-14,3.48,3.48,3.48,3.48,840.0
127,2010-07-16,3.48,3.48,3.36,3.48,6960.0
128,2010-07-19,3.36,3.5,3.36,3.5,360.0
129,2010-07-20,3.54,3.54,3.5,3.5,320.0
130,2010-07-22,3.48,3.48,3.46,3.46,640.0
131,2010-07-23,3.4,3.4,3.4,3.4,840.0
132,2010-07-26,3.38,3.38,3.34,3.34,2280.0
133,2010-07-28,3.36,3.44,3.36,3.44,1840.0
134,2010-07-29,3.4,3.42,3.4,3.42,520.0
135,2010-07-30,3.46,3.46,3.46,3.46,560.0
136,2010-08-09,3.42,3.42,3.18,3.38,2440.0
137,2010-08-10,3.38,3.38,3.38,3.38,
138,2010-08-11,3.22,3.22,3.1,3.1,12440.0
139,2010-08-12,3.1,3.36,3.08,3.36,2560.0
140,2010-08-13,3.22,3.3,3.22,3.3,2160.0
141,2010-08-17,3.34,3.34,3.3,3.3,720.0
142,2010-08-18,3.3,3.3,3.3,3.3,1320.0
143,2010-08-19,3.3,3.38,3.3,3.38,1360.0
144,2010-08-20,3.32,3.42,3.32,3.42,3680.0
145,2010-08-23,3.42,3.42,3.36,3.36,160.0
146,2010-08-24,3.32,3.42,3.32,3.42,720.0
147,2010-08-25,3.32,3.4,3.32,3.4,3840.0
148,2010-08-26,3.4,3.4,3.4,3.4,120.0
149,2010-08-27,3.42,3.42,3.42,3.42,80.0
150,2010-08-30,3.42,3.46,3.42,3.46,560.0
