,Date,Open,High,Low,Close,Volume
0,2011-05-04,16.17,19.39,16.17,19.39,568.0
1,2011-05-05,23.24,24.64,14.84,14.84,8230.0
2,2011-05-06,15.82,15.82,11.9,11.9,5375.0
3,2011-05-09,11.2,11.55,9.52,9.52,3287.0
4,2011-05-10,10.43,10.43,7.91,8.05,2784.0
5,2011-05-11,8.05,8.4,7.84,8.26,744.0
6,2011-05-12,8.26,8.4,8.26,8.33,533.0
7,2011-05-13,8.4,8.4,7.7,8.33,601.0
8,2011-05-16,8.4,8.4,8.12,8.12,171.0
9,2011-05-17,8.19,8.19,6.58,6.58,851.0
10,2011-05-18,6.58,7.84,5.6,7.7,1115.0
11,2011-05-19,7.7,7.7,7.7,7.7,14.0
12,2011-05-20,7.0,7.0,6.44,7.0,149.0
13,2011-05-23,6.86,6.86,5.6,6.72,676.0
14,2011-05-24,6.58,7.0,5.6,7.0,1009.0
15,2011-05-25,6.86,7.0,6.09,6.3,679.0
16,2011-05-26,6.3,6.3,5.74,6.02,436.0
17,2011-05-27,6.23,6.86,6.23,6.51,405.0
18,2011-05-30,6.65,6.86,6.51,6.86,392.0
19,2011-05-31,6.86,6.86,6.09,6.3,834.0
20,2011-06-01,6.3,6.86,6.3,6.44,2972.0
21,2011-06-02,6.3,6.3,6.3,6.3,17.0
22,2011-06-03,6.51,6.86,6.51,6.86,253.0
23,2011-06-06,6.86,6.86,6.23,6.23,229.0
24,2011-06-07,6.23,6.23,6.16,6.16,1029.0
25,2011-06-08,6.23,6.58,6.23,6.58,490.0
26,2011-06-09,6.65,6.65,6.51,6.58,2014.0
27,2011-06-10,6.65,6.65,6.37,6.37,57.0
28,2011-06-13,6.37,6.37,6.37,6.37,1.0
29,2011-06-14,6.23,6.23,6.23,6.23,14.0
30,2011-06-15,6.23,6.23,6.16,6.23,937.0
31,2011-06-16,6.23,6.23,5.95,5.95,471.0
32,2011-06-17,6.16,6.16,6.16,6.16,43.0
33,2011-06-20,6.23,6.3,5.6,5.6,1225.0
34,2011-06-21,5.32,5.39,4.9,5.25,1332.0
35,2011-06-22,5.25,5.95,5.25,5.81,714.0
36,2011-06-24,5.88,6.86,5.81,6.23,2411.0
37,2011-06-27,6.65,6.65,5.53,6.23,764.0
38,2011-06-28,6.3,6.37,6.02,6.02,582.0
39,2011-06-29,5.95,6.23,5.95,6.23,72.0
40,2011-06-30,6.16,6.16,6.16,6.16,43.0
41,2011-07-04,6.23,6.23,6.23,6.23,16.0
42,2011-07-06,6.44,6.44,6.23,6.23,114.0
43,2011-07-07,6.23,6.23,5.95,5.95,123.0
44,2011-07-08,6.02,6.02,6.02,6.02,14.0
45,2011-07-11,6.02,6.02,6.02,6.02,500.0
46,2011-07-12,6.02,6.02,4.9,4.97,1065.0
47,2011-07-13,4.55,4.69,3.92,4.69,1230.0
48,2011-07-14,4.69,4.69,4.34,4.34,39.0
49,2011-07-15,4.41,4.41,4.41,4.41,171.0
50,2011-07-18,4.41,4.41,3.92,3.92,995.0
51,2011-07-19,3.92,3.92,3.22,3.22,1607.0
52,2011-07-20,3.29,3.57,3.29,3.5,821.0
53,2011-07-21,3.64,3.64,3.5,3.5,321.0
54,2011-07-22,3.64,3.64,3.43,3.43,487.0
55,2011-07-25,3.43,3.43,3.01,3.29,3364.0
56,2011-07-27,3.29,3.78,3.29,3.78,800.0
57,2011-07-29,3.92,3.99,3.71,3.71,257.0
58,2011-08-01,3.85,3.99,3.85,3.92,74.0
59,2011-08-02,3.92,3.92,3.78,3.85,448.0
60,2011-08-03,3.85,3.92,3.22,3.5,616.0
61,2011-08-04,3.85,5.04,3.85,4.2,738.0
62,2011-08-05,4.2,4.2,3.5,4.2,279.0
63,2011-08-08,4.2,4.2,4.2,4.2,2.0
64,2011-08-09,4.2,4.2,3.43,3.5,243.0
65,2011-08-10,3.5,3.5,3.5,3.5,275.0
66,2011-08-11,3.43,3.43,3.43,3.43,143.0
67,2011-08-12,3.5,3.5,2.8,3.29,956.0
68,2011-08-16,3.29,3.29,2.87,2.87,314.0
69,2011-08-17,2.87,3.08,2.87,3.08,100.0
70,2011-08-18,2.94,2.94,2.94,2.94,50.0
71,2011-08-23,2.87,2.87,2.87,2.87,86.0
72,2011-08-25,2.94,3.43,2.94,3.43,246.0
73,2011-08-26,3.43,3.43,3.43,3.43,83.0
74,2011-08-29,3.43,3.43,3.29,3.29,107.0
75,2011-08-30,3.29,3.29,3.22,3.22,100.0
76,2011-08-31,3.29,3.29,3.29,3.29,14.0
77,2011-09-01,3.15,3.15,2.94,3.01,1000.0
78,2011-09-05,3.01,3.01,3.01,3.01,29.0
79,2011-09-07,3.01,3.01,3.01,3.01,43.0
80,2011-09-08,2.8,2.8,2.8,2.8,57.0
81,2011-09-09,2.66,2.66,2.24,2.31,6112.0
82,2011-09-12,2.38,2.38,2.38,2.38,43.0
83,2011-09-14,2.24,2.24,2.1,2.1,2429.0
84,2011-09-15,2.1,2.1,2.1,2.1,43.0
85,2011-09-16,2.1,2.1,2.1,2.1,21.0
86,2011-09-19,2.17,2.17,2.17,2.17,29.0
87,2011-09-20,2.1,2.1,1.96,1.96,493.0
88,2011-09-21,2.03,2.31,2.03,2.31,1430.0
89,2011-09-22,2.1,2.1,1.89,1.89,249.0
90,2011-09-23,2.1,2.1,1.68,1.68,1187.0
91,2011-09-27,1.68,1.68,1.47,1.47,207.0
92,2011-09-28,1.4,1.75,1.4,1.47,349.0
93,2011-09-29,1.61,1.68,1.61,1.61,257.0
94,2011-09-30,1.75,2.24,1.75,2.1,4183.0
95,2011-10-03,2.17,2.73,2.17,2.73,2043.0
96,2011-10-04,2.87,2.87,2.31,2.45,2317.0
97,2011-10-05,2.45,2.45,2.38,2.45,219.0
98,2011-10-06,2.31,2.31,1.96,2.1,92.0
99,2011-10-07,2.1,2.1,2.1,2.1,86.0
100,2011-10-11,2.1,2.1,2.1,2.1,43.0
101,2011-10-12,2.1,2.1,1.75,1.75,1469.0
102,2011-10-13,1.75,1.75,1.75,1.75,300.0
103,2011-10-14,1.68,1.68,1.68,1.68,257.0
104,2011-10-18,1.68,1.68,1.61,1.68,328.0
105,2011-10-19,1.68,1.96,1.61,1.96,4040.0
106,2011-10-20,1.96,1.96,1.96,1.96,14.0
107,2011-10-21,1.96,2.31,1.96,2.31,200.0
108,2011-10-24,2.31,2.73,2.31,2.66,500.0
109,2011-10-25,2.59,2.8,2.59,2.8,378.0
110,2011-10-27,2.8,2.87,2.8,2.87,86.0
111,2011-10-28,2.87,3.01,2.8,3.01,300.0
112,2011-10-31,3.01,3.01,3.01,3.01,21.0
113,2011-11-02,3.01,3.01,2.8,2.8,100.0
114,2011-11-03,2.8,2.8,2.8,2.8,29.0
115,2011-11-04,2.59,2.59,2.52,2.52,86.0
116,2011-11-07,2.52,2.66,2.52,2.66,211.0
117,2011-11-08,2.66,2.66,2.59,2.59,264.0
118,2011-11-09,2.38,2.38,2.31,2.31,71.0
119,2011-11-10,2.45,2.66,2.31,2.66,457.0
120,2011-11-14,2.66,2.8,2.24,2.8,1507.0
121,2011-11-15,2.66,3.08,2.66,3.08,457.0
122,2011-11-16,3.08,3.08,2.66,2.94,296.0
123,2011-11-17,2.94,2.94,2.1,2.8,7213.0
124,2011-11-18,3.01,3.71,2.8,3.71,8288.0
125,2011-11-21,3.71,4.55,3.43,3.5,9244.0
126,2011-11-22,3.85,4.48,3.5,3.5,6161.0
127,2011-11-23,3.5,3.85,2.8,2.8,3543.0
128,2011-11-24,2.94,3.15,2.8,3.15,820.0
129,2011-11-25,3.08,4.27,3.08,3.78,6860.0
130,2011-11-28,3.71,4.27,3.5,3.71,2907.0
131,2011-11-29,3.71,3.99,3.5,3.85,1090.0
132,2011-11-30,3.92,3.92,3.71,3.92,445.0
133,2011-12-01,3.78,3.78,3.78,3.78,39.0
134,2011-12-02,3.5,3.78,3.22,3.57,1973.0
135,2011-12-05,3.64,3.64,3.43,3.43,57.0
136,2011-12-06,3.43,3.43,3.43,3.43,36.0
137,2011-12-07,3.43,3.43,2.8,2.8,1650.0
138,2011-12-08,2.8,2.94,2.8,2.94,77.0
139,2011-12-09,2.8,3.08,2.8,2.94,709.0
140,2011-12-12,2.87,2.87,2.8,2.8,43.0
141,2011-12-14,2.8,2.94,2.8,2.8,57.0
142,2011-12-15,2.8,2.8,2.31,2.45,3409.0
143,2011-12-16,2.52,2.52,2.31,2.31,1086.0
144,2011-12-19,2.24,2.45,2.24,2.45,319.0
145,2011-12-20,2.52,2.73,2.24,2.38,1272.0
146,2011-12-21,2.31,2.31,1.96,1.96,2500.0
147,2011-12-22,2.17,2.24,2.17,2.24,1501.0
148,2011-12-23,2.24,2.24,1.82,1.82,2175.0
149,2011-12-27,1.75,1.75,1.68,1.75,3500.0
150,2011-12-30,1.75,1.89,1.75,1.89,514.0
151,2012-01-02,1.89,1.89,1.89,1.89,286.0
152,2012-01-04,1.75,1.82,1.68,1.82,871.0
153,2012-01-05,1.82,1.82,1.82,1.82,57.0
154,2012-01-10,1.82,1.82,1.68,1.68,49.0
155,2012-01-12,1.75,1.75,1.75,1.75,143.0
156,2012-01-13,1.75,1.89,1.68,1.68,462.0
157,2012-01-16,1.82,1.82,1.82,1.82,71.0
158,2012-01-17,1.82,1.82,1.82,1.82,57.0
159,2012-01-18,1.75,1.89,1.68,1.68,923.0
160,2012-01-19,1.68,1.68,1.68,1.68,71.0
161,2012-01-20,1.68,1.89,1.68,1.89,179.0
162,2012-01-23,1.89,1.89,1.89,1.89,157.0
163,2012-01-24,1.89,1.89,1.89,1.89,53.0
164,2012-01-25,1.82,1.96,1.82,1.96,214.0
165,2012-01-26,1.82,1.82,1.82,1.82,2357.0
166,2012-01-27,1.75,1.75,1.47,1.54,12246.0
167,2012-01-30,1.61,1.61,1.33,1.33,12714.0
168,2012-01-31,1.47,1.47,1.33,1.33,3557.0
169,2012-02-01,1.47,1.47,1.47,1.47,71.0
170,2012-02-02,1.4,1.47,1.4,1.47,143.0
171,2012-02-03,1.47,1.47,1.4,1.4,814.0
172,2012-02-06,1.33,1.33,1.26,1.33,812.0
173,2012-02-07,1.26,1.4,1.26,1.4,29.0
174,2012-02-08,1.4,1.68,1.4,1.54,17857.0
175,2012-02-09,1.54,1.54,1.4,1.54,20953.0
176,2012-02-10,1.47,1.54,1.4,1.47,9970.0
177,2012-02-13,1.47,1.68,1.47,1.68,5819.0
178,2012-02-14,1.68,1.75,1.61,1.61,2026.0
179,2012-02-15,1.61,1.96,1.47,1.96,23746.0
180,2012-02-16,1.96,1.96,1.61,1.61,19784.0
181,2012-02-17,1.68,1.89,1.54,1.89,4158.0
182,2012-02-20,1.89,1.96,1.89,1.96,1365.0
183,2012-02-21,1.82,2.03,1.75,2.03,2500.0
184,2012-02-22,2.03,2.03,1.75,1.89,1571.0
185,2012-02-23,1.89,1.96,1.82,1.89,1580.0
186,2012-02-24,1.96,1.96,1.75,1.82,669.0
187,2012-02-27,1.82,1.82,1.68,1.75,2512.0
188,2012-02-28,1.75,1.96,1.75,1.89,2250.0
189,2012-02-29,1.89,1.96,1.82,1.89,3108.0
190,2012-03-01,1.89,2.03,1.89,2.03,1371.0
191,2012-03-02,1.96,2.31,1.96,2.24,27394.0
192,2012-03-05,2.24,2.24,2.03,2.1,745.0
193,2012-03-06,2.1,2.38,2.1,2.38,2071.0
194,2012-03-07,2.38,2.52,2.1,2.38,4319.0
195,2012-03-08,2.45,2.45,2.1,2.31,1408.0
196,2012-03-09,2.17,2.52,1.89,2.52,29087.0
197,2012-03-12,2.52,2.52,1.82,1.96,20797.0
198,2012-03-13,1.96,2.1,1.96,2.1,443.0
199,2012-03-14,2.1,2.1,1.68,1.68,12860.0
200,2012-03-15,1.75,1.82,1.61,1.75,5283.0
201,2012-03-16,1.82,1.82,1.75,1.75,7971.0
202,2012-03-19,1.89,1.89,1.75,1.75,251.0
203,2012-03-20,1.75,1.75,1.75,1.75,143.0
204,2012-03-21,1.89,2.03,1.68,1.82,23250.0
205,2012-03-22,1.82,1.82,1.75,1.82,3286.0
