,Date,Open,High,Low,Close,Volume
0,2019-04-24,35.0,40.0,35.0,40.0,50
1,2019-04-25,41.0,48.5,41.0,48.5,88
2,2019-04-29,48.4,55.0,48.4,53.0,73
3,2019-05-07,53.0,53.0,53.0,53.0,1
4,2019-05-08,51.0,51.0,51.0,51.0,3
5,2019-05-10,51.0,51.0,48.0,48.0,28
6,2019-05-15,47.0,47.0,47.0,47.0,1
7,2019-05-17,49.4,56.0,49.4,56.0,36
8,2019-05-20,56.0,58.5,56.0,58.5,23
9,2019-05-21,57.0,57.0,56.5,56.5,8
10,2019-05-22,56.5,56.5,56.5,56.5,1
11,2019-05-23,56.5,56.5,56.5,56.5,1
12,2019-05-24,56.5,56.5,56.5,56.5,1
13,2019-05-27,56.5,56.5,56.5,56.5,1
14,2019-05-28,57.5,65.0,57.5,65.0,30
15,2019-05-29,78.0,93.6,70.0,70.0,100
16,2019-05-30,69.5,69.5,65.0,65.0,41
17,2019-06-03,64.0,64.0,60.5,60.5,32
18,2019-06-04,58.0,58.0,57.0,57.0,22
19,2019-06-05,54.5,60.0,50.0,59.0,77
20,2019-06-11,61.0,61.0,61.0,61.0,6
21,2019-06-17,60.0,60.0,59.0,59.0,22
22,2019-06-24,57.0,57.0,57.0,57.0,1
23,2019-07-03,59.5,60.0,59.5,60.0,10
24,2019-07-09,60.0,63.5,60.0,63.5,13
25,2019-08-05,64.0,64.0,64.0,64.0,2
26,2019-08-07,64.45,64.45,64.45,64.45,2
27,2019-08-09,65.0,65.0,65.0,65.0,1
28,2019-08-27,63.5,63.5,62.5,62.5,3
29,2019-09-13,66.0,77.0,66.0,77.0,42
30,2019-09-16,85.0,85.0,68.0,70.0,73
31,2019-09-17,67.0,67.0,62.0,62.0,40
32,2019-09-19,61.5,61.5,61.5,61.5,2
33,2019-09-25,59.0,59.0,56.0,56.0,22
34,2019-09-27,55.0,55.0,55.0,55.0,1
35,2019-10-02,54.0,54.0,52.0,52.0,24
36,2019-10-03,51.0,60.0,49.3,60.0,47
37,2019-10-07,60.0,60.0,60.0,60.0,1
38,2019-10-16,60.0,60.0,60.0,60.0,1
39,2019-10-23,60.0,61.0,60.0,61.0,93
40,2019-10-25,61.0,61.0,61.0,61.0,1
41,2019-10-31,64.0,68.5,64.0,68.5,36
42,2019-11-04,68.0,68.0,62.0,62.0,70
43,2019-11-14,61.0,61.0,55.0,56.5,69
44,2019-11-25,58.0,58.0,58.0,58.0,2
45,2019-12-02,58.0,58.0,58.0,58.0,2
46,2019-12-04,60.0,60.0,60.0,60.0,4
47,2019-12-11,60.0,60.0,60.0,60.0,1
48,2019-12-12,60.0,60.0,60.0,60.0,1
49,2019-12-19,60.0,60.0,50.0,50.5,805
50,2019-12-20,50.0,50.0,50.0,50.0,517
51,2019-12-23,50.0,50.0,50.0,50.0,1
52,2019-12-27,49.3,55.0,49.3,55.0,39
53,2020-01-02,53.0,53.0,50.0,52.5,407
54,2020-01-08,52.0,52.0,52.0,52.0,1
55,2020-01-09,51.0,51.0,51.0,51.0,1
56,2020-01-13,59.6,59.6,59.6,59.6,50
57,2020-01-14,59.6,59.6,59.6,59.6,1
58,2020-01-15,58.5,58.5,58.5,58.5,1
59,2020-01-20,58.5,58.5,55.4,55.4,12
60,2020-01-24,56.0,57.0,56.0,57.0,3
61,2020-02-07,56.0,56.0,56.0,56.0,1
62,2020-02-12,58.0,58.2,58.0,58.0,17
63,2020-02-13,58.0,58.0,50.0,50.0,723
64,2020-02-14,53.0,57.0,53.0,57.0,26
65,2020-02-25,55.5,55.5,51.0,51.0,25
66,2020-02-27,53.5,60.0,53.5,60.0,30
67,2020-03-04,60.0,60.0,60.0,60.0,1
68,2020-03-05,60.0,60.0,56.5,56.5,40
69,2020-03-13,56.4,56.4,56.4,56.4,1
70,2020-03-18,54.0,54.0,53.0,53.0,6
71,2020-03-25,53.0,53.0,51.0,51.0,25
72,2020-03-26,52.0,60.0,52.0,60.0,70
73,2020-03-31,59.0,67.0,57.5,57.5,102
74,2020-04-02,55.0,55.0,54.0,54.0,20
75,2020-04-06,54.0,54.0,53.0,53.0,20
76,2020-04-07,53.0,53.5,53.0,53.5,21
77,2020-04-15,56.0,67.0,56.0,67.0,85
78,2020-04-16,65.0,73.0,52.0,73.0,840
79,2020-04-17,73.0,73.0,65.0,65.0,77
80,2020-04-20,65.0,65.0,65.0,65.0,1
81,2020-04-21,65.0,69.0,65.0,69.0,28
82,2020-05-04,69.5,69.5,69.5,69.5,2
83,2020-05-05,69.5,69.5,69.5,69.5,1
84,2020-05-07,70.0,71.0,70.0,71.0,3
85,2020-05-19,71.0,85.0,71.0,85.0,171
86,2020-05-20,85.0,100.0,73.0,73.0,210
87,2020-05-21,75.0,75.0,60.0,60.0,87
88,2020-05-22,60.5,60.5,50.0,56.0,556
89,2020-05-26,57.0,57.0,57.0,57.0,8
90,2020-05-27,56.0,56.0,55.5,55.5,3
91,2020-05-28,56.5,56.5,56.5,56.5,1
92,2020-05-29,55.5,57.5,55.5,57.5,72
93,2020-06-01,58.0,60.0,58.0,60.0,24
94,2020-06-03,61.0,62.5,61.0,62.5,23
95,2020-06-04,65.0,65.0,65.0,65.0,1
96,2020-06-05,65.0,65.0,60.0,60.0,21
97,2020-06-08,62.0,62.0,62.0,62.0,3
98,2020-06-09,60.5,60.5,60.0,60.0,3
99,2020-06-12,60.0,60.0,60.0,60.0,1
100,2020-06-15,60.0,60.0,60.0,60.0,1
101,2020-06-17,58.0,59.0,55.0,59.0,61
102,2020-06-19,60.0,60.0,60.0,60.0,3
103,2020-06-22,60.0,60.0,60.0,60.0,1
104,2020-06-23,60.5,60.5,60.5,60.5,2
105,2020-06-24,58.0,60.0,58.0,60.0,5
106,2020-06-25,58.0,58.0,56.0,57.0,13
107,2020-06-29,57.0,57.0,57.0,57.0,1
108,2020-06-30,57.0,58.0,57.0,58.0,2
109,2020-07-01,58.0,58.0,58.0,58.0,1
110,2020-07-02,59.5,60.0,59.5,60.0,88
111,2020-07-07,60.0,60.0,56.0,60.0,138
112,2020-07-08,60.0,60.0,60.0,60.0,1
113,2020-07-09,60.0,60.0,60.0,60.0,1
114,2020-07-10,59.5,59.5,59.5,59.5,20
115,2020-07-13,58.0,58.0,55.0,55.0,631
116,2020-07-14,55.0,55.0,54.0,54.0,67
117,2020-07-15,54.0,54.0,54.0,54.0,1
118,2020-07-16,54.0,54.0,54.0,54.0,1
119,2020-07-17,54.0,55.0,54.0,55.0,75
120,2020-07-20,56.0,56.0,51.0,51.0,342
121,2020-07-22,51.0,51.0,51.0,51.0,1
122,2020-07-23,51.0,51.0,51.0,51.0,1
123,2020-07-24,51.0,51.0,51.0,51.0,1
124,2020-07-27,51.0,51.0,51.0,51.0,17
125,2020-07-29,53.0,58.0,48.0,48.0,154
126,2020-07-30,51.0,53.0,48.0,48.0,236
127,2020-07-31,48.2,50.0,39.0,50.0,185
128,2020-08-03,47.0,47.0,40.0,45.0,72
129,2020-08-04,45.0,45.0,45.0,45.0,3
130,2020-08-05,42.2,43.0,41.6,43.0,38
131,2020-08-06,44.0,45.0,44.0,45.0,2
132,2020-08-10,45.0,45.8,45.0,45.8,4
133,2020-08-11,43.0,43.0,41.0,41.0,21
134,2020-08-12,43.0,50.0,39.0,39.0,92
135,2020-08-13,41.4,41.4,41.4,41.4,2
136,2020-08-14,42.0,50.0,42.0,50.0,16
137,2020-08-17,49.8,51.0,49.8,51.0,23
138,2020-08-18,48.6,48.6,47.0,47.0,47
139,2020-08-19,45.6,45.8,45.6,45.8,48
140,2020-08-20,46.6,46.6,46.6,46.6,20
141,2020-08-21,46.6,48.8,42.0,42.4,107
142,2020-08-24,42.0,42.0,42.0,42.0,21
143,2020-08-25,41.0,55.0,40.6,47.0,15592
144,2020-08-26,47.0,54.0,46.4,48.6,210
145,2020-08-27,49.8,60.0,49.6,60.0,1110
146,2020-08-28,60.0,60.0,56.0,58.0,1555
147,2020-08-31,58.0,58.0,53.0,56.0,61
148,2020-09-01,55.0,55.0,53.0,53.0,99
149,2020-09-02,53.0,53.0,49.0,49.0,79
150,2020-09-03,49.0,49.0,49.0,49.0,1
151,2020-09-07,49.0,57.5,49.0,57.5,14
152,2020-09-08,63.0,63.0,53.5,53.5,69
153,2020-09-09,54.0,54.0,54.0,54.0,1
154,2020-09-10,54.0,54.0,54.0,54.0,1
155,2020-09-17,45.0,46.0,45.0,45.0,152
156,2020-09-18,45.6,45.6,42.0,42.0,50
157,2020-09-22,43.0,43.0,42.8,42.8,50
158,2020-09-23,42.0,42.0,42.0,42.0,1
159,2020-09-30,42.0,42.0,42.0,42.0,1
160,2020-10-01,42.0,50.0,42.0,50.0,111
161,2020-10-02,47.8,55.0,47.8,54.0,94
162,2020-10-07,53.5,53.5,53.5,53.5,10
163,2020-10-12,53.0,53.0,53.0,53.0,1
164,2020-10-13,52.5,52.5,52.5,52.5,1
165,2020-10-14,53.0,53.0,53.0,53.0,1
166,2020-10-19,53.5,53.5,53.5,53.5,1
167,2020-10-20,52.0,52.0,52.0,52.0,1
168,2020-10-21,51.0,51.0,51.0,51.0,1
169,2020-10-27,50.0,50.0,43.8,43.8,101
170,2020-10-28,43.0,43.0,41.2,41.2,37
171,2020-11-02,42.0,42.0,42.0,42.0,20
172,2020-11-04,44.0,51.0,38.0,41.0,302
173,2020-11-05,39.6,39.6,39.0,39.0,142
174,2020-11-09,38.0,38.0,38.0,38.0,30
175,2020-11-10,38.0,40.6,33.0,40.6,78
176,2020-11-12,39.0,39.0,35.0,39.0,49
177,2020-11-13,39.0,39.0,39.0,39.0,26
178,2020-11-17,38.6,38.6,36.0,36.0,34
179,2020-11-18,36.0,36.0,36.0,36.0,1
180,2020-11-19,36.0,36.0,36.0,36.0,235
181,2020-11-20,36.0,36.0,36.0,36.0,112
182,2020-12-02,36.0,36.0,35.0,35.0,81
183,2020-12-04,36.6,36.6,36.6,36.6,55
184,2020-12-07,37.0,37.0,35.4,35.4,212
185,2020-12-08,35.0,39.6,30.0,39.6,196
186,2020-12-10,38.0,38.0,31.0,31.0,185
187,2020-12-11,32.2,34.0,32.2,34.0,32
188,2020-12-14,34.8,34.8,33.0,33.0,3
189,2020-12-15,34.8,34.8,34.8,34.8,1
190,2020-12-16,34.8,34.8,34.8,34.8,1
191,2020-12-17,34.8,34.8,28.0,30.0,167
