,Date,Open,High,Low,Close,Volume
0,1999-03-10,21.493,21.493,21.493,21.493,208479
1,1999-03-11,23.479,23.479,23.479,23.479,105834
2,1999-03-12,25.738,25.738,25.738,25.738,100182
3,1999-03-15,28.266,28.266,28.266,28.266,69911
4,1999-03-16,28.266,28.266,28.266,28.266,164315
5,1999-03-17,28.266,28.266,28.266,28.266,74958
6,1999-03-18,28.447,28.447,28.447,28.447,47146
7,1999-03-19,29.8,29.8,29.8,29.8,23431
8,1999-03-22,27.363,27.363,27.363,27.363,3871
9,1999-03-23,27.905,27.905,27.905,27.905,9523
10,1999-03-24,26.911,26.911,26.911,26.911,12243
11,1999-03-25,27.091,27.091,27.091,27.091,22776
12,1999-03-26,28.266,28.266,28.266,28.266,10282
13,1999-03-29,28.717,28.717,28.717,28.717,19294
14,1999-03-30,28.447,28.447,28.447,28.447,6880
15,1999-03-31,27.363,27.363,27.363,27.363,2551
16,1999-04-01,27.363,27.363,27.363,27.363,6351
17,1999-04-06,26.911,26.911,26.911,26.911,5178
18,1999-04-07,27.363,27.363,27.363,27.363,18059
19,1999-04-08,27.815,27.815,27.815,27.815,6926
20,1999-04-09,28.266,28.266,28.266,28.266,17012
21,1999-04-12,28.447,28.447,28.447,28.447,20577
22,1999-04-13,29.168,29.168,29.168,29.168,21810
23,1999-04-14,29.259,29.259,29.259,29.259,11937
24,1999-04-15,29.351,29.351,29.351,29.351,5010
25,1999-04-16,30.524,30.524,30.524,30.524,16837
26,1999-04-19,32.782,32.782,32.782,32.782,11504
27,1999-04-20,31.608,31.608,31.608,31.608,5188
28,1999-04-21,32.871,32.871,32.871,32.871,19726
29,1999-04-22,33.865,33.865,33.865,33.865,22045
30,1999-04-23,34.138,34.138,34.138,34.138,16473
31,1999-04-26,33.865,33.865,33.865,33.865,3452
32,1999-04-27,32.961,32.961,32.961,32.961,5470
33,1999-04-28,32.961,32.961,32.961,32.961,16281
34,1999-04-29,32.511,32.511,32.511,32.511,22921
35,1999-04-30,33.142,33.142,33.142,33.142,6038
36,1999-05-04,33.685,33.685,33.685,33.685,10802
37,1999-05-05,34.138,34.138,34.138,34.138,19074
38,1999-05-06,35.401,35.401,35.401,35.401,13097
39,1999-05-07,35.039,35.039,35.039,35.039,9782
40,1999-05-10,34.769,34.769,34.769,34.769,3016
41,1999-05-11,34.497,34.497,34.497,34.497,5628
42,1999-05-12,34.316,34.316,34.316,34.316,5031
43,1999-05-13,34.769,34.769,34.769,34.769,9466
44,1999-05-14,34.587,34.587,34.587,34.587,5405
45,1999-05-17,33.865,33.865,33.865,33.865,21983
46,1999-05-18,34.138,34.138,34.138,34.138,7069
47,1999-05-19,34.497,34.497,34.497,34.497,7302
48,1999-05-20,34.769,34.769,34.769,34.769,8915
49,1999-05-21,34.769,34.769,34.769,34.769,9523
50,1999-05-24,34.316,34.316,34.316,34.316,11207
51,1999-05-25,33.865,33.865,33.865,33.865,13812
52,1999-05-26,33.413,33.413,33.413,33.413,13142
53,1999-05-27,33.413,33.413,33.413,33.413,22776
54,1999-05-28,32.871,32.871,32.871,32.871,8778
55,1999-05-31,32.782,32.782,32.782,32.782,3557
56,1999-06-01,32.782,32.782,32.782,32.782,10991
57,1999-06-02,33.685,33.685,33.685,33.685,19813
58,1999-06-07,34.587,34.587,34.587,34.587,8829
59,1999-06-08,34.587,34.587,34.587,34.587,9560
60,1999-06-09,33.413,33.413,33.413,33.413,16358
61,1999-06-10,33.865,33.865,33.865,33.865,5784
62,1999-06-11,34.227,34.227,34.227,34.227,20313
63,1999-06-14,34.316,34.316,34.316,34.316,9010
64,1999-06-15,34.587,34.587,34.587,34.587,7459
65,1999-06-16,34.227,34.227,34.227,34.227,2913
66,1999-06-17,34.587,34.587,34.587,34.587,8271
67,1999-06-18,34.769,34.769,34.769,34.769,5784
68,1999-06-21,35.221,35.221,35.221,35.221,5861
69,1999-06-22,36.123,36.123,36.123,36.123,15171
70,1999-06-23,35.49,35.49,35.49,35.49,17972
71,1999-06-24,35.49,35.49,35.49,35.49,6011
72,1999-06-25,35.49,35.49,35.49,35.49,2526
73,1999-06-28,35.49,35.49,35.49,35.49,6543
74,1999-06-29,35.941,35.941,35.941,35.941,21005
75,1999-06-30,36.123,36.123,36.123,36.123,24494
76,1999-07-01,36.123,36.123,36.123,36.123,13138
77,1999-07-02,36.846,36.846,36.846,36.846,12515
78,1999-07-05,39.553,39.553,39.553,39.553,21975
79,1999-07-06,40.638,40.638,40.638,40.638,17761
80,1999-07-07,40.638,40.638,40.638,40.638,12943
81,1999-07-08,41.813,41.813,41.813,41.813,11040
82,1999-07-09,41.813,41.813,41.813,41.813,7079
83,1999-07-12,41.722,41.722,41.722,41.722,2531
84,1999-07-13,41.361,41.361,41.361,41.361,3093
85,1999-07-14,40.908,40.908,40.908,40.908,5098
86,1999-07-15,41.089,41.089,41.089,41.089,12251
87,1999-07-16,40.908,40.908,40.908,40.908,10658
88,1999-07-19,40.458,40.458,40.458,40.458,6552
89,1999-07-20,41.813,41.813,41.813,41.813,4494
90,1999-07-21,44.972,44.972,44.972,44.972,24022
91,1999-07-22,44.972,44.972,44.972,44.972,34469
92,1999-07-23,44.882,44.882,44.882,44.882,5562
93,1999-07-26,43.799,43.799,43.799,43.799,9005
94,1999-07-27,44.251,44.251,44.251,44.251,17545
95,1999-07-28,44.972,44.972,44.972,44.972,3435
96,1999-07-29,44.522,44.522,44.522,44.522,10991
97,1999-07-30,44.251,44.251,44.251,44.251,3951
98,1999-08-02,44.612,44.612,44.612,44.612,4342
99,1999-08-03,44.972,44.972,44.972,44.972,4700
100,1999-08-04,45.424,45.424,45.424,45.424,9605
101,1999-08-05,45.876,45.876,45.876,45.876,10129
102,1999-08-06,46.509,46.509,46.509,46.509,12593
103,1999-08-09,46.779,46.779,46.779,46.779,9236
104,1999-08-10,47.232,47.232,47.232,47.232,10958
105,1999-08-11,47.232,47.232,47.232,47.232,13838
106,1999-08-12,47.682,47.682,47.682,47.682,11072
107,1999-08-13,50.843,50.843,50.843,50.843,13417
108,1999-08-16,51.747,51.747,51.747,51.747,15494
109,1999-08-17,50.843,50.843,50.843,50.843,14408
110,1999-08-18,49.94,49.94,49.94,49.94,8451
111,1999-08-19,49.488,49.488,49.488,49.488,6421
112,1999-08-20,48.766,48.766,48.766,48.766,6578
113,1999-08-23,47.41,47.41,47.41,47.41,12872
114,1999-08-24,45.153,45.153,45.153,45.153,22475
115,1999-08-25,45.876,45.876,45.876,45.876,11843
116,1999-08-26,47.41,47.41,47.41,47.41,8528
117,1999-08-27,49.216,49.216,49.216,49.216,15395
118,1999-08-30,50.391,50.391,50.391,50.391,19410
119,1999-08-31,51.475,51.475,51.475,51.475,19693
120,1999-09-01,51.024,51.024,51.024,51.024,20982
121,1999-09-02,51.747,51.747,51.747,51.747,14130
122,1999-09-03,52.648,52.648,52.648,52.648,13311
123,1999-09-06,56.262,56.262,56.262,56.262,14306
124,1999-09-07,55.991,55.991,55.991,55.991,20748
125,1999-09-08,54.003,54.003,54.003,54.003,12117
126,1999-09-09,51.475,51.475,51.475,51.475,20108
127,1999-09-10,52.648,52.648,52.648,52.648,14052
128,1999-09-13,51.926,51.926,51.926,51.926,14489
129,1999-09-14,49.216,49.216,49.216,49.216,12424
130,1999-09-15,44.522,44.522,44.522,44.522,17211
131,1999-09-16,44.522,44.522,44.522,44.522,18148
132,1999-09-17,44.972,44.972,44.972,44.972,15819
133,1999-09-20,45.153,45.153,45.153,45.153,14745
134,1999-09-21,44.972,44.972,44.972,44.972,10271
135,1999-09-22,44.069,44.069,44.069,44.069,18874
136,1999-09-23,41.813,41.813,41.813,41.813,28692
137,1999-09-24,41.813,41.813,41.813,41.813,16607
138,1999-09-27,40.908,40.908,40.908,40.908,18543
139,1999-09-28,40.186,40.186,40.186,40.186,13642
140,1999-09-29,38.381,38.381,38.381,38.381,26140
141,1999-09-30,35.221,35.221,35.221,35.221,24647
142,1999-10-01,36.846,36.846,36.846,36.846,25798
143,1999-10-04,37.93,37.93,37.93,37.93,7049
144,1999-10-05,40.186,40.186,40.186,40.186,15185
145,1999-10-06,40.638,40.638,40.638,40.638,21442
146,1999-10-07,41.541,41.541,41.541,41.541,23405
147,1999-10-08,41.632,41.632,41.632,41.632,32349
148,1999-10-11,42.354,42.354,42.354,42.354,12635
149,1999-10-12,41.541,41.541,41.541,41.541,23159
150,1999-10-13,40.458,40.458,40.458,40.458,15951
151,1999-10-14,40.458,40.458,40.458,40.458,7164
152,1999-10-15,40.727,40.727,40.727,40.727,14378
153,1999-10-18,39.192,39.285,39.192,39.285,24546
154,1999-10-19,38.832,40.006,38.832,40.006,2803
155,1999-10-20,39.824,41.451,39.824,41.361,7736
156,1999-10-21,41.541,41.541,40.908,40.908,26104
157,1999-10-22,41.541,42.262,41.541,42.262,13271
158,1999-10-25,42.444,42.444,41.994,42.354,17389
159,1999-10-26,42.262,42.262,41.903,42.084,14201
160,1999-10-27,41.903,41.903,41.903,41.903,7168
161,1999-10-28,41.813,41.903,41.541,41.903,13820
162,1999-10-29,42.444,42.444,42.354,42.354,5657
163,1999-11-02,42.084,42.262,42.084,42.262,8555
164,1999-11-03,42.084,42.444,42.084,42.173,8832
165,1999-11-04,42.084,42.084,40.727,40.727,10497
166,1999-11-05,41.089,41.361,40.186,41.361,13894
167,1999-11-08,40.638,40.638,39.285,39.735,10504
168,1999-11-09,40.278,40.638,40.278,40.638,3263
169,1999-11-10,39.735,40.638,39.735,40.638,5568
170,1999-11-15,41.541,42.444,41.541,42.444,10091
171,1999-11-16,42.354,43.167,42.354,43.167,4114
172,1999-11-17,43.346,45.424,43.346,44.251,16936
173,1999-11-18,44.251,46.96,44.251,46.96,11663
174,1999-11-19,48.585,50.572,48.585,50.572,8014
175,1999-11-22,51.747,52.379,51.475,51.475,25201
176,1999-11-23,51.475,52.379,51.475,52.199,22089
177,1999-11-24,52.379,55.991,52.379,55.991,13980
178,1999-11-25,55.086,55.991,55.086,55.086,20092
179,1999-11-26,54.185,54.185,51.926,52.379,11215
180,1999-11-29,50.572,52.379,49.94,50.572,19249
181,1999-11-30,51.024,54.185,51.024,53.282,12851
182,1999-12-01,53.282,55.359,53.282,53.552,13322
183,1999-12-02,53.552,53.552,52.379,52.83,17128
184,1999-12-03,52.83,54.635,52.199,54.635,18744
185,1999-12-06,54.185,54.635,52.83,53.282,8462
186,1999-12-07,54.185,54.185,53.732,54.185,7186
187,1999-12-08,54.185,54.185,53.732,53.732,9319
188,1999-12-09,52.83,53.282,52.199,52.379,10329
189,1999-12-10,52.199,53.101,52.199,52.379,8447
190,1999-12-13,51.747,52.648,51.475,51.475,18090
191,1999-12-14,51.926,52.648,51.926,51.926,9457
192,1999-12-15,51.475,51.475,50.843,50.843,6954
193,1999-12-16,51.294,51.475,51.294,51.475,14939
194,1999-12-17,51.475,52.379,51.475,51.926,21142
195,1999-12-20,52.199,52.83,52.199,52.379,25563
196,1999-12-21,53.101,53.101,51.926,51.926,3825
197,1999-12-22,53.282,56.442,53.282,56.442,13705
198,1999-12-23,56.895,58.7,56.895,58.248,13995
199,1999-12-27,58.7,60.506,57.616,57.616,21259
200,1999-12-28,58.248,58.7,57.795,57.795,18355
201,1999-12-29,58.7,59.873,57.795,59.603,10047
202,2000-01-03,64.569,67.73,64.569,66.827,30846
203,2000-01-04,65.473,65.473,62.764,63.667,38194
204,2000-01-05,60.776,65.021,60.776,62.764,21026
205,2000-01-06,63.486,65.473,62.583,65.473,23341
206,2000-01-07,69.806,76.31,69.806,74.954,27323
207,2000-01-10,76.58,84.257,76.58,80.825,30210
208,2000-01-11,80.825,83.533,77.032,80.825,39009
209,2000-01-12,79.019,82.18,79.019,81.547,24227
210,2000-01-13,82.18,85.159,82.18,85.159,101582
211,2000-01-14,84.437,84.708,82.902,84.708,71702
212,2000-01-17,82.63,83.533,82.63,82.63,21494
213,2000-01-18,81.277,83.354,79.019,79.289,38031
214,2000-01-19,78.116,78.116,75.858,76.761,28772
215,2000-01-20,82.18,82.18,78.838,81.728,57899
216,2000-01-21,79.742,79.742,78.567,79.47,21857
217,2000-01-24,78.116,78.116,67.279,72.245,24457
218,2000-01-25,72.245,73.149,69.99,71.342,51367
219,2000-01-26,72.245,75.858,72.245,75.858,29914
220,2000-01-27,74.503,80.192,74.503,80.192,53004
221,2000-01-28,81.999,88.05,81.999,86.243,49247
222,2000-01-31,83.986,86.243,83.986,85.791,17674
223,2000-02-01,89.855,93.016,88.05,91.211,21626
224,2000-02-02,92.564,97.084,89.855,96.639,30093
225,2000-02-03,102.05,114.24,99.344,112.44,40905
226,2000-02-04,111.98,117.4,106.57,110.17,59823
227,2000-02-07,108.82,115.13,106.11,111.07,73880
228,2000-02-08,111.52,112.88,110.62,111.07,43157
229,2000-02-09,111.98,119.65,110.17,110.17,88651
230,2000-02-10,101.13,111.07,101.13,105.2,56401
231,2000-02-11,104.3,112.88,101.13,103.86,81580
232,2000-02-14,101.13,103.86,98.879,102.05,26121
233,2000-02-15,106.11,106.11,102.95,103.86,27384
234,2000-02-16,106.11,106.11,101.61,101.61,89181
235,2000-02-17,99.344,106.11,99.344,104.76,53310
236,2000-02-18,106.11,108.82,106.11,107.93,52211
237,2000-02-21,104.3,107.46,104.3,106.11,23485
238,2000-02-22,108.37,115.58,108.37,115.58,77590
239,2000-02-23,119.21,126.43,117.4,117.86,80500
240,2000-02-24,130.95,140.87,129.59,140.87,74711
241,2000-02-25,144.05,144.05,130.05,133.21,136328
242,2000-02-28,130.49,131.85,121.91,127.34,122413
243,2000-02-29,135.47,144.5,134.11,143.15,49588
244,2000-03-01,145.85,145.85,140.87,143.15,87029
245,2000-03-02,144.5,144.5,138.18,140.42,47324
246,2000-03-03,140.87,140.87,134.11,138.18,80153
247,2000-03-06,140.42,140.42,133.66,133.66,33276
248,2000-03-07,126.43,133.21,126.43,131.4,42440
249,2000-03-08,120.12,132.3,120.12,126.43,38516
250,2000-03-09,132.3,133.66,127.34,130.95,28393
251,2000-03-10,141.32,146.75,141.32,146.75,118542
252,2000-03-13,143.59,144.5,131.85,135.91,91435
253,2000-03-14,131.4,139.99,131.4,137.72,34650
254,2000-03-15,128.23,133.21,126.88,126.88,25595
255,2000-03-16,124.62,124.62,122.38,123.27,37146
256,2000-03-17,134.11,134.11,128.23,128.23,18307
257,2000-03-20,130.95,130.95,129.14,130.05,21698
258,2000-03-21,129.14,129.14,125.51,126.43,15874
259,2000-03-22,128.23,128.23,122.83,124.16,11045
260,2000-03-23,124.16,128.23,124.16,127.79,17077
261,2000-03-24,127.79,130.95,127.79,130.49,20737
262,2000-03-27,131.85,134.55,131.85,133.21,30747
263,2000-03-28,130.49,131.85,129.59,130.05,15858
264,2000-03-29,128.69,130.05,126.88,128.69,49222
265,2000-03-30,125.97,125.97,121.46,121.91,42640
266,2000-03-31,114.24,118.77,114.24,117.4,51883
267,2000-04-03,118.77,118.77,109.73,111.52,21331
268,2000-04-04,107.93,111.52,103.4,108.82,74281
269,2000-04-05,109.28,109.28,100.7,104.3,21330
270,2000-04-06,110.62,114.24,110.62,112.44,27124
271,2000-04-07,115.13,117.86,112.44,117.4,28455
272,2000-04-10,117.4,117.4,111.52,111.52,23483
273,2000-04-11,105.67,105.67,97.084,97.983,32550
274,2000-04-12,97.983,102.95,97.983,97.983,92017
275,2000-04-13,95.725,100.7,95.725,99.344,24292
276,2000-04-14,99.344,100.23,96.639,97.523,44664
277,2000-04-17,89.404,89.404,81.728,85.34,24085
278,2000-04-18,90.76,90.76,86.063,89.855,18708
279,2000-04-19,93.016,93.016,88.05,88.05,28553
280,2000-04-20,88.951,88.951,88.501,88.951,11576
281,2000-04-25,83.082,85.612,83.082,83.533,9578
282,2000-04-26,85.34,87.146,85.34,85.791,20942
283,2000-04-27,82.63,84.708,77.665,83.082,13684
284,2000-04-28,85.159,86.243,83.082,83.986,44567
285,2000-05-04,81.547,83.533,79.742,79.92,10861
286,2000-05-05,79.92,79.92,75.407,76.129,17555
287,2000-05-08,76.129,76.129,71.795,72.245,26777
288,2000-05-09,72.245,73.149,70.891,72.245,68071
289,2000-05-10,73.871,76.761,73.871,76.761,46603
290,2000-05-11,77.665,85.791,77.665,85.159,45767
291,2000-05-12,85.34,89.404,83.533,89.223,251866
292,2000-05-15,89.404,93.923,85.791,85.791,89741
293,2000-05-16,89.404,90.307,85.791,87.598,39198
294,2000-05-17,87.598,87.598,83.805,84.889,52684
295,2000-05-18,84.437,87.417,84.437,85.34,46838
296,2000-05-19,85.612,85.612,82.902,83.082,42080
297,2000-05-22,79.019,81.277,78.567,80.374,55023
298,2000-05-23,81.277,81.277,77.213,78.838,14045
299,2000-05-24,74.052,74.323,71.342,73.149,23737
300,2000-05-25,74.323,75.858,73.871,74.503,17657
301,2000-05-26,70.891,72.698,70.891,72.245,12369
302,2000-05-29,69.99,73.871,69.99,73.149,45392
303,2000-05-30,72.969,74.503,71.795,74.323,59634
304,2000-05-31,78.567,78.567,75.858,77.213,55193
305,2000-06-01,78.567,84.889,78.567,84.889,27187
306,2000-06-02,85.34,90.307,82.18,89.404,53757
307,2000-06-05,88.951,91.662,87.146,88.05,55534
308,2000-06-06,85.34,86.063,81.096,81.728,38920
309,2000-06-07,80.825,84.708,80.825,84.257,34649
310,2000-06-08,87.146,89.404,84.889,84.889,35412
311,2000-06-09,83.986,86.243,82.63,85.791,26211
312,2000-06-12,83.986,83.986,81.547,81.547,13652
313,2000-06-13,82.18,83.082,81.277,82.18,32899
314,2000-06-14,83.354,85.34,83.354,84.708,12806
315,2000-06-15,81.277,83.082,81.096,83.082,17711
316,2000-06-16,82.18,83.082,81.728,81.728,13360
317,2000-06-19,82.902,82.902,81.547,81.999,5548
318,2000-06-20,82.902,84.437,82.902,83.986,16866
319,2000-06-21,83.533,84.257,82.45,83.986,10276
320,2000-06-23,83.533,85.159,83.354,84.257,9654
321,2000-06-26,86.063,93.016,86.063,92.564,44194
322,2000-06-27,94.827,97.523,94.374,94.827,174108
323,2000-06-28,94.827,99.344,94.374,99.344,51039
324,2000-06-29,98.425,98.425,93.923,94.374,83734
325,2000-06-30,94.827,94.827,90.76,91.211,28331
326,2000-07-03,91.662,94.374,91.662,92.564,15558
327,2000-07-04,93.923,93.923,92.564,92.564,8846
328,2000-07-05,92.113,93.016,89.404,90.127,29686
329,2000-07-06,89.404,89.404,86.514,86.695,56235
330,2000-07-07,86.695,86.695,81.728,83.533,18501
331,2000-07-10,86.695,86.695,83.082,83.354,12407
332,2000-07-11,81.728,81.728,79.019,79.92,20189
333,2000-07-12,79.92,83.354,79.92,82.63,42429
334,2000-07-13,83.082,83.082,81.096,81.096,32000
335,2000-07-14,82.63,82.63,78.567,78.567,46745
336,2000-07-17,79.47,80.374,78.116,78.838,24839
337,2000-07-18,79.47,83.082,79.47,81.547,74766
338,2000-07-19,82.18,84.889,81.277,82.63,20372
339,2000-07-20,81.277,82.63,81.277,82.18,11481
340,2000-07-21,79.019,79.92,78.567,79.019,48860
341,2000-07-24,77.665,77.665,76.761,77.483,17960
342,2000-07-25,75.407,75.407,72.698,74.323,33409
343,2000-07-26,72.698,72.698,67.73,67.73,59542
344,2000-07-27,66.646,68.181,64.569,67.279,86694
345,2000-07-28,65.473,66.827,65.473,65.924,43334
346,2000-07-31,65.473,65.924,64.569,64.842,18601
347,2000-08-01,64.569,64.569,60.506,62.764,31357
348,2000-08-02,62.311,64.117,62.311,64.117,24468
349,2000-08-03,62.764,63.667,61.86,62.311,26135
350,2000-08-04,65.021,65.292,63.938,65.292,26153
351,2000-08-07,63.938,64.569,62.764,63.938,14295
352,2000-08-08,63.033,63.938,63.033,63.667,18599
353,2000-08-09,65.292,66.827,65.292,66.194,37765
354,2000-08-10,65.743,65.743,62.764,63.215,30322
355,2000-08-11,61.409,61.68,60.325,61.228,31790
356,2000-08-14,61.409,62.583,61.409,62.132,9817
357,2000-08-16,62.132,63.667,62.132,63.667,9741
358,2000-08-17,62.132,62.764,60.957,61.68,7010
359,2000-08-18,62.764,62.764,60.957,62.132,13730
360,2000-08-21,60.957,60.957,60.056,60.957,7798
361,2000-08-22,61.86,61.86,60.776,61.86,9545
362,2000-08-23,62.132,63.667,62.132,62.311,10678
363,2000-08-24,63.938,65.924,63.938,65.924,34775
364,2000-08-25,66.376,66.827,65.021,65.924,26067
365,2000-08-28,65.924,65.924,64.117,65.473,26839
366,2000-08-29,65.021,65.473,63.938,65.292,18217
367,2000-08-30,65.743,67.73,65.743,67.279,18932
368,2000-08-31,67.73,71.795,67.73,71.614,57898
369,2000-09-01,74.503,79.289,73.871,77.936,114010
370,2000-09-04,78.838,78.838,74.954,76.761,66468
371,2000-09-05,75.858,75.858,72.245,73.601,33338
372,2000-09-06,72.969,74.774,72.245,74.052,44118
373,2000-09-07,70.891,71.795,69.537,71.614,41285
374,2000-09-08,72.698,72.698,70.71,70.71,18141
375,2000-09-11,69.537,70.71,69.086,70.71,18099
376,2000-09-12,68.181,70.259,68.001,70.259,120547
377,2000-09-13,70.891,71.342,68.634,69.99,38243
378,2000-09-14,69.806,70.259,68.634,68.904,47072
379,2000-09-15,67.73,68.181,66.827,68.001,21279
380,2000-09-18,65.473,67.73,65.473,67.73,15077
381,2000-09-19,67.73,69.086,67.73,68.634,19358
382,2000-09-20,69.806,69.806,67.73,67.73,28214
383,2000-09-21,67.73,67.73,64.569,65.473,22725
384,2000-09-22,60.957,62.132,58.7,61.318,93959
