,Date,Open,High,Low,Close,Volume
0,1998-11-06,1.5905,1.5905,1.5905,1.5905,161934.0
1,1998-11-09,1.6677,1.6677,1.6677,1.6677,266897.0
2,1998-11-10,1.822,1.822,1.822,1.822,143481.0
3,1998-11-12,1.9996,1.9996,1.9996,1.9996,91633.0
4,1998-11-13,2.1772,2.1772,2.1772,2.1772,150379.0
5,1998-11-16,1.9687,1.9687,1.9687,1.9687,39997.0
6,1998-11-17,1.8066,1.8066,1.8066,1.8066,144960.0
7,1998-11-18,1.907,1.907,1.907,1.907,37415.0
8,1998-11-19,1.714,1.714,1.714,1.714,29124.0
9,1998-11-20,1.6831,1.6831,1.6831,1.6831,162229.0
10,1998-11-23,1.6831,1.6831,1.6831,1.6831,51647.0
11,1998-11-24,1.5131,1.5131,1.5131,1.5131,107130.0
12,1998-11-25,1.4129,1.4129,1.4129,1.4129,111535.0
13,1998-11-26,1.544,1.544,1.544,1.544,225992.0
14,1998-11-27,1.6367,1.6367,1.6367,1.6367,65387.0
15,1998-11-30,1.5905,1.5905,1.5905,1.5905,202298.0
16,1998-12-01,1.4283,1.4283,1.4283,1.4283,45460.0
17,1998-12-02,1.4437,1.4437,1.4437,1.4437,20876.0
18,1998-12-03,1.4361,1.4361,1.4361,1.4361,83714.0
19,1998-12-04,1.4514,1.4514,1.4514,1.4514,12480.0
20,1998-12-07,1.4283,1.4283,1.4283,1.4283,36162.0
21,1998-12-08,1.4283,1.4283,1.4283,1.4283,27896.0
22,1998-12-09,1.3819,1.3819,1.3819,1.3819,6616.0
23,1998-12-10,1.4283,1.4283,1.4283,1.4283,12019.0
24,1998-12-11,1.3819,1.3819,1.3819,1.3819,5839.0
25,1998-12-14,1.3665,1.3665,1.3665,1.3665,9375.0
26,1998-12-15,1.4283,1.4283,1.4283,1.4283,20103.0
27,1998-12-16,1.5749,1.5749,1.5749,1.5749,51856.0
28,1998-12-17,1.6677,1.6677,1.6677,1.6677,87713.0
29,1998-12-18,1.6058,1.6058,1.6058,1.6058,51301.0
30,1998-12-21,1.6677,1.6677,1.6677,1.6677,28488.0
31,1998-12-22,1.822,1.822,1.822,1.822,100792.0
