,Date,Open,High,Low,Close,Volume
0,2010-12-23,23.874,49.727,23.874,49.727,1713
1,2010-12-27,54.76,60.231,54.76,60.231,169
2,2010-12-28,65.653,71.621,54.711,54.711,7172
3,2010-12-29,49.737,49.737,39.79,39.79,4376
4,2010-12-30,34.816,34.816,31.334,32.826,6589
5,2010-12-31,30.34,30.34,29.84,30.24,3575
6,2011-01-03,29.345,29.345,25.465,25.754,10983
7,2011-01-04,24.471,26.918,24.471,25.067,15700
8,2011-01-05,25.067,25.067,22.561,23.854,12425
9,2011-01-07,23.864,24.371,23.854,24.371,6531
10,2011-01-10,24.301,24.301,21.884,22.322,7462
11,2011-01-11,22.68,23.018,20.502,21.884,6759
12,2011-01-12,21.785,21.884,21.088,21.775,1829
13,2011-01-13,21.138,21.974,20.89,21.367,519
14,2011-01-14,21.088,21.088,20.153,20.153,1874
15,2011-01-17,20.84,20.84,19.298,19.785,2186
16,2011-01-18,19.756,19.795,19.009,19.099,2043
17,2011-01-19,19.885,19.895,19.208,19.397,995
18,2011-01-20,19.497,19.855,19.0,19.348,724
19,2011-01-21,18.92,19.616,18.91,19.189,2498
20,2011-01-24,19.189,19.795,18.91,19.586,630
21,2011-01-25,19.099,19.298,18.482,19.198,792
22,2011-01-26,18.303,19.567,18.303,18.85,1064
23,2011-01-27,18.154,19.318,17.756,18.502,1851
24,2011-01-28,17.418,17.438,16.94,17.338,2192
25,2011-01-31,16.99,17.87,15.93,17.86,1326
26,2011-02-01,17.856,19.338,17.03,18.85,2716
27,2011-02-02,18.403,18.89,18.005,18.83,4737
28,2011-02-03,17.905,18.492,17.905,18.492,453
29,2011-02-04,18.602,18.811,18.005,18.602,700
30,2011-02-07,18.711,19.348,18.502,19.179,1724
31,2011-02-08,19.0,19.0,18.403,18.9,394
32,2011-02-09,18.413,18.791,17.866,18.751,2841
33,2011-02-10,18.403,18.701,18.353,18.701,956
34,2011-02-11,17.905,18.502,17.706,18.502,67
35,2011-02-14,18.403,19.696,18.055,19.696,8067
36,2011-02-15,19.795,24.759,19.795,24.759,20755
37,2011-02-16,24.67,25.744,22.213,22.76,9705
38,2011-02-17,22.76,22.76,21.685,22.531,2587
39,2011-02-18,21.616,21.984,20.999,21.984,1402
40,2011-02-21,21.984,23.774,21.347,23.078,2974
41,2011-02-22,23.068,23.068,21.636,22.74,1649
42,2011-02-23,21.884,21.884,20.71,20.89,3349
43,2011-02-24,20.939,21.387,20.671,20.691,795
44,2011-02-25,21.088,21.675,20.89,21.675,313
45,2011-02-28,21.864,22.859,21.864,22.461,912
46,2011-03-01,22.083,22.402,21.586,22.402,797
47,2011-03-02,22.302,22.302,20.919,22.262,1009
48,2011-03-03,20.989,21.884,20.989,21.884,162
49,2011-03-04,21.387,21.785,20.999,21.785,864
50,2011-03-07,21.188,21.188,21.188,21.188,201
51,2011-03-08,20.223,21.088,20.223,21.088,1019
52,2011-03-09,21.088,21.437,21.088,21.437,1001
53,2011-03-10,21.138,21.536,21.138,21.536,147
54,2011-03-11,21.118,21.118,21.118,21.118,434
55,2011-03-14,21.118,21.118,21.118,21.118,365
56,2011-03-15,21.118,21.496,20.89,21.297,1722
57,2011-03-16,21.377,21.506,21.377,21.506,302
58,2011-03-17,20.472,20.89,20.472,20.89,563
59,2011-03-18,20.89,20.89,20.541,20.541,382
60,2011-03-21,20.89,20.89,20.541,20.541,121
61,2011-03-22,20.939,20.939,20.591,20.89,352
62,2011-03-23,20.561,20.929,20.561,20.641,1279
63,2011-03-24,20.581,20.581,20.442,20.442,1056
64,2011-03-25,20.442,20.88,19.964,20.88,463
65,2011-03-28,19.964,20.392,19.964,20.392,80
66,2011-03-30,19.954,20.004,19.954,20.004,784
67,2011-03-31,20.0,20.04,19.94,19.94,1900
68,2011-04-01,19.954,19.954,19.954,19.954,101
69,2011-04-04,19.954,19.954,19.895,19.895,89
70,2011-04-05,20.293,21.387,20.293,21.387,176
71,2011-04-06,21.506,21.506,20.392,20.392,935
72,2011-04-07,20.591,20.959,20.392,20.701,474
73,2011-04-08,20.74,20.969,20.392,20.969,265
74,2011-04-11,20.442,20.442,20.293,20.313,153
75,2011-04-12,20.492,21.069,20.313,21.069,302
76,2011-04-13,21.238,21.238,21.238,21.238,101
77,2011-04-14,20.313,20.313,19.895,19.895,1015
78,2011-04-15,20.104,20.193,20.104,20.193,105
79,2011-04-18,20.104,20.104,19.895,19.895,2614
80,2011-04-19,19.895,19.895,19.656,19.656,391
