,Date,Open,High,Low,Close,Volume
0,2011-12-05,12.37,13.5,10.1,11.1,5203
1,2011-12-06,11.1,13.9,10.0,13.9,2319
2,2011-12-07,13.89,15.7,12.7,13.7,1965
3,2011-12-08,13.75,15.69,12.7,13.7,3481
4,2011-12-09,13.7,13.7,13.19,13.64,440
5,2011-12-12,13.8,13.8,13.0,13.5,359
6,2011-12-13,13.25,13.25,12.7,13.0,1123
7,2011-12-14,12.71,12.71,12.4,12.4,295
8,2011-12-15,12.51,12.51,12.51,12.51,700
9,2011-12-16,12.51,12.51,12.51,12.51,20
10,2011-12-19,12.75,12.75,12.75,12.75,20
11,2011-12-20,12.75,12.75,12.7,12.7,10
12,2011-12-21,12.51,12.51,12.51,12.51,25
13,2011-12-22,12.51,15.0,12.51,15.0,1875
14,2011-12-23,15.7,15.7,15.7,15.7,10
15,2011-12-27,15.7,15.7,15.7,15.7,10
16,2011-12-28,15.6,15.6,14.5,15.3,40
17,2011-12-29,15.6,15.6,15.6,15.6,10
18,2011-12-30,15.6,15.6,15.6,15.6,20
19,2012-01-02,15.7,15.7,15.7,15.7,10
20,2012-01-03,15.7,16.0,15.7,16.0,21
21,2012-01-10,15.2,15.2,15.0,15.0,30
22,2012-01-11,14.8,14.8,14.8,14.8,20
23,2012-01-24,15.3,17.6,15.3,17.6,654
24,2012-01-25,18.38,18.4,18.38,18.4,50
25,2012-01-26,18.4,18.4,18.4,18.4,20
26,2012-01-27,18.4,19.1,18.4,19.1,956
27,2012-01-30,19.1,19.1,19.1,19.1,5
28,2012-01-31,19.1,19.1,17.38,17.4,673
29,2012-02-02,17.0,17.0,16.8,16.8,15
30,2012-02-03,16.8,20.2,16.8,20.2,794
31,2012-02-06,20.2,20.2,20.16,20.17,193
32,2012-02-07,20.17,20.17,19.2,19.42,385
33,2012-02-08,19.99,19.99,19.99,19.99,2
34,2012-02-09,19.95,19.95,19.5,19.5,260
35,2012-02-10,19.8,19.8,19.8,19.8,2
36,2012-02-13,19.8,19.8,19.8,19.8,151
37,2012-02-14,20.09,20.09,20.09,20.09,10
38,2012-02-15,20.09,20.19,20.08,20.19,270
39,2012-02-16,20.18,22.9,20.18,22.9,3192
40,2012-02-17,23.0,27.4,23.0,27.4,1404
41,2012-02-20,31.4,31.4,29.9,30.2,2308
42,2012-02-21,31.0,31.0,29.0,29.0,590
43,2012-02-22,29.0,29.0,29.0,29.0,5
44,2012-02-27,27.91,27.91,27.91,27.91,73
45,2012-02-28,27.0,27.0,26.7,26.7,105
46,2012-02-29,26.0,26.7,26.0,26.7,329
