,Date,Open,High,Low,Close,Volume
0,2019-12-18,21.35,24.0,17.1,17.8,27764
1,2019-12-19,18.0,19.6,17.0,19.392,6700
2,2019-12-20,19.3,19.3,17.25,19.0,3232
3,2019-12-23,19.0,19.2,18.29,19.2,4671
4,2019-12-27,19.2,20.5,18.5,19.0,3075
5,2019-12-30,19.05,21.0,19.05,20.16,1253
6,2020-01-02,21.0,24.0,20.5,23.79,9720
7,2020-01-03,24.1,26.1,24.1,25.3,17719
8,2020-01-07,26.1,31.0,26.0,30.2,33765
9,2020-01-08,30.51,34.5,30.51,34.2,30027
10,2020-01-09,34.99,37.0,29.5,33.0,18860
11,2020-01-10,33.8,34.4,29.66,31.48,10258
12,2020-01-13,31.5,32.7,29.3,30.1,10562
13,2020-01-14,30.0,31.5,28.65,31.3,6186
14,2020-01-15,31.5,32.7,30.0,30.0,12637
15,2020-01-16,29.35,32.4,29.35,31.7,4052
16,2020-01-17,29.5,32.0,29.3,31.35,5910
17,2020-01-20,31.5,32.2,30.8,31.5,3153
18,2020-01-21,31.5,31.5,30.8,30.8,1206
19,2020-01-22,31.5,31.5,29.6,30.7,4266
20,2020-01-23,30.7,31.2,29.0,30.98,3032
21,2020-01-24,30.1,32.17,30.05,32.17,1607
22,2020-01-27,32.29,32.29,30.5,31.0,3157
23,2020-01-28,31.0,36.79,30.6,36.1,16896
24,2020-01-29,36.9,36.9,33.9,34.0,10370
25,2020-01-30,33.98,36.5,33.0,34.4,8258
26,2020-01-31,35.0,35.5,32.0,33.88,2209
27,2020-02-03,34.25,37.4,34.0,35.7,7861
28,2020-02-04,35.3,37.4,35.3,36.0,8744
29,2020-02-05,36.96,36.96,35.0,35.0,11495
30,2020-02-06,36.04,37.4,30.0,31.5,37312
31,2020-02-07,31.45,33.475,29.0,30.78,25227
32,2020-02-10,30.8,30.8,29.5,30.0,7777
33,2020-02-11,30.0,32.27,30.0,30.1,5295
34,2020-02-12,30.11,31.98,30.1,31.5,2720
35,2020-02-13,31.75,32.94,31.75,32.15,2879
36,2020-02-14,32.8,33.35,32.5,32.5,3982
37,2020-02-17,33.4,33.4,32.3,32.7,2417
38,2020-02-18,32.9,33.8,30.02,32.5,6216
39,2020-02-19,32.5,32.96,31.0,31.87,1740
40,2020-02-20,32.0,32.0,30.005,30.15,7081
41,2020-02-21,30.0,30.79,29.6,29.66,5154
42,2020-02-24,29.5,29.5,25.3,26.9,19594
43,2020-02-25,26.8,26.8,23.41,25.975,23709
44,2020-02-26,24.4,25.985,22.5,25.3,36876
45,2020-02-27,24.0,25.98,22.98,22.98,5733
46,2020-02-28,22.5,22.5,18.868,21.79,23604
47,2020-03-02,21.5,25.0,20.8,21.995,6691
48,2020-03-03,22.5,24.2,22.5,22.75,11188
49,2020-03-04,22.85,23.4,21.6,21.8,6154
50,2020-03-05,22.56,22.58,21.5,21.54,3605
51,2020-03-06,21.12,21.12,20.4,20.9,4231
52,2020-03-09,19.9,20.0,18.32,19.9,4815
53,2020-03-10,19.9,20.995,19.0,19.5,3773
54,2020-03-11,19.6,19.6,16.01,17.0,2305
55,2020-03-12,13.0,15.1,13.0,14.18,9702
56,2020-03-13,14.612,17.4,14.5,15.12,7005
57,2020-03-16,14.48,17.37,13.11,17.2,5501
58,2020-03-17,17.1,18.9,16.5,18.498,4209
59,2020-03-18,18.4,18.4,16.6,17.998,2075
60,2020-03-19,17.9,21.45,17.5,20.7,4629
61,2020-03-20,20.7,24.2,19.0,19.5,8494
