,Date,Open,High,Low,Close,Volume
0,2011-12-08,6.4162,9.0408,6.4162,7.3056,6930
1,2011-12-09,7.5828,8.013,5.8474,5.8622,1710
2,2011-12-12,6.1244,6.1244,5.2058,5.3968,2300
3,2011-12-13,5.6868,5.8328,5.3952,5.5412,1675
4,2011-12-14,5.6288,5.6288,5.6288,5.6288,685
5,2011-12-15,5.556,5.556,5.5266,5.5266,825
6,2011-12-16,5.4682,5.4682,5.4682,5.4682,340
7,2011-12-19,5.3952,5.3952,5.3952,5.3952,110
8,2011-12-20,5.3952,5.3952,5.3952,5.3952,445
9,2011-12-22,5.3952,5.3952,5.3952,5.3952,625
10,2011-12-28,5.6868,5.6868,5.6868,5.6868,170
11,2011-12-29,5.8184,5.8328,5.8184,5.8328,550
12,2012-01-11,5.5848,5.5848,5.5848,5.5848,440
13,2012-01-27,5.5706,5.5706,5.5706,5.5706,270
14,2012-01-31,5.8328,5.8328,5.8328,5.8328,340
15,2012-02-02,5.8328,5.8328,5.8328,5.8328,170
16,2012-02-27,5.9786,6.998,5.9786,6.998,2495
17,2012-02-29,7.2912,7.5828,7.2912,7.5828,110
18,2012-03-01,7.7286,8.0202,7.7286,8.0202,200
19,2012-03-02,8.0202,9.624,8.0202,9.624,370
20,2012-03-05,8.013,8.013,7.7286,7.7286,90
21,2012-03-09,7.7274,8.4576,7.7274,8.3116,1480
22,2012-03-14,6.7078,6.7078,6.7078,6.7078,655
23,2012-03-15,6.7078,6.7078,6.562,6.562,425
24,2012-05-25,5.8328,5.8328,5.8328,5.8328,380
25,2012-07-20,5.6868,5.8316,5.6868,5.8316,5680
26,2012-08-29,5.7602,5.7602,5.7602,5.7602,260
27,2012-08-30,5.7602,5.8328,5.7602,5.7602,1500
28,2012-09-13,5.614,5.614,5.614,5.614,270
29,2012-11-20,5.5706,5.5706,5.4246,5.4246,280
30,2012-12-17,5.1536,5.1536,5.1536,5.1536,295
31,2012-12-20,4.885,4.885,4.375,4.375,790
32,2012-12-21,4.0698,4.0698,4.0698,4.0698,295
33,2013-01-10,4.1558,4.1558,4.1558,4.1558,685
34,2013-01-11,4.3894,4.3894,4.3894,4.3894,1025
35,2013-01-22,4.3894,4.3894,4.3894,4.3894,1020
36,2013-02-27,4.7176,5.2492,4.7176,5.2492,670
37,2013-02-28,5.6434,5.6434,5.6434,5.6434,265
38,2013-03-01,6.737,6.737,5.2492,5.2492,270
39,2013-03-27,5.2492,5.2492,5.2492,5.2492,280
40,2013-04-19,5.1766,5.1766,5.0192,5.0192,600
41,2013-05-20,5.1036,5.1036,5.1036,5.1036,295
42,2013-06-04,5.8328,5.8328,5.8328,5.8328,5
43,2013-07-04,4.5934,4.5934,4.5934,4.5934,330
44,2013-07-05,4.6662,4.7392,4.6662,4.7392,905
45,2013-07-08,4.9376,4.9376,4.9376,4.9376,310
46,2013-10-16,5.2492,5.2492,5.1036,5.1036,590
47,2013-10-17,5.2492,5.3224,5.162,5.2492,1260
48,2013-10-21,5.0192,5.0192,4.8164,4.8164,615
49,2013-11-20,5.031,5.3224,5.031,5.3224,680
50,2013-11-21,5.3224,5.3224,5.3224,5.3224,2060
51,2013-11-22,5.3224,5.3224,5.3224,5.3224,745
52,2013-11-26,5.3224,5.3224,5.3224,5.3224,3355
53,2013-11-27,5.3224,5.3224,5.3224,5.3224,4155
54,2013-11-28,5.5412,5.5412,5.3224,5.3224,4590
55,2013-11-29,5.5412,5.5412,5.5412,5.5412,1375
56,2013-12-02,5.8328,5.8328,5.8328,5.8328,265
57,2013-12-06,5.8328,5.8328,5.8328,5.8328,5
58,2013-12-09,7.0724,7.0724,7.0724,7.0724,270
