,Date,Open,High,Low,Close,Volume
0,2012-08-30,0.16033,0.19239,0.16033,0.19239,88263
1,2012-08-31,0.23159,0.2779,0.23159,0.2779,178069
2,2012-09-03,0.32956,0.32956,0.22268,0.30283,126764
3,2012-09-04,0.30107,0.30107,0.19419,0.21021,90785
4,2012-09-05,0.22268,0.22268,0.17814,0.17814,35144
5,2012-09-06,0.17814,0.23159,0.17457,0.23159,25050
6,2012-09-07,0.25832,0.33847,0.25832,0.33847,36832
7,2012-09-10,0.39189,0.42753,0.36516,0.39904,90014
8,2012-09-11,0.37943,0.40792,0.35094,0.39904,30030
9,2012-09-12,0.40971,0.5879,0.40971,0.5879,50332
10,2012-09-13,0.7054,0.7125,0.44535,0.44535,80433
11,2012-09-14,0.49342,0.5683,0.39369,0.5665,87485
12,2012-09-17,0.627,0.7517,0.5344,0.57,107384
13,2012-09-18,0.5522,0.5522,0.39189,0.44535,122580
14,2012-09-19,0.44176,0.5273,0.37763,0.41862,38894
15,2012-09-20,0.49166,0.49878,0.38298,0.38298,81199
16,2012-09-21,0.39189,0.49878,0.30639,0.49878,161201
17,2012-09-24,0.44176,0.46317,0.32065,0.32065,169336
18,2012-09-25,0.31174,0.34023,0.24941,0.34023,207376
19,2012-09-26,0.34023,0.34023,0.30283,0.30283,55353
20,2012-09-27,0.30639,0.30818,0.25117,0.25117,24049
21,2012-09-28,0.24941,0.28325,0.21553,0.23514,17168
22,2012-10-01,0.22268,0.26187,0.21377,0.24941,32381
23,2012-10-02,0.26187,0.29927,0.25652,0.27966,163694
24,2012-10-03,0.27254,0.27254,0.21377,0.21377,73214
25,2012-10-04,0.21732,0.23514,0.21377,0.23514,30900
26,2012-10-05,0.23694,0.23694,0.21377,0.23514,4773
27,2012-10-08,0.23514,0.23514,0.21732,0.23514,12960
28,2012-10-09,0.23514,0.2405,0.21377,0.21732,57305
29,2012-10-10,0.22268,0.24405,0.22268,0.24405,25282
30,2012-10-11,0.24581,0.29392,0.23159,0.29392,114736
31,2012-10-12,0.31709,0.35449,0.25472,0.25472,124135
32,2012-10-15,0.24405,0.26008,0.21912,0.21912,70328
33,2012-10-16,0.22447,0.2405,0.20306,0.21553,41010
34,2012-10-17,0.20486,0.21201,0.19239,0.19595,21221
35,2012-10-18,0.20306,0.23159,0.20306,0.23159,19085
36,2012-10-19,0.23159,0.2405,0.23159,0.2405,1429
37,2012-10-22,0.2405,0.2405,0.21912,0.23514,14427
38,2012-10-23,0.21553,0.21553,0.17814,0.17814,131095
39,2012-10-24,0.18883,0.19239,0.17814,0.18704,45985
40,2012-10-25,0.19059,0.20306,0.18704,0.20306,20405
41,2012-10-26,0.20306,0.22088,0.17814,0.18348,52623
42,2012-10-29,0.16923,0.19419,0.16923,0.19419,616
43,2012-10-30,0.16211,0.19419,0.16033,0.16033,25737
44,2012-10-31,0.15676,0.17814,0.15676,0.17635,12815
45,2012-11-02,0.17635,0.17635,0.16923,0.16923,11228
