,Date,Open,High,Low,Close,Volume
0,2021-04-19,174.0,175.0,170.98,171.98,26344
1,2021-04-20,172.8,172.8,150.0,154.04,18376
2,2021-04-21,155.0,169.96,150.0,168.0,10621
3,2021-04-22,167.0,174.8,167.0,173.98,3543
4,2021-04-23,172.0,174.28,169.02,174.28,1643
5,2021-04-26,180.0,180.0,172.32,177.9,397
6,2021-04-27,178.0,178.0,175.64,177.86,67
7,2021-04-28,177.96,177.96,169.0,177.46,164
8,2021-04-29,177.94,177.94,171.02,176.94,208
9,2021-04-30,176.9,178.58,172.42,178.0,594
10,2021-05-04,172.5,177.46,170.26,177.46,10875
11,2021-05-05,172.2,174.0,172.12,173.0,7318
12,2021-05-06,173.0,173.0,170.32,172.0,5449
13,2021-05-07,172.96,172.96,171.0,171.6,12763
14,2021-05-10,172.0,172.0,169.0,171.98,620
15,2021-05-11,172.0,172.0,171.0,171.0,51
16,2021-05-12,171.0,171.5,170.0,170.0,8067
17,2021-05-13,170.96,170.96,166.28,168.6,2169
18,2021-05-14,169.0,170.5,167.52,170.5,16858
19,2021-05-17,171.98,171.98,168.3,170.0,454
20,2021-05-18,171.0,171.0,168.02,170.98,36
21,2021-05-19,170.96,170.98,170.5,170.98,4
22,2021-05-20,168.0,170.98,168.0,170.98,139
23,2021-05-21,166.2,170.96,166.2,170.96,3
24,2021-05-24,170.96,170.96,166.4,170.0,32
25,2021-05-25,166.5,169.5,166.5,169.5,63
26,2021-05-26,170.0,170.0,166.52,169.9,32
27,2021-05-27,169.8,169.8,169.8,169.8,5
28,2021-05-28,166.56,169.78,166.56,169.5,28
29,2021-05-31,169.4,169.4,165.4,169.0,89
30,2021-06-01,169.0,175.0,165.22,170.0,3002
31,2021-06-02,170.0,174.0,167.0,174.0,7106
32,2021-06-04,174.5,174.9,173.9,174.0,14
33,2021-06-07,174.0,174.0,174.0,174.0,206
34,2021-06-08,174.0,178.0,174.0,178.0,1548
35,2021-06-09,178.0,184.0,178.0,184.0,586
36,2021-06-10,184.0,184.0,182.8,184.0,1190
37,2021-06-11,183.98,185.0,178.2,184.8,1909
38,2021-06-14,185.0,186.0,181.5,185.9,1444
39,2021-06-15,183.16,185.9,182.6,185.9,1212
40,2021-06-16,185.5,190.0,184.0,187.1,7440
41,2021-06-17,186.9,187.0,183.0,185.5,953
42,2021-06-18,185.5,188.0,185.0,187.94,1793
43,2021-06-21,185.0,187.86,184.0,187.86,3486
44,2021-06-22,186.98,186.98,186.5,186.5,194
45,2021-06-23,186.5,192.16,186.0,190.0,7763
46,2021-06-24,194.0,197.0,192.0,195.0,258
47,2021-06-25,195.0,199.0,195.0,198.0,571
48,2021-06-28,198.0,200.0,192.0,200.0,2614
49,2021-06-29,200.0,203.0,197.1,201.0,3964
50,2021-06-30,198.58,202.4,198.58,198.8,1670
51,2021-07-01,199.5,201.9,197.16,199.6,1120
52,2021-07-02,200.0,200.0,198.0,199.4,1716
53,2021-07-05,199.4,199.4,194.0,199.4,2994
54,2021-07-06,195.5,199.0,195.5,199.0,422
55,2021-07-07,196.04,198.9,196.04,198.9,89
56,2021-07-08,198.8,198.8,194.6,198.6,395
57,2021-07-09,198.6,198.6,193.3,198.0,17772
58,2021-07-12,197.4,197.5,193.46,197.5,107
59,2021-07-13,198.0,198.0,180.3,191.9,2211
60,2021-07-14,193.0,193.0,188.0,188.0,348
61,2021-07-15,190.7,190.7,186.0,189.0,478
62,2021-07-16,188.0,198.0,188.0,195.0,1250
63,2021-07-19,195.0,196.0,194.5,195.0,283
64,2021-07-20,196.0,196.0,192.06,194.9,143
65,2021-07-21,193.0,199.0,190.0,195.0,176
66,2021-07-22,195.0,195.5,190.0,195.0,150
67,2021-07-23,195.0,195.5,192.0,195.5,3063
68,2021-07-26,195.5,195.5,190.0,193.0,7033
69,2021-07-27,195.0,195.0,191.0,195.0,295
70,2021-07-28,195.0,195.0,190.0,192.0,162
71,2021-07-29,192.0,194.98,189.0,192.0,39120
72,2021-07-30,192.0,192.0,191.0,191.0,66
73,2021-08-02,192.0,192.0,188.2,191.0,204
74,2021-08-03,182.2,192.9,182.2,192.9,431
75,2021-08-04,192.9,192.9,187.0,192.0,8824
76,2021-08-05,192.5,192.5,187.04,190.0,92
77,2021-08-06,188.0,192.48,188.0,190.98,5138
78,2021-08-09,190.9,194.98,190.0,194.98,6313
79,2021-08-10,194.0,194.0,190.0,193.98,151
80,2021-08-11,193.98,193.98,192.0,193.0,144
81,2021-08-12,193.98,193.98,188.16,191.0,329
82,2021-08-13,193.98,193.98,190.0,190.5,30
83,2021-08-16,190.0,192.0,189.6,190.0,166
84,2021-08-17,190.0,193.0,189.6,193.0,704
85,2021-08-18,193.98,193.98,190.5,190.5,71
86,2021-08-19,185.5,190.98,185.0,190.5,195
87,2021-08-20,190.0,192.0,185.1,192.0,142
88,2021-08-23,185.28,190.0,185.28,190.0,9
89,2021-08-24,190.0,190.0,190.0,190.0,1
90,2021-08-25,191.0,191.0,185.22,190.0,16
91,2021-08-26,190.0,190.0,189.0,190.0,337
92,2021-08-27,190.1,191.9,185.28,190.0,36
93,2021-08-30,185.0,190.0,185.0,189.7,481
94,2021-08-31,189.7,190.0,184.2,189.9,345
95,2021-09-01,188.0,188.8,175.0,188.8,1752
96,2021-09-02,188.0,188.0,188.0,188.0,1
97,2021-09-03,188.88,188.88,186.0,188.48,400
98,2021-09-06,184.0,187.5,183.2,183.62,465
99,2021-09-07,183.62,188.5,183.62,186.0,68
100,2021-09-08,188.5,188.5,183.74,185.02,232
101,2021-09-09,183.7,188.0,183.7,186.0,4005
102,2021-09-10,185.0,188.96,184.08,185.04,1199
103,2021-09-13,185.04,188.98,184.28,186.0,1023
104,2021-09-14,186.0,188.6,185.0,185.02,8153
105,2021-09-15,185.86,188.0,185.02,188.0,163
106,2021-09-16,185.0,188.7,184.24,188.0,248
107,2021-09-17,185.1,190.0,185.02,189.9,4359
108,2021-09-20,188.02,188.9,184.44,188.7,301
109,2021-09-21,185.0,188.0,184.42,188.0,1471
110,2021-09-22,184.24,189.9,184.24,188.0,425
111,2021-09-23,185.72,189.0,185.72,189.0,1017
112,2021-09-24,186.0,189.0,186.0,186.0,6329
113,2021-09-27,184.28,189.84,184.2,189.84,25
114,2021-09-28,189.86,189.86,185.12,187.9,1265
115,2021-09-29,189.0,189.0,185.02,186.88,1553
116,2021-09-30,186.88,188.0,185.0,188.0,1703
117,2021-10-01,185.1,189.0,184.54,186.0,983
118,2021-10-04,186.0,188.0,184.48,186.06,5861
119,2021-10-05,189.5,189.5,185.16,186.0,72
120,2021-10-06,188.0,190.0,187.12,189.0,6801
121,2021-10-07,189.0,193.0,189.0,191.5,2335
122,2021-10-08,191.0,192.0,183.02,190.0,19523
123,2021-10-11,190.0,190.0,190.0,190.0,30
124,2021-10-12,188.0,189.0,188.0,188.5,143
125,2021-10-13,189.0,192.0,187.0,191.0,103
126,2021-10-14,190.0,190.0,190.0,190.0,2600
127,2021-10-15,190.0,209.0,190.0,202.0,8564
128,2021-10-18,204.9,204.9,190.0,195.98,54227
129,2021-10-19,195.98,200.0,194.5,200.0,5366
130,2021-10-20,199.9,199.9,196.9,197.5,137
131,2021-10-21,197.0,197.0,196.0,196.5,127
132,2021-10-22,195.8,199.98,195.0,196.96,1718
133,2021-10-25,196.98,196.98,194.7,195.48,477
134,2021-10-26,195.5,195.5,189.0,190.0,2103
135,2021-10-27,190.0,192.8,189.0,190.0,11974
136,2021-10-28,190.0,195.0,187.0,195.0,19233
137,2021-10-29,194.98,196.98,192.0,192.0,185
138,2021-11-02,190.0,194.98,190.0,193.98,2036
139,2021-11-03,193.0,193.0,176.4,182.2,1398
140,2021-11-04,182.0,189.0,180.06,189.0,394
141,2021-11-05,184.2,190.0,184.0,189.8,696
142,2021-11-08,184.2,189.4,184.2,188.9,37
143,2021-11-09,184.1,189.0,180.0,182.0,452
144,2021-11-10,181.0,185.0,181.0,185.0,626
145,2021-11-12,184.98,190.0,184.98,189.86,848
146,2021-11-15,188.9,193.98,188.9,190.0,1170
147,2021-11-16,190.0,193.78,189.5,193.78,1060
148,2021-11-17,190.0,192.0,190.0,192.0,426
149,2021-11-18,190.0,190.0,180.0,185.1,966
150,2021-11-19,181.0,187.0,181.0,186.0,392
151,2021-11-22,185.0,185.0,184.0,184.9,172
152,2021-11-23,182.5,184.0,182.5,184.0,35
153,2021-11-24,183.5,184.0,178.22,183.68,129
154,2021-11-25,183.58,183.6,183.58,183.6,95
155,2021-11-26,180.1,185.0,179.02,185.0,1261
156,2021-11-29,180.0,185.78,176.6,185.78,127
157,2021-11-30,185.0,188.8,180.1,185.0,3423
158,2021-12-01,185.0,187.5,185.0,187.44,377
159,2021-12-02,188.88,189.9,188.88,188.88,823
160,2021-12-03,182.0,186.0,182.0,185.8,11307
161,2021-12-06,185.0,185.0,183.0,183.0,593
162,2021-12-07,182.0,182.0,180.0,181.98,399
163,2021-12-08,180.0,180.5,180.0,180.5,1457
164,2021-12-09,180.5,180.5,178.3,180.0,4684
165,2021-12-10,179.8,179.8,178.6,178.6,3147
166,2021-12-13,177.1,180.0,177.1,179.88,685
167,2021-12-14,179.88,180.0,175.6,178.4,150
168,2021-12-15,175.7,179.8,174.12,179.0,387
169,2021-12-16,177.0,177.0,174.0,174.0,449
170,2021-12-17,178.0,178.0,178.0,178.0,146
171,2021-12-21,178.0,178.0,173.0,175.0,218
172,2021-12-22,176.0,178.0,172.52,175.0,872
173,2021-12-23,176.4,176.4,171.98,175.9,1372
174,2021-12-27,175.9,179.5,173.5,178.9,2198
175,2021-12-28,178.98,179.0,177.0,179.0,284
176,2021-12-29,179.0,179.8,178.0,179.8,3064
177,2021-12-30,180.0,182.0,178.0,179.8,964
178,2022-01-03,175.4,178.0,174.0,178.0,336
179,2022-01-04,176.0,177.9,175.0,175.0,1252
180,2022-01-05,175.0,175.0,173.0,175.0,545
181,2022-01-07,175.0,180.0,175.0,180.0,4443
182,2022-01-10,180.0,180.0,171.5,180.0,3598
183,2022-01-11,179.0,179.0,175.0,178.0,66
184,2022-01-12,180.0,183.98,177.02,180.0,24561
185,2022-01-13,183.78,183.78,179.5,180.0,1215
186,2022-01-14,174.02,179.0,174.0,178.98,116
187,2022-01-17,178.9,179.0,177.0,179.0,21376
188,2022-01-18,175.0,178.62,172.04,178.5,643
189,2022-01-19,177.98,177.98,174.0,176.9,125
190,2022-01-20,177.0,187.0,177.0,184.0,12921
191,2022-01-21,180.0,184.0,175.04,179.9,6549
192,2022-01-24,175.3,178.0,170.2,173.5,3152
193,2022-01-25,172.98,172.98,165.02,169.5,1277
194,2022-01-26,170.02,179.0,170.02,178.0,984
195,2022-01-27,170.0,175.0,168.52,171.0,1152
196,2022-01-28,172.0,178.0,170.0,171.0,2010
197,2022-01-31,175.0,175.0,172.52,173.5,314
198,2022-02-01,174.0,174.0,170.0,173.86,248
199,2022-02-02,169.0,173.0,167.0,170.0,1461
