,Date,Open,High,Low,Close,Volume
0,2010-09-23,0.5218,0.646,0.5218,0.646,146140
1,2010-09-24,0.7405,0.9363,0.7405,0.9363,118830
2,2010-09-27,1.0933,1.312,1.0933,1.1897,337780
3,2010-09-28,1.2016,1.4412,1.143,1.3865,353100
4,2010-09-29,1.3368,1.4412,1.2921,1.3368,132240
5,2010-09-30,1.2424,1.3865,1.0287,1.1728,83000
6,2010-10-01,1.1231,1.1231,1.0188,1.0188,44840
7,2010-10-04,0.9939,1.1579,0.9939,1.0635,58830
8,2010-10-05,1.0436,1.0536,0.9939,1.0536,33660
9,2010-10-06,1.0436,1.0536,1.0039,1.0536,8620
10,2010-10-07,1.0536,1.0565,1.0138,1.0525,16600
11,2010-10-08,1.0237,1.0436,1.0138,1.0436,5030
12,2010-10-11,1.0436,1.137,1.0436,1.0655,73490
13,2010-10-12,1.0933,1.312,1.0883,1.312,57680
14,2010-10-13,1.799,1.799,1.799,1.799,60860
15,2010-10-14,1.9878,2.5047,1.9878,2.4937,59640
16,2010-10-15,2.6736,2.6736,2.3854,2.5345,114580
17,2010-10-18,2.5643,2.5842,2.455,2.5742,31660
18,2010-10-19,2.5842,2.5842,2.455,2.4848,5000
19,2010-10-20,2.4848,2.5941,2.4848,2.5941,3500
20,2010-10-21,2.5941,2.5941,2.5335,2.5335,600
21,2010-10-22,2.783,3.3296,2.783,3.0801,44250
22,2010-10-25,3.0801,3.0801,2.8326,2.8823,24330
23,2010-10-26,2.8823,2.8823,2.6339,2.783,15720
24,2010-10-27,2.783,2.783,2.1767,2.1767,8580
25,2010-10-28,1.9878,2.2264,1.9878,2.2264,33740
26,2010-10-29,2.23,2.57,2.12,2.49,15550
27,2010-11-02,2.4947,2.5245,2.1478,2.5146,12030
28,2010-11-03,2.5146,2.931,2.5146,2.9122,5110
29,2010-11-04,2.9122,3.1805,2.9122,3.1795,17820
30,2010-11-05,3.2799,3.7719,3.2302,3.6278,29740
31,2010-11-08,3.5483,3.6278,3.3803,3.6228,19710
32,2010-11-09,3.6228,4.2738,3.6228,4.2738,52320
33,2010-11-10,4.3732,5.0789,4.3732,5.069,74230
34,2010-11-12,5.069,5.1286,4.8702,4.9696,31720
35,2010-11-15,4.572,4.9696,3.8763,4.1744,40820
36,2010-11-16,4.3583,4.3583,2.3904,2.3904,269330
37,2010-11-17,2.3635,2.3635,1.5137,1.7692,1013800
38,2010-11-18,1.8089,1.8487,1.4461,1.4461,1139370
39,2010-11-19,1.3945,1.6042,1.3686,1.4809,592390
40,2010-11-22,1.4909,1.6568,1.4561,1.5406,271790
41,2010-11-23,1.5465,1.5465,1.3527,1.4432,155840
42,2010-11-24,1.466,1.4809,1.1937,1.3388,337980
43,2010-11-25,1.3825,1.3825,1.2523,1.3806,103270
44,2010-11-26,1.3915,1.3915,1.2921,1.3219,25790
45,2010-11-29,1.3219,1.3408,1.2424,1.3219,19770
46,2010-11-30,1.3408,1.3408,1.2523,1.2772,17700
47,2010-12-01,1.3219,1.5286,1.2931,1.3905,162940
48,2010-12-02,1.3905,1.5684,1.3905,1.471,298410
49,2010-12-03,1.4799,1.4799,1.3815,1.475,59400
50,2010-12-06,1.475,1.5853,1.461,1.5754,123050
51,2010-12-07,1.5754,1.6608,1.5525,1.6559,106550
52,2010-12-08,1.6559,1.6688,1.5078,1.5078,98450
53,2010-12-09,1.5406,1.6081,1.467,1.6052,81900
54,2010-12-10,1.6052,1.7394,1.5406,1.6896,130830
55,2010-12-13,1.7244,1.9829,1.7244,1.8705,344720
56,2010-12-14,1.8686,1.9262,1.7592,1.8189,95990
57,2010-12-15,1.7841,1.8387,1.7095,1.796,21450
58,2010-12-16,1.789,1.8387,1.6201,1.638,116100
59,2010-12-17,1.638,1.638,1.5306,1.6201,95660
60,2010-12-20,1.5475,1.64,1.3219,1.3915,174350
61,2010-12-21,1.4312,1.471,1.3428,1.4213,67660
62,2010-12-22,1.4213,1.4213,1.2921,1.3418,74310
63,2010-12-23,1.2921,1.3716,1.2424,1.3617,65550
64,2010-12-27,1.3617,1.3815,1.2424,1.2633,91230
65,2010-12-28,1.2633,1.2633,1.1579,1.1917,102640
66,2010-12-29,1.1728,1.2126,1.143,1.1529,51710
67,2010-12-30,1.1529,1.1529,1.0933,1.152,31080
68,2010-12-31,1.15,1.27,1.12,1.25,39390
69,2011-01-03,1.3438,1.3438,1.2126,1.2851,36950
70,2011-01-04,1.2424,1.311,1.2136,1.2881,26200
71,2011-01-05,1.2871,1.2871,1.143,1.1867,39660
72,2011-01-07,1.1867,1.1867,1.1132,1.152,33200
73,2011-01-10,1.1132,1.148,1.0555,1.1032,16090
74,2011-01-11,1.1182,1.2851,1.1182,1.2523,73360
75,2011-01-12,1.2762,1.4352,1.2762,1.4163,84200
76,2011-01-13,1.4312,1.4312,1.2444,1.311,31820
77,2011-01-14,1.2921,1.3209,1.2175,1.2712,18020
78,2011-01-17,1.2822,1.2921,1.1917,1.1917,39590
79,2011-01-18,1.1927,1.1927,1.0933,1.0933,35650
80,2011-01-19,1.1132,1.1529,1.0734,1.1529,21480
81,2011-01-20,1.1529,1.2454,1.1231,1.2215,53210
82,2011-01-21,1.2215,1.2215,1.1132,1.1877,37730
83,2011-01-24,1.1877,1.2195,1.1132,1.1977,54970
84,2011-01-25,1.1828,1.1828,1.0963,1.1281,61000
85,2011-01-26,1.1728,1.1728,1.0993,1.141,20390
86,2011-01-27,1.1082,1.14,1.0734,1.138,34560
87,2011-01-28,1.137,1.143,1.0794,1.1172,26160
88,2011-01-31,1.09,1.17,1.09,1.17,20440
89,2011-02-01,1.1728,1.1728,1.0774,1.1221,53900
90,2011-02-02,1.0804,1.0923,1.0307,1.0685,49360
91,2011-02-03,1.0675,1.0893,1.0138,1.0734,21620
92,2011-02-04,1.0138,1.0734,0.9949,1.0436,29540
93,2011-02-07,1.0337,1.0734,0.9939,1.0386,26140
94,2011-02-08,1.0386,1.0536,1.0386,1.0525,13700
95,2011-02-09,1.0525,1.1609,1.0506,1.1609,63000
96,2011-02-10,1.1589,1.2026,1.148,1.2016,61090
97,2011-02-11,1.2026,1.2026,1.1032,1.1828,6350
98,2011-02-14,1.1778,1.1957,1.1132,1.1778,5340
99,2011-02-15,1.1609,1.1609,1.0436,1.1182,21790
100,2011-02-16,1.1211,1.1331,1.0486,1.1231,2540
101,2011-02-17,1.1529,1.1529,1.0883,1.0883,3380
102,2011-02-18,1.1122,1.1122,1.0436,1.1032,1120
103,2011-02-21,1.1182,1.1182,1.0734,1.0883,2070
104,2011-02-22,1.0744,1.0893,1.0386,1.0893,6470
105,2011-02-23,1.0893,1.0913,1.0198,1.0913,7210
106,2011-02-24,1.0893,1.1191,1.0436,1.0923,6300
107,2011-02-25,1.0834,1.0834,1.0436,1.0516,2500
108,2011-02-28,1.0436,1.1261,1.0138,1.1032,19210
109,2011-03-01,1.1132,1.143,1.0297,1.1132,10850
110,2011-03-02,1.1132,1.1132,1.0138,1.0138,22660
111,2011-03-03,1.0138,1.0536,0.9641,1.0516,70890
112,2011-03-04,1.0516,1.0516,0.9939,1.0287,15300
113,2011-03-07,0.9939,1.0267,0.9939,1.0267,6000
114,2011-03-08,1.0267,1.0784,1.0267,1.0734,15820
115,2011-03-09,1.0724,1.0724,0.984,1.0386,4630
116,2011-03-10,1.0386,1.0714,0.9939,1.0605,3150
117,2011-03-11,1.0039,1.0436,0.984,1.0138,28740
118,2011-03-14,0.9939,1.0327,0.9939,1.0327,3380
119,2011-03-15,1.0327,1.0327,0.9939,1.0128,730
120,2011-03-16,1.0327,1.0327,0.975,0.975,6040
121,2011-03-17,0.9929,0.9929,0.8448,0.9293,20320
122,2011-03-18,0.8816,0.9363,0.8816,0.9363,1150
123,2011-03-21,0.9363,0.9363,0.8856,0.8876,18690
124,2011-03-22,0.8876,0.9144,0.8796,0.8985,1970
125,2011-03-23,0.8796,0.9045,0.8647,0.8995,9210
126,2011-03-24,0.9074,0.9074,0.8647,0.8746,1790
127,2011-03-25,0.8746,0.8935,0.8498,0.8697,11650
128,2011-03-28,0.8399,0.9084,0.8399,0.8945,11570
129,2011-03-29,0.8945,0.9919,0.8945,0.9919,18560
130,2011-03-30,0.976,0.976,0.9194,0.9591,1910
131,2011-03-31,0.98,0.98,0.91,0.93,920
132,2011-04-01,0.9512,1.0635,0.9512,1.0039,50840
133,2011-04-04,1.0039,1.1818,1.0039,1.1788,138070
134,2011-04-05,1.1698,1.2444,1.0933,1.2275,120040
135,2011-04-06,1.2215,1.2215,1.1132,1.1629,19390
136,2011-04-07,1.143,1.143,1.0188,1.0456,52260
137,2011-04-08,1.0685,1.0864,0.9959,1.0834,18980
138,2011-04-11,1.0933,1.1182,1.0337,1.1182,9740
139,2011-04-12,1.0933,1.1132,0.9939,1.0784,41600
140,2011-04-13,1.0784,1.1182,1.0039,1.0824,45620
141,2011-04-14,1.0247,1.142,1.0247,1.1182,39330
142,2011-04-15,1.1331,1.151,1.1132,1.148,21500
143,2011-04-18,1.151,1.1728,1.151,1.1619,9690
144,2011-04-19,1.1619,1.1877,1.1142,1.1877,38310
145,2011-04-20,1.1828,1.1927,1.1082,1.1828,36810
146,2011-04-21,1.1818,1.1967,1.1281,1.1967,14150
147,2011-04-26,1.1967,1.4909,1.1728,1.4909,153290
148,2011-04-27,1.6002,1.7185,1.472,1.628,171300
149,2011-04-28,1.6201,1.6201,1.4203,1.5445,97900
150,2011-04-29,1.54,1.54,1.24,1.41,76570
151,2011-05-02,1.4114,1.4114,1.2822,1.3418,13130
152,2011-05-04,1.3865,1.3865,1.2523,1.3398,9840
153,2011-05-05,1.3418,1.3567,1.1977,1.2026,45210
154,2011-05-06,1.2692,1.2692,1.0943,1.1927,16990
155,2011-05-09,1.1927,1.2026,1.0933,1.1927,14200
156,2011-05-10,1.1927,1.2026,1.0436,1.0545,65130
157,2011-05-11,1.0685,1.1032,1.0337,1.0784,6570
158,2011-05-12,1.0903,1.0903,1.0436,1.0734,2160
159,2011-05-13,1.0734,1.0854,0.9939,1.0188,23700
160,2011-05-16,1.0198,1.0317,0.9293,0.9293,30300
161,2011-05-17,0.9283,0.9919,0.9283,0.9919,3170
162,2011-05-18,0.9691,0.9691,0.8995,0.9442,31430
163,2011-05-19,0.976,1.0317,0.8995,0.9432,65730
164,2011-05-20,0.9442,0.9442,0.8697,0.9243,7850
165,2011-05-23,0.8945,1.0208,0.8945,1.0138,72040
166,2011-05-24,1.0068,1.0068,0.9045,0.9045,42360
167,2011-05-25,0.9045,0.9641,0.8846,0.9015,70850
168,2011-05-26,0.9035,0.9442,0.9035,0.9194,20070
169,2011-05-27,0.9035,0.9382,0.8448,0.8846,17470
170,2011-05-30,0.9392,1.0446,0.9392,1.0138,111020
171,2011-05-31,1.02,1.04,0.99,1.03,36600
172,2011-06-01,1.0317,1.0396,0.9989,0.9989,59380
173,2011-06-02,0.9989,1.0158,0.9949,1.0158,31390
174,2011-06-03,1.0227,1.0227,0.9452,0.9939,42520
175,2011-06-06,0.9939,1.0088,0.8955,0.988,57460
176,2011-06-07,0.9144,1.0039,0.9144,1.0039,14170
