,Date,Open,High,Low,Close,Volume
0,2009-12-17,8.619,8.619,5.6353,5.6353,222492.0
1,2009-12-18,5.6353,5.9669,4.9724,5.3038,22360.0
2,2009-12-21,5.3038,5.3038,4.3094,4.3094,33133.0
3,2009-12-22,4.6409,4.6409,4.3094,4.6409,8481.0
4,2009-12-23,4.6409,4.6409,3.9778,4.3094,4317.0
5,2009-12-28,4.3094,4.6409,4.3094,4.3094,7443.0
6,2009-12-29,4.3094,4.6409,3.9778,4.3094,2260.0
7,2009-12-30,4.3094,4.3094,3.9778,4.3094,665.0
8,2009-12-31,4.3094,4.6409,4.3094,4.6409,1157.0
9,2010-01-04,4.6409,4.6409,3.9778,3.9778,9712.0
10,2010-01-05,3.9778,4.3094,3.6464,4.3094,6024.0
11,2010-01-06,4.3094,4.9724,4.3094,4.9724,21741.0
12,2010-01-07,4.9724,4.9724,4.3094,4.6409,8681.0
13,2010-01-08,4.6409,4.6409,4.3094,4.6409,8760.0
14,2010-01-11,4.6409,4.6409,4.3094,4.3094,3320.0
15,2010-01-12,4.3094,4.3094,4.3094,4.3094,5995.0
16,2010-01-13,4.6409,5.9669,4.3094,5.9669,58889.0
17,2010-01-14,6.9613,7.2928,6.2983,6.9613,55264.0
18,2010-01-15,7.2928,7.6243,6.2983,6.9613,27911.0
19,2010-01-18,6.6298,6.9613,6.2983,6.9613,12401.0
20,2010-01-19,6.9613,7.2928,6.6298,6.9613,15141.0
21,2010-01-20,6.9613,8.2873,6.6298,7.9558,42611.0
22,2010-01-21,8.619,8.619,7.6243,8.2873,16041.0
23,2010-01-22,7.9558,7.9558,6.9613,7.2928,11581.0
24,2010-01-25,7.2928,7.6243,6.6298,7.2928,10929.0
25,2010-01-26,6.9613,6.9613,6.6298,6.9613,6633.0
26,2010-01-27,6.6298,7.2928,6.6298,6.9613,13759.0
27,2010-01-28,6.9613,6.9613,6.6298,6.6298,3158.0
28,2010-01-29,6.6298,6.6298,6.2983,6.6298,2761.0
29,2010-02-01,6.2983,6.6298,6.2983,6.2983,7609.0
30,2010-02-02,6.2983,6.6298,6.2983,6.2983,3113.0
31,2010-02-03,6.2983,6.2983,5.6353,5.9669,15368.0
32,2010-02-04,5.9669,6.6298,5.6353,6.2983,16999.0
33,2010-02-05,6.2983,6.2983,5.9669,6.2983,6054.0
34,2010-02-08,6.2983,6.2983,5.6353,5.9669,7963.0
35,2010-02-09,5.6353,5.9669,5.6353,5.9669,3326.0
36,2010-02-10,5.9669,5.9669,5.9669,5.9669,89.0
37,2010-02-11,5.6353,6.2983,5.6353,5.6353,13954.0
38,2010-02-12,6.2983,6.2983,6.2983,6.2983,463.0
39,2010-02-15,6.2983,6.2983,6.2983,6.2983,
40,2010-02-16,6.2983,6.2983,5.9669,6.2983,1535.0
41,2010-02-17,5.6353,6.2983,5.6353,5.9669,6085.0
42,2010-02-18,5.9669,6.2983,2.9834,3.3149,430398.0
43,2010-02-19,2.9834,3.3149,2.652,2.9834,154224.0
44,2010-02-22,2.652,2.9834,2.3204,2.652,165531.0
45,2010-02-23,2.9834,2.9834,2.652,2.652,133551.0
46,2010-02-24,2.652,2.9834,2.652,2.652,75299.0
47,2010-02-25,2.652,2.9834,2.652,2.652,106387.0
48,2010-02-26,2.652,2.9834,2.652,2.652,23353.0
49,2010-03-01,2.652,2.652,2.3204,2.652,107273.0
50,2010-03-02,2.3204,2.652,2.3204,2.652,73734.0
51,2010-03-03,2.652,2.652,2.3204,2.3204,40306.0
52,2010-03-04,2.652,2.9834,2.652,2.652,307257.0
53,2010-03-05,2.9834,2.9834,2.652,2.652,160915.0
54,2010-03-08,2.3204,2.9834,2.3204,2.652,59786.0
55,2010-03-09,2.652,2.652,2.3204,2.652,97095.0
56,2010-03-10,2.652,2.652,2.3204,2.652,54273.0
57,2010-03-11,2.652,2.652,2.3204,2.3204,49683.0
58,2010-03-12,2.3204,2.652,2.3204,2.652,61424.0
59,2010-03-15,2.3204,2.652,2.3204,2.3204,72856.0
60,2010-03-16,2.3204,2.652,1.9889,2.652,157049.0
