,Date,Open,High,Low,Close,Volume
0,2009-09-18,7.9332,8.606,7.6624,7.9413,265480
1,2009-09-21,8.0395,8.3947,7.8048,7.911,63725
2,2009-09-22,7.8513,7.9945,7.6243,7.9265,50496
3,2009-09-23,7.9191,7.9191,7.7457,7.911,24199
4,2009-09-24,7.7761,7.8209,7.6696,7.7679,9949
5,2009-09-25,7.7679,7.7679,7.4359,7.549,24205
6,2009-09-28,7.5411,7.5411,7.3598,7.4359,8765
7,2009-09-29,7.2092,7.4051,7.2092,7.3982,11313
8,2009-09-30,7.3075,7.3829,7.2092,7.2469,11768
9,2009-10-01,7.353,7.3598,7.2545,7.3598,3452
10,2009-10-02,7.353,7.353,7.0958,7.353,4771
11,2009-10-05,7.2847,7.3221,7.1488,7.3221,532
12,2009-10-06,7.179,7.2998,7.1716,7.2998,722
13,2009-10-07,7.3221,7.3221,7.179,7.3221,6992
14,2009-10-08,7.3221,7.3221,7.1488,7.2319,3163
15,2009-10-09,7.2319,7.3452,7.2092,7.2168,11468
16,2009-10-12,7.2394,7.2771,7.111,7.2469,6249
17,2009-10-13,7.0883,7.2168,7.0883,7.1337,12058
18,2009-10-14,7.1716,7.1716,7.0582,7.1337,4287
19,2009-10-15,7.1337,7.2243,7.1337,7.1337,2113
20,2009-10-16,7.1337,7.1639,7.0205,7.1639,5767
21,2009-10-19,6.9602,7.1261,6.9602,6.9903,6191
22,2009-10-20,7.0958,7.0958,6.8846,6.9826,8323
23,2009-10-21,6.9451,6.9826,6.8014,6.9826,4832
24,2009-10-22,6.8241,6.9752,6.8241,6.9752,2415
25,2009-10-23,6.9826,7.1261,6.9451,7.1261,4761
26,2009-10-26,6.9602,7.1186,6.9451,7.111,2645
27,2009-10-27,7.0808,7.111,6.8695,6.8695,135
28,2009-10-28,7.1261,7.1261,6.9451,7.0883,2766
29,2009-10-29,7.0883,7.111,7.0808,7.111,6447
30,2009-10-30,7.0958,7.1337,6.9826,6.9826,3991
31,2009-11-02,6.9526,7.1716,6.9526,7.1639,397
32,2009-11-03,7.1639,7.1639,6.9826,7.1261,3686
33,2009-11-04,7.1261,7.1261,7.0657,7.0958,1223
34,2009-11-05,7.1488,7.5411,7.0808,7.5332,10793
35,2009-11-06,7.5332,7.5332,7.3375,7.3982,4078
36,2009-11-09,7.4128,7.6846,7.4128,7.6624,8268
37,2009-11-10,7.7005,7.8358,7.6243,7.8358,11419
38,2009-11-12,7.8358,7.8358,7.7005,7.8209,2697
39,2009-11-13,7.8358,7.8358,7.7147,7.7908,9505
40,2009-11-16,7.8358,7.8358,7.5411,7.7761,6523
41,2009-11-17,7.7761,7.8358,7.3221,7.3982,13988
42,2009-11-18,7.5112,7.6172,7.3598,7.4359,5341
43,2009-11-19,7.4359,7.5112,7.3221,7.3982,5380
44,2009-11-20,7.6172,7.6172,7.3221,7.549,2832
45,2009-11-23,7.549,7.7005,7.3221,7.7005,4947
46,2009-11-24,7.6624,7.6624,7.3982,7.6624,1832
47,2009-11-25,7.6545,7.6545,7.549,7.6243,966
48,2009-11-26,7.6243,7.6243,7.3982,7.5791,1774
49,2009-11-27,7.3221,7.6093,7.3221,7.4736,2071
50,2009-11-30,7.5863,7.5863,7.3375,7.4582,320
51,2009-12-01,7.5411,7.7005,7.1867,7.6696,13609
52,2009-12-02,7.6624,7.6624,7.3221,7.3906,11438
53,2009-12-03,7.3906,7.4736,7.3152,7.4504,1552
54,2009-12-04,7.2469,7.4504,7.2469,7.4283,2087
55,2009-12-07,7.2621,7.3829,7.2469,7.2545,4435
56,2009-12-08,7.2394,7.3152,7.0431,7.2017,4650
57,2009-12-09,7.1942,7.2017,7.0582,7.0582,3319
58,2009-12-10,7.1563,7.1716,7.1563,7.1639,3378
59,2009-12-11,6.9451,7.1563,6.9451,7.1563,6221
60,2009-12-15,7.3598,7.3598,6.9903,7.3221,695
61,2009-12-17,7.1639,7.1639,7.0205,7.1563,1722
62,2009-12-18,7.0205,7.1488,6.9451,7.1488,1100
63,2009-12-21,7.1488,7.8513,7.1488,7.3221,3034
64,2009-12-22,7.1261,7.3221,6.8771,7.2319,1185
65,2009-12-23,7.3221,7.3221,6.9451,7.1488,2163
66,2009-12-28,7.1261,7.1337,7.0507,7.0958,9583
67,2009-12-29,7.1716,7.1716,6.9299,7.0958,891
68,2009-12-30,7.0958,7.1716,7.0205,7.1488,2126
69,2009-12-31,7.1488,7.1488,7.1488,7.1488,1404
70,2010-01-04,7.0205,7.1488,7.0205,7.1412,1938
71,2010-01-05,7.1337,7.1337,6.9826,7.111,2254
