,Date,Open,High,Low,Close,Volume
0,2017-12-04,3.81,4.0,3.3,3.69,4547
1,2017-12-05,3.49,3.49,2.8,2.8,2430
2,2017-12-06,2.79,3.2,2.79,2.91,2202
3,2017-12-07,3.0,3.0,2.94,2.94,500
4,2017-12-08,2.95,3.15,2.95,3.15,165
5,2017-12-11,3.15,3.15,2.97,2.97,368
6,2017-12-12,2.97,3.05,2.95,3.05,830
7,2017-12-13,3.06,3.06,3.0,3.0,125
8,2017-12-15,3.19,3.19,3.19,3.19,5
9,2017-12-18,3.19,3.19,3.19,3.19,10
10,2017-12-19,3.19,3.19,3.19,3.19,5
11,2017-12-20,3.19,3.19,2.9,2.9,405
12,2017-12-27,3.04,3.19,3.04,3.19,380
13,2017-12-28,3.1,3.1,2.95,2.95,556
14,2017-12-29,2.95,2.95,2.95,2.95,356
15,2018-01-05,2.9,2.9,2.5,2.5,857
16,2018-01-15,2.6,2.66,2.57,2.66,671
17,2018-01-18,2.68,2.68,2.68,2.68,16
18,2018-01-22,2.7,3.02,2.7,3.02,410
19,2018-01-23,3.02,3.7,3.02,3.5,565
20,2018-01-24,3.5,3.5,3.5,3.5,15
21,2018-01-25,3.36,3.36,3.3,3.3,310
22,2018-01-30,3.16,3.16,3.02,3.04,1249
23,2018-02-06,3.16,3.2,3.16,3.2,100
24,2018-02-07,3.2,3.2,3.2,3.2,5
25,2018-02-12,3.2,3.2,3.2,3.2,10
26,2018-02-13,3.2,3.38,3.18,3.28,1090
27,2018-02-15,3.22,3.22,3.22,3.22,329
28,2018-02-19,3.2,3.2,3.1,3.1,160
29,2018-02-20,3.1,3.1,3.1,3.1,106
30,2018-02-21,3.1,3.1,3.1,3.1,12
31,2018-02-22,3.1,3.1,3.1,3.1,10
32,2018-02-23,3.1,3.1,3.1,3.1,6
33,2018-02-26,3.1,3.1,3.1,3.1,37
34,2018-02-27,3.1,3.1,3.1,3.1,6
35,2018-02-28,3.1,3.1,3.1,3.1,13
36,2018-03-07,3.02,3.1,2.5,3.1,1210
37,2018-03-21,2.5,2.88,2.5,2.88,2000
38,2018-03-26,2.64,2.64,2.64,2.64,171
39,2018-03-27,2.7,2.7,2.7,2.7,50
40,2018-03-28,2.7,2.7,2.7,2.7,30
41,2018-03-29,2.7,2.7,2.7,2.7,25
42,2018-04-03,2.7,2.82,2.7,2.82,420
43,2018-04-04,2.82,2.82,2.82,2.82,10
44,2018-04-05,2.9,2.92,2.9,2.92,213
45,2018-04-06,2.96,2.96,2.96,2.96,5
46,2018-04-09,3.0,3.0,3.0,3.0,345
47,2018-04-10,3.0,3.1,3.0,3.1,20
48,2018-04-11,3.14,3.14,3.14,3.14,13
49,2018-04-16,3.14,3.14,3.14,3.14,8
50,2018-05-11,3.12,3.12,3.12,3.12,5
51,2018-05-14,3.1,3.12,3.1,3.12,9925
52,2018-05-15,3.12,3.12,3.0,3.0,1734
53,2018-05-16,3.0,3.0,3.0,3.0,15
54,2018-05-17,3.0,3.0,3.0,3.0,5
55,2018-05-18,3.0,3.0,3.0,3.0,52
56,2018-05-21,3.1,3.12,3.1,3.12,29
57,2018-05-23,3.12,3.12,3.12,3.12,5
58,2018-05-24,3.12,3.12,3.12,3.12,5
59,2018-05-25,3.12,3.12,3.12,3.12,5
60,2018-05-30,3.12,3.12,3.12,3.12,4
61,2018-06-01,3.12,3.12,3.12,3.12,4
62,2018-06-12,3.08,3.12,3.08,3.12,23
63,2018-06-13,3.1,3.12,3.1,3.12,140
64,2018-06-14,3.12,3.12,3.12,3.12,6
65,2018-06-18,3.04,3.04,3.02,3.02,25
66,2018-06-19,3.0,3.0,3.0,3.0,6
67,2018-06-20,3.0,3.0,3.0,3.0,213
68,2018-06-21,3.0,3.0,3.0,3.0,5
69,2018-06-22,3.0,3.0,3.0,3.0,5
70,2018-06-25,3.0,3.0,3.0,3.0,105
71,2018-06-28,2.9,2.9,2.9,2.9,5
72,2018-06-29,2.9,2.9,2.9,2.9,5
73,2018-07-02,2.98,2.98,2.98,2.98,3
74,2018-07-03,2.9,2.9,2.9,2.9,5
75,2018-07-04,2.9,2.9,2.9,2.9,10
76,2018-07-05,2.9,2.9,2.9,2.9,5
77,2018-07-06,2.9,2.9,2.9,2.9,5
78,2018-07-09,2.9,2.9,2.9,2.9,10
79,2018-07-10,2.9,2.9,2.9,2.9,10
80,2018-07-11,2.9,2.9,2.9,2.9,115
81,2018-07-13,2.82,3.0,2.82,3.0,405
82,2018-07-16,3.0,3.0,3.0,3.0,5
83,2018-07-17,3.0,3.0,3.0,3.0,4
84,2018-07-18,2.9,2.9,2.82,2.82,695
85,2018-07-19,2.8,2.8,2.8,2.8,10
86,2018-07-20,2.8,2.8,2.8,2.8,5
87,2018-07-23,2.8,2.8,2.8,2.8,10
88,2018-07-24,2.8,2.8,2.8,2.8,5
89,2018-07-25,2.8,2.8,2.8,2.8,5
90,2018-07-26,2.8,2.8,2.8,2.8,362
91,2018-07-27,2.8,2.8,2.8,2.8,5
92,2018-07-30,2.8,2.8,2.8,2.8,38
93,2018-08-02,2.78,2.78,2.78,2.78,10
94,2018-08-08,2.78,2.96,2.78,2.96,750
95,2018-08-09,2.96,2.96,2.96,2.96,4
96,2018-08-10,2.96,2.96,2.94,2.96,441
97,2018-08-13,2.98,2.98,2.98,2.98,50
98,2018-08-14,2.98,2.98,2.98,2.98,510
99,2018-08-16,2.98,2.98,2.98,2.98,4
100,2018-08-17,2.98,2.98,2.98,2.98,1015
101,2018-08-20,2.98,2.98,2.98,2.98,10
102,2018-08-21,2.98,2.98,2.98,2.98,9
103,2018-08-22,2.98,2.98,2.98,2.98,10
104,2018-08-23,2.98,2.98,2.98,2.98,10
105,2018-08-24,2.98,2.98,2.98,2.98,10
106,2018-08-27,2.98,2.98,2.98,2.98,510
107,2018-08-28,2.98,2.98,2.98,2.98,10
108,2018-08-29,2.98,2.98,2.98,2.98,5
109,2018-08-30,2.98,2.98,2.98,2.98,10
110,2018-08-31,2.98,2.98,2.98,2.98,5
111,2018-09-03,2.98,2.98,2.98,2.98,5
112,2018-09-04,2.98,2.98,2.98,2.98,5
113,2018-09-05,2.98,2.98,2.98,2.98,10
114,2018-09-06,2.98,3.0,2.98,3.0,649
115,2018-09-07,3.0,3.0,2.98,2.98,21
116,2018-09-10,2.98,2.98,2.98,2.98,5
117,2018-09-11,2.98,2.98,2.98,2.98,11
118,2018-09-12,2.98,2.98,2.98,2.98,20
119,2018-09-13,2.98,2.98,2.98,2.98,5
120,2018-09-14,2.98,2.98,2.98,2.98,5
121,2018-09-17,2.98,2.98,2.98,2.98,4
122,2018-09-18,2.98,2.98,2.98,2.98,10
123,2018-09-19,2.98,2.98,2.98,2.98,4
124,2018-09-20,2.98,2.98,2.98,2.98,4
125,2018-09-21,2.98,2.98,2.98,2.98,4
126,2018-09-24,2.98,2.98,2.98,2.98,6
127,2018-09-25,2.98,2.98,2.98,2.98,4
128,2018-09-26,2.98,2.98,2.98,2.98,4
129,2018-09-27,3.1,3.1,3.1,3.1,5
130,2018-09-28,3.1,3.1,3.1,3.1,10
131,2018-10-01,3.08,3.08,3.08,3.08,5
132,2018-10-04,3.08,3.08,3.08,3.08,3000
133,2018-10-10,3.14,3.24,3.14,3.24,350
134,2018-10-11,3.28,3.28,3.28,3.28,350
135,2018-11-05,3.2,3.2,3.2,3.2,15
136,2018-11-07,3.2,3.2,3.2,3.2,5
137,2018-11-08,3.2,3.2,3.2,3.2,5
138,2018-11-09,3.18,3.28,3.18,3.28,4203
139,2018-11-13,3.22,3.22,3.22,3.22,20
140,2018-11-14,3.22,3.22,3.22,3.22,10
141,2018-11-16,3.2,3.2,3.2,3.2,32
142,2018-11-19,3.22,3.22,3.22,3.22,20
143,2018-11-20,3.22,3.22,3.22,3.22,5
144,2018-11-21,3.22,3.22,3.22,3.22,10
145,2018-11-22,3.22,3.22,3.22,3.22,10
146,2018-11-23,3.22,3.22,3.22,3.22,10
147,2018-11-26,3.22,3.22,3.22,3.22,5
148,2018-11-27,3.22,3.22,3.22,3.22,5
149,2018-11-28,3.22,3.22,3.22,3.22,5
150,2018-11-29,3.22,3.22,3.22,3.22,10
151,2018-11-30,3.22,3.22,3.22,3.22,10
152,2018-12-03,3.22,3.22,3.22,3.22,10
153,2018-12-04,3.14,3.14,3.14,3.14,7
154,2018-12-19,3.14,3.14,3.14,3.14,10
155,2018-12-20,3.22,3.22,3.22,3.22,758
156,2018-12-21,3.22,3.22,3.18,3.18,6264
157,2018-12-27,3.18,3.18,3.18,3.18,363
