,Date,Open,High,Low,Close,Volume
0,2006-10-24,58.218,62.455,51.525,54.204,1433158
1,2006-10-25,57.108,57.462,54.649,56.659,258298
2,2006-10-26,57.728,57.728,53.98,53.98,126624
3,2006-10-27,53.98,54.649,53.534,54.204,114925
4,2006-10-30,55.052,55.052,51.748,52.864,58029
5,2006-10-31,53.445,53.578,52.641,53.534,37592
6,2006-11-02,53.712,53.712,53.088,53.31,108793
7,2006-11-03,53.534,53.534,52.998,53.221,17781
8,2006-11-06,53.534,54.873,52.641,53.98,26907
9,2006-11-07,55.32,56.928,53.98,56.839,84972
10,2006-11-08,57.108,57.108,55.32,57.108,23049
11,2006-11-09,56.659,57.062,56.21,56.21,17090
12,2006-11-10,56.21,56.21,55.452,55.858,11190
13,2006-11-13,56.21,56.21,55.32,55.32,34476
14,2006-11-14,55.095,55.543,53.98,54.873,43185
15,2006-11-15,55.721,55.721,53.578,54.07,22725
16,2006-11-16,54.382,55.721,54.382,54.873,78114
17,2006-11-17,54.962,55.543,54.516,54.873,62331
18,2006-11-20,54.873,55.32,54.516,55.095,34110
19,2006-11-21,55.32,56.076,55.095,55.765,46241
20,2006-11-22,55.765,56.614,55.765,56.434,105258
21,2006-11-23,56.614,56.614,56.21,56.434,30023
22,2006-11-24,56.434,57.551,56.21,57.281,73111
23,2006-11-27,57.551,60.226,57.551,59.956,158272
24,2006-11-28,58.749,60.09,58.128,60.09,58353
25,2006-11-29,60.003,61.565,59.333,61.473,69303
26,2006-11-30,61.565,62.186,60.806,61.253,42562
27,2006-12-01,61.565,62.414,60.853,62.228,64406
28,2006-12-04,62.455,65.577,61.927,64.776,63346
29,2006-12-05,65.623,65.801,65.133,65.577,66691
30,2006-12-06,65.662,66.024,64.021,64.463,205672
31,2006-12-07,64.463,65.801,64.463,65.577,27242
32,2006-12-08,65.976,65.976,64.727,65.23,36400
33,2006-12-11,65.499,65.499,64.24,64.371,26581
34,2006-12-12,64.69,64.69,63.572,63.971,139793
35,2006-12-13,63.708,64.24,63.13,63.13,29809
36,2006-12-14,63.21,64.156,60.806,62.455,45690
37,2006-12-15,61.565,63.345,59.774,63.345,74573
38,2006-12-18,63.345,64.199,62.014,64.156,53694
39,2006-12-19,64.021,64.199,62.902,64.021,119488
40,2006-12-20,63.345,64.69,62.05,62.902,75394
41,2006-12-21,61.793,62.455,61.793,62.05,26501
42,2006-12-22,62.05,62.455,61.608,62.014,66518
43,2006-12-27,62.014,63.302,62.014,62.902,25114
44,2006-12-28,62.902,63.345,62.014,63.345,42525
45,2006-12-29,61.699,66.92,61.699,66.92,102730
46,2007-01-02,66.024,66.429,65.577,65.577,29600
47,2007-01-03,65.931,65.931,63.572,64.334,46644
48,2007-01-04,64.24,64.24,62.682,63.13,37123
49,2007-01-05,63.572,66.691,63.345,65.533,139337
50,2007-01-08,65.577,66.606,63.799,66.606,31927
51,2007-01-09,66.245,68.702,65.577,68.256,108132
52,2007-01-10,68.702,69.153,67.627,68.702,21972
53,2007-01-11,68.034,70.269,68.034,70.13,38996
54,2007-01-12,70.935,71.158,69.415,69.773,67929
55,2007-01-15,70.48,73.614,69.585,73.076,31577
56,2007-01-16,73.614,73.614,71.109,73.076,35825
57,2007-01-17,72.726,72.726,71.382,71.823,33609
58,2007-01-18,72.229,73.382,71.382,73.215,75831
59,2007-01-19,73.16,73.16,71.74,72.272,28867
60,2007-01-22,71.473,72.272,71.249,71.823,82511
61,2007-01-23,72.046,72.046,69.585,71.382,61332
62,2007-01-24,71.424,72.272,70.935,72.272,27033
63,2007-01-25,72.76,73.74,72.76,73.614,89586
64,2007-01-26,73.215,73.516,71.382,72.726,41594
65,2007-01-29,73.124,75.7,72.272,74.86,60761
66,2007-01-30,75.042,75.308,73.614,74.95,32602
67,2007-01-31,74.048,75.7,74.048,74.95,33255
68,2007-02-01,75.7,76.689,75.392,75.882,43206
69,2007-02-02,76.505,78.962,76.286,78.294,23137
70,2007-02-05,78.072,79.508,77.625,78.739,20186
71,2007-02-06,78.739,78.962,77.625,78.294,8970
72,2007-02-07,77.003,78.072,76.337,77.179,21992
73,2007-02-08,76.727,76.727,70.759,73.382,59766
74,2007-02-09,72.76,74.719,72.76,73.425,31852
75,2007-02-12,73.614,74.552,72.726,74.552,109144
76,2007-02-13,75.083,76.07,74.552,75.392,79093
77,2007-02-14,76.727,76.727,75.392,75.93,13740
78,2007-02-15,76.458,76.458,72.272,73.614,23011
79,2007-02-16,73.614,75.84,73.614,73.614,28053
80,2007-02-19,75.266,75.266,72.894,74.86,93625
81,2007-02-20,74.86,74.902,73.614,73.614,29318
82,2007-02-21,74.496,74.719,73.382,73.614,57678
83,2007-02-22,73.698,74.496,73.382,74.279,113645
84,2007-02-23,74.496,74.496,73.124,73.382,161546
85,2007-02-26,74.769,74.769,73.425,73.425,18365
86,2007-02-27,73.425,73.614,68.97,69.153,47184
87,2007-02-28,67.674,71.424,67.674,71.424,119490
88,2007-03-01,72.272,73.124,70.269,71.382,52512
89,2007-03-02,71.158,73.16,70.046,72.501,52054
90,2007-03-05,70.269,72.229,68.525,71.473,59108
91,2007-03-06,70.528,72.501,70.528,72.411,21861
92,2007-03-07,72.501,73.614,72.272,73.614,50743
93,2007-03-08,73.614,75.608,73.614,74.986,42425
94,2007-03-09,75.748,77.841,75.175,75.84,90564
95,2007-03-12,75.84,77.625,75.84,76.774,30852
96,2007-03-13,76.951,76.951,76.727,76.819,118260
97,2007-03-14,75.392,76.951,74.048,76.951,35681
98,2007-03-15,76.727,77.579,76.727,76.951,44281
99,2007-03-16,77.179,78.025,76.727,76.727,124847
100,2007-03-19,77.802,77.802,75.84,76.727,9101
101,2007-03-20,76.727,77.179,75.392,76.689,15222
102,2007-03-21,75.84,76.774,75.84,76.727,85768
103,2007-03-22,76.951,77.579,76.727,76.951,19857
104,2007-03-23,77.579,77.579,75.84,76.911,17124
105,2007-03-26,75.882,76.727,75.882,76.505,11979
106,2007-03-27,75.972,76.727,75.972,76.727,29196
107,2007-03-28,76.689,76.951,75.84,76.951,20650
108,2007-03-29,75.93,76.951,75.93,76.774,16402
109,2007-03-30,76.727,78.517,76.505,76.505,94158
110,2007-04-02,77.625,77.978,75.882,77.978,12749
111,2007-04-03,78.072,78.072,76.286,77.579,6611
112,2007-04-04,77.625,78.517,77.625,78.072,33815
113,2007-04-05,78.072,78.294,77.625,78.072,8681
114,2007-04-10,78.072,78.962,78.072,78.739,48219
115,2007-04-11,79.015,83.209,79.015,82.933,63469
116,2007-04-12,83.209,83.233,78.962,80.529,22666
117,2007-04-13,80.751,82.533,80.751,81.643,51800
118,2007-04-16,82.533,82.533,81.727,82.08,43732
119,2007-04-17,81.812,82.264,81.282,82.08,83852
120,2007-04-18,82.264,86.997,82.264,82.749,48549
121,2007-04-19,82.971,83.209,79.408,81.412,27085
122,2007-04-20,80.575,82.08,80.575,81.643,21889
123,2007-04-23,81.643,82.487,80.751,82.08,146993
124,2007-04-24,82.127,82.487,81.182,82.08,175595
125,2007-04-25,79.861,79.861,78.155,79.408,71245
126,2007-04-26,79.861,79.861,78.378,79.408,25072
127,2007-04-27,78.072,79.408,78.072,78.962,3611
128,2007-04-30,78.072,80.299,72.935,80.299,47676
129,2007-05-02,80.261,80.299,78.072,78.294,8780
130,2007-05-04,78.072,79.861,78.072,79.861,15310
131,2007-05-07,79.638,79.638,78.962,78.962,10126
132,2007-05-08,78.962,78.962,76.337,76.727,26495
133,2007-05-09,75.84,76.727,73.425,74.048,38485
134,2007-05-10,73.782,74.048,69.455,70.528,29817
135,2007-05-11,69.191,70.48,69.101,70.48,36514
