,Date,Open,High,Low,Close,Volume
0,2008-06-26,55.0,55.0,27.0,34.0,10731.0
1,2008-06-27,32.0,33.0,28.0,30.0,2676.0
2,2008-06-30,28.0,31.0,25.0,28.0,2464.0
3,2008-07-01,29.0,29.0,24.0,26.0,1442.0
4,2008-07-02,24.0,25.0,21.0,23.0,2020.0
5,2008-07-03,22.0,24.0,20.0,22.0,1421.0
6,2008-07-04,22.0,26.0,22.0,22.0,694.0
7,2008-07-07,23.0,24.0,20.0,22.0,728.0
8,2008-07-08,20.0,22.0,19.0,22.0,1238.0
9,2008-07-09,20.0,25.0,20.0,22.0,572.0
10,2008-07-10,21.0,22.0,20.0,22.0,964.0
11,2008-07-11,22.0,23.0,20.0,22.0,445.0
12,2008-07-14,21.0,22.0,20.0,22.0,594.0
13,2008-07-15,21.0,21.0,19.0,21.0,920.0
14,2008-07-16,21.0,21.0,19.0,21.0,211.0
15,2008-07-17,21.0,22.0,19.0,21.0,375.0
16,2008-07-18,19.0,21.0,19.0,21.0,22.0
17,2008-07-21,21.0,21.0,21.0,21.0,50.0
18,2008-07-22,20.0,21.0,19.0,20.0,1142.0
19,2008-07-23,19.0,26.0,19.0,24.0,2261.0
20,2008-07-24,25.0,28.0,23.0,26.0,1004.0
21,2008-07-25,25.0,27.0,25.0,26.0,257.0
22,2008-07-28,23.0,23.0,21.0,22.0,424.0
23,2008-07-29,22.0,24.0,21.0,24.0,734.0
24,2008-07-30,24.0,24.0,22.0,23.0,477.0
25,2008-07-31,24.0,24.0,21.0,23.0,554.0
26,2008-08-01,23.0,23.0,23.0,23.0,10.0
27,2008-08-04,21.0,28.0,21.0,27.0,1288.0
28,2008-08-05,27.0,38.0,27.0,34.0,1662.0
29,2008-08-06,33.0,46.0,32.0,46.0,4121.0
30,2008-08-07,49.0,49.0,40.0,43.0,1221.0
31,2008-08-08,37.0,45.0,35.0,41.0,270.0
32,2008-08-11,45.0,46.0,36.0,41.0,680.0
33,2008-08-12,43.0,43.0,33.0,38.0,401.0
34,2008-08-13,38.0,41.0,36.0,40.0,439.0
35,2008-08-14,41.0,41.0,40.0,40.0,37.0
36,2008-08-18,39.0,40.0,32.0,35.0,957.0
37,2008-08-19,36.0,36.0,29.0,30.0,2571.0
38,2008-08-20,32.0,32.0,24.0,27.0,2619.0
39,2008-08-21,26.0,36.0,26.0,36.0,2242.0
40,2008-08-22,34.0,35.0,31.0,35.0,1012.0
41,2008-08-25,32.0,34.0,31.0,31.0,71.0
