,Date,Open,High,Low,Close,Volume
0,2020-01-17,6.2,6.28,4.7,5.0,60929
1,2020-01-20,5.0,5.0,4.35,4.8,21965
2,2020-01-21,4.8,4.8,4.4,4.405,10365
3,2020-01-22,4.405,4.58,4.35,4.36,4898
4,2020-01-23,4.36,4.559,4.25,4.25,8882
5,2020-01-24,4.3,4.3,4.122,4.25,5536
6,2020-01-27,4.15,4.33,4.01,4.03,5832
7,2020-01-28,4.03,4.26,4.01,4.18,2948
8,2020-01-29,4.14,4.15,3.75,4.15,6850
9,2020-01-30,3.85,4.08,3.85,3.871,1723
10,2020-01-31,3.87,3.87,3.75,3.85,3017
11,2020-02-03,3.84,3.84,3.5,3.77,1786
12,2020-02-04,3.996,3.996,3.65,3.79,3929
13,2020-02-05,3.66,3.798,3.566,3.64,5080
14,2020-02-06,3.64,3.995,3.64,3.947,9474
15,2020-02-07,3.95,3.96,3.852,3.852,1780
16,2020-02-10,3.92,4.59,3.92,4.59,8522
17,2020-02-11,4.59,5.28,4.59,5.0,43102
18,2020-02-12,5.04,5.35,4.8,5.2,31392
19,2020-02-13,5.19,5.3,4.8,5.24,10484
20,2020-02-14,5.25,5.25,4.95,5.2,5436
21,2020-02-17,5.25,5.38,5.1,5.3,6678
22,2020-02-18,5.23,6.3,5.22,6.3,66739
23,2020-02-19,6.8,7.4,6.6,6.6,69887
24,2020-02-20,6.7,7.3,6.7,6.99,17386
25,2020-02-21,6.73,6.86,6.51,6.75,5714
26,2020-02-24,6.999,6.999,5.85,5.85,13475
27,2020-02-25,5.85,6.3,5.201,5.9,14697
28,2020-02-26,5.9,6.5,5.4,6.06,8360
29,2020-02-27,6.01,6.3,5.0,6.0,12472
30,2020-02-28,5.0,5.6,4.0,5.5,5628
31,2020-03-02,5.5,5.5,4.72,5.5,6093
32,2020-03-03,5.2,6.24,5.05,5.75,3525
33,2020-03-04,6.15,6.15,5.44,5.48,4132
34,2020-03-05,5.7,5.85,5.23,5.55,3125
35,2020-03-06,5.3,5.3,4.92,4.92,4254
36,2020-03-09,4.9995,4.9995,4.34,4.63,7141
37,2020-03-10,5.5,5.5,4.7,5.0,4142
38,2020-03-11,5.18,5.18,4.15,4.45,1756
39,2020-03-12,4.0,4.0,3.2,3.2,2757
40,2020-03-13,3.11,3.73,3.02,3.5,7853
41,2020-03-16,3.55,4.6,3.55,4.6,3620
42,2020-03-17,4.6,5.3,4.1,5.3,7317
43,2020-03-18,5.8,5.8,4.65,4.7,3015
44,2020-03-19,4.98,4.98,4.6,4.7005,3814
45,2020-03-20,4.7375,5.0,4.51,4.53,3574
46,2020-03-23,4.4,4.4,3.52,4.15,11747
47,2020-03-24,4.14,4.14,3.73,3.92,5009
48,2020-03-25,3.9,4.14,3.8,3.9,3224
49,2020-03-26,3.77,3.9,3.65,3.75,8756
50,2020-03-27,4.15,4.97,3.97,4.4,24468
51,2020-03-30,4.3,4.3,3.96,4.2,2878
52,2020-03-31,4.2,4.2,3.8,4.05,10635
53,2020-04-01,4.15,4.15,4.1,4.15,1743
54,2020-04-02,3.92,4.14,3.92,4.1,1441
55,2020-04-03,3.9,4.06,3.88,4.06,5064
56,2020-04-06,4.06,4.3,3.65,4.12,20728
57,2020-04-07,4.15,4.3,4.05,4.05,8053
58,2020-04-08,4.12,4.12,3.85,4.1,4423
59,2020-04-09,4.08,4.4,4.08,4.4,12092
60,2020-04-14,4.52,5.29,4.415,4.95,25126
61,2020-04-15,4.99,5.4,4.97,5.12,13594
62,2020-04-16,5.16,5.25,4.86,4.92,9733
63,2020-04-17,4.98,5.24,4.98,5.24,2702
64,2020-04-20,5.3,6.3,5.3,6.0,19596
65,2020-04-21,6.14,6.15,5.11,5.48,10671
66,2020-04-22,5.5,6.1,5.5,5.8,4090
67,2020-04-23,6.0,6.0,5.56,5.94,4484
