,Date,Open,High,Low,Close,Volume
0,2011-03-25,5.43,5.43,4.17,4.59,45247
1,2011-03-28,4.59,4.59,3.9,4.1,17594
2,2011-03-29,4.1,4.1,3.5,3.9,9512
3,2011-03-30,3.9,4.35,3.9,4.35,4235
4,2011-03-31,4.35,4.41,4.0,4.27,5041
5,2011-04-01,4.21,4.3,4.21,4.3,1727
6,2011-04-04,4.22,4.39,4.22,4.35,687
7,2011-04-05,4.45,4.5,4.22,4.35,871
8,2011-04-06,4.44,4.44,4.26,4.4,2119
9,2011-04-07,4.4,4.4,4.3,4.3,1963
10,2011-04-08,4.39,4.65,4.39,4.65,4153
11,2011-04-11,4.64,4.78,4.45,4.73,5174
12,2011-04-12,4.76,4.76,4.72,4.72,275
13,2011-04-13,4.7,4.75,4.6,4.75,5562
14,2011-04-14,4.75,4.75,4.6,4.74,1772
15,2011-04-15,4.75,4.75,4.75,4.75,30
16,2011-04-18,4.75,4.75,4.75,4.75,60
17,2011-04-19,4.73,4.73,4.73,4.73,50
18,2011-04-20,4.73,4.73,4.73,4.73,25
19,2011-04-21,4.72,4.72,4.7,4.72,180
20,2011-04-26,4.72,4.72,4.45,4.6,1207
21,2011-04-28,4.72,4.72,4.72,4.72,30
22,2011-04-29,4.72,4.72,4.65,4.72,1030
23,2011-05-02,4.72,4.72,4.72,4.72,20
24,2011-05-04,4.72,4.72,4.72,4.72,25
25,2011-05-05,4.72,4.72,4.72,4.72,25
26,2011-05-06,4.72,4.72,4.72,4.72,30
27,2011-05-09,4.72,4.72,4.36,4.36,855
28,2011-05-10,4.65,4.75,4.45,4.73,2687
29,2011-05-11,4.74,4.74,4.6,4.68,2537
30,2011-05-12,4.68,4.74,4.68,4.72,610
31,2011-05-13,4.73,4.78,4.72,4.78,3049
32,2011-05-16,4.78,4.9,4.78,4.9,201
33,2011-05-17,4.93,5.1,4.9,4.92,3841
34,2011-05-18,4.92,5.1,4.82,5.09,2428
35,2011-05-19,5.24,5.24,4.8,4.8,1550
36,2011-05-20,4.91,5.15,4.7,5.15,2313
37,2011-05-23,5.07,5.17,5.07,5.17,551
38,2011-05-24,5.17,5.17,5.17,5.17,749
39,2011-05-25,5.17,5.17,5.04,5.04,928
40,2011-05-26,5.04,5.09,5.04,5.09,43
41,2011-05-27,5.17,5.17,5.17,5.17,20
42,2011-05-30,5.17,5.17,4.95,5.15,161
43,2011-05-31,5.17,5.17,4.95,5.17,491
44,2011-06-01,5.17,5.17,5.05,5.17,270
45,2011-06-02,5.11,5.11,4.9,4.9,5071
46,2011-06-03,5.0,5.0,4.85,4.85,320
47,2011-06-06,4.95,4.95,4.8,4.8,4821
48,2011-06-07,4.8,4.8,4.8,4.8,1310
49,2011-06-08,4.82,4.84,4.8,4.8,3896
50,2011-06-09,4.8,4.81,4.8,4.8,4893
51,2011-06-10,4.8,4.8,4.8,4.8,25
52,2011-06-14,4.71,4.84,4.7,4.7,475
53,2011-06-15,4.7,4.84,4.7,4.84,527
54,2011-06-16,4.9,4.9,4.9,4.9,200
55,2011-06-17,4.9,4.9,4.9,4.9,25
56,2011-06-20,4.9,4.9,4.9,4.9,25
57,2011-06-22,4.9,4.9,4.9,4.9,25
58,2011-06-24,4.9,4.9,4.9,4.9,50
59,2011-06-27,4.75,4.85,4.7,4.85,683
60,2011-06-29,4.75,4.75,4.75,4.75,25
61,2011-06-30,4.6,4.7,4.53,4.7,804
62,2011-07-01,4.53,4.7,4.0,4.7,4892
63,2011-07-04,4.7,4.7,4.7,4.7,30
64,2011-07-06,4.45,4.45,4.45,4.45,50
65,2011-07-07,4.35,4.55,4.35,4.55,1002
66,2011-07-11,4.55,4.7,4.55,4.7,11500
67,2011-07-12,4.7,4.7,4.7,4.7,25
68,2011-07-13,4.7,4.7,4.7,4.7,25
69,2011-07-14,4.7,4.7,4.35,4.35,227
70,2011-07-20,4.45,4.45,4.45,4.45,1
71,2011-07-22,4.3,4.45,4.3,4.45,801
72,2011-07-27,4.55,4.55,4.55,4.55,150
73,2011-07-28,4.55,4.55,4.55,4.55,25
74,2011-07-29,4.55,4.55,4.2,4.37,346
75,2011-08-03,4.3,4.3,4.01,4.01,800
76,2011-08-04,4.01,4.01,4.0,4.0,300
77,2011-08-05,4.0,4.0,4.0,4.0,20
78,2011-08-08,4.0,4.0,4.0,4.0,20
79,2011-08-09,4.0,4.0,3.99,3.99,30
80,2011-08-10,4.0,4.0,3.9,3.9,60
81,2011-08-11,3.99,3.99,3.99,3.99,2
82,2011-08-12,4.0,4.0,4.0,4.0,20
83,2011-08-16,3.9,3.9,3.9,3.9,610
84,2011-08-17,3.99,4.2,3.99,4.2,300
85,2011-08-18,4.18,4.18,4.18,4.18,100
86,2011-08-22,4.18,4.2,4.18,4.2,150
87,2011-08-23,4.15,4.2,4.15,4.2,110
88,2011-08-25,4.05,4.2,3.9,4.2,420
89,2011-08-26,4.0,4.0,4.0,4.0,25
90,2011-08-29,3.99,4.0,3.99,4.0,220
91,2011-08-30,4.0,4.0,3.98,4.0,140
92,2011-08-31,4.0,4.0,4.0,4.0,25
93,2011-09-01,4.0,4.0,4.0,4.0,25
94,2011-09-05,4.0,4.0,4.0,4.0,25
95,2011-09-08,3.9,3.9,3.9,3.9,30
96,2011-09-12,3.8,3.8,3.53,3.53,215
97,2011-09-13,3.55,4.0,3.55,4.0,606
98,2011-09-14,3.95,4.0,3.95,4.0,811
99,2011-09-15,3.98,3.98,3.98,3.98,30
100,2011-09-16,3.98,3.98,3.9,3.9,170
101,2011-09-19,3.98,3.98,3.98,3.98,41
102,2011-09-20,3.98,3.98,3.98,3.98,80
103,2011-09-21,3.9,3.9,3.9,3.9,30
104,2011-09-22,3.9,3.9,3.9,3.9,30
105,2011-09-26,3.9,3.9,3.9,3.9,30
106,2011-09-27,3.9,3.9,3.85,3.85,380
107,2011-09-28,3.9,3.9,3.9,3.9,30
108,2011-09-30,3.9,3.9,3.85,3.9,230
109,2011-10-03,3.9,3.9,3.6,3.6,871
110,2011-10-04,3.6,3.88,3.6,3.88,553
111,2011-10-05,3.9,3.9,3.7,3.7,115
112,2011-10-06,3.69,3.69,3.69,3.69,66
113,2011-10-07,3.69,3.9,3.69,3.9,230
114,2011-10-10,3.9,3.9,3.77,3.77,70
115,2011-10-11,3.8,3.9,3.8,3.9,110
116,2011-10-12,3.9,3.98,3.88,3.98,2410
117,2011-10-18,3.95,4.0,3.9,4.0,1290
118,2011-10-19,4.0,4.0,3.85,3.85,240
119,2011-10-20,3.8,3.8,3.8,3.8,50
120,2011-10-24,3.85,3.85,3.85,3.85,10
121,2011-10-25,3.8,3.8,3.53,3.53,637
122,2011-10-28,3.55,3.6,3.55,3.6,250
123,2011-11-03,3.65,3.65,3.65,3.65,395
124,2011-11-04,3.68,3.95,3.68,3.95,2110
125,2011-11-07,3.9,3.9,3.77,3.77,3240
126,2011-11-08,3.67,3.67,3.46,3.5,1484
127,2011-11-09,3.5,3.55,3.5,3.55,150
128,2011-11-10,3.5,3.5,3.48,3.48,200
129,2011-11-15,3.5,3.59,3.5,3.59,200
130,2011-11-16,3.59,3.59,3.59,3.59,130
131,2011-11-17,3.5,3.5,3.48,3.5,260
132,2011-11-18,3.5,3.5,3.5,3.5,40
133,2011-11-21,3.5,3.5,3.5,3.5,30
134,2011-11-22,3.5,3.5,3.5,3.5,50
135,2011-11-23,3.5,3.5,3.49,3.5,250
136,2011-11-24,3.5,3.5,3.5,3.5,20
137,2011-11-25,3.5,3.5,3.5,3.5,30
138,2011-11-28,3.5,3.5,3.5,3.5,35
139,2011-11-29,3.5,3.5,3.5,3.5,30
140,2011-11-30,3.5,3.5,3.5,3.5,35
141,2011-12-05,3.58,3.6,3.58,3.6,110
142,2011-12-07,3.55,3.55,3.5,3.5,150
143,2011-12-08,3.47,3.47,3.4,3.44,1990
144,2011-12-09,3.44,3.44,3.44,3.44,173
145,2011-12-13,3.4,3.4,3.4,3.4,40
146,2011-12-14,3.4,3.4,3.4,3.4,30
147,2011-12-15,3.4,3.4,3.4,3.4,240
148,2011-12-16,3.4,3.4,3.34,3.4,241
149,2011-12-19,3.4,3.4,3.4,3.4,212
150,2011-12-20,3.4,3.4,3.4,3.4,30
151,2011-12-21,3.4,3.4,3.3,3.3,889
152,2011-12-22,3.25,3.32,3.0,3.32,2250
153,2011-12-23,3.3,3.3,3.2,3.2,96
154,2011-12-27,3.31,3.31,3.0,3.18,4130
155,2011-12-28,2.96,2.96,2.96,2.96,2088
156,2011-12-30,3.02,3.04,3.02,3.04,117
157,2012-01-03,3.0,3.0,3.0,3.0,228
158,2012-01-09,3.04,3.04,3.04,3.04,192
159,2012-01-10,3.03,3.03,3.03,3.03,35
160,2012-01-11,3.03,3.03,3.03,3.03,35
161,2012-01-12,3.03,3.03,3.0,3.0,40
162,2012-01-17,3.0,3.0,3.0,3.0,35
163,2012-01-18,3.03,3.03,3.03,3.03,747
164,2012-01-19,3.03,3.03,3.02,3.03,250
165,2012-01-20,3.03,3.04,3.03,3.04,330
166,2012-01-24,3.0,3.05,2.95,3.05,425
167,2012-01-25,3.0,3.0,3.0,3.0,48
168,2012-01-26,3.0,3.0,3.0,3.0,30
169,2012-01-27,3.0,3.0,3.0,3.0,30
170,2012-01-30,3.0,3.0,3.0,3.0,35
171,2012-01-31,3.0,3.0,3.0,3.0,35
172,2012-02-01,3.0,3.35,2.99,3.35,1153
173,2012-02-03,3.15,3.15,3.08,3.08,110
174,2012-02-06,3.2,3.23,3.07,3.1,2075
175,2012-02-07,3.1,3.12,3.1,3.12,110
176,2012-02-08,3.12,3.12,2.98,2.98,940
177,2012-02-09,2.98,3.02,2.98,2.98,1010
178,2012-02-10,3.0,3.0,3.0,3.0,631
179,2012-02-13,3.0,3.0,2.98,2.98,85
180,2012-02-14,3.0,3.0,3.0,3.0,325
181,2012-02-15,3.0,3.53,2.97,2.98,7289
182,2012-02-16,3.05,3.13,3.05,3.13,300
183,2012-02-17,3.13,3.3,3.13,3.3,900
184,2012-02-20,3.3,3.41,3.3,3.41,1175
185,2012-02-21,3.35,3.35,3.35,3.35,100
186,2012-02-22,3.35,3.36,3.35,3.36,600
187,2012-02-23,3.35,3.35,3.23,3.23,785
188,2012-02-24,3.21,3.21,3.21,3.21,45
189,2012-02-27,3.33,3.34,3.33,3.34,983
190,2012-02-28,3.48,3.48,3.48,3.48,880
191,2012-02-29,3.48,3.48,3.4,3.4,850
192,2012-03-01,3.4,3.4,3.4,3.4,100
193,2012-03-02,3.4,3.4,3.4,3.4,30
194,2012-03-05,3.4,3.4,3.4,3.4,350
195,2012-03-06,3.4,3.4,3.4,3.4,1056
196,2012-03-07,3.4,3.4,3.4,3.4,594
197,2012-03-08,3.3,3.35,3.3,3.35,20
198,2012-03-09,3.3,3.8,3.3,3.8,26552
199,2012-03-12,3.82,4.0,3.82,4.0,427
200,2012-03-13,4.0,4.55,4.0,4.55,9848
201,2012-03-14,4.55,4.85,4.55,4.85,5776
202,2012-03-15,5.0,5.09,5.0,5.0,1130
203,2012-03-16,5.09,5.2,4.91,4.91,7436
204,2012-03-19,4.99,5.0,4.99,5.0,6170
