,Date,Open,High,Low,Close,Volume
0,2020-09-24,8.45,8.89,7.22,8.18,368365
1,2020-09-25,8.51,9.499,8.51,9.25,238046
2,2020-09-28,9.4,10.3,8.8,8.93,180000
3,2020-09-29,9.0,9.0,7.95,7.95,199440
4,2020-09-30,8.3,8.3,7.51,7.6,63524
5,2020-10-01,8.18,8.18,7.263,7.6,54682
6,2020-10-02,7.6,7.6,7.221,7.488,17464
7,2020-10-05,7.488,7.7,6.98,7.179,48925
8,2020-10-06,7.199,7.39,7.1,7.21,27138
9,2020-10-07,7.29,7.791,7.16,7.791,26998
10,2020-10-08,7.789,8.748,7.5,8.55,53177
11,2020-10-09,8.58,8.6,7.9,8.35,40038
12,2020-10-12,8.4,9.1,7.92,8.3,36037
13,2020-10-13,8.1,8.9,8.0,8.4,24909
14,2020-10-14,8.55,8.6,8.0,8.0,40127
15,2020-10-15,8.188,8.6,7.16,7.78,65064
16,2020-10-16,7.5,8.2,7.3,8.13,26166
17,2020-10-19,8.18,8.4,8.0,8.1,26610
18,2020-10-20,8.29,8.29,7.81,8.0,14976
19,2020-10-21,8.2,8.2,7.7,7.94,13839
20,2020-10-22,7.929,7.929,7.54,7.63,10353
21,2020-10-23,7.84,7.989,7.45,7.75,16043
22,2020-10-26,7.51,7.69,7.4,7.45,13915
23,2020-10-27,7.372,7.6,7.3,7.4,16257
24,2020-10-28,7.39,7.39,6.45,6.63,45664
25,2020-10-29,6.63,7.68,6.5,7.68,34093
26,2020-10-30,7.679,7.68,6.9,7.25,19296
27,2020-11-02,7.5,7.5,7.12,7.45,15076
28,2020-11-03,7.45,8.2,7.45,7.99,40618
29,2020-11-04,7.69,8.6,7.69,8.37,51980
30,2020-11-05,8.35,8.6,8.2,8.534,45160
31,2020-11-06,8.595,8.595,8.221,8.452,16485
32,2020-11-09,8.55,8.71,8.32,8.7,41341
33,2020-11-10,8.7,8.9,8.5,8.85,34101
34,2020-11-12,8.89,9.29,7.56,7.74,132272
35,2020-11-13,7.96,7.989,7.58,7.96,33810
36,2020-11-16,8.1,8.297,7.901,8.04,16324
37,2020-11-17,7.92,8.15,7.61,7.798,14044
38,2020-11-18,7.999,7.999,7.67,7.85,5958
39,2020-11-19,7.79,7.88,7.68,7.7,5455
40,2020-11-20,8.101,8.101,7.85,8.05,21296
41,2020-11-23,8.05,8.15,7.8,7.9,26776
42,2020-11-24,7.8,8.0,7.732,7.8,17491
43,2020-11-25,7.9,7.9,7.61,7.79,15415
44,2020-11-26,7.7,7.7,7.38,7.49,17143
45,2020-11-27,7.381,7.69,7.3,7.4,9643
46,2020-11-30,7.539,7.69,7.46,7.65,24880
47,2020-12-01,7.68,7.8,7.65,7.75,8777
48,2020-12-02,7.78,7.78,7.6,7.65,5105
49,2020-12-03,7.78,7.88,7.7,7.88,5356
50,2020-12-04,7.75,7.88,7.75,7.8,8981
51,2020-12-07,7.87,8.7,7.8,8.54,46562
52,2020-12-08,8.58,8.899,8.221,8.621,22818
53,2020-12-09,8.75,8.798,8.71,8.79,15209
54,2020-12-10,8.78,8.78,8.4,8.6,9295
55,2020-12-11,8.45,8.45,8.221,8.38,6307
56,2020-12-14,8.3,8.3,8.07,8.18,12806
57,2020-12-15,8.21,8.21,8.0,8.1,6162
58,2020-12-16,7.95,8.65,7.95,8.5,22351
59,2020-12-17,8.5,8.779,8.33,8.5,13201
60,2020-12-18,8.5,8.68,8.142,8.457,7452
61,2020-12-21,8.3,8.48,8.17,8.3,5288
62,2020-12-22,8.3,8.399,8.151,8.399,8962
63,2020-12-23,8.399,8.399,8.06,8.21,5853
64,2020-12-28,8.08,8.37,8.024,8.18,14887
65,2020-12-29,8.326,8.69,8.21,8.59,3254
66,2020-12-30,8.5,8.69,8.4,8.66,3698
67,2021-01-04,8.897,9.4,8.897,9.1,42816
68,2021-01-05,9.2,9.999,9.15,9.351,39104
69,2021-01-07,9.56,9.7,9.101,9.289,14418
70,2021-01-08,9.2,9.25,9.05,9.05,12658
71,2021-01-11,9.197,9.4,8.9,9.2,19110
72,2021-01-12,9.32,9.4,8.8,9.0,12810
73,2021-01-13,9.0,9.0,8.7,9.0,7324
74,2021-01-14,8.8,9.1,8.7,9.1,9811
75,2021-01-15,9.179,9.2,8.94,9.0,5823
76,2021-01-18,9.05,9.05,8.8,8.9,7087
77,2021-01-19,8.804,8.9,8.802,8.9,3441
