,Date,Open,High,Low,Close,Volume
0,2005-04-27,2.45,2.45,2.31,2.4,4339840
1,2005-04-28,2.35,2.41,2.35,2.41,529160
2,2005-04-29,2.4,2.41,2.39,2.41,616670
3,2005-05-02,2.41,2.41,2.4,2.4,203240
4,2005-05-04,2.4,2.44,2.4,2.43,945760
5,2005-05-05,2.43,2.44,2.4,2.43,834070
6,2005-05-06,2.43,2.43,2.4,2.43,240510
7,2005-05-09,2.4,2.46,2.4,2.46,1476040
8,2005-05-10,2.46,2.46,2.44,2.46,203760
9,2005-05-11,2.45,2.46,2.42,2.46,1179340
10,2005-05-12,2.45,2.5,2.45,2.47,1595970
11,2005-05-13,2.47,2.48,2.47,2.48,162150
12,2005-05-16,2.47,2.48,2.46,2.46,251740
13,2005-05-17,2.43,2.47,2.43,2.45,238780
14,2005-05-18,2.44,2.46,2.44,2.46,230190
15,2005-05-19,2.46,2.49,2.43,2.49,415910
16,2005-05-20,2.48,2.54,2.48,2.52,470200
17,2005-05-23,2.52,2.54,2.52,2.53,276690
18,2005-05-24,2.53,2.54,2.49,2.52,308860
19,2005-05-25,2.5,2.51,2.48,2.5,174760
20,2005-05-27,2.5,2.5,2.47,2.47,122250
21,2005-05-30,2.46,2.49,2.43,2.49,9980
22,2005-05-31,2.49,2.51,2.46,2.5,544910
23,2005-06-01,2.5,2.53,2.5,2.52,757240
24,2005-06-02,2.53,2.58,2.53,2.58,447720
25,2005-06-03,2.58,2.61,2.55,2.61,669150
26,2005-06-06,2.6,2.61,2.6,2.61,305620
27,2005-06-07,2.61,2.61,2.58,2.61,421450
28,2005-06-08,2.59,2.6,2.59,2.6,33510
29,2005-06-09,2.59,2.59,2.57,2.59,473070
30,2005-06-10,2.6,2.61,2.59,2.61,529580
31,2005-06-13,2.61,2.61,2.56,2.61,68270
32,2005-06-14,2.6,2.6,2.54,2.59,7540
33,2005-06-15,2.6,2.6,2.54,2.59,2960
34,2005-06-16,2.59,2.59,2.59,2.59,6100
35,2005-06-17,2.59,2.59,2.56,2.59,81170
36,2005-06-20,2.59,2.59,2.52,2.55,68200
37,2005-06-21,2.55,2.55,2.52,2.55,2840
38,2005-06-22,2.53,2.53,2.45,2.52,162040
39,2005-06-23,2.52,2.53,2.5,2.53,67930
40,2005-06-24,2.53,2.53,2.5,2.5,70300
41,2005-06-27,2.49,2.51,2.49,2.5,197030
42,2005-06-28,2.49,2.5,2.44,2.5,302980
43,2005-06-29,2.5,2.57,2.5,2.55,492080
44,2005-06-30,2.58,2.58,2.51,2.57,513770
45,2005-07-01,2.57,2.6,2.57,2.6,463030
46,2005-07-04,2.63,2.65,2.57,2.6,1652170
47,2005-07-05,2.59,2.6,2.53,2.6,208820
48,2005-07-06,2.6,2.6,2.55,2.6,33490
49,2005-07-07,2.55,2.6,2.51,2.6,120060
50,2005-07-08,2.56,2.65,2.53,2.65,219590
51,2005-07-11,2.64,2.64,2.59,2.6,134140
52,2005-07-12,2.63,2.63,2.6,2.6,103050
53,2005-07-13,2.56,2.6,2.55,2.55,74130
54,2005-07-14,2.53,2.59,2.53,2.59,4470
55,2005-07-15,2.56,2.58,2.55,2.55,24860
56,2005-07-18,2.51,2.6,2.51,2.6,1254120
57,2005-07-19,2.57,2.57,2.55,2.55,141950
58,2005-07-20,2.53,2.55,2.52,2.52,434000
59,2005-07-21,2.53,2.55,2.52,2.55,27870
60,2005-07-22,2.54,2.63,2.54,2.61,783690
61,2005-07-25,2.6,2.8,2.6,2.8,1473140
62,2005-07-26,2.77,2.85,2.77,2.85,841830
63,2005-07-27,2.88,2.88,2.77,2.82,284030
64,2005-07-28,2.8,2.82,2.78,2.8,31430
65,2005-07-29,2.81,2.81,2.78,2.8,22220
66,2005-08-01,2.8,2.88,2.7,2.88,231360
67,2005-08-02,2.85,2.92,2.8,2.9,854430
68,2005-08-03,2.9,2.9,2.86,2.89,26920
69,2005-08-04,2.85,2.86,2.82,2.86,46970
70,2005-08-05,2.86,2.86,2.81,2.86,19200
71,2005-08-08,2.77,2.92,2.77,2.92,519360
72,2005-08-09,2.92,2.92,2.88,2.92,848380
73,2005-08-10,2.91,2.93,2.9,2.91,744910
74,2005-08-11,2.92,2.92,2.9,2.92,241840
75,2005-08-12,2.93,2.95,2.92,2.94,50240
76,2005-08-16,2.94,2.95,2.94,2.95,56650
77,2005-08-17,2.9,2.98,2.9,2.95,221570
78,2005-08-18,2.94,2.94,2.91,2.91,253080
79,2005-08-19,2.9,3.0,2.9,2.93,1076230
80,2005-08-22,3.0,3.0,2.95,2.95,17200
81,2005-08-23,3.0,3.0,2.95,2.99,64910
82,2005-08-24,2.99,2.99,2.92,2.92,115720
83,2005-08-25,2.97,2.97,2.91,2.92,43810
84,2005-08-26,2.95,2.95,2.92,2.92,89010
85,2005-08-29,2.9,2.92,2.88,2.92,45820
86,2005-08-30,2.95,2.95,2.92,2.92,92730
87,2005-08-31,2.92,2.92,2.88,2.88,108250
88,2005-09-01,2.89,2.9,2.85,2.87,36400
89,2005-09-02,2.89,2.89,2.85,2.85,44670
90,2005-09-05,2.89,2.9,2.8,2.85,325560
91,2005-09-06,2.85,2.9,2.85,2.86,75140
92,2005-09-07,2.9,2.9,2.85,2.89,251490
93,2005-09-08,2.9,2.9,2.8,2.8,97880
94,2005-09-09,2.77,2.81,2.77,2.81,1052360
95,2005-09-12,2.84,2.85,2.81,2.82,257550
96,2005-09-13,2.8,2.8,2.7,2.8,21690
97,2005-09-14,2.8,2.8,2.79,2.8,3440
98,2005-09-15,2.8,2.84,2.78,2.84,29460
99,2005-09-16,2.81,2.84,2.8,2.8,17890
100,2005-09-19,2.8,2.98,2.8,2.94,285990
101,2005-09-20,3.0,3.08,3.0,3.05,1938240
102,2005-09-21,3.08,3.17,3.08,3.11,276510
103,2005-09-22,3.11,3.14,2.8,2.8,319730
104,2005-09-23,3.0,3.03,2.95,2.95,42910
105,2005-09-26,2.95,3.05,2.95,2.97,27580
106,2005-09-27,2.97,3.0,2.95,2.96,604380
107,2005-09-28,2.97,3.05,2.96,3.0,60580
108,2005-09-29,3.0,3.04,3.0,3.0,14400
109,2005-09-30,3.01,3.01,3.0,3.0,17430
110,2005-10-03,3.0,3.05,3.0,3.0,65400
111,2005-10-04,3.0,3.06,3.0,3.0,145030
112,2005-10-05,3.04,3.05,3.01,3.04,92760
113,2005-10-06,3.0,3.02,2.95,3.0,78710
114,2005-10-07,2.92,3.05,2.92,3.04,126930
115,2005-10-10,3.05,3.05,2.96,2.96,102830
116,2005-10-11,2.97,2.97,2.92,2.97,1125680
117,2005-10-12,2.96,2.98,2.95,2.98,1263900
118,2005-10-13,2.99,2.99,2.9,2.95,546410
119,2005-10-14,2.9,2.9,2.85,2.89,245410
120,2005-10-17,2.9,2.9,2.82,2.85,358760
121,2005-10-18,2.85,2.88,2.85,2.88,6720
122,2005-10-19,2.82,2.82,2.8,2.82,252210
123,2005-10-20,2.82,2.85,2.82,2.85,106350
124,2005-10-21,2.85,2.85,2.79,2.8,25090
125,2005-10-24,2.8,2.86,2.8,2.86,81510
126,2005-10-25,2.84,2.85,2.82,2.84,381860
127,2005-10-26,2.85,2.9,2.84,2.9,50380
128,2005-10-27,2.9,2.95,2.9,2.95,209400
129,2005-10-28,2.92,2.99,2.92,2.98,65390
130,2005-10-31,2.98,3.01,2.95,3.01,104920
131,2005-11-02,3.04,3.04,2.98,3.04,119710
132,2005-11-03,3.03,3.03,2.99,3.0,1039150
133,2005-11-04,3.0,3.09,3.0,3.03,120590
134,2005-11-07,2.98,3.0,2.98,3.0,66280
135,2005-11-08,3.0,3.0,2.97,3.0,166210
136,2005-11-09,2.95,3.0,2.95,3.0,86640
137,2005-11-10,2.96,3.0,2.96,3.0,10930
138,2005-11-14,3.0,3.0,2.95,3.0,32770
139,2005-11-15,3.0,3.03,2.98,3.0,309070
140,2005-11-16,3.07,3.08,3.05,3.06,265090
141,2005-11-17,3.08,3.1,3.08,3.1,88690
142,2005-11-18,3.1,3.25,3.07,3.21,343740
143,2005-11-21,3.23,3.35,3.22,3.35,28500
144,2005-11-22,3.35,3.35,3.26,3.31,75750
145,2005-11-23,3.25,3.35,3.25,3.35,17490
146,2005-11-24,3.34,3.35,3.25,3.3,151890
147,2005-11-25,3.32,3.32,3.3,3.32,106860
148,2005-11-28,3.31,3.35,3.3,3.32,142060
149,2005-11-29,3.32,3.5,3.32,3.5,61870
150,2005-11-30,3.6,3.6,3.55,3.55,214640
151,2005-12-01,3.55,3.58,3.55,3.56,598380
152,2005-12-02,3.58,3.58,3.45,3.5,355550
153,2005-12-05,3.44,3.58,3.44,3.58,694410
154,2005-12-06,3.6,3.6,3.58,3.6,251350
155,2005-12-07,3.6,3.69,3.6,3.69,2230
156,2005-12-08,3.69,3.69,3.63,3.68,7270
157,2005-12-09,3.69,3.69,3.69,3.69,9460
158,2005-12-12,3.7,3.7,3.65,3.7,1140
159,2005-12-13,3.7,3.7,3.65,3.69,1390
160,2005-12-14,3.65,3.74,3.47,3.74,57670
161,2005-12-15,3.68,3.69,3.61,3.67,9850
162,2005-12-16,3.6,3.67,3.59,3.63,37190
163,2005-12-19,3.64,3.64,3.6,3.64,406980
164,2005-12-20,3.62,3.66,3.59,3.64,13920
165,2005-12-21,3.68,3.68,3.62,3.66,19710
166,2005-12-22,3.68,3.69,3.63,3.69,512240
167,2005-12-23,3.69,3.69,3.62,3.69,15740
168,2005-12-27,3.65,3.7,3.63,3.7,434260
169,2005-12-28,3.69,3.69,3.65,3.69,5770
170,2005-12-29,3.65,3.69,3.65,3.69,13900
171,2005-12-30,3.69,3.7,3.64,3.69,415290
172,2006-01-02,3.64,3.7,3.64,3.69,7080
173,2006-01-03,3.7,3.9,3.7,3.89,55990
174,2006-01-04,3.89,3.9,3.87,3.89,70150
175,2006-01-05,3.89,3.89,3.8,3.89,52120
176,2006-01-06,3.89,3.99,3.89,3.93,49980
177,2006-01-09,3.94,3.99,3.85,3.92,155650
178,2006-01-10,3.86,3.95,3.86,3.9,1024050
179,2006-01-11,3.98,4.0,3.9,3.9,76690
180,2006-01-12,3.97,4.18,3.97,4.1,140480
181,2006-01-13,4.15,4.15,4.02,4.05,44370
182,2006-01-16,4.0,4.13,4.0,4.1,215180
183,2006-01-17,4.1,4.11,4.0,4.11,206340
184,2006-01-18,4.06,4.25,4.06,4.25,1052510
185,2006-01-19,4.28,4.59,4.28,4.59,34350
186,2006-01-20,4.6,4.95,4.6,4.8,2515840
187,2006-01-23,4.8,4.89,4.8,4.81,653690
188,2006-01-24,4.95,5.0,4.85,4.85,416740
189,2006-01-25,4.9,4.9,4.76,4.79,399180
190,2006-01-26,4.8,4.8,4.59,4.65,256620
191,2006-01-27,4.65,4.65,4.5,4.64,496950
192,2006-01-30,4.64,4.8,4.59,4.67,402700
193,2006-01-31,4.73,4.73,4.59,4.65,22390
194,2006-02-01,4.6,4.74,4.6,4.66,374600
195,2006-02-02,4.61,4.74,4.61,4.69,28600
196,2006-02-03,4.75,4.75,4.59,4.59,279900
197,2006-02-06,4.65,4.94,4.35,4.6,37590
198,2006-02-07,4.64,4.75,4.6,4.69,66850
199,2006-02-08,4.77,4.77,4.6,4.6,302180
200,2006-02-09,4.7,4.7,4.6,4.65,341020
201,2006-02-10,4.57,4.68,4.55,4.65,118910
202,2006-02-13,4.67,4.67,4.6,4.64,5420
203,2006-02-14,4.63,4.7,4.63,4.65,431000
204,2006-02-15,4.67,4.68,4.62,4.68,251730
205,2006-02-16,4.67,4.67,4.55,4.55,58290
206,2006-02-17,4.58,4.58,4.54,4.56,42570
207,2006-02-20,4.58,4.58,4.38,4.39,255090
208,2006-02-21,4.3,4.38,4.1,4.3,282740
209,2006-02-22,4.33,4.33,4.21,4.29,101870
210,2006-02-23,4.29,4.34,4.21,4.34,1609650
211,2006-02-24,4.37,4.37,4.32,4.33,31380
212,2006-02-27,4.34,4.34,4.22,4.27,42490
213,2006-02-28,4.26,4.29,4.22,4.24,59490
214,2006-03-01,4.15,4.26,4.15,4.15,913050
215,2006-03-02,4.15,4.3,4.11,4.22,86750
216,2006-03-03,4.23,4.23,4.15,4.2,559580
217,2006-03-06,4.19,4.19,3.98,4.0,2483100
218,2006-03-07,4.0,4.1,3.87,3.96,99630
219,2006-03-08,4.0,4.0,3.9,4.0,91940
220,2006-03-09,4.05,4.26,4.0,4.15,133680
221,2006-03-10,4.2,4.2,4.1,4.15,26010
222,2006-03-13,4.23,4.25,4.2,4.25,557770
223,2006-03-14,4.25,4.33,4.25,4.3,44750
224,2006-03-15,4.35,4.36,4.3,4.33,28080
225,2006-03-16,4.33,4.33,4.26,4.33,91240
226,2006-03-17,4.25,4.33,4.2,4.3,285860
