,Date,Open,High,Low,Close,Volume
0,2009-12-18,0.1003,0.1003,0.0725,0.0983,801131
1,2009-12-21,0.0949,0.0983,0.061,0.061,2734606
2,2009-12-22,0.0617,0.0617,0.0549,0.0576,300678
3,2009-12-23,0.0461,0.0542,0.0305,0.0386,19032722
4,2009-12-28,0.038,0.038,0.0312,0.0339,1950908
5,2009-12-29,0.0353,0.0373,0.0332,0.0373,1181121
6,2009-12-30,0.0373,0.0373,0.0339,0.0366,1214028
7,2009-12-31,0.0359,0.0359,0.0339,0.0353,497104
8,2010-01-04,0.0366,0.0366,0.0332,0.0339,158400
9,2010-01-05,0.0346,0.0346,0.0312,0.0319,854261
10,2010-01-06,0.0332,0.0332,0.0312,0.0332,225453
11,2010-01-07,0.0332,0.0332,0.0312,0.0332,514966
12,2010-01-08,0.0332,0.0332,0.0305,0.0312,420389
13,2010-01-11,0.0325,0.0325,0.0292,0.0292,764654
14,2010-01-12,0.0319,0.0319,0.0292,0.0312,1051409
15,2010-01-13,0.0319,0.0359,0.0305,0.0346,6500561
16,2010-01-14,0.0346,0.0393,0.0332,0.0386,3123268
17,2010-01-15,0.0393,0.0522,0.0386,0.0475,8858363
18,2010-01-18,0.0468,0.0556,0.0441,0.0461,3921627
19,2010-01-19,0.0495,0.0495,0.0407,0.0434,1503408
20,2010-01-20,0.0441,0.0441,0.038,0.0427,1129687
21,2010-01-21,0.0427,0.0475,0.0386,0.0475,4440163
22,2010-01-22,0.0475,0.0475,0.0407,0.0414,1700365
23,2010-01-25,0.0441,0.0475,0.0427,0.0454,2014982
24,2010-01-26,0.0454,0.0454,0.0427,0.0427,386922
25,2010-01-27,0.0454,0.0454,0.038,0.0407,395890
26,2010-01-28,0.0414,0.0441,0.0414,0.0441,144550
27,2010-01-29,0.0434,0.0434,0.0393,0.0427,345459
28,2010-02-01,0.0427,0.0427,0.0407,0.042,235542
29,2010-02-02,0.0427,0.0468,0.042,0.0447,633556
30,2010-02-03,0.0447,0.0447,0.0427,0.0441,129991
31,2010-02-04,0.0441,0.0454,0.0407,0.0441,729756
32,2010-02-05,0.042,0.0427,0.0407,0.042,136304
33,2010-02-08,0.0441,0.0441,0.0393,0.0414,198033
34,2010-02-09,0.0414,0.0414,0.0359,0.0414,1051675
35,2010-02-10,0.0434,0.0434,0.0386,0.0407,398648
36,2010-02-11,0.0414,0.0414,0.0373,0.04,197679
37,2010-02-12,0.04,0.0414,0.0373,0.04,2939144
38,2010-02-15,0.0407,0.042,0.0366,0.0386,684296
39,2010-02-16,0.038,0.0386,0.0339,0.0366,1456665
40,2010-02-17,0.0373,0.0373,0.0339,0.0366,1070378
41,2010-02-18,0.0366,0.0366,0.0332,0.0353,392630
42,2010-02-19,0.0359,0.0359,0.0237,0.0258,15070548
43,2010-02-22,0.0271,0.0271,0.0237,0.0264,146305
44,2010-02-23,0.0264,0.0264,0.0244,0.0258,979503
45,2010-02-24,0.0258,0.0305,0.0251,0.0292,6656527
46,2010-02-25,0.0292,0.0346,0.0271,0.0332,7723542
47,2010-02-26,0.0332,0.0353,0.0305,0.0325,2495095
48,2010-03-01,0.0325,0.0325,0.0271,0.0271,4704335
49,2010-03-02,0.0278,0.0285,0.0264,0.0271,381995
50,2010-03-03,0.0271,0.0325,0.0271,0.0319,4607000
51,2010-03-04,0.0319,0.0407,0.0319,0.0359,4255493
52,2010-03-05,0.0346,0.0373,0.0325,0.0373,1429348
53,2010-03-08,0.0373,0.0373,0.0325,0.0353,927465
54,2010-03-09,0.0346,0.0393,0.0319,0.0373,6287379
55,2010-03-10,0.038,0.038,0.0346,0.0359,373647
56,2010-03-11,0.0359,0.0386,0.0339,0.0366,1691500
57,2010-03-12,0.0373,0.0373,0.0346,0.0359,853110
