,Date,Open,High,Low,Close,Volume
0,2008-08-27,2.7038,3.2814,1.9164,2.4151,70712
1,2008-08-28,2.4238,2.4238,2.0037,2.0037,7974
2,2008-08-29,2.1439,2.1439,1.82,2.0213,2973
3,2008-09-01,1.7413,2.3888,1.7413,2.2925,5966
4,2008-09-02,1.8288,2.24,1.8288,2.1964,1721
5,2008-09-03,2.1612,2.4588,2.1612,2.2925,4755
6,2008-09-04,2.2925,2.5814,2.2925,2.5814,1859
7,2008-09-05,2.5903,2.7652,2.5903,2.7652,18863
8,2008-09-08,2.7564,3.8939,2.7215,3.6139,56441
9,2008-09-09,3.7977,5.4076,3.7977,5.1889,88549
10,2008-09-10,5.1889,7.1752,4.2177,4.5327,34297
11,2008-09-11,4.4977,6.0289,4.1038,4.4977,9130
12,2008-09-12,3.6313,4.7427,3.5965,3.6752,2706
13,2008-09-15,4.1739,4.2789,3.4563,3.8764,5727
14,2008-09-16,4.1915,4.2701,3.6403,3.8939,5075
15,2008-09-17,3.6752,4.1826,3.5089,3.9026,669
16,2008-09-18,3.7275,4.6727,3.7275,4.5413,6429
17,2008-09-19,4.3313,5.1889,4.3228,4.7427,45223
18,2008-09-22,4.2789,4.7427,3.7627,3.9551,35187
19,2008-09-23,4.3139,4.3139,3.2027,3.5439,36785
20,2008-09-24,3.2289,3.8239,3.2289,3.6227,7283
21,2008-09-25,3.4214,3.6139,3.369,3.6139,2805
22,2008-09-26,3.6139,3.6139,3.255,3.255,1504
23,2008-09-29,3.1152,3.369,2.9401,3.1063,11730
24,2008-09-30,2.9401,3.369,2.5288,3.369,10869
25,2008-10-01,3.3602,3.6139,3.0539,3.4563,7716
26,2008-10-02,3.4302,3.5704,3.1152,3.1152,7385
27,2008-10-03,3.369,3.369,2.9576,3.2027,6202
28,2008-10-06,3.1939,3.1939,3.1939,3.1939,116
29,2008-10-07,3.1413,3.1413,2.6164,2.9839,3112
30,2008-10-08,3.0101,3.0277,2.6164,2.6164,692
31,2008-10-09,2.9839,2.9839,2.5903,2.7652,1988
32,2008-10-10,2.6339,2.8964,2.2139,2.3101,5332
33,2008-10-13,3.0014,3.0014,2.8526,2.8526,2563
34,2008-10-14,2.8964,3.4128,2.8964,3.1589,2954
35,2008-10-15,3.3951,3.3951,3.3951,3.3951,347
36,2008-10-16,3.3777,3.4128,3.3777,3.4128,2111
37,2008-10-17,3.4128,3.4128,3.4039,3.4039,121
38,2008-10-20,3.3252,3.6925,2.8089,3.5439,4016
39,2008-10-21,3.5439,3.5439,2.8351,3.5262,59
40,2008-10-22,3.5089,3.5089,3.5089,3.5089,387
41,2008-10-23,3.5,3.5,2.8176,2.905,198
42,2008-10-24,3.3602,3.3602,2.8964,3.2814,2432
43,2008-10-27,2.8964,3.2639,2.8964,3.2289,1218
44,2008-10-28,3.2376,3.2376,2.8964,3.2027,635
45,2008-10-29,2.905,3.2203,2.905,3.1851,642
46,2008-10-30,2.9401,3.1851,2.9401,3.1676,759
47,2008-10-31,3.1676,3.2027,2.8351,3.2027,402
48,2008-11-03,3.1764,3.7889,3.1764,3.6313,3004
49,2008-11-04,3.6313,3.6313,2.9401,3.2464,1717
50,2008-11-05,3.2814,3.5965,2.8526,3.5965,1992
51,2008-11-06,3.4563,3.4563,3.4563,3.4563,57
52,2008-11-07,3.4563,3.6313,3.2027,3.4563,1274
53,2008-11-10,3.579,3.579,3.0277,3.579,325
54,2008-11-12,3.0277,3.4563,2.8964,3.4563,290
55,2008-11-13,2.8265,3.369,2.8265,3.369,242
56,2008-11-14,3.369,3.369,2.7826,3.3514,459
